,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
7,7,13,13,028d30ca-750e-476e-82a0-c07bffa952eb,Dalle luminaire,"Dalles luminaires quasi neuve, ayant été utilisées 15 jours. Possibilité d'un stock plus grand, pour cela, contactez le service-client cycle-up
Une palette comprend 52 dalles.  Les dalles sont reconditionnées dans leurs cartons d’origine. Le colisage d’une palette : Longueur : 136 cm Largeur : 72 cm Hauteur : 117 cm Poids : 117 Kg La référence spécifique de ces dalles : https://www.sylvania-lighting.com/product/en-int/products/0048401/
Pour des quantités différentes, nous consulter.",verygood,lighting_general_equipment,D.50.20.02.3,SAINT-OUEN,2022-03-16,15.0,15.0,0.0,"['3206e9d5-f579-49f5-8fee-5e9b9167319b.JPG', '7284acf2-ebbe-4711-9812-e1ad5533d836.JPG', '83257f69-e432-4b2e-84b4-861c976223e7.JPG', '22558311-edfe-427c-927e-30be4dc5ba40.PNG', 'c18bffcd-891d-4076-8489-d91c03a61078.PNG']",used,,,1003.0,200.0,2023-04-11,FR,1.0,391.0,,," quasi neuve,",,"{'score': 0.00024097709683701396, 'start': 0, 'end': 30, 'answer': 'Dalles luminaires quasi neuve,'}",,,,,,,,,,,,,,,,,,,,,,, 52 dalles.,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
19,19,34,34,059cfc44-fea3-4193-b105-1a27892f41e2,Dalle luminaire type grille,Dalle luminaire type grille à 4 tubes néons.,correct,lighting_general_equipment,D.50.20.02.3,CHAMPS-SUR-MARNE,2022-04-05,20.0,20.0,0.0,['0986e7bc-a635-4a3d-a386-b680904e780d.jpg'],used,,,858.0,858.0,2023-09-24,FR,0.0,537.0,,,,,"{'score': 0.0013098381459712982, 'start': 0, 'end': 44, 'answer': 'Dalle luminaire type grille à 4 tubes néons.'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire,,,,Lignite,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
35,35,56,56,07e6a6c5-f87d-4036-9148-bd5355d80061,Lampe d'extérieur rurale poteau gris,Poteau luminaire extérieur,correct,lighting_general_equipment,D.50.20.02.2,NANTES,2022-01-21,190.0,190.0,0.0,"['080a9453-ad84-4fd8-9c58-a0d748fb32ac.jpeg', '947e9764-7855-4d50-9f57-a8d023fd1d0f.jpeg', '62caa3a5-2327-43c6-ad5d-c7d33aec697e.jpeg']",used,,,8.0,8.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 0.025672778487205505, 'start': 0, 'end': 26, 'answer': 'Poteau luminaire extérieur'}",,,,,,,,,,,,,,,,,,,,Poteau luminaire extérieur,,,,Sitka spruce,Pendant luminaires,Pr_70_70_48_62,Other,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
80,80,126,126,1237c159-6dee-4f62-9f89-7a9c56ab6e99,Plafonnier encastré circulaire,Plafonnier encastré circulaire de diamètre 15cm et de type fluo compact,verygood,lighting_general_equipment,D.50.20.02.9,RENNES,2022-08-11,15.0,15.0,0.0,['66e823a3-32a9-4369-a254-46705867e868.png'],used,,,80.0,60.0,2022-11-30,FR,1.0,111.0,,,,,"{'score': 0.024471178650856018, 'start': 0, 'end': 47, 'answer': 'Plafonnier encastré circulaire de diamètre 15cm'}",,,,,,,,,,,,,,,,,,,,, fluo, 15cm,,Pisé,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
93,93,145,145,1481023d-5b75-4dc1-8482-b18589c6d3ab,Dalle de faux plafond,"Dalle de faux plafond en laine minérale, sur une surface de 200 m2, de 60x60 cm.",damaged,gypsum_wallboard_ceiling_finishes,C.30.30.01.1g,ORLEANS,2022-04-15,7.0,7.0,0.0,['689c38c1-2761-4d7f-bb8f-1952d7e48c6e.jpeg'],used,,,100.0,100.0,2023-01-19,FR,1.0,279.0,,,,,"{'score': 4.673635771723639e-07, 'start': 0, 'end': 40, 'answer': 'Dalle de faux plafond en laine minérale,'}",,,,,,,,,,,,,,,,,,,,Dalle de faux plafond," laine minérale,",,,Silt,Pendant luminaires,Pr_70_70_48_62,"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units
109,109,169,169,17116d01-94b8-4854-81b3-e1cabd2462c7,Luminaire cristal suspendu,"Disponibilités stock :
4 grandes tailles
4 petites tailles",correct,lighting_general_equipment,D.50.20.02.6,PARIS-12E-ARRONDISSEMENT,2022-08-03,20.0,20.0,0.0,['cb0210b2-b6f7-4a47-b03f-4ce4a03c0b64.png'],used,,,8.0,8.0,2023-01-19,FR,1.0,169.0,,,,,"{'score': 8.772096407483332e-06, 'start': 0, 'end': 20, 'answer': 'Disponibilités stock'}",,,,,,,,,,,,,,,,,,,,,,,,Crystal glass,Pendant luminaires,Pr_70_70_48_62,Other,Other,Glass blocks and panels
161,161,254,254,24ddf69a-c7c1-4f55-90ff-26d09e921d94,Cloison semi vitrée,Cloison vitrée initiallement installée avec la porte métallique semie-vitrée avec bati,verygood,fixed_partitions,C.10.10.01.1,SAINT-OUEN,2021-04-20,40.0,40.0,0.0,"['420978b3-ee9b-41d0-bbae-d599d3abd8a4.jpg', '3fc5cd92-5ebd-43dc-a467-0ecb0222747e.jpg', '2d38d020-7b37-4de5-8dbf-170d3f679534.jpg']",used,,,1.0,1.0,2023-09-24,FR,0.0,887.0,,,,,"{'score': 2.170220113839605e-06, 'start': 0, 'end': 28, 'answer': 'Cloison vitrée initiallement'}",,,,,,,,,,,,,,,,,,,,Cloison vitrée,,,,Sitka spruce,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Covering, Finish",Glass blocks and panels
204,204,326,326,2fd19bee-020f-4a1c-8893-207239edddfd,Plafonnier néon trame,154 x 27 cm,correct,lighting_general_equipment,D.50.20.02.15,CLERMONT-FERRAND,2022-02-28,10.0,10.0,0.0,['b94485dd-363d-4fd5-91fb-f9f262f9da15.jpg'],used,,,2.0,2.0,2022-10-03,FR,1.0,217.0,,,,,"{'score': 5.731251349061495e-06, 'start': 0, 'end': 3, 'answer': '154'}",,,,,,,,,,,,,,,,,,,,,,154 x 27 cm,,Sitka spruce,Pendant luminaires,Pr_70_70_48_62,Technical elements,Other,"Lighting columns, brackets and bollards"
207,207,332,332,30aa21f3-7665-4c16-8ba7-8d0d8d48bfa4,Lanterneau de désenfumage,"Lanterneau de désenfumage avec son boîtier de commande, de hauteur de 50 cm et largeur de 100 cm, dernière vérifivation en 2021.",correct,roof_opening_support,B.30.10.06.3,ORLEANS,2022-04-15,200.0,200.0,0.0,"['fdc5f487-829d-48af-94c7-3a835dead257.jpeg', 'aa4af136-4aab-41b7-872a-559a73efb279.jpeg']",used,,,4.0,4.0,2023-09-24,FR,0.0,527.0,,,,,"{'score': 0.0004486622055992484, 'start': 0, 'end': 55, 'answer': 'Lanterneau de désenfumage avec son boîtier de commande,'}",,,,,,,,,,,,,,,,,,,,Lanterneau de désenfumage,," hauteur de 50 cm et largeur de 100 cm,",,Sitka spruce,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Floors, Ceiling",Power and lighting outlet products
287,287,459,459,419b350f-c71f-4dec-9e58-8ff7b6d771a4,Dalle luminaire,Dalle luminaire,damaged,lighting_general_equipment,D.50.20.02.3,RENNES,2022-07-15,18.0,18.0,0.0,"['2a760d80-17d6-494c-b84c-9af695c65e82.jpeg', '36d24a82-6092-43ec-a9e4-aca698c2ec05.jpeg', 'b603f273-c3cf-47d6-b8af-0e1ec4539381.jpeg']",used,,,19.0,19.0,2022-09-26,FR,1.0,73.0,,,,,"{'score': 0.06086931750178337, 'start': 0, 'end': 15, 'answer': 'Dalle luminaire'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
