,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
4229,4229,5240,5240,5caafc79-76d1-4226-84f9-4483c6c0f7a0,Menuiserie double vitrage en aluminium,"Grand ensemble menuisé en aluminium double vitrage, verre opalescent",correct,windows,B.20.20.01.2a,PARIS-15E-ARRONDISSEMENT,2023-01-30,132.0,132.0,0.0,"['a532619a-f613-4bae-ad5e-02000909098f.png', 'b0b54b9e-0464-4318-913b-3ded4a5e158a.png']",used,132.73,151.88,5.0,5.0,2023-05-04,FR,1.0,94.0,,,,,"{'score': 2.1793988707941025e-05, 'start': 0, 'end': 51, 'answer': 'Grand ensemble menuisé en aluminium double vitrage,'}",,,,,,,,,,,,,,,,,,,,," aluminium double vitrage, verre opalescent",,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
4847,4847,5925,5925,164fe0af-3798-4582-a44f-31c537e1d899,Menuiserie double vitrage en aluminium,"1 ouvrant, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.3b,PARIS-15E-ARRONDISSEMENT,2023-03-30,80.0,80.0,0.0,['ad9de99f-6328-4281-8a42-1654697a39be.png'],used,34.07,11.03,1.0,1.0,2023-05-04,FR,1.0,35.0,,,,,"{'score': 5.234304808254819e-06, 'start': 0, 'end': 10, 'answer': '1 ouvrant,'}",,,,,,,,,,,,,,,,,,,,,,,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
4900,4900,5981,5981,295616bf-81c7-4146-80ec-4df47e98caab,Menuiserie double vitrage en aluminium,"2 ouvrants, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.3b,PARIS-15E-ARRONDISSEMENT,2023-03-30,132.0,132.0,0.0,['7018fe30-ba56-4621-a1a4-4194b7427600.png'],used,234.56,75.9,10.0,10.0,2023-05-04,FR,1.0,35.0,,,,,"{'score': 2.696903493415448e-06, 'start': 26, 'end': 57, 'answer': ' cadre aluminium double vitrage'}",,,,,,,,,,,,,,,,,,,,,,,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
4905,4905,5986,5986,2b70e93e-9a13-40e1-9f1f-c62509cad6c9,Menuiserie double vitrage en aluminium,"2 ouvrants, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.3b,PARIS-15E-ARRONDISSEMENT,2023-03-30,80.0,80.0,0.0,['dd844883-46e8-4a6f-a6b5-4275448ea411.png'],used,186.63,60.39,67.0,67.0,2023-05-04,FR,1.0,35.0,,,,,"{'score': 2.696903493415448e-06, 'start': 26, 'end': 57, 'answer': ' cadre aluminium double vitrage'}",,,,,,,,,,,,,,,,,,,,,,,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
5009,5009,6096,6096,4afe4bff-2f51-4267-863a-891bc08e7730,Menuiserie double vitrage en aluminium ouvrants,"3 ouvrants, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.9,PARIS-15E-ARRONDISSEMENT,2023-03-30,100.0,100.0,0.0,['79492564-2d28-4ff2-98e3-ecf5f0468b63.png'],used,0.0,117.78,13.0,13.0,2023-05-04,FR,1.0,35.0,,,,,"{'score': 1.5985651771188714e-06, 'start': 26, 'end': 57, 'answer': ' cadre aluminium double vitrage'}",,,,,,,,,,,,,,,,,,,,,,,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
5023,5023,6111,6111,4fcd0a0c-5f1d-412b-a23d-1bc5f02df28d,Menuiserie double vitrage en aluminium ouvrants,"3 ouvrants, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.9,PARIS-15E-ARRONDISSEMENT,2023-03-30,100.0,100.0,0.0,['9ef4374e-83be-4917-a184-3178cd70b608.png'],used,0.0,93.71,28.0,28.0,2023-05-04,FR,1.0,35.0,,,,,"{'score': 1.5985651771188714e-06, 'start': 26, 'end': 57, 'answer': ' cadre aluminium double vitrage'}",,,,,,,,,,,,,,,,,,,,,,,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
5031,5031,6120,6120,538c6822-49be-4c82-9172-3fb8c65e171a,Menuiserie double vitrage en aluminium,"1 fixe, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.5b,PARIS-15E-ARRONDISSEMENT,2023-03-29,80.0,80.0,0.0,['cf673115-3b13-401a-8e8d-4c6574fd1fc9.png'],used,40.2,13.01,1.0,1.0,2023-05-04,FR,1.0,36.0,,,,,"{'score': 0.0005473188357427716, 'start': 0, 'end': 7, 'answer': '1 fixe,'}",,,,,,,,,,,,,,,,,,,,,,,1,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
5056,5056,6149,6149,5d9f13a8-4d95-4427-9561-837099c97903,Menuiserie double vitrage en aluminium,"2 ouvrants, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.3b,PARIS-15E-ARRONDISSEMENT,2023-03-29,132.0,132.0,0.0,['930e1e65-bf0f-48e9-ac4a-40141b5b47ef.png'],used,164.84,53.34,1.0,1.0,2023-05-04,FR,1.0,36.0,,,,,"{'score': 2.696903493415448e-06, 'start': 26, 'end': 57, 'answer': ' cadre aluminium double vitrage'}",,,,,,,,,,,,,,,,,,,,,,,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
5117,5117,6218,6218,74a0ef3d-04c4-4451-a744-cbb9eb6251d8,Menuiserie double vitrage en aluminium,"2 ouvrants, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.3b,PARIS-15E-ARRONDISSEMENT,2023-03-30,100.0,100.0,0.0,['80e4c390-9445-4a26-b502-07dbe8567bee.png'],used,96.93,31.37,2.0,2.0,2023-05-04,FR,1.0,35.0,,,,,"{'score': 2.696903493415448e-06, 'start': 26, 'end': 57, 'answer': ' cadre aluminium double vitrage'}",,,,,,,,,,,,,,,,,,,,,,,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
5132,5132,6234,6234,7aa23686-8673-4316-ace3-48696a469d86,Menuiserie double vitrage en aluminium,"2 ouvrants, épaisseur 5cm, cadre aluminium double vitrage",correct,windows,B.20.20.01.3b,PARIS-15E-ARRONDISSEMENT,2023-03-30,80.0,80.0,0.0,['ceeb8f2d-a759-46e7-9a15-72fb18f84895.png'],used,145.84,47.19,18.0,18.0,2023-05-04,FR,1.0,35.0,,,,,"{'score': 2.696903493415448e-06, 'start': 26, 'end': 57, 'answer': ' cadre aluminium double vitrage'}",,,,,,,,,,,,,,,,,,,,,,,,Aluminium,Aluminium shutters,Pr_30_59_07_02,Technical elements,Furnishings,Glass blocks and panels
