,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
2,2,6,6,017c80c6-2ae1-4f70-9a69-6fcdf1c3064f,Porte simple manuelle,"Dimensions avec bâti bois massif h210 l94,5 e9. Porte simple manuelle en Bois reconstitué",damaged,simple_solid_doors,C.10.20.01.1e,RENNES,2022-07-18,60.0,60.0,0.0,"['a99320bf-f510-46e0-9f18-aac75899427e.jpeg', '14fb0473-834d-4226-a783-a20538e23ac1.jpeg', '42ecd476-9f9d-4049-b3f1-c502054306fb.jpeg']",used,,,1.0,1.0,2022-09-26,FR,1.0,70.0,,,,,"{'score': 7.29227258489118e-06, 'start': 47, 'end': 89, 'answer': ' Porte simple manuelle en Bois reconstitué'}",,,,,,,,,,,,,,,,,,,, Porte simple manuelle,," h210 l94,5 e9.",,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
14,14,27,27,04f5d854-5dde-46cf-81b3-4ab959538757,Porte simple manuelle,"Porte simple manuelle en bois massif.  Finition vernis. Essence : noyer. Quincaillerie en laiton vernis. Epaisseur du bâti : 13 cm (Dimension avec bâti : Largeur 105 cm, Hauteur 215 cm).",verygood,simple_solid_doors,C.10.20.01.1d,PARIS-8E-ARRONDISSEMENT,2022-05-17,99.0,99.0,0.0,"['72219963-f7ba-49fa-abc0-3eb66242f550.jpeg', 'd8a16121-5887-44b5-8e14-d60fe513528e.jpeg', 'ed9b234e-bd36-4e4c-b0ca-4ab8847bea39.jpeg', 'dcd68dd2-c795-4829-8105-312512742bf5.jpeg']",used,,,8.0,8.0,2022-09-26,FR,1.0,132.0,,,,,"{'score': 9.968076710720197e-07, 'start': 0, 'end': 21, 'answer': 'Porte simple manuelle'}",,,,,,,,,,,,,,,,,,,,Porte simple manuelle, bois massif.,,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
45,45,69,69,0a6fd99d-9dc5-40bd-a3e3-080f6c241f97,Porte simple manuelle,"Porte simple manuelle en bois reconstitué, de couleur grise, de hauteur de 203 cm, largeur de 92 cm et épaisseur de 4 cm, dimension sans bâtis.",correct,simple_solid_doors,C.10.20.01.1e,ORLEANS,2022-04-15,60.0,60.0,0.0,['81776965-28ab-482d-9789-71b3ebfaebe3.jpeg'],used,,,4.0,4.0,2023-09-24,FR,0.0,527.0,,,,,"{'score': 2.724108526308555e-06, 'start': 0, 'end': 21, 'answer': 'Porte simple manuelle'}",,,,,,,,,,,,,,,,,,,,Porte simple manuelle," bois reconstitué,",,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
54,54,85,85,0ce7dda2-af82-49bc-8c50-217eaf2bd762,Porte simple manuelle,Porte simple en bois reconstitué.,verygood,simple_solid_doors,C.10.20.01.1e,NANTES,2022-01-21,70.0,70.0,0.0,"['ca1cb7ab-34ea-440d-b2a9-751ceceae890.jpeg', 'dae37fed-cefc-4674-8242-f76ba74240de.jpeg', 'e45b9b1a-22a5-4d9e-a807-126ddce9a07b.jpeg']",used,,,34.0,34.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 0.0006976483855396509, 'start': 0, 'end': 33, 'answer': 'Porte simple en bois reconstitué.'}",,,,,,,,,,,,,,,,,,,,, bois reconstitué.,,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
60,60,95,95,0dfefef2-8798-4465-be4f-5704c25147be,Porte simple manuelle,"Dimensions avec bâti bois massif h210 l81,5 e9. Porte simple manuelle en Bois reconstitué",damaged,simple_solid_doors,C.10.20.01.1e,RENNES,2022-07-18,60.0,60.0,0.0,"['799aacd7-5293-4909-ac64-c0e85790efb0.jpeg', '2e8ae687-8670-446a-a1f4-644e79f5a9c2.jpeg', '7eab589b-78c9-4594-90e5-975d3601d7d6.jpeg']",used,,,9.0,9.0,2022-09-26,FR,1.0,70.0,,,,,"{'score': 8.120287020574324e-06, 'start': 47, 'end': 89, 'answer': ' Porte simple manuelle en Bois reconstitué'}",,,,,,,,,,,,,,,,,,,, Porte simple manuelle,," h210 l81,5 e9.",,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
68,68,104,104,0f1c4fc6-6d7f-4291-b87e-9e5d1af5ee33,Porte simple manuelle,Porte simple revêtement laqué gris clair. Poignée en plastique gris et serrure à verrouillage manuel.,correct,simple_solid_doors,C.10.20.01.1e,CHAMPS-SUR-MARNE,2022-04-05,50.0,50.0,0.0,"['2dc80c20-3048-4c00-b39d-f2fb89d22ba3.jpg', 'e185a900-2120-47b5-88b8-8b73ae0e942a.jpg', '85272271-cfdd-4cc7-afdf-1b31a07cdc37.jpg']",used,,,39.0,24.0,2023-09-24,FR,0.0,537.0,,,,,"{'score': 5.467679147841409e-05, 'start': 0, 'end': 41, 'answer': 'Porte simple revêtement laqué gris clair.'}",,,,,,,,,,,,,,,,,,,,,,,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
90,90,141,141,13e8d274-2ba6-490d-9910-350cd65ad807,Porte simple manuelle,Porte simple manuelle en bois reconstitué. Sans bâti : 83*204.,correct,simple_solid_doors,C.10.20.01.1e,ARGENTEUIL,2022-06-23,50.0,50.0,0.0,['272cc751-3f6e-4f53-b6f1-ab9b53a27629.jpeg'],used,,,2.0,2.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 2.9335753424675204e-05, 'start': 42, 'end': 52, 'answer': ' Sans bâti'}",,,,,,,,,,,,,,,,,,,,Porte simple manuelle, bois reconstitué., 83*204.,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
143,143,230,230,20f6b11d-a390-4e54-8a5f-5d89d9e15b56,Porte simple manuelle,Porte en bois reconstitué sur bâti de 208×102 avec serrure (manquante sur l'une d'entre elle),verygood,simple_solid_doors,C.10.20.01.1e,NANTES,2022-01-21,70.0,70.0,0.0,"['8058d401-7504-4f57-87bd-bd18450892b2.jpeg', '906097c7-f464-4a0d-b782-775b8966e1ae.jpeg', '0fb222af-d6bf-4c81-a64c-6bfa82c14b13.jpeg', '70593b3a-592c-4772-ba39-0bdf6103753b.jpeg']",used,,,12.0,5.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 0.0009318077354691923, 'start': 0, 'end': 45, 'answer': 'Porte en bois reconstitué sur bâti de 208×102'}",,,,,,,,,,,,,,,,,,,,, bois, 208×102,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
149,149,237,237,21b30cf7-6d12-4817-be12-8a55eeadd0ab,Porte simple manuelle,"Porte simple manuelle en bois reconstitué, de couleur grise, de hauteur de 203 cm, largeur de 92 cm et épaisseur de 4 cm, dimension sans bâtis.",correct,simple_solid_doors,C.10.20.01.1e,ORLEANS,2022-04-15,60.0,60.0,0.0,['67c56505-4afc-4086-b67e-1dada3b32c1d.jpeg'],used,,,2.0,2.0,2023-01-19,FR,1.0,279.0,,,,,"{'score': 2.724108526308555e-06, 'start': 0, 'end': 21, 'answer': 'Porte simple manuelle'}",,,,,,,,,,,,,,,,,,,,Porte simple manuelle," bois reconstitué,",,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
182,182,292,292,2b51fb77-a9e3-49e8-9603-5be2eec82c00,Porte simple manuelle,Porte en bois reconstitué sur bâti total de 228×346 dont deux cloisons vitrees de 228×124 chacune,verygood,simple_solid_doors,C.10.20.01.1e,NANTES,2022-01-21,70.0,70.0,0.0,"['e1cf5589-87ce-4219-bcbd-74ed3a39bcda.jpeg', 'aea7b5c1-f176-40a7-9bd1-7ba242e0634e.jpeg', '72db85db-b994-4391-bb88-a038025a6d92.jpeg']",used,,,2.0,2.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 2.201252937084064e-05, 'start': 0, 'end': 25, 'answer': 'Porte en bois reconstitué'}",,,,,,,,,,,,,,,,,,,,,,,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
192,192,308,308,2e018d93-1682-4b48-b4c2-f6e7ef723666,Porte simple manuelle,Porte simple manuelle en aluminium,correct,solid_exterior_door,B.20.30.01.1b,ARGENTEUIL,2022-06-23,75.0,75.0,0.0,['ceb60ae7-f987-4cdf-b5be-12510099c892.jpeg'],used,,,1.0,1.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.009631928987801075, 'start': 0, 'end': 34, 'answer': 'Porte simple manuelle en aluminium'}",,,,,,,,,,,,,,,,,,,,, aluminium,,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
275,275,440,440,3f436018-9c73-4d74-89e3-d09ed8b5e46d,Porte simple manuelle,"Porte simple manuelle en bois reconstitué, de couleur grise, avec quelques accroc, de heuteur de 203 cm, largeur de 82,5 cm et épaisseur de 4 cm, dimension sans bâtis.",correct,simple_solid_doors,C.10.20.01.1e,ORLEANS,2022-04-15,60.0,60.0,0.0,"['9873d2fa-3341-4306-a716-bc81697e54e9.jpeg', '031e4413-9336-4293-a7d7-1f743ba3f745.jpeg', '14a94199-185d-4ead-a97d-f8a48581d842.jpeg']",used,,,7.0,7.0,2023-01-19,FR,1.0,279.0,,,,,"{'score': 1.510238121227303e-06, 'start': 0, 'end': 21, 'answer': 'Porte simple manuelle'}",,,,,,,,,,,,,,,,,,,,Porte simple manuelle," bois reconstitué,",,,Sitka spruce,Pliable conduit,Pr_65_70_11_63,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
