,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
22,22,39,39,0675094d-fb99-4179-8fb6-00ff62210ac7,Spot encastré,Spot encastré,correct,lighting_general_equipment,D.50.20.02.13,ARGENTEUIL,2022-06-23,12.0,12.0,0.0,['ecca3a76-b82c-4a79-8506-ca5a58cf8976.jpeg'],used,,,12.0,12.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.013467972166836262, 'start': 0, 'end': 13, 'answer': 'Spot encastré'}",,,,,,,,,,,,,,,,,,,,Spot encastré,Spot encastré,,,Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
28,28,47,47,06f0ff32-5a1c-4d9f-94d9-4bea689beb8f,Porte coupe feu,"Porte tierce coupe feu avec ferme porte et serrure à verrouillage manuel. Poignée en plastique gris, finition plaque de bois gris clair.",correct,fire_doors,C.10.20.03,CHAMPS-SUR-MARNE,2022-04-05,50.0,50.0,0.0,"['03ee3ce3-f779-4f99-bdc3-68e9ca497cb6.jpg', '4ce4d7f8-e426-443f-b965-2d7818b19e6a.jpg', '85b98683-ca87-4500-9283-c02ed9b9bbcb.jpg', 'b650703d-5adf-4f5f-bcc4-46f139d6e45b.jpg', '1e63e3c9-57e0-4b49-8a63-9a6b2eaaee6f.jpg']",used,,,193.0,193.0,2023-09-24,FR,0.0,537.0,,,,,"{'score': 1.60072922881227e-05, 'start': 0, 'end': 22, 'answer': 'Porte tierce coupe feu'}",,,,,,,,,,,,,,,,,,,,Porte tierce coupe feu,,,,Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards"
40,40,62,62,09715ee3-4209-4a81-8fe8-8bc5da6921e2,Prise,Prise de la marque bticino. Différents modèles et tailles disponibles.,verygood,wires_connections,D.50.20.01.5,PARIS-8E-ARRONDISSEMENT,2022-05-17,8.0,8.0,0.0,"['1cfef0b1-920e-43da-b4ca-eb47e9bb852f.jpeg', 'c20bacbc-a3f6-4d45-9830-dae5b32574e9.jpeg']",used,,,11.0,11.0,2022-09-26,FR,1.0,132.0,,,,,"{'score': 0.0014744604704901576, 'start': 18, 'end': 27, 'answer': ' bticino.'}",,,,,,,,,,,,,,,,,,,,,,,,Pisé,Arrises,Pr_35_90_43_04,Other,"Covering, Finish",Trim products
83,83,132,132,12ca871a-b7d0-4a3f-8464-8880b4d2f7fb,Réglette,"Luminaire à 2 néons, de hauteur de 10 cm, largeur de 30 cm et longueur de 120 cm.",correct,lighting_general_equipment,D.50.20.02.12,ORLEANS,2022-04-15,15.0,15.0,0.0,['11aa80ba-bb76-485f-b842-05290a07b8ed.jpeg'],used,,,12.0,12.0,2023-09-24,FR,0.0,527.0,,,,,"{'score': 0.00017431976448278874, 'start': 11, 'end': 20, 'answer': ' 2 néons,'}",,,,,,,,,,,,,,,,,,,,Luminaire,,,,Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Covering, Finish",Trim products
84,84,133,133,12d90054-1f26-4357-bd58-9f355cdb0b84,Spot encastré,Spot encastré,correct,lighting_general_equipment,D.50.20.02.13,ARGENTEUIL,2022-06-23,12.0,12.0,0.0,['8c0a7423-dfb0-46f4-bf6a-95dd66ed6a3c.jpeg'],used,,,15.0,15.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.013467972166836262, 'start': 0, 'end': 13, 'answer': 'Spot encastré'}",,,,,,,,,,,,,,,,,,,,Spot encastré,Spot encastré,,,Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
101,101,155,155,153c04a9-d3fb-4df6-82a0-17a579938c55,Réglette,Reglette lumineuse étanche,correct,lighting_general_equipment,D.50.20.02.12,CHATILLON,2022-07-06,10.0,45.0,35.0,['d53c06e5-9a4b-4aee-9cda-e3aff7b5e9c3.jpeg'],used,,,3.0,3.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.00022741728753317147, 'start': 0, 'end': 26, 'answer': 'Reglette lumineuse étanche'}",,,,,,,,,,,,,,,,,,,,Reglette lumineuse étanche, étanche,,,Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Covering, Finish",Trim products
124,124,191,191,1b142109-0c06-4881-957d-cbfc2fd6f2e1,Spot encastré,Spot encastré,correct,lighting_general_equipment,D.50.20.02.13,RENNES,2022-07-15,17.0,17.0,0.0,"['968c6ccc-5305-40de-abc5-e0d30d3ccb70.jpeg', 'f3719279-d9f3-4cb9-a54b-8bc3f9580c8f.jpeg']",used,,,1.0,1.0,2022-09-26,FR,1.0,73.0,,,,,"{'score': 0.013467972166836262, 'start': 0, 'end': 13, 'answer': 'Spot encastré'}",,,,,,,,,,,,,,,,,,,,Spot encastré,Spot encastré,,,Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
164,164,257,257,252350ed-7a5e-468a-bd84-d69f9ed76415,Réglette,Reglette lumineuse étanche,correct,lighting_general_equipment,D.50.20.02.12,CHATILLON,2022-07-06,10.0,10.0,0.0,"['0937cb14-4934-4dad-9dd2-075f061ff1fb.jpeg', '078b0507-4ce9-43fa-9837-287325404cd5.jpeg']",used,,,2.0,2.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.00022741728753317147, 'start': 0, 'end': 26, 'answer': 'Reglette lumineuse étanche'}",,,,,,,,,,,,,,,,,,,,Reglette lumineuse étanche, étanche,,,Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Covering, Finish",Trim products
165,165,259,259,256f7c0f-c944-4a51-830e-decc97f1ce51,Main courante,Deux éléments de 5.2m traces corrosion. A repeindre. Main courante seule en Autre,damaged,handrail,C.20.10.90.3c,RENNES,2022-07-15,20.0,20.0,0.0,"['0b426003-bcf9-4685-9422-e064df06893b.jpeg', 'e2b562e2-7a85-4eaf-a700-4965f0bbf88a.jpeg', 'd31ed5f9-7a5e-4cfd-ae46-afe28abccdce.jpeg']",used,,,10.0,10.0,2022-10-03,FR,1.0,80.0,,,,,"{'score': 0.0005454211495816708, 'start': 52, 'end': 72, 'answer': ' Main courante seule'}",,,,,,,,,,,,,,,,,,,,Deux éléments de 5.2m,,,,Pisé,Arrises,Pr_35_90_43_04,Technical elements,"Covering, Finish",Sanitary fittings and accessories
200,200,318,318,2ef90cad-0b1c-4df3-8cb9-a6f9e9453979,Spot encastré,Spot encastré,correct,lighting_general_equipment,D.50.20.02.13,RENNES,2022-07-15,17.0,17.0,0.0,['34e0cb03-a890-47fd-bff8-53512ea21ffc.jpeg'],used,,,28.0,28.0,2022-09-26,FR,1.0,73.0,,,,,"{'score': 0.013467972166836262, 'start': 0, 'end': 13, 'answer': 'Spot encastré'}",,,,,,,,,,,,,,,,,,,,Spot encastré,Spot encastré,,,Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
