,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
538,538,843,843,7a78e9f4-fe37-4f2f-9fff-a7cb15cec742,Réglette d'éclairage,"Réglette étanche, coque plastique transparente.",correct,lighting_general_equipment,D.50.20.02.12,LYON--3E--ARRONDISSEMENT,2022-07-01,15.0,15.0,0.0,"['6ac9da77-a4d5-4b44-8ea3-7f28dcf1a7bf.jpg', '1a130a7f-8c86-408c-8d27-b6fa41720af7.jpg', 'c151e2ed-f50d-45e3-8846-d4b1c86be7ba.jpg']",used,,,24.0,24.0,2022-09-26,FR,1.0,87.0,,,,,"{'score': 1.4672342558696982e-06, 'start': 0, 'end': 47, 'answer': 'Réglette étanche, coque plastique transparente.'}",,,,,,,,,,,,,,,,,,,,,,,,Blinding aggregates,Lamps,Pr_70_70_46,Technical elements,Furnishings,Power and lighting outlet products
869,869,1357,1357,c3659af0-a956-4243-b449-b4f62cca7323,Équipement d'éclairage,"Hublot B22 ou B27, sans ampoule, rond, blanc.
A venir chercher sur Sames (64) à la limite des landes (40).
Vends 15 lampes type hublot pour eclairage exterieur.
Douille B22 ou B27
Fermeture par 1/4 tour
Très bon état.",verygood,lighting_general_equipment,D.50.20.02.9,SAMES,2022-04-25,3.0,3.0,0.0,"['e7b0fffc-fbe1-4393-8813-e66d04a46052.png', '63378d69-1dd2-413d-92c7-b99753f4be7c.png', '3c1db6c8-a854-46e8-9bba-775e2215d984.png']",used,,,15.0,15.0,2023-09-24,FR,0.0,517.0,,,"
Très bon",,"{'score': 8.042289891818655e-07, 'start': 162, 'end': 206, 'answer': '\r\nDouille B22 ou B27\r\nFermeture par 1/4 tour'}",,,,,,,,,,,,,,,,,,,,Hublot,,,,Reflective glass,Lamps,Pr_70_70_46,Technical elements,Furnishings,Power and lighting outlet products
1140,1140,1782,1782,bfcfef42-1b58-4d7e-a79d-5f648a0d502d,Lampe Industrielle,"Une lampe industrielle à haute puissance 400W, en bonne état 
Marque : THORN
Matière : Aluminium
Couleur : Gris",correct,other_special_interior_furnishings,E.20.10.90.1,SAINT-ETIENNE,2022-06-16,100.0,100.0,0.0,"['1d885555-0756-4c19-bf61-d8bb9aefb6af.jpg', '39009077-5d3b-4113-84cd-7a6c7cca3ad7.jpg', '36256a93-ad0f-4caf-9e2e-64592309841e.jpg', '896c622b-455c-4d13-88d0-fc1f616ba747.jpg']",used,,,1.0,1.0,2023-09-24,FR,0.0,465.0,,, bonne,,"{'score': 0.011221006512641907, 'start': 40, 'end': 60, 'answer': ' 400W, en bonne état'}",,,,,,,,,,,,,,,,,,,,, Aluminium,," 400W,",Wired glass,Lamps,Pr_70_70_46,Technical elements,Furnishings,Power and lighting outlet products
1147,1147,1791,1791,01c5af0b-27e6-492d-9fe4-282b1fdf4aa4,Équipement d'éclairage,Lampadaire de stade composé de 12 projecteurs,correct,lighting_general_equipment,D.50.20.02.5,PARIS-20E-ARRONDISSEMENT,2022-09-06,1080.0,1080.0,0.0,"['8bd46aa9-47ed-4143-9a76-5ed652ba74a2.jpeg', 'e16da618-1f79-4ea0-b99e-a81a4c30da64.jpeg', '7b2f5ec8-8f1e-494b-ada0-b6aaccf9f00b.png']",used,,,10.0,10.0,2022-09-12,FR,1.0,6.0,,,,,"{'score': 0.001488059526309371, 'start': 0, 'end': 19, 'answer': 'Lampadaire de stade'}",,,,,,,,,,,,,,,,,,,,Lampadaire de stade,,, 12,Reflective glass,Lamps,Pr_70_70_46,Technical elements,Furnishings,Power and lighting outlet products
1155,1155,1799,1799,0e42a0ef-e898-415e-9b68-4cef73da7810,Équipement d'éclairage,Lampadaire de stade composé de 12 projecteurs,correct,lighting_general_equipment,D.50.20.02.5,PARIS-20E-ARRONDISSEMENT,2022-09-06,1500.0,1500.0,0.0,"['fc685f79-c5c0-45a0-b496-dcef59216ebd.jpeg', '0f0144ff-07ec-49ca-876b-164d65dae8b0.jpeg', '9bf023a4-9075-44d5-bc0e-4af88665e3af.jpeg', '9d1778dc-ee1f-4c20-ac43-ecdaf526c3db.png']",used,,,4.0,4.0,2022-09-12,FR,1.0,6.0,,,,,"{'score': 0.001488059526309371, 'start': 0, 'end': 19, 'answer': 'Lampadaire de stade'}",,,,,,,,,,,,,,,,,,,,Lampadaire de stade,,, 12,Reflective glass,Lamps,Pr_70_70_46,Technical elements,Furnishings,Power and lighting outlet products
2212,2212,2983,2983,6ef35b0f-f4fa-4386-9f18-b05975717c6f,Équipement d'éclairage,"Diamètre extérieur 31 cm
Hauteur 34 cm",correct,lighting_general_equipment,D.50.20.02.7,LOIRE-SUR-RHONE,2022-11-07,75.0,30.0,-45.0,['21766d2c-da82-46f6-89aa-e9b7898d9a3b.png'],used,146.61,2.0,30.0,13.0,2023-09-24,FR,0.0,321.0,,,,,"{'score': 2.6430271304889175e-07, 'start': 0, 'end': 21, 'answer': 'Diamètre extérieur 31'}",,,,,,,,,,,,,,,,,,,,,,,,Reflective glass,Lamps,Pr_70_70_46,Technical elements,Furnishings,Power and lighting outlet products
2274,2274,3047,3047,7dd1fb4d-588b-41f3-a67b-00ba4679c6ee,Équipement d'éclairage,"Diamètre extérieur 33 cm
Hauteur 30 cm",correct,lighting_general_equipment,D.50.20.02.7,LOIRE-SUR-RHONE,2022-11-07,75.0,30.0,-45.0,['9ca8027b-77cf-4914-95ef-e04e1a0dc681.png'],used,146.61,2.0,6.0,50.0,2023-09-24,FR,0.0,321.0,,,,,"{'score': 4.2637557839952933e-07, 'start': 0, 'end': 21, 'answer': 'Diamètre extérieur 33'}",,,,,,,,,,,,,,,,,,,,,,,,Reflective glass,Lamps,Pr_70_70_46,Technical elements,Furnishings,Power and lighting outlet products
2769,2769,3577,3577,96a6ddb8-b707-48c9-b0cc-9b40bd109a5d,Lampe de bureau,Lampe de bureau,correct,lighting_general_equipment,D.50.20.02.4,CHOLET,2022-11-24,17.5,17.5,0.0,['1d757fc8-dcc8-4a17-af35-e2c1eaa9157b.jpeg'],used,0.0,0.75,2.0,2.0,2023-03-03,FR,1.0,99.0,,,,,"{'score': 0.244515523314476, 'start': 0, 'end': 15, 'answer': 'Lampe de bureau'}",,,,,,,,,,,,,,,,,,,,Lampe de bureau,,,,Sitka spruce,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
2831,2831,3641,3641,c41a7f57-a20d-42b9-81d6-3e3f182f5c96,Lampe de bureau,Lampe de bureau,correct,lighting_general_equipment,D.50.20.02.4,CHOLET,2022-11-24,17.5,17.5,0.0,"['b724b098-1897-4b5f-b693-e3878a0b2a56.jpeg', 'a8e8e2ba-8334-46e8-b91b-0952b57e6889.jpeg', 'd57c7c47-ee07-4ddf-8e94-791313403a07.jpeg']",used,0.0,0.75,1.0,1.0,2023-03-26,FR,1.0,122.0,,,,,"{'score': 0.244515523314476, 'start': 0, 'end': 15, 'answer': 'Lampe de bureau'}",,,,,,,,,,,,,,,,,,,,Lampe de bureau,,,,Sitka spruce,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
3607,3607,4545,4545,9f8ca75d-2645-441c-9cc3-5d0daad21c90,Lampe de bureau,Lampe de bureau sur pied,damaged,lighting_general_equipment,D.50.20.02.4,CHEVILLY-LARUE,2022-12-16,20.0,20.0,0.0,"['af72aa1e-3fe6-45c2-86ce-e5b7f3d2a703.jpeg', '44daa26d-03d9-4d1b-ac7e-0e560336dae0.jpeg']",used,0.0,0.75,1.0,1.0,2023-03-26,FR,1.0,100.0,,,,,"{'score': 0.041020140051841736, 'start': 0, 'end': 24, 'answer': 'Lampe de bureau sur pied'}",,,,,,,,,,,,,,,,,,,,Lampe de bureau sur pied,,,,Sitka spruce,Lamps,Pr_70_70_46,Furnishings,Furnishings,Power and lighting outlet products
