,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
246,246,390,390,3910fc38-8492-405f-98c6-ed57cd3cc454,Chaise,Lot de chaises écolieres differents type,correct,seated,E.20.20.06.4h,VILLENEUVE-SAINT-GEORGES,2022-04-06,7.0,7.0,0.0,"['6366b45f-6dc0-44de-b311-3b769a009584.jpg', '79397296-b2fb-4b89-88cd-ba92ca9addd4.jpg', 'b9a9da4e-03c4-4a32-b893-bce447fae885.jpg']",used,,,12.0,12.0,2023-05-04,FR,1.0,393.0,,,,,"{'score': 0.07590556889772415, 'start': 0, 'end': 40, 'answer': 'Lot de chaises écolieres differents type'}",,,,,,,,,,,,,,,,,,,,,,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
474,474,742,742,6a415802-8fb0-4b68-84fb-8923d54c8f57,Chaise,"Tabouret haut, en plastique et bois, de longueur de 43 cm, largeur de 43 cm et hauteur de 85 cm.",correct,seated,E.20.20.06.4e,PARIS-13E-ARRONDISSEMENT,2022-08-11,10.0,10.0,0.0,['cb1df9fa-79ae-4195-ad34-fe76962e3399.jpeg'],used,,,3.0,3.0,2023-05-04,FR,1.0,266.0,,,,,"{'score': 6.186848622746766e-05, 'start': 0, 'end': 14, 'answer': 'Tabouret haut,'}",,,,,,,,,,,,,,,,,,,,"Tabouret haut,"," plastique et bois,",,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
729,729,1141,1141,a3d99f67-7d53-45be-992f-26e516239650,Chaise,"Chaise basse de jardin en bois, de longueur de 70 cm, largeur de 67 cm et hauteur de 85 cm.",correct,seated,E.20.20.06.4c,PARIS-13E-ARRONDISSEMENT,2022-08-11,20.0,20.0,0.0,['ef630755-2c3a-4648-8090-c927413c8569.jpg'],used,,,10.0,10.0,2023-05-04,FR,1.0,266.0,,,,,"{'score': 0.0005224564811214805, 'start': 0, 'end': 31, 'answer': 'Chaise basse de jardin en bois,'}",,,,,,,,,,,,,,,,,,,,"Chaise basse de jardin en bois,"," bois,",,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
2600,2600,3402,3402,0df1621a-8d5e-4c87-b294-a6ab3a701d1a,Chaise,Chaise en Autre,correct,seated,E.20.20.06.4g,CHOLET,2022-11-24,10.0,10.0,0.0,['53a2710e-c782-46f1-bbdd-1b0b9124ac5e.jpeg'],used,0.0,4.96,5.0,5.0,2023-03-26,FR,1.0,122.0,,,,,"{'score': 0.12708134949207306, 'start': 0, 'end': 15, 'answer': 'Chaise en Autre'}",,,,,,,,,,,,,,,,,,,,Chaise en Autre,Chaise en Autre,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
2605,2605,3407,3407,0fa9aa4e-d7d0-409a-8d82-3515e09e6613,Chaise,Chaise en Plastique,correct,seated,E.20.20.06.4e,CHOLET,2022-11-24,20.0,20.0,0.0,['1745c1b3-59c8-4846-b9d6-a78e8849e4f1.jpeg'],used,19.35,3.0,1.0,1.0,2023-03-26,FR,1.0,122.0,,,,,"{'score': 0.33524221181869507, 'start': 0, 'end': 19, 'answer': 'Chaise en Plastique'}",,,,,,,,,,,,,,,,,,,,Chaise en Plastique, Plastique,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
2606,2606,3408,3408,0fcf5696-3cf0-4094-9b22-fe9818f36085,Chaise,Chaise en Autre,correct,seated,E.20.20.06.4g,CHOLET,2022-11-24,15.0,15.0,0.0,['35f3fc2c-809c-4a2f-b69e-603177a9bb53.jpeg'],used,0.0,4.96,6.0,6.0,2023-03-26,FR,1.0,122.0,,,,,"{'score': 0.12708134949207306, 'start': 0, 'end': 15, 'answer': 'Chaise en Autre'}",,,,,,,,,,,,,,,,,,,,Chaise en Autre,Chaise en Autre,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
2610,2610,3412,3412,134ba1f4-e65f-4976-b49c-f0f5ad4b8252,Chaise,Chaise en Bois,correct,seated,E.20.20.06.4c,CHOLET,2022-11-24,22.5,22.5,0.0,['335dc73e-1be1-4190-8edc-2b1889bb3a5c.jpeg'],used,12.21,7.5,2.0,2.0,2023-01-19,FR,1.0,56.0,,,,,"{'score': 0.4052417576313019, 'start': 0, 'end': 14, 'answer': 'Chaise en Bois'}",,,,,,,,,,,,,,,,,,,,Chaise en Bois,Chaise en Bois,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
2616,2616,3418,3418,17e186eb-20c5-4b1c-8684-dc5550af070e,Chaise,Chaise en Autre,correct,seated,E.20.20.06.4g,CHOLET,2022-11-24,22.5,22.5,0.0,['2dbd56a8-a8c5-460f-93dc-b40201462fd4.jpeg'],used,0.0,4.96,1.0,1.0,2023-03-26,FR,1.0,122.0,,,,,"{'score': 0.12708134949207306, 'start': 0, 'end': 15, 'answer': 'Chaise en Autre'}",,,,,,,,,,,,,,,,,,,,Chaise en Autre,Chaise en Autre,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
2628,2628,3431,3431,2214c6ff-1cf8-4fc0-8e09-988dd181b1e4,Chaise,Chaise en Autre,correct,seated,E.20.20.06.4g,CHOLET,2022-11-24,10.0,10.0,0.0,['3063b25a-4410-486c-8840-c059f4844f86.jpeg'],used,0.0,4.96,3.0,3.0,2023-03-26,FR,1.0,122.0,,,,,"{'score': 0.12708134949207306, 'start': 0, 'end': 15, 'answer': 'Chaise en Autre'}",,,,,,,,,,,,,,,,,,,,Chaise en Autre,Chaise en Autre,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
2631,2631,3434,3434,2341cbde-d67e-4163-b897-7abe3372dfcd,Chaise,Assise H = 45 cm. Chaise en Bois,correct,seated,E.20.20.06.4c,CHOLET,2022-11-24,22.5,22.5,0.0,"['b0316879-6b3e-472e-8328-8c5ce9facfcc.jpeg', '925ba2bb-3ef9-4b50-bd55-a73e723364a6.jpeg', '70a66da3-87f2-458a-b654-b8f5d3bead16.jpeg', '599b8cb6-8540-49d7-a82a-03cd58934f19.jpeg']",used,12.21,7.5,4.0,4.0,2023-03-26,FR,1.0,122.0,,,,,"{'score': 0.0016683638095855713, 'start': 17, 'end': 32, 'answer': ' Chaise en Bois'}",,,,,,,,,,,,,,,,,,,, Chaise en Bois,,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
2640,2640,3443,3443,2e5e27bd-f562-45d3-b334-e1e894e886f8,Chaise,Chaise en Bois,correct,seated,E.20.20.06.4c,CHOLET,2022-11-24,50.0,50.0,0.0,['5c3b41ef-0921-48d2-8341-9c2138e14e90.jpeg'],used,12.21,7.5,1.0,1.0,2023-03-26,FR,1.0,122.0,,,,,"{'score': 0.4052417576313019, 'start': 0, 'end': 14, 'answer': 'Chaise en Bois'}",,,,,,,,,,,,,,,,,,,,Chaise en Bois,Chaise en Bois,,,Sitka spruce,Reclining chairs,Pr_40_50_12_72,Furnishings,Furnishings,Furnishings
