,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
1198,1198,1845,1845,5785b467-eebb-4045-8895-f3a24462ad5c,Garde-corps,Garde-corps en bois,correct,fencing_gates,G.20.40.01.6,PARIS-20E-ARRONDISSEMENT,2022-09-07,17.0,17.0,0.0,"['800da5fe-fbcb-42b0-8b81-a703024ddf79.jpeg', 'fe94f67f-fdfe-47a2-b826-fd991b57795d.jpeg']",used,,,39.0,39.0,2022-09-12,FR,1.0,5.0,,,,,"{'score': 0.13745054602622986, 'start': 0, 'end': 19, 'answer': 'Garde-corps en bois'}",,,,,,,,,,,,,,,,,,,,Garde-corps en bois, bois,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
1272,1272,1926,1926,dc5faeff-1ad6-428e-a571-bca19d05a8dc,Garde-corps,Garde-corps métallique pour toiture terrasse.,correct,balcony_railing_terrace_roof,B.20.10.09.b,PARIS-20E-ARRONDISSEMENT,2022-09-07,24.0,24.0,0.0,['f05ada7e-a2fb-4b5b-acb4-90a39b789890.jpg'],used,,,148.0,148.0,2022-09-12,FR,1.0,5.0,,,,,"{'score': 0.002415047725662589, 'start': 0, 'end': 45, 'answer': 'Garde-corps métallique pour toiture terrasse.'}",,,,,,,,,,,,,,,,,,,,, métallique,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
1452,1452,2131,2131,4725fe32-9c56-4b01-9b76-bf4875dcbf62,Garde-corps,Garde corp en verre armé.,correct,railing,B.20.20.06.a,PUTEAUX,2022-09-22,30.0,30.0,0.0,['adf4513b-97c5-4d30-b41e-a77f85cf6dcc.jpeg'],used,90.75,15.0,3.0,3.0,2022-10-03,FR,1.0,11.0,,,,,"{'score': 3.361115886946209e-05, 'start': 0, 'end': 25, 'answer': 'Garde corp en verre armé.'}",,,,,,,,,,,,,,,,,,,,Garde corp en verre armé.,,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
1509,1509,2192,2192,5e0b5951-714a-4204-8bc3-05976d47629b,Garde-corps,Garde corps métallique avec montants coulissants sur traverses horizontales.,verygood,guardrail_barrier,G.20.30.04.3,LYON--6E--ARRONDISSEMENT,2022-09-22,10.0,10.0,0.0,"['a33e8480-9418-44a5-81ef-94a01f96e3b2.jpeg', 'd9535027-5323-441f-9462-62bd7172c21f.jpeg', 'f6242a43-0e75-4257-8273-a30194fbc23f.jpeg', 'e96a0e66-6b15-4f02-8e3f-2371062e66f6.jpeg']",used,0.0,43.75,10.0,10.0,2023-05-04,FR,1.0,224.0,,,,,"{'score': 7.007471867837012e-05, 'start': 0, 'end': 11, 'answer': 'Garde corps'}",,,,,,,,,,,,,,,,,,,,Garde corps métallique, métallique,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
2057,2057,2816,2816,3a4fa7c6-0211-4d7c-9f27-5a38fe6582f8,Garde-corps,Garde-corps en acier,correct,railing,B.20.20.06.a,EPERNAY,2022-11-04,0.0,0.0,0.0,['fd3ad2c8-4738-4202-aad7-a583fa827694.jpeg'],used,90.75,15.0,28.0,28.0,2023-01-07,FR,1.0,64.0,,,,,"{'score': 0.008324715308845043, 'start': 0, 'end': 20, 'answer': 'Garde-corps en acier'}",,,,,,,,,,,,,,,,,,,,Garde-corps en acier, acier,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
2145,2145,2908,2908,578ae633-755a-4cf9-b362-3b5ae68a6576,Garde-corps,Noir. Garde-corps,correct,guardrail_barrier,G.20.30.04.3,AUBAGNE,2022-10-27,40.0,40.0,0.0,"['f8fbaa26-0cd0-47d2-80e2-280a48253bde.jpeg', '536d7ba8-4144-4cbf-a13a-258cae97a384.jpeg']",used,0.0,33.95,6.0,6.0,2023-02-21,FR,1.0,117.0,,,,,"{'score': 0.0007824065978638828, 'start': 0, 'end': 17, 'answer': 'Noir. Garde-corps'}",,,,,,,,,,,,,,,,,,,,,Noir.,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
2153,2153,2916,2916,59abd791-0319-40da-9a99-618f700ad408,Garde-corps,Garde-corps,correct,guardrail_barrier,G.20.30.04.3,AUBAGNE,2022-10-27,50.0,50.0,0.0,['f58b1915-8578-4607-9606-181b3b37d6c0.jpeg'],used,0.0,31.5,4.0,4.0,2023-02-21,FR,1.0,117.0,,,,,"{'score': 0.07963543385267258, 'start': 0, 'end': 11, 'answer': 'Garde-corps'}",,,,,,,,,,,,,,,,,,,,Garde-corps,,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
2163,2163,2928,2928,5e3a529e-b3a6-4836-b76a-d737d49517ce,Garde-corps,Garde-corps,correct,guardrail_barrier,G.20.30.04.3,AUBAGNE,2022-10-27,40.0,40.0,0.0,"['45297f0c-7b0e-484e-9565-8f80827a7e74.jpeg', '297cf095-db87-4d5c-aad3-d54e37230a8c.jpeg']",used,0.0,49.0,33.0,33.0,2023-02-21,FR,1.0,117.0,,,,,"{'score': 0.07963543385267258, 'start': 0, 'end': 11, 'answer': 'Garde-corps'}",,,,,,,,,,,,,,,,,,,,Garde-corps,,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
2249,2249,3021,3021,79bdf191-184c-45ca-9859-f1bf36f65d7e,Garde-corps,Garde corps d'escalier en acier.,damaged,railing,B.20.20.06.a,GENNEVILLIERS,2022-10-27,50.0,50.0,0.0,"['3f28e03a-f848-4f17-8691-9f3b366eb1c2.jpeg', 'f02c91a3-c225-483b-8c8e-2f0ef567757c.jpeg']",reconditioned,90.75,15.0,13.0,13.0,2023-09-24,FR,0.0,332.0,,,,,"{'score': 0.00013656637747772038, 'start': 0, 'end': 32, 'answer': ""Garde corps d'escalier en acier.""}",,,,,,,,,,,,,,,,,,,,Garde corps d'escalier en acier., acier.,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
2849,2849,3659,3659,d32b774a-7a1d-4cc2-aa84-7b91f9ca775f,Garde-corps,"Garde corps fenêtre, vendu par unité de 1m23 de large",correct,railing,B.20.20.06.a,LEVALLOIS-PERRET,2022-11-23,40.0,40.0,0.0,"['0165f604-9469-4642-9f91-214aed78b472.jpeg', '4e9965eb-4600-4b7a-af58-e0196940e6eb.jpeg']",used,90.75,15.0,2185.0,2185.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.002095191041007638, 'start': 0, 'end': 44, 'answer': 'Garde corps fenêtre, vendu par unité de 1m23'}",,,,,,,,,,,,,,,,,,,,"Garde corps fenêtre,",,,,Gravel,Column guards,Pr_35_90_43_13,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
