,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
431,431,674,674,5fb9e3ff-abb9-420f-ba05-778b5ed820c1,Pot de fleur,"Pot de fleur en terre cuite, de diamètre de 70 cm et hauteur de 80 cm.",correct,flower_pot_planter,G.20.50.06.2e,PARIS-13E-ARRONDISSEMENT,2022-08-11,25.0,25.0,0.0,['fee2c6e7-1041-4eb6-823c-b8a793fe2940.jpg'],used,,,23.0,23.0,2023-09-24,FR,0.0,409.0,,,,,"{'score': 0.002742503536865115, 'start': 0, 'end': 28, 'answer': 'Pot de fleur en terre cuite,'}",,,,,,,,,,,,,,,,,,,,Pot de fleur," terre cuite,", diamètre de 70 cm et hauteur de 80 cm.,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
2797,2797,3605,3605,ac2328e4-2227-446f-a447-056cadda486d,Pot de fleur,Jardinière en PVC taille avec arbre : 350cm.,correct,flower_pot_planter,G.20.50.06.2d,LEVALLOIS-PERRET,2022-11-23,80.0,80.0,0.0,"['75713f16-0efa-46cd-9129-aed1fed18630.jpeg', 'a03415a8-f6a4-42b8-832f-542bc66378a5.jpeg']",used,0.0,0.88,10.0,10.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.0006299189990386367, 'start': 37, 'end': 44, 'answer': ' 350cm.'}",,,,,,,,,,,,,,,,,,,,Jardinière, PVC, 350cm.,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
3206,3206,4128,4128,deba76a9-0a96-4303-a17f-b33ff33466b0,Pot de fleur,Bac à fleur rectangulaire en acier,verygood,flower_pot_planter,G.20.50.06.2a,PARIS-9E-ARRONDISSEMENT,2022-12-14,157.5,157.5,0.0,['09c700b5-a5b6-4524-8c7d-79bc860b2374.jpeg'],used,0.0,1.5,1.0,1.0,2023-04-11,FR,1.0,118.0,,,,,"{'score': 5.673849955201149e-05, 'start': 0, 'end': 34, 'answer': 'Bac à fleur rectangulaire en acier'}",,,,,,,,,,,,,,,,,,,,Bac à fleur rectangulaire en acier, acier,,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
3210,3210,4132,4132,e8499a53-0d6e-436c-89c5-a07e2b3d0646,Pot de fleur,Bac à fleur triangulaire en acier,verygood,flower_pot_planter,G.20.50.06.2a,PARIS-9E-ARRONDISSEMENT,2022-12-14,157.5,157.5,0.0,['0cf27075-ec18-48d1-8dda-2ad1cb6ced1d.jpeg'],used,0.0,1.5,1.0,1.0,2023-01-19,FR,1.0,36.0,,,,,"{'score': 0.00012117626465624198, 'start': 0, 'end': 33, 'answer': 'Bac à fleur triangulaire en acier'}",,,,,,,,,,,,,,,,,,,,Bac à fleur triangulaire en acier, acier,,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
3439,3439,4373,4373,5f774eca-27ad-4d0e-b893-431705569d01,Pot de fleur,Jardinière en PVC taille avec arbre : 350cm.,correct,flower_pot_planter,G.20.50.06.2d,LEVALLOIS-PERRET,2022-12-20,80.0,80.0,0.0,"['1a8b3ac0-ad01-4a8e-b6a3-32362d2ee780.jpeg', '2dce028d-2a9c-4e4f-a47f-7f92f7f0ef3a.jpeg', '7d64f0dd-c011-4cea-82ff-526929d6fba1.jpeg']",used,0.0,0.88,8.0,8.0,2023-03-26,FR,1.0,96.0,,,,,"{'score': 0.0006299189990386367, 'start': 37, 'end': 44, 'answer': ' 350cm.'}",,,,,,,,,,,,,,,,,,,,Jardinière, PVC, 350cm.,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
3894,3894,4867,4867,03aeeb67-839a-4e89-9d57-ecb9dc244385,Pot de fleur,Pot de fleur en plastique.,correct,flower_pot_planter,G.20.50.06.2c,PARIS-1ER-ARRONDISSEMENT,2023-03-09,50.0,50.0,0.0,"['ca6589f1-70f9-45a6-87c7-1de8ede41744.jpeg', '6566f4ec-04d1-4495-ab4f-e18dc1733708.jpeg', 'fe245b22-2684-45ae-91eb-414d3b662bbd.jpeg']",used,0.0,0.8,20.0,20.0,2023-09-24,FR,0.0,199.0,,,,,"{'score': 0.0035303824115544558, 'start': 0, 'end': 26, 'answer': 'Pot de fleur en plastique.'}",,,,,,,,,,,,,,,,,,,,, plastique.,,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
4198,4198,5206,5206,528b6bc7-374d-4da9-8ea3-41c4aa461a0a,Pot de fleur,Plante de hauteur 160 cm dans pot rond en céramique noire de dimensions : 35x35x50cm,verygood,flower_pot_planter,G.20.50.06.2d,PARIS-9E-ARRONDISSEMENT,2023-02-14,32.0,32.0,0.0,['4892b8dc-a461-4510-857e-0d263ce8b946.jpeg'],used,0.0,0.88,3.0,3.0,2023-04-11,FR,1.0,56.0,,,,,"{'score': 6.607838258787524e-06, 'start': 29, 'end': 57, 'answer': ' pot rond en céramique noire'}",,,,,,,,,,,,,,,,,,,,Plante, céramique noire, 35x35x50cm,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
4255,4255,5269,5269,64de4299-6493-4462-84c2-72e854fabebc,Pot de fleur,Plante de hauteur 180 cm dans pot rond en céramique noire de dimensions : 35x35x50cm,verygood,flower_pot_planter,G.20.50.06.2d,PARIS-9E-ARRONDISSEMENT,2023-02-14,32.0,32.0,0.0,['35ad286b-a94a-4ec2-8a48-677b285f5b11.jpeg'],used,0.0,0.88,3.0,3.0,2023-04-11,FR,1.0,56.0,,,,,"{'score': 5.962686373095494e-06, 'start': 29, 'end': 57, 'answer': ' pot rond en céramique noire'}",,,,,,,,,,,,,,,,,,,,Plante, céramique noire, 35x35x50cm,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
4490,4490,5529,5529,a9716600-7078-4bca-b6df-da0fee632083,Pot de fleur,"Diamètre pot céramique 80, hauteur 50cm",verygood,flower_pot_planter,G.20.50.06.2d,PARIS-9E-ARRONDISSEMENT,2023-02-14,50.0,50.0,0.0,['0325c776-3137-4600-a15a-699f1c3b4988.jpeg'],used,0.0,0.88,1.0,1.0,2023-04-11,FR,1.0,56.0,,,,,"{'score': 0.0001862745120888576, 'start': 0, 'end': 26, 'answer': 'Diamètre pot céramique 80,'}",,,,,,,,,,,,,,,,,,,,, céramique,,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
4557,4557,5605,5605,c224d49f-79b1-4177-9be9-ed01280aa10c,Pot de fleur,Palmier (type Areca) 160x180cm en pot céramique noir. Dimensions 35x35x33cm.,verygood,flower_pot_planter,G.20.50.06.2d,PARIS-9E-ARRONDISSEMENT,2023-02-14,20.0,20.0,0.0,['e09abf26-c9fa-49be-aaec-6fdb8a07b6ab.jpeg'],used,0.0,0.88,1.0,1.0,2023-04-11,FR,1.0,56.0,,,,,"{'score': 5.662678290718759e-07, 'start': 0, 'end': 7, 'answer': 'Palmier'}",,,,,,,,,,,,,,,,,,,,Palmier,, 35x35x33cm.,,White poplar,Flower pouches,Pr_45_63_63_29,Other,Other,Other
