,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
1752,1752,2468,2468,cf55b2b3-fdc2-44e9-896d-f958abc678ec,Mobilier de cuisine,"Ensemble de meuble de cuisine avec évier et caisson haut .
Hauteur meuble haut 80 prof 37 .",verygood,storage_unit,E.20.20.05.1a,PUTEAUX,2022-09-22,850.0,850.0,0.0,['27783876-55de-499a-917e-14d3ca2f451b.jpeg'],used,0.0,26.0,1.0,1.0,2022-10-03,FR,1.0,11.0,,,,,"{'score': 0.010933042503893375, 'start': 0, 'end': 56, 'answer': 'Ensemble de meuble de cuisine avec évier et caisson haut'}",,,,,,,,,,,,,,,,,,,,,,,,Sitka spruce,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
1839,1839,2566,2566,f4f1db1f-f382-4d28-bc43-572958a38ebb,Mobilier de cuisine,"Ensemble de meuble de cuisine avec armoire haute et evier,
Hauteur meuble haut 80 prof 37 . Caisson en Bois",correct,storage_unit,E.20.20.05.1a,PUTEAUX,2022-09-22,400.0,400.0,0.0,['313f224b-86a7-4242-9138-6f358067766b.jpeg'],used,0.0,26.0,1.0,1.0,2022-10-03,FR,1.0,11.0,,,,,"{'score': 0.0008085917797870934, 'start': 0, 'end': 58, 'answer': 'Ensemble de meuble de cuisine avec armoire haute et evier,'}",,,,,,,,,,,,,,,,,,,,, Bois,,,Sitka spruce,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
1924,1924,2659,2659,13106463-d819-487f-8bfc-fba3c976151c,Meuble de cuisine Kitchenette,"Kitchenette composé d'un meuble haut et bas coloris blanc et d'un plan de travail coloris gris munis d'un évier double.
La robinetterie n'est pas présente.",verygood,other_furniture,E.20.20.90.4,PARIS-12E-ARRONDISSEMENT,2022-10-14,90.0,90.0,0.0,['f4aeccf1-3b1d-4f47-b121-859c8e4be7b7.PNG'],used,0.0,25.5,1.0,1.0,2022-11-07,FR,1.0,24.0,,,,,"{'score': 8.168476779246703e-05, 'start': 0, 'end': 11, 'answer': 'Kitchenette'}",,,,,,,,,,,,,,,,,,,,,,,,Porcelain,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
2455,2455,3248,3248,b8b83fe1-9d21-4254-af64-34042e602d0a,Meuble de cuisine sur mesure,"Divers meubles de cuisine sur mesure de coloris gris, blanc et jaune.
Récupération par le repreneur préconisée pour ce gisement.
Attention : Le prix mentionné n'est pas fixe",verygood,other_furniture,E.20.20.90.4,PARIS-12E-ARRONDISSEMENT,2022-10-14,90.0,90.0,0.0,['a2abeac1-dab1-4d76-8b34-4a5be37afe29.PNG'],used,0.0,25.5,4.0,3.0,2023-01-19,FR,1.0,97.0,,,,,"{'score': 0.2644532024860382, 'start': 160, 'end': 175, 'answer': "" n'est pas fixe""}",,,,,,,,,,,,,,,,,,,,,,,,Sitka spruce,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
3899,3899,4872,4872,04fdf4a5-0532-46e0-a733-665b9d30a157,Meuble de cuisine,Meuble de cuisine avec évier intégré,correct,storage_unit,E.20.20.05.2,GENNEVILLIERS,2023-02-22,50.0,50.0,0.0,"['1107a33f-154e-4484-8680-be98566b16e4.jpeg', '93a635d2-fc5d-48ba-86ef-15937d1c6aec.jpeg']",used,0.0,19.0,1.0,1.0,2023-09-24,FR,0.0,214.0,,,,,"{'score': 0.0040488047525286674, 'start': 0, 'end': 36, 'answer': 'Meuble de cuisine avec évier intégré'}",,,,,,,,,,,,,,,,,,,,,,,,Porcelain,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
4662,4662,5719,5719,e0019a3d-3b35-4b53-8146-3c0a71309665,Meuble de cuisine,"Console cuisine avec plan de travail, évier et robinetterie",correct,storage_unit,E.20.20.05.2,GENNEVILLIERS,2023-02-22,50.0,50.0,0.0,"['3c4732a5-1a44-42eb-91a6-9abc0ea325f61678362507220-c74ee11f-4189-4b5d-9fd6-fcd32183f035.jpeg', 'f9e513aa-46b6-49d2-8143-21e5c7b2bd361678362510358-5ca4f297-d23f-43ca-9acf-45a45fc26639.jpeg']",used,0.0,19.0,1.0,1.0,2023-09-24,FR,0.0,214.0,,,,,"{'score': 0.002212593797594309, 'start': 0, 'end': 15, 'answer': 'Console cuisine'}",,,,,,,,,,,,,,,,,,,,Console cuisine,,,,Porcelain,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
4694,4694,5753,5753,e8114d59-1d1e-4575-ad56-dbd160481242,Meuble de cuisine,Meuble de cuisine avec évier intégré,correct,storage_unit,E.20.20.05.2,GENNEVILLIERS,2023-02-22,60.0,60.0,0.0,"['01dd1669-b377-45e2-9186-2ffd826cd86e.jpeg', '50a8954e-831a-4c7b-a425-2dae081c9490.jpeg']",used,0.0,19.0,5.0,5.0,2023-09-24,FR,0.0,214.0,,,,,"{'score': 0.0040488047525286674, 'start': 0, 'end': 36, 'answer': 'Meuble de cuisine avec évier intégré'}",,,,,,,,,,,,,,,,,,,,,,,,Porcelain,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
4714,4714,5775,5775,edba62ba-33ee-4477-851e-1829c69af8d6,Meuble cuisine,Console cuisine ,correct,storage_unit,E.20.20.05.2,GENNEVILLIERS,2023-02-22,50.0,50.0,0.0,"['f534cf92-548d-4a70-9487-a02c1cb14ec6.jpeg', 'd49b2626-47c7-4e14-8629-de3f001e6895.jpeg', '7957b0dd-f9ef-4996-8164-eb30ed81178a.jpeg']",used,0.0,19.0,1.0,1.0,2023-09-24,FR,0.0,214.0,,,,,"{'score': 0.005158799234777689, 'start': 0, 'end': 15, 'answer': 'Console cuisine'}",,,,,,,,,,,,,,,,,,,,Console cuisine,,,,Porcelain,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
6078,6078,7250,7250,d877011b-3bf0-46ba-8ae1-61fc579eb9e6,Meuble cuisine,Meuble cuisine en bois avec rangement (100x240x87) et emplacement pour frigo (140x240x87).,verygood,storage_unit,E.20.20.05.4a,PARIS-9E-ARRONDISSEMENT,2023-05-22,60.0,60.0,0.0,"['844f356f-769f-46a4-bf65-18f01f1cba1b.jpg', 'd06d4250-03b9-4077-a380-73d3132792ac.jpg', 'd8555547-98a0-47d3-b819-df97cb8825cc.jpg', 'ed46c4dd-c2b9-4a4d-a73e-fbd1b012cf71.jpg']",used,0.0,6.7,1.0,1.0,2023-09-24,FR,0.0,125.0,,,,,"{'score': 9.522789332550019e-05, 'start': 0, 'end': 50, 'answer': 'Meuble cuisine en bois avec rangement (100x240x87)'}",,,,,,,,,,,,,,,,,,,,, bois, (100x240x87),,Porcelain,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
6092,6092,7265,7265,e43c0782-9c22-4797-b5fc-d9776e5ef7e6,Meuble cuisine,"Meuble de cuisine, porte de placard de largeur de 46cm,  ouverture poubelle de 26x46cm, avec plan de travail au dessus.",correct,storage_unit,E.20.20.05.1a,PARIS-9E-ARRONDISSEMENT,2023-05-22,40.0,40.0,0.0,"['05f06922-4f06-4cbd-a211-d0f0e5fa9ca3.jpg', '4fd28ccd-8a3c-4158-aa52-6e691ac021ae.jpg', '4eea6ed3-1212-4779-8973-62fe1f6973d9.jpg']",used,0.0,26.0,1.0,1.0,2023-09-24,FR,0.0,125.0,,,,,"{'score': 2.391864200035343e-06, 'start': 0, 'end': 18, 'answer': 'Meuble de cuisine,'}",,,,,,,,,,,,,,,,,,,,"Meuble de cuisine,",,,,Porcelain,Kitchenette units,Pr_20_65_50_46,Furnishings,Furnishings,Furnishings
