,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
197,197,315,315,2ecc599c-80f4-49e8-a6cf-704757d3345a,Dalle de plancher technique,Dalle de plancher technique en Bois Aggloméré,damaged,false_floor,C.30.20.01.1c,RENNES,2022-07-18,15.6,15.6,0.0,"['f33340bc-52ce-4c91-9101-d1d20558e6df.jpeg', '0b2030f3-32c8-4a98-9b1f-296e8a95860f.jpeg']",used,,,20.0,20.0,2022-09-26,FR,1.0,70.0,,,,,"{'score': 0.037720855325460434, 'start': 0, 'end': 45, 'answer': 'Dalle de plancher technique en Bois Aggloméré'}",,,,,,,,,,,,,,,,,,,,, Bois Aggloméré,,,Gravel,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
475,475,744,744,6ae4be04-84cc-41a8-9e1a-458c04c2bcc8,Dalle de plancher technique,Dalle de plancher technique en Bois Aggloméré,damaged,false_floor,C.30.20.01.1c,RENNES,2022-07-18,15.6,15.6,0.0,"['09231dd3-b4b2-4c1d-a4f0-47634ed08a8a.jpeg', '5dca7854-e861-401f-9e90-18ffe7956312.jpeg']",used,,,80.0,80.0,2022-09-26,FR,1.0,70.0,,,,,"{'score': 0.037720855325460434, 'start': 0, 'end': 45, 'answer': 'Dalle de plancher technique en Bois Aggloméré'}",,,,,,,,,,,,,,,,,,,,, Bois Aggloméré,,,Gravel,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
567,567,886,886,82b09ab9-a3ce-451d-8368-9e9be52d999f,Dalle de plancher technique,Plancher technique,correct,false_floor,C.30.20.01.1c,LYON--6E--ARRONDISSEMENT,2021-11-26,8.0,8.0,0.0,"['0862980a-728b-4f85-99da-26115e84c689.jpeg', '17c6a90e-4440-49d7-b921-be417ba65ad9.jpeg', '59fdc901-f7aa-4eb9-bfca-835084dce60b.png', '29939475-8806-4b2b-bfc7-08e04f1af7ed.png']",used,,,230.0,230.0,2022-10-03,FR,1.0,311.0,,,,,"{'score': 0.0035320280585438013, 'start': 0, 'end': 18, 'answer': 'Plancher technique'}",,,,,,,,,,,,,,,,,,,,,,,,Gravel,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
1689,1689,2398,2398,b6422eca-b473-4db2-a32d-3be328e308a9,Dalle de plancher technique,Dalle de plancher technique en Bois Aggloméré,correct,false_floor,C.30.20.01.1c,LYON--6E--ARRONDISSEMENT,2022-09-22,12.5,12.5,0.0,"['7cc5ec2a-348e-4cbf-b210-07d4e013dad4.jpeg', '849c00fc-9db0-42de-8f13-315f71cdea0c.jpeg']",used,72.04,29.0,103.0,103.0,2023-05-04,FR,1.0,224.0,,,,,"{'score': 0.037720855325460434, 'start': 0, 'end': 45, 'answer': 'Dalle de plancher technique en Bois Aggloméré'}",,,,,,,,,,,,,,,,,,,,, Bois Aggloméré,,,Gravel,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
2413,2413,3199,3199,ab561e68-ca31-4e97-b14b-bd189add99fd,Equipement de,Equipement de CVC,damaged,general_construction_element,D.30.90.01,EPERNAY,2022-11-04,0.0,0.0,0.0,['43383b5e-0633-4fdf-92c3-978a40342393.jpeg'],used,0.0,30.26,1.0,1.0,2023-03-26,FR,1.0,142.0,,,,,"{'score': 0.018026983365416527, 'start': 0, 'end': 17, 'answer': 'Equipement de CVC'}",,,,,,,,,,,,,,,,,,,,Equipement de CVC,,,,Encaustic,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Hardware products
3075,3075,3992,3992,8e138658-4127-4f2a-803e-b9d1546e5ffa,Dalle de plancher technique,Dalle de plancher technique en Bois Aggloméré,correct,false_floor,C.30.20.01.1c,MARSEILLE--2E--ARRONDISSEMENT,2022-12-12,12.5,12.5,0.0,"['c672d6ee-7a33-4280-be3e-2da9d40eae04.jpeg', '99a11c96-6008-47fd-8bfa-9e50f26518bb.jpeg', '96534f3d-5e4d-4f2c-9775-98b8a423d5d4.jpeg', '6531ab26-7ea4-4f82-9ee8-30b4b772edbb.jpeg']",used,72.04,29.0,17.0,17.0,2023-01-19,FR,1.0,38.0,,,,,"{'score': 0.037720855325460434, 'start': 0, 'end': 45, 'answer': 'Dalle de plancher technique en Bois Aggloméré'}",,,,,,,,,,,,,,,,,,,,, Bois Aggloméré,,,Gravel,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
3121,3121,4043,4043,fe211fc6-113a-419d-86ea-edb0093dcf2e,Dalle de plancher technique,Dalle de plancher technique en Acier,correct,false_floor,C.30.20.01.1a,MARSEILLE--2E--ARRONDISSEMENT,2022-12-12,15.0,15.0,0.0,"['bf08b6fe-49a3-4e10-b6f4-b0e421b7b4bf.jpeg', 'bcaed4ed-53d1-4d7e-8d49-8a70684e1ff4.jpeg', '6bddde29-55ae-4907-80dd-d747bbe2e194.jpeg']",used,0.0,36.7,83.0,83.0,2023-01-19,FR,1.0,38.0,,,,,"{'score': 0.11704345047473907, 'start': 0, 'end': 36, 'answer': 'Dalle de plancher technique en Acier'}",,,,,,,,,,,,,,,,,,,,, Acier,,,Gravel,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
4040,4040,5027,5027,2834a060-9cd2-46d5-9d25-737f5f5638d2,Evier inox équipement,Lot de deux table de plonge en inox avec bac de 40x40x30cm et dosseret 15cm. Table 1 :  200x70cm / Table 2 : 150x70cm,correct,ovens,E.10.90.02.44,PARIS-9E-ARRONDISSEMENT,2023-02-14,132.14,132.14,0.0,"['80fc9689-9458-4265-9705-f4803fcfcb0d.jpeg', '56164f0a-5cae-410f-935f-ffd233cade06.jpeg', '9c0a3003-cf73-4299-a6c0-7789458a088f.jpeg']",used,0.0,24.0,2.0,2.0,2023-04-11,FR,1.0,56.0,,,,,"{'score': 0.00040440214797854424, 'start': 87, 'end': 117, 'answer': ' 200x70cm / Table 2 : 150x70cm'}",,,,,,,,,,,,,,,,,,,,, inox,,,Metal,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
4991,4991,6074,6074,44ab523d-5c10-4cab-bc1f-5b2c20a60caa,Autre équipement,Vitrines réfrigérées marque LINK INOX. Pas de prise de dimensions car espace non éclairé. Visite par repreneurs conseillés pour évaluer le réemploi de ces équipements.,correct,ovens,E.10.90.02.52,NEUILLY-SUR-SEINE,2023-03-14,800.0,800.0,0.0,"['2d5771b1-20f2-472f-b905-b43f72d6c5b4.jpg', '4a71502f-0827-40e6-864c-eda8cb7a5666.jpg', '6db30d0f-36ac-4bcd-8482-1e713b2dd926.jpg', '0c3ef51f-a380-43d7-84ae-d66fae81dce0.jpg']",used,0.0,58.66,2.0,2.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 9.811326890485361e-05, 'start': 27, 'end': 38, 'answer': ' LINK INOX.'}",,,,,,,,,,,,,,,,,,,,Vitrines réfrigérées, LINK INOX.,,,Gravel,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Hardware products
5246,5246,6356,6356,a5f8048f-999f-47db-905a-3b1607e06e05,Autre équipement,"Ilot central de self-service marque HENCO composé de 4 silos simples à assiettes, 2 grands buffets chaud, 2 petits buffets chaud, 1 plaque double de maintien au chaud. Pas de prise de dimensions car espace non éclairé. Visite par repreneurs conseillés pour évaluer le réemploi de ces équipements.",correct,ovens,E.10.90.02.52,NEUILLY-SUR-SEINE,2023-03-14,800.0,800.0,0.0,"['b0a326f1-b7df-424c-bbb6-01c5e3b4736d.jpg', 'fe47ac3d-acf2-4f54-b062-599c346391c8.jpg', '341d30f2-2286-42f0-998d-b2f73a70134c.jpg', 'f315c288-1a88-4868-90d4-b40a3bb37199.jpg', 'da222e3a-618f-4c4b-b29b-fbe2aece3773.jpg']",used,0.0,58.66,1.0,1.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 1.6636940927128308e-06, 'start': 35, 'end': 41, 'answer': ' HENCO'}",,,,,,,,,,,,,,,,,,,,,,,,Gravel,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Hardware products
5476,5476,6599,6599,f50a96b7-17b9-439e-9f2c-ac188276b80a,Autre équipement spécial,Ved . ventilateur extraction. Anénomètre,verygood,other_special_equipment,E.10.90.90.2,PARIS-8E-ARRONDISSEMENT,2023-03-22,1888.0,1888.0,0.0,['1d22815e-2be5-4aee-975c-0306586f01e3.jpeg'],used,0.0,0.45,1.0,1.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 0.00011418982467148453, 'start': 5, 'end': 40, 'answer': ' ventilateur extraction. Anénomètre'}",,,,,,,,,,,,,,,,,,,,,,,,Sitka spruce,Equipment,Pr_40_70,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
