,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
382,382,595,595,52cd6244-5dcc-41e5-9cd9-1d6c0e93df77,Tableau électrique,Tableau électrique de la marque Hager avec un disjoncteur général de la marque Itron,correct,circuits_breackers,D.50.10.05.2,RENNES,2022-07-28,40.0,40.0,0.0,"['aa3d73d6-bdc3-42c6-ae3a-61ba2c0b1d2f.png', 'c958a7b9-5760-4bec-80d2-ace9a3bf98b8.png', '931c6d09-d6fa-4535-82a8-1c14b0fbe395.png']",used,,,228.0,228.0,2022-09-26,FR,1.0,60.0,,,,,"{'score': 0.0020936259534209967, 'start': 0, 'end': 37, 'answer': 'Tableau électrique de la marque Hager'}",,,,,,,,,,,,,,,,,,,,Tableau électrique,,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
628,628,989,989,9179459c-6cec-4412-ad3a-e6f8e40a53c6,Tableau électrique,Tableau electrique en plastique,correct,main_switchboard,D.50.10.04.1,PARIS-8E-ARRONDISSEMENT,2022-08-03,60.0,60.0,0.0,"['966017be-04ed-465e-b65d-c025fbfa1d16.jpeg', '0ec83ed1-bd68-49d9-8a09-221b2c8b2540.jpeg', '945840cc-d09b-422c-9bea-d64c2d6112ec.jpeg']",used,,,1.0,1.0,2022-10-03,FR,1.0,61.0,,,,,"{'score': 0.003694572951644659, 'start': 0, 'end': 31, 'answer': 'Tableau electrique en plastique'}",,,,,,,,,,,,,,,,,,,,Tableau electrique en plastique, plastique,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
726,726,1135,1135,a34c7f64-fe86-4ad2-872b-a33e8634d22f,Tableau électrique,Tableau electrique en plastique,correct,main_switchboard,D.50.10.04.1,PARIS-8E-ARRONDISSEMENT,2022-08-03,150.0,150.0,0.0,"['e378cb40-aeaf-4fe0-8a7f-094e7e25525f.jpeg', 'de1d7243-3c3b-4473-b35d-36cbae3809f5.jpeg']",used,,,1.0,1.0,2022-10-03,FR,1.0,61.0,,,,,"{'score': 0.003694572951644659, 'start': 0, 'end': 31, 'answer': 'Tableau electrique en plastique'}",,,,,,,,,,,,,,,,,,,,Tableau electrique en plastique, plastique,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
730,730,1145,1145,a486004d-21bd-40d3-906a-a2527b7dd101,Tableau électrique,Tableau electrique en plastique,correct,main_switchboard,D.50.10.04.1,PARIS-8E-ARRONDISSEMENT,2022-08-03,100.0,100.0,0.0,['a2dfde68-f0eb-4d08-9d5b-38e8300ec018.jpeg'],used,,,1.0,1.0,2022-10-03,FR,1.0,61.0,,,,,"{'score': 0.003694572951644659, 'start': 0, 'end': 31, 'answer': 'Tableau electrique en plastique'}",,,,,,,,,,,,,,,,,,,,Tableau electrique en plastique, plastique,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
1053,1053,1645,1645,ed465324-ef15-412b-bee1-bcf161650a59,Tableau électrique,Tableau electrique en plastique,correct,main_switchboard,D.50.10.04.1,PARIS-8E-ARRONDISSEMENT,2022-08-03,100.0,100.0,0.0,['7a1f7b62-d795-4835-8d9d-01ff259fcf3b.jpeg'],used,,,1.0,1.0,2022-10-03,FR,1.0,61.0,,,,,"{'score': 0.003694572951644659, 'start': 0, 'end': 31, 'answer': 'Tableau electrique en plastique'}",,,,,,,,,,,,,,,,,,,,Tableau electrique en plastique, plastique,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
1073,1073,1683,1683,f19a97f0-6ec9-4289-ba98-e3f222f70880,Tableau électrique,"Le prix correspond au prix de la photo initiale. D'autres tableaux sont disponibles, pour cela nous consulter directement ou vous pouvez passer sur l'entrepôt pour les voir.",verygood,main_switchboard,D.50.10.04.1,SAINT-OUEN,2021-06-22,80.0,80.0,0.0,"['2363afac-02d7-4fe1-8551-4291cb2cd571.png', '0f5b7d5d-80b3-4500-88b1-2cafb603252b.png', 'da749217-29dc-489a-9257-27752578cf1f.jpeg']",used,,,28.0,28.0,2023-09-24,FR,0.0,824.0,,,,,"{'score': 0.41980957984924316, 'start': 21, 'end': 48, 'answer': ' prix de la photo initiale.'}",,,,,,,,,,,,,,,,,,,,,,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
1374,1374,2043,2043,2708cfe0-19e9-4729-812a-97d687a79d4e,Tableau électrique,Tableau électrique en métal,correct,main_switchboard,D.50.10.04.1,TOULOUSE,2022-09-26,50.0,50.0,0.0,['a4c85184-ac5c-4890-89aa-0e7ed5ed1453.jpg'],used,382.5,16.0,1.0,1.0,2022-10-03,FR,1.0,7.0,,,,,"{'score': 0.026018477976322174, 'start': 0, 'end': 27, 'answer': 'Tableau électrique en métal'}",,,,,,,,,,,,,,,,,,,,Tableau électrique, métal,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
1815,1815,2540,2540,ebc34583-9081-40a6-be37-ac8b7dfc6548,Tableau électrique,Tableau électrique en métal,correct,main_switchboard,D.50.10.04.1,TOULOUSE,2022-09-26,80.0,80.0,0.0,"['46708c56-adbc-4dca-87b3-85180e9104ad.jpg', '935a11c9-0766-409b-8f25-1dbd6a0f0103.jpg', 'd12e8e8f-a81f-4f46-9711-e66b58e59409.jpg']",used,382.5,16.0,1.0,1.0,2022-10-03,FR,1.0,7.0,,,,,"{'score': 0.026018477976322174, 'start': 0, 'end': 27, 'answer': 'Tableau électrique en métal'}",,,,,,,,,,,,,,,,,,,,Tableau électrique, métal,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
3690,3690,4633,4633,be6d7112-fa43-40c7-b7d1-033c65d800c5,Tableau électrique,Tableau électrique de la marque Merlin Gerin,correct,interior_distribution_transformeur,D.50.10.03.1b,SAINT-OUEN,2023-01-13,200.0,200.0,0.0,"['23d94c50-c7fa-4c1b-bb54-4f99a55d7422.jpeg', '3fb4a4dd-e950-42e4-973e-cdeb3854dbf5.jpeg']",used,25.44,15.0,1.0,1.0,2023-03-26,FR,1.0,72.0,,,,,"{'score': 0.03232875093817711, 'start': 0, 'end': 44, 'answer': 'Tableau électrique de la marque Merlin Gerin'}",,,,,,,,,,,,,,,,,,,,Tableau électrique,,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
4337,4337,5365,5365,7c9f46c4-4d3b-4d23-8e56-99a471ad3e75,Tableau électrique,Tableau électrique de la marque Sodexo Energie & Maintenance,verygood,main_switchboard,D.50.10.04.1,PARIS-8E-ARRONDISSEMENT,2023-02-16,60.0,60.0,0.0,"['22f60cc1-29e9-44f7-8113-de1a8e434b1a.jpeg', '3591c077-f434-4bb3-8200-fb78fa737d66.jpeg']",used,382.5,16.0,1.0,1.0,2023-04-11,FR,1.0,54.0,,,,,"{'score': 0.01332091260701418, 'start': 0, 'end': 60, 'answer': 'Tableau électrique de la marque Sodexo Energie & Maintenance'}",,,,,,,,,,,,,,,,,,,,Tableau électrique,Tableau électrique,,,Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products
