,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
13,13,23,23,045b9c82-a94a-4c58-b5e9-361969a65a61,Porte de placard,Porte de placard en bois vernis aspect couleur miel.,verygood,storage_unit,E.20.20.05.5a,PARIS-8E-ARRONDISSEMENT,2022-05-17,40.0,40.0,0.0,"['51e2c83a-9555-4823-9de1-8aac90134eea.jpeg', '4b51a8ef-3cd6-4366-9a77-2358e9f284ff.jpeg', '3f0e58ef-08b3-46c3-948e-ad3b3ed5ea98.jpeg']",used,,,43.0,43.0,2023-03-26,FR,1.0,313.0,,,,,"{'score': 0.0004146581923123449, 'start': 0, 'end': 52, 'answer': 'Porte de placard en bois vernis aspect couleur miel.'}",,,,,,,,,,,,,,,,,,,,Porte de placard, bois,,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
237,237,380,380,376df927-0da4-4b5c-a564-57f15e3cde20,Double porte de placard,Traces d'humidité,correct,simple_solid_doors,C.10.20.01.1d,SAINT-OUEN,2022-03-24,100.0,100.0,0.0,['504ada4b-6558-4345-9341-66c50de5e6b8.png'],used,,,1.0,1.0,2023-09-24,FR,0.0,549.0,,,,,"{'score': 0.0017012034077197313, 'start': 0, 'end': 17, 'answer': ""Traces d'humidité""}",,,,,,,,,,,,,,,,,,,,Traces d'humidité,Traces d'humidité,,Traces d'humidité,Sitka spruce,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
283,283,454,454,40db6d9d-d906-4f2c-ae76-bdb697632050,Porte de placard,Petit meuble de rangement intégré sur-mesure sous meuble vasque. Deux portes battantes en bois massif vernis. Dimensions mentionnées pour les portes.,verygood,storage_unit,E.20.20.05.5a,PARIS-8E-ARRONDISSEMENT,2022-05-17,25.0,25.0,0.0,"['a42f66b0-78e7-4017-a0c9-00c319aac273.jpeg', '94128c11-3e85-4954-81f0-ada8b5ba9d03.jpeg', '0acf62c1-4047-45cc-85f2-b4083504499a.jpeg']",used,,,8.0,8.0,2023-03-26,FR,1.0,313.0,,,,,"{'score': 5.744304871768691e-06, 'start': 64, 'end': 109, 'answer': ' Deux portes battantes en bois massif vernis.'}",,,,,,,,,,,,,,,,,,,,,,,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
622,622,975,975,8fcbb330-aa7a-49bf-b7c3-42d324cefcf8,Porte de placard,Porte de placard en bois finition du revêtement avec des feuilles d'or.,verygood,storage_unit,E.20.20.05.5a,PARIS-8E-ARRONDISSEMENT,2022-05-17,100.0,100.0,0.0,"['6dacb725-f056-4921-add6-83519cd3a284.jpeg', '79675ab7-3513-45fb-a283-c0083415f65d.jpeg', '5c4c857d-0c76-4eb0-9288-5a36e98a0cc8.jpeg']",used,,,4.0,4.0,2023-03-26,FR,1.0,313.0,,,,,"{'score': 0.00026905431877821684, 'start': 0, 'end': 24, 'answer': 'Porte de placard en bois'}",,,,,,,,,,,,,,,,,,,,Porte de placard, bois,,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
851,851,1335,1335,c0bac44d-7746-46c1-b2fd-a0215b738ae4,Porte de placard,Porte coulissante de placard en bois peinte en noir.,verygood,storage_unit,E.20.20.05.5a,PARIS-8E-ARRONDISSEMENT,2022-05-17,20.0,20.0,0.0,"['e4b43b87-4459-42b2-b5fb-4c7861edf61a.jpeg', '9f58ed06-8d13-4770-9257-ec2e3f02ddbb.jpeg']",used,,,2.0,2.0,2023-03-26,FR,1.0,313.0,,,,,"{'score': 0.002153256209567189, 'start': 0, 'end': 52, 'answer': 'Porte coulissante de placard en bois peinte en noir.'}",,,,,,,,,,,,,,,,,,,,, bois,,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
1067,1067,1671,1671,f02acaaa-9a2d-4553-bb53-95422b4ea17b,Porte de placard,Porte de placard en bois vernis aspect couleur miel.,verygood,storage_unit,E.20.20.05.5a,PARIS-8E-ARRONDISSEMENT,2022-05-17,40.0,40.0,0.0,"['11b78d05-db60-4a38-9cbb-f1a7a3319f40.jpeg', '50ba36ff-9635-4cd3-96cb-480d459bdb36.jpeg', '203ba8b1-db02-493f-935c-12d05344ab59.jpeg']",used,,,73.0,73.0,2023-03-26,FR,1.0,313.0,,,,,"{'score': 0.0004146581923123449, 'start': 0, 'end': 52, 'answer': 'Porte de placard en bois vernis aspect couleur miel.'}",,,,,,,,,,,,,,,,,,,,Porte de placard, bois,,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
1577,1577,2271,2271,7e4c6be9-1b0b-4825-adfd-6c38097469bc,Porte de placard,"Portes coulissantes en aggloméré stratifié, gris à motifs floraux noires. Vendues par volets",damaged,storage_unit,E.20.20.05.5a,LYON--6E--ARRONDISSEMENT,2022-09-22,10.0,10.0,0.0,"['77c33d29-fd24-4288-b5de-ae1b4d3fc41a.jpeg', '81dc2391-731b-4a88-ac59-1ef1b0ebac86.jpeg', '6294963a-3761-4220-84bd-1b11d22b71d7.jpeg', '2db2ec79-381d-44e3-a8a1-5b3a11228dcc.jpeg']",used,0.0,8.0,3.0,3.0,2023-05-04,FR,1.0,224.0,,,,,"{'score': 4.013964644400403e-05, 'start': 73, 'end': 92, 'answer': ' Vendues par volets'}",,,,,,,,,,,,,,,,,,,,Portes coulissantes," aggloméré stratifié,",,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
1696,1696,2406,2406,b8d70d3d-46f2-4ec6-9073-6001c4402395,Porte de placard,Portes coulissantes en stratifié blanc. Vendues par volets,correct,storage_unit,E.20.20.05.5a,LYON--6E--ARRONDISSEMENT,2022-09-22,10.0,10.0,0.0,"['0d517373-cb39-4d93-b7fa-eaa0ecd95509.jpeg', '0673ae3d-dc93-4896-a451-d1b02a23192f.jpeg', '51c553cc-9a19-40bd-9fc9-edd38289e2af.jpeg']",used,0.0,8.0,2.0,2.0,2023-05-04,FR,1.0,224.0,,,,,"{'score': 0.010703377425670624, 'start': 0, 'end': 39, 'answer': 'Portes coulissantes en stratifié blanc.'}",,,,,,,,,,,,,,,,,,,,Portes coulissantes, stratifié,,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
1904,1904,2638,2638,0d43b68c-5ee0-4306-ad55-49c3d8edb762,Porte de placard,3 caisson L76cm x p50cm + porte L81cm. Autre penderie,correct,storage_unit,E.20.20.05.5f,AUBAGNE,2022-10-27,30.0,30.0,0.0,"['ddcba793-63b2-4c38-ba54-86e06420f8c1.jpeg', 'f028130b-ab63-451b-84ed-a6558e984bf3.jpeg', '7e74af09-f787-4577-aa53-f06efcf7b1ed.jpeg']",used,0.0,11.88,1.0,1.0,2023-02-21,FR,1.0,117.0,,,,,"{'score': 3.0937727046875807e-07, 'start': 38, 'end': 53, 'answer': ' Autre penderie'}",,,,,,,,,,,,,,,,,,,, Autre penderie,,,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
1919,1919,2654,2654,1256c959-e5eb-445c-887d-b666d1c5c8a0,Porte de placard,"Porte de placard en bois, largeur totale de 220 cm et hauteur de 161 cm.",correct,storage_unit,E.20.20.05.5a,PARIS-9E-ARRONDISSEMENT,2022-10-05,35.0,35.0,0.0,['651e9b1f-189d-4c3a-83ca-12d28fd97733.jpeg'],used,0.0,8.0,1.0,1.0,2023-09-24,FR,0.0,354.0,,,,,"{'score': 0.00023776797752361745, 'start': 0, 'end': 25, 'answer': 'Porte de placard en bois,'}",,,,,,,,,,,,,,,,,,,,"Porte de placard en bois,"," bois,",,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
1977,1977,2722,2722,21e914d9-3b59-4e10-b42c-f21fa6087cf5,Porte de placard,Porte de placard pliante en métal.,damaged,storage_unit,E.20.20.05.5b,GENNEVILLIERS,2022-10-27,50.0,50.0,0.0,"['ae8b498d-853d-4ca2-a4e0-0f2c73e73da9.jpeg', '8574ef0a-7250-4e93-999b-a8cfffcb8343.jpeg']",reconditioned,0.0,8.0,8.0,8.0,2023-09-24,FR,0.0,332.0,,,,,"{'score': 0.0006286409334279597, 'start': 0, 'end': 34, 'answer': 'Porte de placard pliante en métal.'}",,,,,,,,,,,,,,,,,,,,, métal.,,,Encaustic,Vault doors,Pr_40_30_75_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
