,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
20,20,36,36,05fec4c2-e590-4763-98d3-34b8c0240b89,Vasque simple sur colonne,Vasque simple sur colonne en Céramique,correct,lavatories,D.20.10.04.4b,CHATEAUROUX,2022-07-26,50.0,50.0,0.0,['0212d3a4-bf97-46a3-a472-25dfcc7a2a59.png'],used,,,42.0,20.0,2022-11-30,FR,1.0,127.0,,,,,"{'score': 0.13504281640052795, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en Céramique'}",,,,,,,,,,,,,,,,,,,,, Céramique,,,Sitka spruce,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
24,24,42,42,0686829a-38ea-475d-a916-f49136e36b49,Vasque simple sur colonne,Vasque simple sur colonne en céramique,correct,lavatories,D.20.10.04.4b,ARGENTEUIL,2022-06-23,35.0,35.0,0.0,['9890ea3f-8a73-4609-83fe-c6fdfc7c76b0.jpeg'],used,,,1.0,1.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.008794853463768959, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en céramique'}",,,,,,,,,,,,,,,,,,,,Vasque simple sur colonne en céramique, céramique,,,Sitka spruce,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
36,36,58,58,081c4780-e007-44cb-907b-b185fa64d284,Vasque simple sur colonne,"Vasque simple sur colonne en céramique de la marque Villeroy&Boch, de longueur de 53 cm, largeur de 45 et hauteur de 15 cm.",correct,lavatories,D.20.10.04.4b,PARIS-13E-ARRONDISSEMENT,2022-08-11,50.0,50.0,0.0,"['f0cd7b1a-b5a8-4d05-81c0-305ff7c22857.jpeg', 'bbfe60fc-9755-49c6-b349-780d6ba71c9a.jpeg', '627afbc2-655e-45f9-8be9-3f4bb1d77536.jpeg']",used,,,2.0,2.0,2023-09-24,FR,0.0,409.0,,,,,"{'score': 0.0008786527323536575, 'start': 51, 'end': 66, 'answer': ' Villeroy&Boch,'}",,,,,,,,,,,,,,,,,,,,, céramique,,,Sitka spruce,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
618,618,968,968,8f022954-7e17-4763-a1e7-9a0368788512,Double vasque sur colonne,"Double vasque sur colonne en céramique, de hauteur de 87 cm, longueur de 120 cm et largeur de 52 cm.",correct,lavatories,D.20.10.04.5b,ORLEANS,2022-04-15,75.0,75.0,0.0,['8b6c44b8-5b10-4397-9186-0ab03f4f7ecf.jpeg'],used,,,2.0,2.0,2023-09-24,FR,0.0,527.0,,,,,"{'score': 0.00012933083053212613, 'start': 0, 'end': 39, 'answer': 'Double vasque sur colonne en céramique,'}",,,,,,,,,,,,,,,,,,,,," céramique,",,,Ceramic,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
903,903,1405,1405,cb7d096d-4f80-4ad4-87d7-c261f6ec19b0,Prise sur colonne,Prise,correct,wires_connections,D.50.20.01.5,RENNES,2022-07-15,82.5,82.5,0.0,"['c6ffd88f-c3ab-47ea-8d1c-389f126d3702.jpeg', '445d2180-edf5-4f1a-bce2-db70c4714565.jpeg']",used,,,13.0,13.0,2022-09-26,FR,1.0,73.0,,,,,"{'score': 0.6638182997703552, 'start': 0, 'end': 5, 'answer': 'Prise'}",,,,,,,,,,,,,,,,,,,,Prise,,,Prise,Pisé,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards"
1618,1618,2319,2319,941bcb99-b0ef-48ba-a76d-69abba19ec87,Vasque simple sur colonne,"Vasque simple sur colonne en céramique blanche. Designe arrondi, système anti-débordement.",correct,lavatories,D.20.10.04.4b,PONTCHARRA,2022-09-19,45.0,45.0,0.0,"['da2423a1-32ca-4fbf-a534-7495dede975c.jpeg', '076595c6-b4db-492f-a20f-85d00e4df550.jpeg']",used,107.14,29.6,1.0,1.0,2023-09-24,FR,0.0,370.0,,,,,"{'score': 0.00044330753735266626, 'start': 0, 'end': 47, 'answer': 'Vasque simple sur colonne en céramique blanche.'}",,,,,,,,,,,,,,,,,,,,, céramique blanche.,,,Sitka spruce,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
2067,2067,2827,2827,3d7b777a-f151-4269-a13f-18d168b3f568,Vasque simple sur colonne,Vasque simple sur colonne en Céramique,correct,lavatories,D.20.10.04.4b,AUBAGNE,2022-10-25,75.0,75.0,0.0,"['b7adf961-c510-404c-88ea-454f53395551.jpeg', '13e827f2-f236-49d0-8e33-1fb1ef8fba0c.jpeg', 'd5840592-5045-496c-801b-4184c07f8f90.jpeg']",used,107.14,29.6,1.0,1.0,2023-02-21,FR,1.0,119.0,,,,,"{'score': 0.13504281640052795, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en Céramique'}",,,,,,,,,,,,,,,,,,,,, Céramique,,,Sitka spruce,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
2081,2081,2842,2842,42cc1ba7-71a2-495c-ac2d-a082a97d26b2,Vasque simple sur colonne,Vasque simple sur colonne en Céramique,correct,lavatories,D.20.10.04.4b,AUBAGNE,2022-10-25,75.0,75.0,0.0,"['9bae9096-7220-477f-95f6-7bfb5b1673c8.jpeg', '772c41d1-39c0-4202-9b43-f404676e03fa.jpeg']",used,107.14,29.6,1.0,1.0,2023-02-21,FR,1.0,119.0,,,,,"{'score': 0.13504281640052795, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en Céramique'}",,,,,,,,,,,,,,,,,,,,, Céramique,,,Sitka spruce,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
2151,2151,2914,2914,592bed96-1e3b-45b5-8304-fb253e037e21,Vasque simple sur colonne,Vasque simple sur colonne en Céramique,correct,lavatories,D.20.10.04.4b,AUBAGNE,2022-10-25,75.0,75.0,0.0,"['ed27d62d-14c0-4de2-88b0-b4ad836cc310.jpeg', '893472f8-9c10-4691-a88a-daf192ca7d83.jpeg']",used,107.14,29.6,1.0,1.0,2023-02-21,FR,1.0,119.0,,,,,"{'score': 0.13504281640052795, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en Céramique'}",,,,,,,,,,,,,,,,,,,,, Céramique,,,Sitka spruce,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
2297,2297,3072,3072,83ba4215-8322-49e9-b7ae-1e68efdfa887,Vasque simple sur colonne,Vasque simple sur colonne en Céramique,damaged,lavatories,D.20.10.04.4b,GENNEVILLIERS,2022-10-27,75.0,75.0,0.0,"['5e5f88d6-79f9-4beb-b436-427ce04ff63c.jpeg', '8de0aa05-1c93-4c81-aa40-856df3e63b56.jpeg']",reconditioned,107.14,29.6,1.0,1.0,2023-09-24,FR,0.0,332.0,,,,,"{'score': 0.13504281640052795, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en Céramique'}",,,,,,,,,,,,,,,,,,,,, Céramique,,,Sitka spruce,Column casings,Pr_25_71_14_16,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
