,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
663,663,1044,1044,98d58b27-4691-43be-aa15-40c6eb79b039,Garde corps,"Garde corps en acier avec différentes hauteur de barres, hauteur maximale de 100 cm.",correct,balcony_railing_terrace_roof,B.20.10.09.a,PARIS-13E-ARRONDISSEMENT,2022-08-11,20.0,20.0,0.0,"['bf40fde6-ff64-48bc-9c1e-b9fdb11efad9.jpg', '4b2c324a-5a3b-4bf7-aa33-94400f683b9a.jpg']",used,,,40.0,40.0,2023-09-24,FR,0.0,409.0,,,,,"{'score': 5.147061528987251e-05, 'start': 0, 'end': 20, 'answer': 'Garde corps en acier'}",,,,,,,,,,,,,,,,,,,,Garde corps en acier, acier,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
2665,2665,3469,3469,42715ff6-7e2e-4a65-a6a5-d80f6d2fee93,Garde corps,Garde corps en verre de 184cm de longueur par unité.,correct,railing,B.20.20.06.a,LEVALLOIS-PERRET,2022-11-23,100.0,100.0,0.0,"['f06bee3b-0648-4ab2-9fff-e27830e8543b.jpeg', '284ea6f9-4164-4b12-b920-0927b9668fff.jpeg']",used,90.75,15.0,37.0,37.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.00011623967293417081, 'start': 0, 'end': 20, 'answer': 'Garde corps en verre'}",,,,,,,,,,,,,,,,,,,,Garde corps en verre, verre,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
2817,2817,3627,3627,bb9cfd0d-231b-44cc-8e62-2c34e7397635,Garde corps,Garde corps métallique d'une longueur d'1m78 ,verygood,railing,C.10.10.04.1,PARIS-11E-ARRONDISSEMENT,2022-11-17,20.0,20.0,0.0,['38938d9d-93dd-4caf-94f4-b61264cd22ae.jpeg'],used,0.0,0.0,1.0,1.0,2023-03-26,FR,1.0,129.0,,,,,"{'score': 0.00040696660289540887, 'start': 0, 'end': 11, 'answer': 'Garde corps'}",,,,,,,,,,,,,,,,,,,,Garde corps métallique, métallique,, d'1m78,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
2853,2853,3663,3663,d4bd8f97-4392-4046-8715-9c35c789650e,Garde corps,Garde corps en verre de 156.5cm de longueur par unité.,verygood,railing,B.20.20.06.a,LEVALLOIS-PERRET,2022-11-23,100.0,100.0,0.0,"['6e5fe788-8de3-4a4b-9525-83d9ab734880.jpeg', '9fb3ec5c-4cc7-4ce0-b499-f97d8b50fc64.jpeg']",used,90.75,15.0,7.0,7.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.00010609939636196941, 'start': 0, 'end': 20, 'answer': 'Garde corps en verre'}",,,,,,,,,,,,,,,,,,,,Garde corps en verre, verre,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
2854,2854,3664,3664,d4e33f46-d8ab-4f90-8616-7ef7599f61c7,Garde corps,Garde-corps en acier laqué blanc,correct,railing,B.20.20.06.a,LEVALLOIS-PERRET,2022-11-23,30.0,30.0,0.0,"['4eb43bc3-4a0f-421e-9ffa-b942d961c00d.jpeg', 'cc167114-d4fc-4c60-8589-0b5785e03ac5.jpeg']",used,90.75,15.0,75.0,75.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.014141564257442951, 'start': 0, 'end': 32, 'answer': 'Garde-corps en acier laqué blanc'}",,,,,,,,,,,,,,,,,,,,Garde-corps en acier laqué blanc,,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
3228,3228,4150,4150,042dd5b4-231d-4cf6-b0ff-32e36f7fc6b8,Garde corps,Garde corps métallique de couleur bleue ,damaged,railing,C.10.10.04.1,SAINT-OUEN,2023-01-13,50.0,50.0,0.0,"['017347a6-b7db-4e20-8aaa-0c1f5cb3a750.jpeg', '63e87a44-bef3-4da4-9c7f-25348bc2550e.jpeg', 'd579a0f3-cca7-4315-8f3f-fccbfa0325e2.jpeg']",used,0.0,0.0,14.0,14.0,2023-03-26,FR,1.0,72.0,,,,,"{'score': 0.005035847425460815, 'start': 0, 'end': 39, 'answer': 'Garde corps métallique de couleur bleue'}",,,,,,,,,,,,,,,,,,,,,,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
3294,3294,4221,4221,1ad9bae0-9111-40bb-b9f0-58f9e6ba7619,Garde corps,"Garde corps fenêtre, vendu par unité de 1m23 de large",correct,railing,B.20.20.06.g,LEVALLOIS-PERRET,2022-12-29,40.0,40.0,0.0,"['58806e71-f3b2-47a9-bc95-c4608a473da8.jpeg', '18fa92aa-0e34-4756-a6e8-7873b2ce0ad4.jpeg', '0fa926c1-b87a-487d-9e74-79c9b6aa903e.jpeg']",used,0.0,17.2,707.0,707.0,2023-09-24,FR,0.0,269.0,,,,,"{'score': 0.002095191041007638, 'start': 0, 'end': 44, 'answer': 'Garde corps fenêtre, vendu par unité de 1m23'}",,,,,,,,,,,,,,,,,,,,"Garde corps fenêtre,",,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
3470,3470,4404,4404,6a154e8c-af9d-4ecb-9e7d-2e6f108adf7e,Garde corps,"Garde corps fenêtre, vendu par unité de 1m23 de large",correct,railing,B.20.20.06.g,LEVALLOIS-PERRET,2022-12-20,40.0,40.0,0.0,"['da252505-cbe8-459b-ad9e-f47f18c4ca6f.jpeg', 'e71f2f68-ffc9-4f91-a382-4662a43a7f64.jpeg', '21246108-27ff-4bba-a7dd-50ee7384553f.jpeg']",used,0.0,17.2,940.0,940.0,2023-09-24,FR,0.0,278.0,,,,,"{'score': 0.002095191041007638, 'start': 0, 'end': 44, 'answer': 'Garde corps fenêtre, vendu par unité de 1m23'}",,,,,,,,,,,,,,,,,,,,"Garde corps fenêtre,",,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
3507,3507,4442,4442,792d44eb-4a05-44fa-95f3-7074b4a63d09,Garde corps,"Garde corps fenêtre, vendu par unité de 1m23 de large",correct,railing,B.20.20.06.g,LEVALLOIS-PERRET,2022-12-29,40.0,40.0,0.0,"['02bb81da-bc0c-4e46-ae1b-a647bfc90786.jpeg', 'b3f1b913-f092-497a-85a4-9de3eaaf84cb.jpeg', 'b5cc8ad9-9e62-4b4e-9706-b6b04f5989b1.jpeg']",used,0.0,17.2,537.0,537.0,2023-04-11,FR,1.0,103.0,,,,,"{'score': 0.002095191041007638, 'start': 0, 'end': 44, 'answer': 'Garde corps fenêtre, vendu par unité de 1m23'}",,,,,,,,,,,,,,,,,,,,"Garde corps fenêtre,",,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
3624,3624,4563,4563,a7239b5d-2938-4193-9e39-80c1c6828cca,Garde corps,Garde-corps en acier laqué blanc,correct,railing,B.20.20.06.a,LEVALLOIS-PERRET,2022-12-20,30.0,30.0,0.0,"['c9758e41-c1f2-41e4-8bd3-9cb0755ce461.jpeg', 'e7fa2af4-522c-412f-93f2-6f362e284c7f.jpeg', '5f81cbcd-d8a4-4397-a777-b40dde03c45d.jpeg']",used,90.75,15.0,75.0,75.0,2023-09-24,FR,0.0,278.0,,,,,"{'score': 0.014141564257442951, 'start': 0, 'end': 32, 'answer': 'Garde-corps en acier laqué blanc'}",,,,,,,,,,,,,,,,,,,,Garde-corps en acier laqué blanc,,,,Pisé,Corner guards,Pr_35_90_43_15,Other,Other,Safety cages
