,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
219,219,354,354,33cac4fb-9a0b-4257-96b5-2aeb190749c7,Plafonnier,Plafonnier circulaire,verygood,lighting_general_equipment,D.50.20.02.9,NANTES,2022-01-21,13.0,13.0,0.0,"['4ec63cac-b442-4161-ace1-1d4b2b0574d4.jpeg', '4310ea64-2d05-47f2-98e1-67f2c62eedaf.jpeg']",used,,,1.0,1.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 0.042294103652238846, 'start': 0, 'end': 21, 'answer': 'Plafonnier circulaire'}",,,,,,,,,,,,,,,,,,,,Plafonnier circulaire,,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
282,282,452,452,4043ee90-42d5-4fe3-81a4-07294614083d,Plafonnier,Luminaire hublot,correct,lighting_general_equipment,D.50.20.02.1,CHATILLON,2022-07-06,10.0,10.0,0.0,['e1e265ba-2a83-425e-a174-01be00aba47a.jpeg'],used,,,3.0,3.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.3205597698688507, 'start': 0, 'end': 16, 'answer': 'Luminaire hublot'}",,,,,,,,,,,,,,,,,,,,Luminaire hublot,,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
303,303,480,480,4439fb86-0b8b-4716-827c-3800c6fad9ca,Plafonnier,Spot encastré,correct,lighting_general_equipment,D.50.20.02.9,NANTES,2022-01-21,10.0,10.0,0.0,"['73b0821f-24e8-454f-9f17-302344ab769d.jpeg', 'eb40b17f-1f92-42e6-bc91-32ff51fa0fa1.jpeg']",used,,,58.0,58.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 0.013467972166836262, 'start': 0, 'end': 13, 'answer': 'Spot encastré'}",,,,,,,,,,,,,,,,,,,,Spot encastré,Spot encastré,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
555,555,870,870,7f9bed8c-c74e-4d36-8c1d-608ec223941f,Plafonnier,Plafonnier circulaire,verygood,lighting_general_equipment,D.50.20.02.9,NANTES,2022-01-21,13.0,13.0,0.0,"['257fac0b-3b8f-4005-8944-91f86fb023b6.jpeg', '65d13ed6-d901-48da-8bd1-7ac26ce1d875.jpeg']",used,,,2.0,2.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 0.042294103652238846, 'start': 0, 'end': 21, 'answer': 'Plafonnier circulaire'}",,,,,,,,,,,,,,,,,,,,Plafonnier circulaire,,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
1379,1379,2049,2049,298a2bc6-09fc-463a-a3b3-3229ff324e77,Plafonnier,Equipement 'éclairage type plafonnier encastré.,correct,lighting_general_equipment,D.50.20.02.9,PARIS-8E-ARRONDISSEMENT,2022-09-16,25.0,25.0,0.0,"['843e5842-edc9-4b73-af1a-0b39c0b9c348.jpeg', '67daf63c-debb-40bf-97ca-eada57e5a8d5.jpeg']",used,6.82,3.6,135.0,135.0,2023-01-19,FR,1.0,125.0,,,,,"{'score': 0.0008524181321263313, 'start': 10, 'end': 47, 'answer': "" 'éclairage type plafonnier encastré.""}",,,,,,,,,,,,,,,,,,,, 'éclairage type plafonnier encastré.,,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
2668,2668,3472,3472,48aca1b0-0251-4b8b-920f-2cc7135dfc8b,Plafonnier,Bandeau LED droit ou courbé dans giane aluminium .,verygood,lighting_general_equipment,D.50.20.02.15,LEVALLOIS-PERRET,2022-11-23,200.0,200.0,0.0,"['fb42bd72-4cf3-4e26-887c-2e368c799112.jpeg', '6acfd697-e425-4bdb-b5b3-d4c033b71344.jpeg']",used,0.0,5.7,17.0,17.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 8.59197461977601e-05, 'start': 0, 'end': 11, 'answer': 'Bandeau LED'}",,,,,,,,,,,,,,,,,,,,Bandeau LED, aluminium,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
2807,2807,3615,3615,b1bd4237-aff0-4b29-9ee9-bec3f70ca001,Plafonnier,Plafonnier A incandescence,correct,lighting_general_equipment,D.50.20.02.9,LEVALLOIS-PERRET,2022-11-23,25.0,25.0,0.0,"['46f278b6-523b-4f94-8dff-a456d8add07e.jpeg', 'ec490649-1058-45b6-ae2d-775897121641.jpeg']",used,6.82,3.6,36.0,36.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.22382235527038574, 'start': 0, 'end': 26, 'answer': 'Plafonnier A incandescence'}",,,,,,,,,,,,,,,,,,,,Plafonnier A incandescence, incandescence,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
2893,2893,3706,3706,e994c15e-4513-4918-8138-6fa00b47eed8,Plafonnier,"Plafonnier LED en cloche extérieur noir laqué, intérieur blanc",verygood,lighting_general_equipment,D.50.20.02.9,LEVALLOIS-PERRET,2022-11-23,100.0,100.0,0.0,"['fd513e8e-0644-46b0-8ed6-beef92eb498c.jpeg', '1253fcd5-bfc0-4e62-89aa-0aa2b5a35010.jpeg']",used,6.82,3.6,31.0,31.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.010033738799393177, 'start': 24, 'end': 62, 'answer': ' extérieur noir laqué, intérieur blanc'}",,,,,,,,,,,,,,,,,,,,Plafonnier LED,,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
2914,2914,3729,3729,ee405452-264c-45d6-9ea2-f95f475d2844,Plafonnier,Plafonnier,damaged,lighting_general_equipment,D.50.20.02.9,GENNEVILLIERS,2022-10-27,25.0,25.0,0.0,['77e86e6f-f9f2-46e2-a440-174981175c90.jpeg'],reconditioned,6.82,3.6,1.0,1.0,2023-09-24,FR,0.0,332.0,,,,,"{'score': 0.04971765726804733, 'start': 0, 'end': 10, 'answer': 'Plafonnier'}",,,,,,,,,,,,,,,,,,,,Plafonnier,,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
3451,3451,4385,4385,652d04db-9dbb-4b4f-bf49-2406766255f8,Plafonnier,Bandeau LED droit ou courbé dans gaine aluminium .,verygood,lighting_general_equipment,D.50.20.02.15,LEVALLOIS-PERRET,2022-12-20,200.0,200.0,0.0,"['1578ad79-c189-47c5-b268-c588a8d89649.jpeg', '33de11f2-5735-433a-88da-819e1e27ef53.jpeg', '0171b65d-5429-494b-b420-905e4cc70d0d.jpeg']",used,0.0,5.7,17.0,17.0,2023-09-24,FR,0.0,278.0,,,,,"{'score': 5.164618050912395e-05, 'start': 0, 'end': 48, 'answer': 'Bandeau LED droit ou courbé dans gaine aluminium'}",,,,,,,,,,,,,,,,,,,,Bandeau LED, gaine aluminium,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
3493,3493,4428,4428,74b7a613-4189-4769-acf9-a7d0156ce8aa,Plafonnier,Plafonnier A incandescence,correct,lighting_general_equipment,D.50.20.02.9,LEVALLOIS-PERRET,2022-12-20,25.0,25.0,0.0,"['6b1d2a99-7db8-478c-b300-0af75e51dd41.jpeg', '9a2753cb-3c02-409f-bbd4-68e6991df0a3.jpeg', '201a147f-c0a7-4d3a-8cfe-5f697688383f.jpeg']",used,6.82,3.6,30.0,30.0,2023-09-24,FR,0.0,278.0,,,,,"{'score': 0.22382235527038574, 'start': 0, 'end': 26, 'answer': 'Plafonnier A incandescence'}",,,,,,,,,,,,,,,,,,,,Plafonnier A incandescence, incandescence,,,Pisé,Sprinklers,Pr_70_55_98_84,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
