,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
220,220,355,355,33eb791e-3876-43f5-93a9-e22b7f733eea,Tablette de fenêtre,Tablette de fenêtre en pierre. Grille de cache radiateur en cuivre ou laiton vissé dans la tablette. La grille métallique se trouve dans une autre annonce du même projet. Epaisseur de la tablette 3cm.,verygood,other_built_in_accessory,C.10.30.90.1,PARIS-8E-ARRONDISSEMENT,2022-05-17,50.0,50.0,0.0,"['59ec262b-d6b0-4016-b82d-bbaf33a95827.png', '897ff3a3-a082-48db-a5c8-8d3341a4b78e.jpeg', 'd5b93542-ecf3-4af3-b7f3-8d79a61b7ee9.jpeg']",used,,,10.0,10.0,2023-03-26,FR,1.0,313.0,,,,,"{'score': 7.22991103430104e-07, 'start': 0, 'end': 30, 'answer': 'Tablette de fenêtre en pierre.'}",,,,,,,,,,,,,,,,,,,,Tablette de fenêtre en pierre.,,,,Sheet glass,Window walls,Pr_30_59_99,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
338,338,535,535,4b0e9931-1a2e-46da-a78f-90746611adad,Barreaudage de fenêtre,Barreaudage de fenêtre,correct,railing,B.20.20.06.g,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['730a1386-f1f7-4206-96d7-a28542afa3fa.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.017923245206475258, 'start': 0, 'end': 22, 'answer': 'Barreaudage de fenêtre'}",,,,,,,,,,,,,,,,,,,,Barreaudage de fenêtre,,,,Architectural glass,Window walls,Pr_30_59_99,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
607,607,950,950,8c5c60d0-4f19-4e5c-93f3-563a9d30c63a,Barreaudage de fenêtre,Barreaudage de fenêtre,correct,railing,B.20.20.06.g,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['a736adb1-f65b-40a2-a71f-7cdcc8105b20.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.017923245206475258, 'start': 0, 'end': 22, 'answer': 'Barreaudage de fenêtre'}",,,,,,,,,,,,,,,,,,,,Barreaudage de fenêtre,,,,Architectural glass,Window walls,Pr_30_59_99,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
672,672,1058,1058,9a19b0ab-aad2-480d-b772-1827f07e5daf,Porte vitrée,Porte vitrée sans cadre,correct,glass_interior_door,C.10.20.02.55,RENNES,2022-07-18,70.0,70.0,0.0,"['67bc80a3-dbc2-4d6f-9f12-d36983abe631.jpeg', '6ae51492-c26c-4dcd-85e6-d6b28907bf09.jpeg', '8013c05e-183b-4794-b885-d2a6dfb8abac.jpeg', '5b507183-e28b-49db-8f7f-8103640b8631.jpeg']",used,,,1.0,1.0,2022-09-26,FR,1.0,70.0,,,,,"{'score': 0.00504315597936511, 'start': 0, 'end': 23, 'answer': 'Porte vitrée sans cadre'}",,,,,,,,,,,,,,,,,,,,Porte vitrée sans cadre,,,,Sitka spruce,Window walls,Pr_30_59_99,Openings,"Door, Windows, Gates",Glass blocks and panels
685,685,1078,1078,9c89d499-e362-42d0-9920-6f15b3a900b6,Barreaudage de fenêtre,Barreaudage de fenêtre,correct,railing,B.20.20.06.g,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['5683e2f1-f13b-446e-94e6-c9cbc0b76ee9.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.017923245206475258, 'start': 0, 'end': 22, 'answer': 'Barreaudage de fenêtre'}",,,,,,,,,,,,,,,,,,,,Barreaudage de fenêtre,,,,Architectural glass,Window walls,Pr_30_59_99,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
739,739,1160,1160,a6bb9b7a-d7e2-40d0-9b28-ca6ad9089394,Barreaudage de fenêtre,Barreaudage de fenêtre,correct,railing,B.20.20.06.g,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['dbb45f6e-13c4-4d58-8b1e-08f4fb5c302a.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.017923245206475258, 'start': 0, 'end': 22, 'answer': 'Barreaudage de fenêtre'}",,,,,,,,,,,,,,,,,,,,Barreaudage de fenêtre,,,,Architectural glass,Window walls,Pr_30_59_99,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
742,742,1166,1166,a836d2b1-baf2-47e3-9baf-83307d3751b7,Porte vitrée extérieure,Porte PVC vitrée extérieure,correct,solid_exterior_door,B.20.30.01.1h,VILLENEUVE-SAINT-GEORGES,2022-04-01,45.0,45.0,0.0,['2c9fed9c-b9e8-4362-b932-10dbfe0d7a09.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.006027556024491787, 'start': 0, 'end': 9, 'answer': 'Porte PVC'}",,,,,,,,,,,,,,,,,,,,Porte PVC vitrée extérieure, PVC,,,Architectural glass,Window walls,Pr_30_59_99,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels
758,758,1184,1184,aa6ed1e8-2fbd-4823-bd99-49afcdadf3c1,Garde-corps de fenêtre,"Garde-corps métallique pour fenêtre. Longueur variant de 1,29 à 1,91m",correct,railing,B.20.20.06.a,RENNES,2022-07-28,10.0,10.0,0.0,"['6dcd8497-0cda-4494-afbc-c1532fb64bf2.png', '7de9dddd-bc3d-4712-b150-48dcfca9c297.png']",used,,,920.0,920.0,2022-09-26,FR,1.0,60.0,,,,,"{'score': 0.00013000746548641473, 'start': 56, 'end': 69, 'answer': ' 1,29 à 1,91m'}",,,,,,,,,,,,,,,,,,,,Garde-corps métallique pour fenêtre.,,,,Architectural glass,Window walls,Pr_30_59_99,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels
938,938,1460,1460,d3a884ed-35cc-4416-9858-27ca15f89cd4,Barreaudage de fenêtre,Barreaudage de fenêtre,correct,railing,B.20.20.06.g,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['3d37ca1c-fb6f-4a84-84ab-1e0268ba1744.jpeg'],used,,,9.0,9.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.017923245206475258, 'start': 0, 'end': 22, 'answer': 'Barreaudage de fenêtre'}",,,,,,,,,,,,,,,,,,,,Barreaudage de fenêtre,,,,Architectural glass,Window walls,Pr_30_59_99,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
981,981,1534,1534,dd618cef-796a-4c2c-95fc-cf94d72e1a71,Porte intérieure avec latéral fixe vitré,"Porte de distribution intérieur en bois plein, avec un latéral fixe vitré toute hauteur. Les portes sont mise à disposition avec leur dormant en bois massif. Dimensions détaillés:
Dimension du châssis de porte: H208 x L160 cm épaisseur 12 cm
Dimension de l'ouvrant bois plein: H202 x L90 cm épaisseur 4 cm
Dimension partie latérale fixe vitrée : H202 x L53 cm",verygood,glass_interior_door,C.10.20.02.2c,RENNES,2022-08-11,40.0,40.0,0.0,"['7dc54b2b-a2d9-4ecb-af6b-865e46502a23.png', 'de912cd4-033c-4b57-84c3-f15ca6f47352.png', '2e93d4bd-1e93-4b8e-953e-a6efc14ca157.png']",used,,,40.0,30.0,2022-11-30,FR,1.0,111.0,,,,,"{'score': 6.394487854777253e-07, 'start': 0, 'end': 46, 'answer': 'Porte de distribution intérieur en bois plein,'}",,,,,,,,,,,,,,,,,,,,," bois plein,",,,Architectural glass,Window walls,Pr_30_59_99,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
