,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
884,884,1378,1378,c87c1466-bc89-42c0-9078-f6a5b7b3bb86,Tableau liège,Tableau liège intégré dans un placard à portes coulissantes.,verygood,notice_board_chalk_board,C.10.30.03.3,PARIS-8E-ARRONDISSEMENT,2022-05-17,20.0,20.0,0.0,"['b617da91-e4ad-4af6-bd36-1529def79cf7.jpeg', '68211a53-0998-4df2-babf-d9bcc00546f6.jpeg']",used,,,4.0,4.0,2022-09-26,FR,1.0,132.0,,,,,"{'score': 3.9579561416758224e-05, 'start': 0, 'end': 13, 'answer': 'Tableau liège'}",,,,,,,,,,,,,,,,,,,,Tableau liège, liège,,,Lignite,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
1337,1337,2003,2003,166036b0-b6ad-4aff-a00a-c1a49f2be093,Etagère,Etagère 5 niveaux en bois avec structure métallique,correct,storage_unit,E.20.20.05.4a,TOULOUSE,2022-09-26,20.0,20.0,0.0,['7cb80ec9-4370-4d7a-8a30-2794820b9fc9.jpg'],used,0.0,6.7,3.0,3.0,2022-10-03,FR,1.0,7.0,,,,,"{'score': 0.0025873275008052588, 'start': 0, 'end': 51, 'answer': 'Etagère 5 niveaux en bois avec structure métallique'}",,,,,,,,,,,,,,,,,,,,, bois,,,Encaustic,Desks,Pr_40_50_21_21,Furnishings,Furnishings,Furnishings
1638,1638,2341,2341,9b8c41e8-b0da-4eae-ac00-c0a7ecdfeeb7,Comptoir de bar,Ensemble de mobilier de bar de forme arrondie. Evier en inox. Porte battante d'acces à l'estrade.,damaged,the_room_bar,E.20.20.03.1,PUTEAUX,2022-09-22,2500.0,2500.0,0.0,"['a739bc70-77a3-41bf-8519-37db50c29c34.jpeg', 'f70cb460-2e47-4624-a00e-1fe1948b40ce.jpeg', '80fc3b9c-6f81-42a0-aa9c-c1c56fc61f19.jpeg']",used,0.0,100.0,1.0,1.0,2022-10-03,FR,1.0,11.0,,,,,"{'score': 1.19497713058081e-06, 'start': 46, 'end': 61, 'answer': ' Evier en inox.'}",,,,,,,,,,,,,,,,,,,,,,,,Pisé,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
2279,2279,3053,3053,7fcbf2c2-26a7-42c4-ad91-aa98c4679a8a,Tableau d'affichage,"E 14, et E1",correct,notice_board_chalk_board,C.10.30.03.1,PARIS-15E-ARRONDISSEMENT,2022-11-03,15.0,15.0,0.0,['529e2ed0-a465-4c1d-a49b-592611b57107.jpg'],used,0.0,1.0,12.0,12.0,2023-09-24,FR,0.0,325.0,,,,,"{'score': 0.0734814703464508, 'start': 0, 'end': 5, 'answer': 'E 14,'}",,,,,,,,,,,,,,,,,,,,,,"E 14, et E1",,Graphite,Desks,Pr_40_50_21_21,Technical elements,"Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
2414,2414,3200,3200,ab77869b-d493-4220-a626-c221b1399214,Etagère,Étagère suspendue de rangement d'armes,correct,other_furniture,E.20.20.90.4,BRIANCON,2022-05-25,30.0,30.0,0.0,"['30a8ebfd-25fe-4a53-9b5a-4b2c357d57eb.jpeg', '7fd7f70e-b8a4-40ff-bfa5-0990112449d5.jpeg']",used,0.0,25.5,1.0,1.0,2023-01-19,FR,1.0,239.0,,,,,"{'score': 0.0016004637582227588, 'start': 0, 'end': 38, 'answer': ""Étagère suspendue de rangement d'armes""}",,,,,,,,,,,,,,,,,,,,Étagère suspendue de rangement d'armes,,,,Encaustic,Desks,Pr_40_50_21_21,Furnishings,Furnishings,Furnishings
2419,2419,3205,3205,aceed066-49e3-469b-a040-59085d2447b9,Plaque nominative de bureau,Plaque signalétique métal,verygood,identifying_devices,E.20.20.09.1,PARIS-15E-ARRONDISSEMENT,2022-10-31,8.0,8.0,0.0,"['ceac05c8-4c64-4dfd-9dad-16762d33f97b.jpeg', '6b846733-7e5a-460d-a255-cd8a655b5442.jpeg']",used,0.0,0.5,13.0,13.0,2023-09-24,FR,0.0,328.0,,,,,"{'score': 0.1976398229598999, 'start': 0, 'end': 25, 'answer': 'Plaque signalétique métal'}",,,,,,,,,,,,,,,,,,,,Plaque signalétique métal, métal,,,Encaustic,Desks,Pr_40_50_21_21,Technical elements,"Covering, Finish","Lighting columns, brackets and bollards"
2958,2958,3777,3777,f6930587-3ad6-4ae4-a23a-8a95922fa080,Tableau d'affichage,Panneau d'affichage vitrée cadre métallique,correct,notice_board_chalk_board,C.10.30.03.1,PARIS-15E-ARRONDISSEMENT,2022-11-03,15.0,15.0,0.0,['4d405ca5-3965-400d-b68a-a403886a6436.jpg'],used,0.0,1.93,8.0,8.0,2023-09-24,FR,0.0,325.0,,,,,"{'score': 0.022301269695162773, 'start': 0, 'end': 43, 'answer': ""Panneau d'affichage vitrée cadre métallique""}",,,,,,,,,,,,,,,,,,,,Panneau d'affichage vitrée cadre métallique,,,,Graphite,Desks,Pr_40_50_21_21,Technical elements,"Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
3244,3244,4167,4167,095bbab9-98de-4fc3-a307-9785e6685170,Tableau liège,"Tableau en liège, structure et cadre en aluminium, coins en plastique gris, surface d'affichage 90x60 cm",correct,notice_board_chalk_board,C.10.30.03.3,RUNGIS,2023-01-04,25.0,25.0,0.0,['c3c0632d-dda3-4319-9bd9-b8fc88bebbf2.jpeg'],used,0.0,1.62,1.0,1.0,2023-09-24,FR,0.0,263.0,,,,,"{'score': 1.3466938071360346e-05, 'start': 0, 'end': 17, 'answer': 'Tableau en liège,'}",,,,,,,,,,,,,,,,,,,,Tableau," liège,", 90x60 cm,,Lignite,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
3614,3614,4552,4552,a4d73ea8-3bc6-45ba-9ad6-92e672b90cd5,Tableau noir à craie,Grand tableau à craie.,correct,notice_board_chalk_board,C.10.30.03.1,PARIS-13E-ARRONDISSEMENT,2023-01-17,50.0,50.0,0.0,"['19f072d6-6e4b-4ca1-9fcc-58c9475ba8b3.jpeg', 'ed380c6b-e9cf-4994-8b1a-6f3ddf859a47.jpeg', '530232ea-744b-401b-bcd4-3a7ec4553503.jpeg']",used,0.0,16.5,18.0,18.0,2023-04-11,FR,1.0,84.0,,,,,"{'score': 0.0002429411979392171, 'start': 0, 'end': 22, 'answer': 'Grand tableau à craie.'}",,,,,,,,,,,,,,,,,,,,Grand tableau à craie.,,,,Lignite,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
4336,4336,5362,5362,7bdc050b-37b1-4766-904d-b108c2c79d6f,Tableau en liège,"Tableau liège, cadre aluminium",correct,notice_board_chalk_board,C.10.30.03.3,PARIS-9E-ARRONDISSEMENT,2023-02-14,15.0,15.0,0.0,['8a06ec4c-97e5-483a-9e2d-b49d71d8f38c.jpeg'],used,0.0,0.79,28.0,28.0,2023-04-11,FR,1.0,56.0,,,,,"{'score': 0.0011125035816803575, 'start': 0, 'end': 30, 'answer': 'Tableau liège, cadre aluminium'}",,,,,,,,,,,,,,,,,,,,," liège,",,,Pisé,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
