,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
1031,1031,1608,1608,e86ce425-529d-4b27-a984-8e4edf08a263,Porte palière,Porte palière. La porte peut être vendue avec ou sans la quincaillerie (serrure marque JPM et poignée aluminium). Contacter le service client.,correct,simple_solid_doors,C.10.20.01.1e,CHATEAUROUX,2022-07-26,50.0,50.0,0.0,['fac6822a-7565-4fc1-90f7-4c131fd67ff8.png'],used,,,42.0,42.0,2022-09-26,FR,1.0,62.0,,,,,"{'score': 2.8682050469797105e-05, 'start': 0, 'end': 14, 'answer': 'Porte palière.'}",,,,,,,,,,,,,,,,,,,,Porte palière.,,,,Pisé,Gates and turnstiles,Pr_30_59_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Handrails
1523,1523,2210,2210,6305ceee-28d9-49b5-ad84-b1d173a90bc6,Porte coulissante,Porte vitré coulissante suspendu en verre trempé  avec poignet inox. Autocollant d'opacité extérieur motif carré.,verygood,sliding_and_folding_doors,C.10.20.04.2i,LYON--6E--ARRONDISSEMENT,2022-09-22,80.0,80.0,0.0,"['6e155605-a9fe-41e1-ad9e-3e552041dcf2.jpeg', 'bfbb66ad-a8c1-4a35-8e79-304c136fa7aa.jpeg']",used,633.74,58.2,8.0,8.0,2023-05-04,FR,1.0,224.0,,,,,"{'score': 0.00153625407256186, 'start': 0, 'end': 23, 'answer': 'Porte vitré coulissante'}",,,,,,,,,,,,,,,,,,,,, verre trempé,,,Encaustic,Gates and turnstiles,Pr_30_59_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
1702,1702,2412,2412,baf669e5-7b3d-4145-95bc-51ca6dc8f0a1,Porte coulissante,Porte coulissante en stratifié imitation bois. Vendues par volets,correct,storage_unit,E.20.20.05.5a,LYON--6E--ARRONDISSEMENT,2022-09-22,10.0,10.0,0.0,"['25ac3db3-2d69-4773-b09e-9eda3f45a80d.jpeg', 'af516254-f4fe-4c80-9886-674639052388.jpeg', 'c3620e5d-d24f-4306-ab98-67cbf7019863.jpeg', '68e3b517-6de8-46a5-9574-ca231f38018b.jpeg']",used,0.0,8.0,3.0,3.0,2023-05-04,FR,1.0,224.0,,,,,"{'score': 0.00018640400958247483, 'start': 0, 'end': 65, 'answer': 'Porte coulissante en stratifié imitation bois. Vendues par volets'}",,,,,,,,,,,,,,,,,,,,Porte coulissante, stratifié,,,Encaustic,Gates and turnstiles,Pr_30_59_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
1816,1816,2541,2541,ec074f48-1a4c-493c-9eab-c9805dfb81d4,Porte coulissante,Porte coulissante isoplane  couleur blanc avec poignet inox sur rail suspendu. Épaisseur : 40 mm,verygood,sliding_and_folding_doors,C.10.20.04.2f,LYON--6E--ARRONDISSEMENT,2022-09-22,45.0,45.0,0.0,"['01762834-eebf-4f41-88a5-523f91c893e1.jpeg', 'b34b3b42-ccd1-4587-b7be-ee66e96f2541.jpeg', '2ac09317-aabd-4b8a-8a8e-55cf4dd70bd1.jpeg']",used,0.0,51.75,23.0,23.0,2023-05-04,FR,1.0,224.0,,,,,"{'score': 0.0006153585854917765, 'start': 0, 'end': 59, 'answer': 'Porte coulissante isoplane  couleur blanc avec poignet inox'}",,,,,,,,,,,,,,,,,,,,,,,,Encaustic,Gates and turnstiles,Pr_30_59_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
3198,3198,4120,4120,bf24b688-a1c6-4220-8f8a-0132103f9a0c,Porte coulissante,Porte coulissante,correct,fire_doors,C.10.20.03,PARIS-9E-ARRONDISSEMENT,2022-12-14,57.5,57.5,0.0,"['10bd83a4-23cb-40db-92aa-398bac91af42.jpeg', '2ff40bb9-04c9-4e39-bd90-6d250c79cdaf.jpeg']",used,268.23,159.64,1.0,1.0,2023-04-11,FR,1.0,118.0,,,,,"{'score': 0.2723194658756256, 'start': 0, 'end': 17, 'answer': 'Porte coulissante'}",,,,,,,,,,,,,,,,,,,,Porte coulissante,,,,Encaustic,Gates and turnstiles,Pr_30_59_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
4234,4234,5245,5245,5e99de2c-bd51-47c0-b9c8-b53fde888e8b,Porte coulissante,Porte coulissante en bois reconstitué. Largeur de passage 83cm.,correct,sliding_and_folding_doors,C.10.20.04.1,PARIS-1ER-ARRONDISSEMENT,2023-03-08,80.0,80.0,0.0,"['eb5676b1-659e-4676-9040-ef5724456398.jpeg', '009861b8-aa27-4785-b16e-3d07420de029.jpeg', '6db5b56f-079c-4658-b342-317937f689f5.jpeg', 'b9befb7e-fbd4-4699-a00b-38a0d2a3adb2.jpeg']",used,0.0,0.0,1.0,1.0,2023-09-24,FR,0.0,200.0,,,,,"{'score': 0.01119732204824686, 'start': 0, 'end': 38, 'answer': 'Porte coulissante en bois reconstitué.'}",,,,,,,,,,,,,,,,,,,,Porte coulissante, bois reconstitué.,,,Encaustic,Gates and turnstiles,Pr_30_59_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
4243,4243,5254,5254,6177ff8a-678f-4c90-b8fa-37a0c11fa4a7,Porte palière,"En vente, 50 portes palières de la dimension suivante : 0,93 x 2,04 m. L'œil-de-bœuf et le lecteur de carte sur la porte seront retirés pour la vente (il est donc nécessaire de considérer le ""trou"" qui s'y trouvera). Ces dernières sont vendues sans le châssis.",new,simple_solid_doors,C.10.20.01.1e,PARIS-10E-ARRONDISSEMENT,2023-03-09,50.0,50.0,0.0,"['606bb206-1394-40e3-bd19-9bff4e654969.jpg', 'c4110d86-ffcb-428a-bc88-bd31a3e9d45a.jpg', 'e6f951ea-d819-43ac-8bb0-9aa5a70eb99f.jpg']",new,45.73,37.94,50.0,50.0,2023-09-24,FR,0.0,199.0,,,,,"{'score': 4.41596483824469e-08, 'start': 9, 'end': 28, 'answer': ' 50 portes palières'}",,,,,,,,,,,,,,,,,,,,,,,,Pisé,Gates and turnstiles,Pr_30_59_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Handrails
4590,4590,5639,5639,c83e505b-2615-4b64-97fc-52df3544176c,Porte coulissante,Porte coulissante vitrée automatique,verygood,sliding_and_folding_doors,C.10.20.04.1,PARIS-1ER-ARRONDISSEMENT,2023-03-08,100.0,100.0,0.0,"['8d4c73fa-7cbb-4ab5-abda-9ace9c41e5e6.jpeg', '0502d7eb-12b8-4b93-872f-b0796c8b7fae.jpeg', '371bf4ca-b578-4189-8859-ead4bd945015.jpeg']",used,0.0,0.0,1.0,1.0,2023-04-11,FR,1.0,34.0,,,,,"{'score': 0.046915099024772644, 'start': 0, 'end': 36, 'answer': 'Porte coulissante vitrée automatique'}",,,,,,,,,,,,,,,,,,,,Porte coulissante vitrée automatique,,,,Encaustic,Gates and turnstiles,Pr_30_59_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
4789,4789,5863,5863,00c9572a-198b-45e8-b35c-1b85d5fb19fc,Porte coulissante,Porte accordéon / coulissante en bois. Coulisse sur 240 cm,correct,sliding_and_folding_doors,C.10.20.04.2i,PARIS-8E-ARRONDISSEMENT,2023-03-23,85.0,85.0,0.0,['816cbd59-56eb-4d61-869a-78abf4173ba5.jpeg'],used,0.0,0.0,2.0,2.0,2023-09-24,FR,0.0,185.0,,,,,"{'score': 0.0004519018984865397, 'start': 0, 'end': 38, 'answer': 'Porte accordéon / coulissante en bois.'}",,,,,,,,,,,,,,,,,,,,Porte accordéon / coulissante en bois., bois., 240 cm,,Encaustic,Gates and turnstiles,Pr_30_59_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
5018,5018,6105,6105,4e8383f3-8536-47ea-a047-34d5e9253dcd,Porte coulissante,Porte coulissante SOFTICA - Sas d'entrée,verygood,sliding_and_folding_doors,C.10.20.04.1,NANCY,2023-03-22,1500.0,1500.0,0.0,['5ed6d712-3613-4296-a93f-0d82a9c0f1f2.jpg'],used,0.0,0.0,1.0,1.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 0.0017501648981124163, 'start': 0, 'end': 25, 'answer': 'Porte coulissante SOFTICA'}",,,,,,,,,,,,,,,,,,,,Porte coulissante,,,,Encaustic,Gates and turnstiles,Pr_30_59_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages
