,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
2046,2046,2804,2804,3692a2ab-4b88-422d-abc2-7d138131d8f3,Spot sur rail,"Spot sur bras déporté aluminium laqué gris, vissé au plafond",correct,lighting_general_equipment,D.50.20.02.14,PARIS-15E-ARRONDISSEMENT,2022-11-02,24.0,24.0,0.0,"['344acd8c-756a-4384-9169-862e0887a774.jpeg', '9bb90b6b-9136-4a01-b98b-102f3ebe1631.jpeg', 'eb160d8f-bda3-4b88-8643-300842b0b385.jpeg']",used,0.0,0.27,17.0,17.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 9.992823470383883e-05, 'start': 0, 'end': 43, 'answer': 'Spot sur bras déporté aluminium laqué gris,'}",,,,,,,,,,,,,,,,,,,,Spot, aluminium,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
2138,2138,2901,2901,55b2c6a6-2470-479b-a9a0-704d4c266fd6,Spot sur rail,3x9 petits spots = 27 par sortie d'ascenseur sauf 9 au r+14,correct,lighting_general_equipment,D.50.20.02.14,PARIS-15E-ARRONDISSEMENT,2022-10-31,24.0,24.0,0.0,['b443e4a4-6ffa-4fdc-b2b6-05840ba05d67.jpg'],used,0.0,0.27,17.0,17.0,2023-09-24,FR,0.0,328.0,,,,,"{'score': 0.00018410661141388118, 'start': 18, 'end': 21, 'answer': ' 27'}",,,,,,,,,,,,,,,,,,,,,,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
2224,2224,2995,2995,7190dfdb-2ae4-4823-af83-0bdef1bba8eb,Spot sur rail,Spot sur rail,correct,lighting_general_equipment,D.50.20.02.14,AUBAGNE,2022-10-26,20.0,20.0,0.0,['b6b069f1-4295-485e-bd4d-480aa854058a.jpeg'],used,0.0,0.27,1.0,1.0,2023-02-21,FR,1.0,118.0,,,,,"{'score': 0.017361026257276535, 'start': 0, 'end': 13, 'answer': 'Spot sur rail'}",,,,,,,,,,,,,,,,,,,,Spot sur rail,Spot sur rail,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
2288,2288,3062,3062,81274db0-e66e-4d9c-8d5b-4ee7ea1c23d8,Spot sur rail,Spot sur rail,correct,lighting_general_equipment,D.50.20.02.14,AUBAGNE,2022-10-26,20.0,20.0,0.0,['95faa2a1-679e-465b-96e5-75b8e033fac4.jpeg'],used,0.0,0.27,1.0,1.0,2023-02-21,FR,1.0,118.0,,,,,"{'score': 0.017361026257276535, 'start': 0, 'end': 13, 'answer': 'Spot sur rail'}",,,,,,,,,,,,,,,,,,,,Spot sur rail,Spot sur rail,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
2761,2761,3569,3569,9007ff3d-0a91-4975-bf85-3704f7290eb5,Spot sur rail,Spot LED sur rail,correct,lighting_general_equipment,D.50.20.02.14,LEVALLOIS-PERRET,2022-11-23,50.0,50.0,0.0,"['1e3db0e7-55d2-464f-8bcf-66691ee60cb6.jpeg', '3dccc391-2a31-4598-9e1e-59f719b8fc89.jpeg']",used,0.0,0.27,53.0,53.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.06043393537402153, 'start': 0, 'end': 17, 'answer': 'Spot LED sur rail'}",,,,,,,,,,,,,,,,,,,,Spot LED sur rail,,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
3153,3153,4075,4075,5e6074a2-8ee2-4779-b5bf-a5703e615a71,Spot sur rail,Alu/plastique gris avec boîtier transfo rectangulaire 20x20cm.,verygood,lighting_general_equipment,D.50.20.02.14,PARIS-9E-ARRONDISSEMENT,2022-12-14,11.8,11.8,0.0,"['a1b929e7-4c74-42bc-bc7e-333e8d6aa6be.jpeg', 'a66640c1-8016-42e4-9419-885b026558a0.jpeg']",used,0.0,0.27,342.0,342.0,2023-04-11,FR,1.0,118.0,,,,,"{'score': 1.6909341866266914e-05, 'start': 0, 'end': 18, 'answer': 'Alu/plastique gris'}",,,,,,,,,,,,,,,,,,,, boîtier transfo rectangulaire,Alu/plastique gris, 20x20cm.,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
3592,3592,4530,4530,99cec558-1472-4b6c-a180-6642dd65e5d0,Spot sur rail,Spot LED sur rail,correct,lighting_general_equipment,D.50.20.02.14,LEVALLOIS-PERRET,2022-12-20,50.0,50.0,0.0,"['9a386417-fd49-4de1-a280-3844e61495cf.jpeg', '3a9e0534-b6e6-491b-acb5-139a7fea1300.jpeg']",used,0.0,0.27,53.0,53.0,2023-09-24,FR,0.0,278.0,,,,,"{'score': 0.06043393537402153, 'start': 0, 'end': 17, 'answer': 'Spot LED sur rail'}",,,,,,,,,,,,,,,,,,,,Spot LED sur rail,,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
3739,3739,4683,4683,d14134ee-ed4d-4364-a509-3cce823979c5,Spot sur rail,Spot LED sur rail,correct,lighting_general_equipment,D.50.20.02.14,SAINT-OUEN,2023-01-13,25.0,25.0,0.0,"['9ad63208-f988-4811-93bb-2ba7eb671cbc.jpeg', 'dc43a8f6-f4b5-45ba-af44-09d54adc2da0.jpeg', 'fef463c3-eeff-4662-af06-15a786a23c25.jpeg']",used,0.0,0.27,230.0,230.0,2023-03-26,FR,1.0,72.0,,,,,"{'score': 0.06043393537402153, 'start': 0, 'end': 17, 'answer': 'Spot LED sur rail'}",,,,,,,,,,,,,,,,,,,,Spot LED sur rail,,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
3934,3934,4912,4912,0c94ab72-988f-4c1d-ad09-58f8d9db2151,Spot sur rail,"Spot coulissant sur rail, rail de 360 cm de long.",correct,lighting_general_equipment,D.50.20.02.14,LYON--6E--ARRONDISSEMENT,2023-02-28,11.8,11.8,0.0,"['71b6cd1f-ac53-4c62-8653-d1988ad87388.jpeg', '353eae98-0fdf-430f-8576-3090c1e5e3a3.jpeg']",used,0.0,0.27,2.0,2.0,2023-09-24,FR,0.0,208.0,,,,,"{'score': 0.000843607063870877, 'start': 0, 'end': 25, 'answer': 'Spot coulissant sur rail,'}",,,,,,,,,,,,,,,,,,,,,,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
4244,4244,5255,5255,6183d7bf-5931-4864-a6cb-1f8783c09c89,Spot sur rail,"Spot sur rail, multi-orientable, marque Ansorg, technologie halogène.",correct,lighting_general_equipment,D.50.20.02.14,PARIS-1ER-ARRONDISSEMENT,2023-03-08,13.0,13.0,0.0,"['f219b599-d75d-4aba-b4ee-caf1fafe1355.jpeg', '7f6c4c27-13d7-48ee-8019-e275e0f9350e.jpeg', '2dab10ed-f1cb-4534-bbd5-8af74b25e42b.jpeg']",used,0.0,0.27,229.0,229.0,2023-09-24,FR,0.0,200.0,,,,,"{'score': 2.279313093822566e-06, 'start': 0, 'end': 14, 'answer': 'Spot sur rail,'}",,,,,,,,,,,,,,,,,,,,"Spot sur rail,", halogène.,,,Gravel,Rail pads,Pr_20_85_74_71,"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails
