,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
482,482,755,755,6c88acb7-1d51-4614-9a4d-d2c558386e15,Meuble rangement,"Meubles de rangement type placards sur mesure en panneaux d'aggloméré, aux dimensions variables. Environ 118 ensembles disponibles sur site.",correct,storage_unit,E.20.20.05.3a,PARIS-16E-ARRONDISSEMENT,2022-08-16,40.0,40.0,0.0,"['eeb77aa6-63a8-4d5b-9ca1-75c16a17c958.JPG', '76cd8d14-f5a6-463d-9160-f1400c982334.png', '81ce9647-89cc-4305-8365-691cb282e575.png', '554ccc35-5e9a-4b04-9c48-c364290c6b89.png', '65a6b080-e1d2-48d2-a036-769fa9676924.png']",used,,,118.0,118.0,2022-09-26,FR,1.0,41.0,,,,,"{'score': 3.5065382689936087e-05, 'start': 0, 'end': 45, 'answer': 'Meubles de rangement type placards sur mesure'}",,,,,,,,,,,,,,,,,,,,," panneaux d'aggloméré,", variables.,,Decorative aggregates,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
651,651,1023,1023,95976552-a3ef-4f3d-a261-fd66218b5b7b,Meuble rangement,Meuble bois avec étagères. 7 portes.,verygood,storage_unit,E.20.20.05.5a,NEUILLY-SUR-SEINE,2022-07-08,120.0,120.0,0.0,"['35df8d6b-b2b5-4e87-a7c5-59b444acb226.png', '68c10634-1e01-473e-a898-d3465e9f7723.png']",used,,,1.0,1.0,2023-01-19,FR,1.0,195.0,,,,,"{'score': 0.0016885371878743172, 'start': 0, 'end': 11, 'answer': 'Meuble bois'}",,,,,,,,,,,,,,,,,,,,, bois,,,Decorative aggregates,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
894,894,1394,1394,c9e9326a-0a74-49f9-8972-4dfd2ce533d4,Mobilier extérieur,"Table extérieure avec banc, bon état général, à venir chercher",correct,exterior_furnishings,G.20.40.03.3b,VILLERS-LE-LAC,2021-11-23,30.0,30.0,0.0,['8f8f5550-6b21-4aef-b710-dd7b1807a24f.png'],used,,,1.0,1.0,2023-01-19,FR,1.0,422.0,,,,,"{'score': 0.0008460800745524466, 'start': 0, 'end': 27, 'answer': 'Table extérieure avec banc,'}",,,,,,,,,,,,,,,,,,,,,,,,Decorative aggregates,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
1142,1142,1785,1785,776a7c7d-6a01-45d6-bd01-92c03413f9a6,Mobilier extérieur,Table ronde pour extérieur en pierre naturelle effet marbre.,correct,exterior_furnishings,G.20.40.03.3d,CHAMPS-SUR-MARNE,2022-09-01,30.0,30.0,0.0,"['27ed9ac5-84e5-4ec0-9c57-ddaa11d21ca7.png', '518a26a6-15d0-430a-a778-9a4a87bfdd84.png']",used,,,7.0,3.0,2023-09-24,FR,0.0,388.0,,,,,"{'score': 0.00022466739756055176, 'start': 0, 'end': 26, 'answer': 'Table ronde pour extérieur'}",,,,,,,,,,,,,,,,,,,,, pierre naturelle,,,Decorative aggregates,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
1145,1145,1789,1789,f783dba4-c0aa-49f5-8d76-48b54c43338b,Mobilier extérieur,"Banc en pierre naturelle effet marbre pour terrasse extérieure, longueur des modules variables.",correct,exterior_furnishings,G.20.40.03.1d,CHAMPS-SUR-MARNE,2022-09-01,70.0,70.0,0.0,"['b5ffc2d4-e3b0-402d-bd6f-2ba8f1ca7423.jpg', '12c26777-f6e0-47c3-a586-4e9ef8255fe5.jpg', '09b7e37a-3f0c-4fb4-8eb7-fc88f97ee80e.jpg']",used,,,5.0,3.0,2023-09-24,FR,0.0,388.0,,,,,"{'score': 2.7389680781197967e-06, 'start': 63, 'end': 95, 'answer': ' longueur des modules variables.'}",,,,,,,,,,,,,,,,,,,,Banc, pierre naturelle, longueur des modules variables.,,Decorative aggregates,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
1240,1240,1890,1890,98089265-1c8a-44ad-b9e9-0cf56c6ed202,Meuble rangement,"Meubles de rangement type placards sur mesure en panneaux d'aggloméré, aux dimensions variables. Environ 118 ensembles disponibles sur site.",correct,storage_unit,E.20.20.05.3a,PARIS-16E-ARRONDISSEMENT,2022-09-14,40.0,40.0,0.0,"['e183df92-a230-472d-bacd-2507c418a1c9.png', '83d8ebc1-c779-4db9-a0f5-851c25b15aa7.png', '908da8ba-eadc-49d0-aaa9-3e8ad09949fe.png', 'cd53af13-379b-4325-92e1-f335ba799a5f.png', 'cad3a7a6-16b8-4491-b82e-0d9a5f2896b3.JPG']",used,,,118.0,118.0,2022-09-12,FR,1.0,-2.0,,,,,"{'score': 3.5065382689936087e-05, 'start': 0, 'end': 45, 'answer': 'Meubles de rangement type placards sur mesure'}",,,,,,,,,,,,,,,,,,,,," panneaux d'aggloméré,", variables.,,Decorative aggregates,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
1948,1948,2687,2687,193a8225-7e6d-4eba-a5e2-4b581aa864b3,Meuble de rangement,*Photo non contractuelle* Meuble métallique à tiroir,verygood,storage_unit,E.20.20.05.6b,PARIS-8E-ARRONDISSEMENT,2022-10-07,50.0,50.0,0.0,"['cc2cd53e-d503-45f1-ab2c-654ed75656c5.jpeg', '72f18e2c-0f70-4220-b5ed-de6c8eb9da51.jpeg']",used,0.0,7.3,1.0,1.0,2022-12-08,FR,1.0,62.0,,,,,"{'score': 0.0019742166623473167, 'start': 25, 'end': 52, 'answer': ' Meuble métallique à tiroir'}",,,,,,,,,,,,,,,,,,,, Meuble métallique à tiroir, métallique,,,Sitka spruce,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
2092,2092,2854,2854,46cef9a0-2ca6-46cd-ac04-15b47a3a85a8,Meuble de cuisine bois stratifié,"Meuble cuisine réalisé sur mesure en bois stratifié. 
Composé d'un meuble haut et d'un meuble bas avec un espace 
permettant d'accueillir un mini frigidaire.",verygood,other_furniture,E.20.20.90.4,PARIS-12E-ARRONDISSEMENT,2022-10-14,75.0,75.0,0.0,['58b400dd-63e1-45ce-8ef7-d45e564259b1.PNG'],used,0.0,25.5,1.0,1.0,2023-01-19,FR,1.0,97.0,,,,,"{'score': 1.8876669855671935e-05, 'start': 0, 'end': 33, 'answer': 'Meuble cuisine réalisé sur mesure'}",,,,,,,,,,,,,,,,,,,,, bois stratifié.,,,Wood,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
2504,2504,3300,3300,c8e0b797-48d9-4fe5-9aff-75769f63efaa,Meuble bar rond,"Bar rond, avec évier.",correct,the_room_bar,E.20.20.03.1,PARIS-9E-ARRONDISSEMENT,2022-10-05,270.0,270.0,0.0,['08869ceb-094d-49ae-ac16-9c05778144fa.jpg'],used,0.0,100.0,1.0,1.0,2023-09-24,FR,0.0,354.0,,,,,"{'score': 0.0002023180713877082, 'start': 0, 'end': 21, 'answer': 'Bar rond, avec évier.'}",,,,,,,,,,,,,,,,,,,,"Bar rond,",,,,Sitka spruce,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
2841,2841,3651,3651,ceac5bdb-0de8-4ca5-9753-f090aa57fa00,Meuble de rangement,Meuble de rangement avec verre dépoli ,verygood,storage_unit,E.20.20.05.4d,PARIS-11E-ARRONDISSEMENT,2022-11-17,130.0,130.0,0.0,"['9523ef1c-30ce-462f-90a0-79a39d5074a8.jpeg', '1887a026-d88c-4957-b935-3b9be9836416.jpeg', 'b4a9c836-39b4-4b95-8af3-f431a10c8288.jpeg', '19672ad7-c8f6-4868-9b69-542970d6cf56.jpeg']",used,0.0,6.9,1.0,1.0,2023-02-10,FR,1.0,85.0,,,,,"{'score': 0.0018060608999803662, 'start': 0, 'end': 37, 'answer': 'Meuble de rangement avec verre dépoli'}",,,,,,,,,,,,,,,,,,,,Meuble de rangement avec verre dépoli, verre,,,Sitka spruce,Furnishings,Pr_40_50,Furnishings,Furnishings,Furnishings
