,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
366,366,574,574,4fa115a9-4be6-4d5a-8994-57f6131f5a07,Pompe à chaleur,Pompe à chaleur (air-eau) de la marque LG,correct,other_production_of_heat,D.30.20.90.7a,ORLEANS,2022-04-15,190.0,190.0,0.0,['3271cfcc-ec95-48d0-84c7-5bd49c8148c8.jpeg'],used,,,1.0,1.0,2023-01-19,FR,1.0,279.0,,,,,"{'score': 0.008164861239492893, 'start': 38, 'end': 41, 'answer': ' LG'}",,,,,,,,,,,,,,,,,,,,Pompe à chaleur (air-eau), (air-eau),, (air-eau),Silt,Heat pumps,Pr_70_60_37,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Space heating and cooling products
829,829,1300,1300,bc2bc06b-85aa-4b9f-86bc-1ee19ddb8264,Pompe à chaleur,Pompe à chaleur (air eau) de la marque Mitsubishi electric.,correct,other_production_of_heat,D.30.20.90.7a,ORLEANS,2022-04-15,190.0,190.0,0.0,['9deb62f0-c0e2-4cf8-91fc-1115949777f3.jpeg'],used,,,1.0,1.0,2023-01-19,FR,1.0,279.0,,,,,"{'score': 0.0002784293610602617, 'start': 38, 'end': 59, 'answer': ' Mitsubishi electric.'}",,,,,,,,,,,,,,,,,,,,, (air eau),, (air eau),Silt,Heat pumps,Pr_70_60_37,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Space heating and cooling products
887,887,1382,1382,c907ec0d-e82a-4aa1-aa3a-57eb64791662,Pompe à chaleur,Air Conditionner Mitsubishi Electric. Modèle : PUHZ-P140YHA . Year Manufacture 08.2016. 400V / 50 Hz. Les autres informations se trouvent sur la photo de l'étiquette.,correct,autonomous_piece,D.30.50.06.1,CHAMPS-SUR-MARNE,2022-04-05,800.0,800.0,0.0,"['49d88c64-2379-4e14-bd8b-6eab504c4420.jpg', '46e257fd-4a67-4705-8a45-9ef10594e4f2.jpg']",used,,,1.0,1.0,2022-10-03,FR,1.0,181.0,,,,,"{'score': 3.826060856226832e-05, 'start': 0, 'end': 37, 'answer': 'Air Conditionner Mitsubishi Electric.'}",,,,,,,,,,,,,,,,,,,,,,,,Silt,Heat pumps,Pr_70_60_37,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Space heating and cooling products
1861,1861,2590,2590,0107e3cc-ea10-454f-adba-98f0fb2d1863,Thermofrigopompe,Pompe à  eau pour ventilation clim (400/690 V),correct,cooling_system,D.30.30.01.5b,PARIS-15E-ARRONDISSEMENT,2022-11-02,6000.0,6000.0,0.0,"['a24a6001-7edd-4ac3-b549-bc9f9a9d4d59.jpeg', '14ad2033-8e05-4d9a-a45e-f3fbaef1936f.jpeg']",used,0.0,10000.0,3.0,3.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 0.026145683601498604, 'start': 34, 'end': 46, 'answer': ' (400/690 V)'}",,,,,,,,,,,,,,,,,,,,Pompe à  eau,,, (400/690 V),Thermoplastic elastomer resin,Heat pumps,Pr_70_60_37,Other,Other,Space heating and cooling products
2116,2116,2879,2879,4ec8d82f-4aee-4279-82f8-874e6acc16ba,Thermofrigopompe,Pompe maintien de pression Atlantic,correct,cooling_system,D.30.30.01.5a,PARIS-15E-ARRONDISSEMENT,2022-11-02,4000.0,4000.0,0.0,"['6d3a88db-2b05-48a0-abc9-9c012db7ac27.jpeg', '0268ad6a-119a-46ff-b8e4-bc21149778f2.jpeg']",used,0.0,10000.0,2.0,2.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 0.03111797571182251, 'start': 0, 'end': 35, 'answer': 'Pompe maintien de pression Atlantic'}",,,,,,,,,,,,,,,,,,,,Pompe maintien de pression Atlantic,,,,Thermoplastic elastomer resin,Heat pumps,Pr_70_60_37,Other,Other,Space heating and cooling products
2124,2124,2887,2887,5194bae4-5b9c-4060-8cd0-c73618916f82,Pompe à chaleur individuelle,Pompe à chaleur individuelle en air - eau,correct,other_production_of_heat,D.30.20.90.7a,AUBAGNE,2022-10-25,75.0,75.0,0.0,"['e5266306-6c31-4400-8fb3-7ba5bee11ec7.jpeg', '4f13a6d0-c776-47f7-a9a7-1a45184d0805.jpeg', '172fd19d-2958-4bc6-a3b8-5323651e4bad.jpeg']",used,0.0,45.0,1.0,1.0,2023-01-19,FR,1.0,86.0,,,,,"{'score': 0.00013937709445599467, 'start': 0, 'end': 41, 'answer': 'Pompe à chaleur individuelle en air - eau'}",,,,,,,,,,,,,,,,,,,,Pompe à chaleur individuelle en air - eau, air - eau,,,Heat-absorbing glass,Heat pumps,Pr_70_60_37,Technical elements,Other,Space heating and cooling products
2162,2162,2927,2927,5dff68da-50f2-4448-91d0-6f70d4fa3f33,Thermofrigopompe,Pompe eau chaude,correct,cooling_system,D.30.30.01.5b,PARIS-15E-ARRONDISSEMENT,2022-11-02,4000.0,4000.0,0.0,['02dbc8ee-1ba7-41b7-8fde-98e51a34b045.png'],used,0.0,10000.0,2.0,2.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 0.0317293256521225, 'start': 0, 'end': 16, 'answer': 'Pompe eau chaude'}",,,,,,,,,,,,,,,,,,,,Pompe eau chaude,,,,Thermoplastic elastomer resin,Heat pumps,Pr_70_60_37,Other,Other,Space heating and cooling products
2209,2209,2980,2980,6dea6f24-025b-4fae-ae34-9e94c3b9c4dd,Thermofrigopompe,Pompe eau glacée,correct,cooling_system,D.30.30.01.5b,PARIS-15E-ARRONDISSEMENT,2022-11-02,18000.0,18000.0,0.0,"['1ef0dae2-bc9f-4db3-85b8-b152474c85e4.jpeg', '17bb9df5-4a0f-4e97-9484-d59d8ef9ae81.jpeg']",used,0.0,10000.0,9.0,9.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 0.005087597295641899, 'start': 0, 'end': 16, 'answer': 'Pompe eau glacée'}",,,,,,,,,,,,,,,,,,,,Pompe eau glacée,,,,Thermoplastic elastomer resin,Heat pumps,Pr_70_60_37,Other,Other,Space heating and cooling products
2421,2421,3208,3208,add99d2b-4dd5-4a76-81d1-926c36f2eccf,Thermofrigopompe,Pompe de récupération,correct,cooling_system,D.30.30.01.5a,PARIS-15E-ARRONDISSEMENT,2022-11-02,4000.0,4000.0,0.0,"['dca70b26-6051-4c03-a7f9-e5bc246889d5.jpeg', 'dd4fbda1-7c6f-4b6e-8eb3-e1f4baab37ed.jpeg']",used,0.0,10000.0,2.0,2.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 0.08983978629112244, 'start': 0, 'end': 21, 'answer': 'Pompe de récupération'}",,,,,,,,,,,,,,,,,,,,Pompe de récupération,,,,Thermoplastic elastomer resin,Heat pumps,Pr_70_60_37,Other,Other,Space heating and cooling products
2619,2619,3421,3421,196867d8-dae6-4535-a81a-6ec218e10a48,Pompe à chaleur tertiaire,Pompe à chaleur tertiaire en air - eau  mis en oeuvre en 2019 de marque Mitsubishi electric Air-eau,correct,other_production_of_heat,D.30.20.90.8a,LEVALLOIS-PERRET,2022-11-23,1100.0,1100.0,0.0,"['bc2efbcf-570e-4bc7-ba09-bbabd77bc23c.jpeg', '46abfdd8-57c2-449b-aab4-bb03f68761eb.jpeg']",used,0.0,132.0,4.0,4.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.0032578392419964075, 'start': 71, 'end': 99, 'answer': ' Mitsubishi electric Air-eau'}",,,,,,,,,,,,,,,,,,,,Pompe à chaleur tertiaire en air - eau,,,,Gas,Heat pumps,Pr_70_60_37,Technical elements,"Stairs, Ramps, Lift, Hardware",Space heating and cooling products
