,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
9,9,17,17,030d5007-41bc-4b62-a1b4-701240a9461b,Porte coulissante métallique,"Porte coulissante métallique
L totale 3,70m",correct,sliding_and_folding_doors,C.10.20.04.2a,VILLENEUVE-SAINT-GEORGES,2022-04-01,45.0,45.0,0.0,['2b2e71dc-774d-4056-a55f-9973af13b22e.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.003531377064064145, 'start': 0, 'end': 44, 'answer': 'Porte coulissante métallique\r\nL totale 3,70m'}",,,,,,,,,,,,,,,,,,,,Porte coulissante métallique, métallique,,,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories
86,86,136,136,13447ec9-db35-48de-a1bc-3a70efc5e1ec,Porte metalique grillagée,Porte metalique grillagée,verygood,other_exterior_personnel_doors,B.20.30.99.1,VILLENEUVE-SAINT-GEORGES,2022-04-01,30.0,30.0,0.0,['185c2eda-0762-42e1-a70c-8a25ab9de904.jpeg'],used,,,1.0,1.0,2023-03-26,FR,1.0,359.0,,,,,"{'score': 0.0067186555825173855, 'start': 0, 'end': 25, 'answer': 'Porte metalique grillagée'}",,,,,,,,,,,,,,,,,,,,Porte metalique grillagée,,,,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories
300,300,476,476,43e3d206-8f9d-4e50-a29b-498708496cf5,Cloison métallique coulissante,"26 unités disponibles
Dimensions : 6mod 83cm x 2,30m",correct,demountable_partitions,C.10.10.02.1g,PARIS-12E-ARRONDISSEMENT,2022-08-02,60.0,60.0,0.0,['c5d64fea-73f1-4e7e-8eec-29fea7a53076.png'],used,,,26.0,26.0,2023-01-19,FR,1.0,170.0,,,,,"{'score': 9.798555402085185e-05, 'start': 0, 'end': 21, 'answer': '26 unités disponibles'}",,,,,,,,,,,,,,,,,,,,,," 83cm x 2,30m",26,Metal,Metal skirtings,Pr_35_90_43_59,Structural elements,"Covering, Finish",Wire structure and general products
310,310,487,487,451bd14c-9f6d-40fe-a528-152295ba4f8e,Porte métallique simple,Porte métallique  simple,correct,simple_solid_doors,C.10.20.01.1a,VILLENEUVE-SAINT-GEORGES,2022-04-01,45.0,45.0,0.0,['22f3271e-1236-4710-8fe9-a0c7f9819a28.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.04067329689860344, 'start': 0, 'end': 24, 'answer': 'Porte métallique  simple'}",,,,,,,,,,,,,,,,,,,,Porte métallique  simple,,,,Metal,Metal skirtings,Pr_35_90_43_59,Technical elements,"Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories
353,353,553,553,4d2c4412-81f2-4601-a296-28f055c6450f,Accessoires cloison métal,Disponible immédiatement,verygood,demountable_partitions,C.10.10.02.9,SAINT-OUEN,2022-07-22,2.0,2.0,0.0,"['caf89f0a-42dc-4022-ac6d-77a49c732207.png', '82f35cb8-70d2-4f1a-9a7f-964aa40075dc.png']",used,,,92.0,92.0,2023-09-24,FR,0.0,429.0,,,,,"{'score': 0.006865722127258778, 'start': 0, 'end': 24, 'answer': 'Disponible immédiatement'}",,,,,,,,,,,,,,,,,,,,,,,,Metal,Metal skirtings,Pr_35_90_43_59,Technical elements,"Covering, Finish",Sanitary fittings and accessories
394,394,616,616,559acc98-4fd7-4abd-a379-21ab18436c28,Porte coulissante metallique,Porte coulissante metallique,correct,sliding_and_folding_doors,C.10.20.04.2a,VILLENEUVE-SAINT-GEORGES,2022-04-01,45.0,45.0,0.0,['9c60ccfc-aa34-4efd-8914-469c7f98f64a.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.11660675704479218, 'start': 0, 'end': 28, 'answer': 'Porte coulissante metallique'}",,,,,,,,,,,,,,,,,,,,Porte coulissante metallique, metallique,,,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories
457,457,719,719,6661b601-d18d-448e-894f-d0186e238368,Main courante métal,"Main courante issue de dépose formant un angle.
A repeindre.",correct,handrail,C.20.10.90.3c,CLERMONT-FERRAND,2022-02-28,13.0,13.0,0.0,['73b5debf-26c2-4f1a-9e24-dd7c90d7b176.jpg'],used,,,3.0,3.0,2023-09-24,FR,0.0,573.0,,,,,"{'score': 8.98487905942602e-06, 'start': 0, 'end': 13, 'answer': 'Main courante'}",,,,,,,,,,,,,,,,,,,,Main courante,,,,Metal,Metal skirtings,Pr_35_90_43_59,Technical elements,Other,Wire structure and general products
574,574,897,897,84bb0ce7-6508-4d65-9840-ea9ac4a4d960,Garde-corps metallique,Garde-corps metallique,correct,railing,B.20.20.06.g,VILLENEUVE-SAINT-GEORGES,2022-04-01,25.0,25.0,0.0,['9205c5dd-56f6-4ba1-8642-48097c84c46c.JPG'],used,,,4.0,4.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.12891677021980286, 'start': 0, 'end': 22, 'answer': 'Garde-corps metallique'}",,,,,,,,,,,,,,,,,,,,Garde-corps metallique, metallique,,,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages
610,610,954,954,8d2ddd2c-61bc-4c87-8b40-b6d69f5edf8b,Porte coulissante métallique,"Porte coulissante métallique
L totale 3,70m",correct,sliding_and_folding_doors,C.10.20.04.2a,VILLENEUVE-SAINT-GEORGES,2022-04-01,60.0,60.0,0.0,['4fe0196f-9876-4034-ade7-3bde634329eb.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.003531377064064145, 'start': 0, 'end': 44, 'answer': 'Porte coulissante métallique\r\nL totale 3,70m'}",,,,,,,,,,,,,,,,,,,,Porte coulissante métallique, métallique,,,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories
665,665,1046,1046,98e75d0a-2af8-4eb6-a07f-1655de1034cf,Porte coulissante métallique,Porte coulissante métallique,correct,sliding_and_folding_doors,C.10.20.04.2a,VILLENEUVE-SAINT-GEORGES,2022-04-01,45.0,45.0,0.0,['9c1ddd22-4b38-4ebc-80e7-c64ba7baa9d4.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.029729388654232025, 'start': 0, 'end': 28, 'answer': 'Porte coulissante métallique'}",,,,,,,,,,,,,,,,,,,,Porte coulissante métallique, métallique,,,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories
