,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
278,278,445,445,3fb5874f-9e2c-416c-830d-be37806f8b3e,Luminaire,Luminaire d'appoint,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['a970acd4-5b8e-4c2c-bde2-896c6d32adfc.jpeg'],used,,,3.0,3.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.09476230293512344, 'start': 0, 'end': 19, 'answer': ""Luminaire d'appoint""}",,,,,,,,,,,,,,,,,,,,Luminaire d'appoint,,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
306,306,483,483,44688a26-0a2f-40fc-96ca-e2c593c0c81d,Luminaire,Luminaire,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['5d203b6f-0710-44fb-bb60-95d4cbacaa56.jpeg'],used,,,11.0,11.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.4009758234024048, 'start': 0, 'end': 9, 'answer': 'Luminaire'}",,,,,,,,,,,,,,,,,,,,Luminaire,Luminaire,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
396,396,621,621,5662a815-c88a-43dc-a8b4-95347f06cde7,Luminaire,Luminaire,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-03-31,20.0,20.0,0.0,['cf199395-2662-4e07-98ad-11251a7fb8dc.png'],used,,,2.0,2.0,2023-05-04,FR,1.0,399.0,,,,,"{'score': 0.4009758234024048, 'start': 0, 'end': 9, 'answer': 'Luminaire'}",,,,,,,,,,,,,,,,,,,,Luminaire,Luminaire,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
603,603,946,946,8bc8ed95-e2f3-413c-9324-60bd62606d0e,Luminaire,Luminaire,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['df6084ab-0761-49ef-9339-3e866d7a1fda.jpeg'],used,,,12.0,12.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.4009758234024048, 'start': 0, 'end': 9, 'answer': 'Luminaire'}",,,,,,,,,,,,,,,,,,,,Luminaire,Luminaire,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
708,708,1110,1110,a0dbb8fb-d0da-4db2-8f09-ba405e4a5557,Luminaire,Luminaire,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['44e2158c-2092-4552-a461-3bfe479b16b9.jpeg'],used,,,4.0,4.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.4009758234024048, 'start': 0, 'end': 9, 'answer': 'Luminaire'}",,,,,,,,,,,,,,,,,,,,Luminaire,Luminaire,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
939,939,1461,1461,d3bab1f0-802f-45f6-b0e7-91c104e5cf76,Luminaire,Luminaire,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-03-31,20.0,20.0,0.0,['471a3ed8-85c2-4525-b5bb-6d3a264171c5.jpeg'],used,,,16.0,16.0,2023-05-04,FR,1.0,399.0,,,,,"{'score': 0.4009758234024048, 'start': 0, 'end': 9, 'answer': 'Luminaire'}",,,,,,,,,,,,,,,,,,,,Luminaire,Luminaire,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
1075,1075,1687,1687,f29f5e12-5e32-4e3e-9f39-7917fbc796c4,Luminaire,Luminaire,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-03-31,20.0,20.0,0.0,['216e1704-beed-4369-a37c-2a01131b2c7b.jpeg'],used,,,8.0,8.0,2023-05-04,FR,1.0,399.0,,,,,"{'score': 0.4009758234024048, 'start': 0, 'end': 9, 'answer': 'Luminaire'}",,,,,,,,,,,,,,,,,,,,Luminaire,Luminaire,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
1094,1094,1713,1713,f76bbd95-eccd-4eb6-ba73-665a072e0ce2,Luminaire,Luminaire,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['7722d278-e80c-443c-b1d3-5a3981a83a42.jpeg'],used,,,27.0,27.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.4009758234024048, 'start': 0, 'end': 9, 'answer': 'Luminaire'}",,,,,,,,,,,,,,,,,,,,Luminaire,Luminaire,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
1123,1123,1756,1756,fbbbbc02-56db-4feb-9202-ac4b632c5676,Luminaire,Luminaire,correct,lighting_general_equipment,D.50.20.02.6,VILLENEUVE-SAINT-GEORGES,2022-04-01,20.0,20.0,0.0,['e5655e22-71ee-418a-8a5d-3e3544799ef8.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.4009758234024048, 'start': 0, 'end': 9, 'answer': 'Luminaire'}",,,,,,,,,,,,,,,,,,,,Luminaire,Luminaire,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
1489,1489,2170,2170,57c1ef3c-0e28-4a8b-84de-bf19716b4b1a,Luminaire,"Luminaires déposés proprement lors du curage de la réhabilitation d'un bâtiment. Actuellement stockés à l'abris dans un sous-sol sur palettes. 
D'autres matériaux sont disponibles : des radiateurs, des sanitaires et un lavabo.",correct,lighting_general_equipment,D.50.20.02.9,CORBEIL-ESSONNES,2022-09-29,0.0,0.0,0.0,"['d7f6d653-1202-4843-8dff-bfb65c28f6a8.jpeg', '8ea9e197-6700-4948-9ae2-c33923d62d65.jpg', '303281a7-bd97-4d94-a6d7-8541be4067e7.png']",used,6.82,3.6,35.0,35.0,2023-01-19,FR,1.0,112.0,,,,,"{'score': 3.1871245198544784e-08, 'start': 143, 'end': 163, 'answer': ""\r\nD'autres matériaux""}",,,,,,,,,,,,,,,,,,,,Luminaires,,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
1490,1490,2171,2171,57dafe1e-144c-4d1b-a655-fe2bb62e90d4,Luminaire,Luminaire à ampoule,correct,lighting_general_equipment,D.50.20.02.6,PARIS-14E-ARRONDISSEMENT,2022-04-29,15.0,15.0,0.0,"['3dd0686e-d2c3-4d30-bcbb-738fd50ed4cf.jpeg', 'efc7fc2d-7232-49ea-8f79-099610727764.jpeg']",used,0.0,2.0,25.0,25.0,2022-10-03,FR,1.0,157.0,,,,,"{'score': 0.06229263171553612, 'start': 0, 'end': 19, 'answer': 'Luminaire à ampoule'}",,,,,,,,,,,,,,,,,,,,Luminaire à ampoule,,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
1753,1753,2469,2469,cfec2775-c110-4f5b-a92c-b6f04a717d4f,Luminaire,Luminaire plafonnier métallique à ampoule,correct,lighting_general_equipment,D.50.20.02.9,TOULOUSE,2022-09-19,30.0,30.0,0.0,['2693078d-c38a-4a98-b37a-8499735b2222.jpg'],used,6.82,3.6,1.0,1.0,2022-10-03,FR,1.0,14.0,,,,,"{'score': 0.060431066900491714, 'start': 0, 'end': 41, 'answer': 'Luminaire plafonnier métallique à ampoule'}",,,,,,,,,,,,,,,,,,,,Luminaire plafonnier métallique à ampoule, métallique,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
1864,1864,2594,2594,0295fd57-d0b9-481e-9194-e32e8936638d,Luminaire,Luminaire encastrable,correct,lighting_general_equipment,D.50.20.02.6,PARIS-8E-ARRONDISSEMENT,2022-10-07,15.0,15.0,0.0,"['9f4a1ed4-967b-4c9a-a687-18b1e3697e5f.jpeg', 'f11ca17b-177f-45a4-accc-55a6002083d7.jpeg']",used,0.0,2.0,20.0,20.0,2022-12-30,FR,1.0,84.0,,,,,"{'score': 0.010105683468282223, 'start': 0, 'end': 21, 'answer': 'Luminaire encastrable'}",,,,,,,,,,,,,,,,,,,,Luminaire encastrable,,,,Lignite,Recessed luminaires,Pr_70_70_48_71,Other,Other,"Lighting columns, brackets and bollards"
