,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
4,4,8,8,0235c89a-2cf3-47d2-979d-0ea0ba2c67b9,Isolation laine de verre,"Vendu par rouleaux de 12m2 et 60mm d'épaisseur dans l'emballage d'origine
A disposition 44 rouleaux sur 2 palettes de 18 et une de 8 
Surplus de chantier à venir chercher très rapidement",new,other_coating,C.30.30.90,AVON,2022-08-19,5.0,5.0,0.0,"['c3f04845-48da-4f7d-bdb8-ea08f1b8953f.jpeg', '48bc342b-5a4e-4f43-af59-84bbf47a3c35.jpeg', 'ec838a21-915b-450c-adfe-1c6f47678e10.jpeg', '58251e40-dbbd-478b-aa68-22e4f9bdd80a.jpeg']",new,,,528.0,528.0,2022-09-26,FR,1.0,38.0,,,,,"{'score': 1.774325710357516e-06, 'start': 29, 'end': 73, 'answer': "" 60mm d'épaisseur dans l'emballage d'origine""}",,,,,,,,,,,,,,,,,,,,,,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
837,837,1312,1312,bd458f31-c9d5-49f7-a366-3ca602642bad,Porte coulissante automatique en verre,Porte coulissante automatique en verre,correct,sliding_and_folding_doors,C.10.20.04.2i,PARIS-10E-ARRONDISSEMENT,2022-08-26,115.0,115.0,0.0,['bfd849d8-906e-4e9b-81f4-310c58366d67.png'],reconditioned,,,2.0,2.0,2022-09-26,FR,1.0,31.0,,,,,"{'score': 0.04062165692448616, 'start': 0, 'end': 38, 'answer': 'Porte coulissante automatique en verre'}",,,,,,,,,,,,,,,,,,,,Porte coulissante automatique en verre, verre,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels
927,927,1445,1445,d1744176-f889-4e4a-96fe-4f4b8a6dcb41,Cloison verre,"Hauteur variable allant de 2,24 à 2,45 - Surface totale d'environ 80 m²",verygood,demountable_partitions,C.10.10.02.1f,NEUILLY-SUR-SEINE,2022-07-08,60.0,60.0,0.0,"['80532913-0728-4cc3-9404-50697954d81f.png', '33bde42f-2c73-48bc-9fb6-7de690d110c4.png', '71a6f3e4-5a38-4533-b7bb-0a31ba32118d.png']",used,,,30.0,11.0,2023-09-24,FR,0.0,443.0,,,,,"{'score': 6.608616445191728e-07, 'start': 33, 'end': 38, 'answer': ' 2,45'}",,,,,,,,,,,,,,,,,,,,,,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Covering, Finish",Glass blocks and panels
1290,1290,1945,1945,015606ec-bdaf-4b1c-bc65-052679942610,Porte coulissante automatique en verre,Porte coulissante automatique en verre,correct,sliding_and_folding_doors,C.10.20.04.2i,PARIS-10E-ARRONDISSEMENT,2022-09-27,115.0,115.0,0.0,['58f1ec06-c590-4d33-93af-e6c01f334ec1.png'],reconditioned,1628.06,149.5,2.0,2.0,2023-03-26,FR,1.0,180.0,,,,,"{'score': 0.04062165692448616, 'start': 0, 'end': 38, 'answer': 'Porte coulissante automatique en verre'}",,,,,,,,,,,,,,,,,,,,Porte coulissante automatique en verre, verre,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels
1656,1656,2360,2360,a22ffecf-8660-4fd9-a9f3-7f57bf6f2c74,Bandes verre,"Une bande fissurée ; 7 bandes h=1,80m ; 3 bandes h=2,80",verygood,windows,B.20.20.01.2a,LES SABLES-D'OLONNE,2022-09-16,146.0,146.0,0.0,"['eb774b6a-fd9b-47f8-8eda-114bed771aea.jpeg', 'afed5051-d501-4e1d-b8c2-7b4081020d41.jpeg']",used,0.08,0.09,5.0,5.0,2022-10-03,FR,1.0,17.0,,,,,"{'score': 0.0001282866287510842, 'start': 48, 'end': 55, 'answer': ' h=2,80'}",,,,,,,,,,,,,,,,,,,,Une bande fissurée, bande fissurée,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Covering, Finish",Glass blocks and panels
1884,1884,2616,2616,08a5a7dd-3ed5-42f1-99a9-2808657168a8,Brique de verre,Briques de verre. Nombre de briques : 120 unités,correct,fixed_partitions,C.10.10.01.3a,BRIANCON,2022-05-25,90.0,90.0,0.0,"['c5bec206-539a-444c-bf43-fcfbf92f7f8f.jpeg', '0e9d7fb2-2e86-4d8e-9815-c4c1552098d4.jpeg']",used,0.0,10.8,4.0,4.0,2023-01-19,FR,1.0,239.0,,,,,"{'score': 0.0007294042152352631, 'start': 0, 'end': 17, 'answer': 'Briques de verre.'}",,,,,,,,,,,,,,,,,,,,Briques de verre.,Briques de verre.,, 120 unités,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
1980,1980,2726,2726,235559bf-9937-4fa9-bff7-d3a268b53b76,Plafonnier verre,"Plafonnier verre de diamètre de 45 cm et hauteur de 20 cm, en verre avec une couronne en laiton.",correct,lighting_general_equipment,D.50.20.02.6,PARIS-9E-ARRONDISSEMENT,2022-10-05,40.0,40.0,0.0,['61bec690-588b-4a55-beb9-c7d0a4a3d711.jpeg'],used,0.0,2.0,2.0,2.0,2023-09-24,FR,0.0,354.0,,,,,"{'score': 0.017807818949222565, 'start': 0, 'end': 16, 'answer': 'Plafonnier verre'}",,,,,,,,,,,,,,,,,,,,Plafonnier verre,,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels
1987,1987,2734,2734,259aeb2c-4fce-47e5-8e23-262b09552878,Brique de verre,Brique de verre en Verre,correct,fixed_partitions,C.10.10.01.3a,EPERNAY,2022-11-04,0.0,0.0,0.0,['0ad06b67-ad7c-45d6-bdc0-42f21feb8a5d.jpeg'],used,0.0,36.0,1.0,1.0,2023-01-07,FR,1.0,64.0,,,,,"{'score': 0.03270572051405907, 'start': 0, 'end': 24, 'answer': 'Brique de verre en Verre'}",,,,,,,,,,,,,,,,,,,,Brique de verre en Verre,,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
2017,2017,2773,2773,2f6d694e-ac4d-41e9-b39a-85c466ed571a,Brique de verre,Brique de verre en Verre,correct,fixed_partitions,C.10.10.01.3a,EPERNAY,2022-11-04,0.0,0.0,0.0,['655c1e1a-94b9-4ea3-b404-244931349e91.jpeg'],used,0.0,36.0,2.0,2.0,2023-01-07,FR,1.0,64.0,,,,,"{'score': 0.03270572051405907, 'start': 0, 'end': 24, 'answer': 'Brique de verre en Verre'}",,,,,,,,,,,,,,,,,,,,Brique de verre en Verre,,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
2157,2157,2920,2920,5b058fed-3ba8-4f0b-83e9-fd8769998686,Brique de verre,Pavé de verre multicolores 20X20cm,verygood,fixed_partitions,C.10.10.01.3a,PARIS-15E-ARRONDISSEMENT,2022-11-02,100.0,100.0,0.0,"['7776bce6-eaec-4dd8-b929-8ed52b2b9406.jpeg', '42705feb-57a4-4bcb-9f72-111451604bb2.jpeg']",used,0.0,12.0,33.0,33.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 0.0020153592340648174, 'start': 0, 'end': 34, 'answer': 'Pavé de verre multicolores 20X20cm'}",,,,,,,,,,,,,,,,,,,,Pavé de verre,,,,Patterned glass,Glass fins,Pr_25_71_33_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
