,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
61,61,96,96,0e0cd481-d10c-4dc3-994e-a7464a298f3a,Arbre type bouleau,Arbres type bouleau.  A déraciner par le repreneur.,verygood,plants,G.20.50.08,NANTES,2022-01-21,100.0,100.0,0.0,['021265ac-d4a6-4687-b571-37905eb7a307.jpeg'],used,,,14.0,14.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 5.538791810977273e-06, 'start': 0, 'end': 20, 'answer': 'Arbres type bouleau.'}",,,,,,,,,,,,,,,,,,,,Arbres type bouleau., bouleau.,,,Borosilicate glass,Bolsters,Pr_40_50_81_09,"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards"
509,509,799,799,72f8d29e-01e5-4b2c-a80f-7a0322ded2a8,Boiserie,Lambris bois stratifié,correct,wood_flooring,C.30.20.03.3,CHATILLON,2022-07-05,5.0,5.0,0.0,['7b5f982b-6b75-4fee-95f3-407f5d7babf9.jpeg'],used,,,6.0,6.0,2023-02-21,FR,1.0,231.0,,,,,"{'score': 0.047870442271232605, 'start': 0, 'end': 22, 'answer': 'Lambris bois stratifié'}",,,,,,,,,,,,,,,,,,,,Lambris bois stratifié, bois stratifié,,,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,"Lighting columns, brackets and bollards"
816,816,1275,1275,b86ded60-b44c-49a3-a701-7db2b79d58c1,Boiserie,"Environ 40m² pour chaque type (Type 1 surface plane, type 2 surface rainurée",correct,woodwork,C.30.10.99,NEUILLY-SUR-SEINE,2022-07-08,35.0,35.0,0.0,"['e5c94b78-d6bd-4b02-bd4f-c59f3f272b7b.jpg', 'efc7dbc2-8bbc-4060-b55e-10084baaa78b.jpg', '23209514-eaf1-4d57-956d-99f57aa6d403.jpg']",used,,,85.0,85.0,2023-09-24,FR,0.0,443.0,,,,,"{'score': 0.00015287898713722825, 'start': 7, 'end': 12, 'answer': ' 40m²'}",,,,,,,,,,,,,,,,,,,,,,,,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,"Lighting columns, brackets and bollards"
1066,1066,1670,1670,f00ae554-4805-4086-aa57-76b9e537b9b5,Boiserie,"Boiserie mural pour habillage de l'ebrasement. Bois traité, essence : noyer. Epaisseur : 12 cm / dimension de l'ouvrant 160 cm. Nombre total d'unité : 2.",verygood,woodwork,C.30.10.99,PARIS-8E-ARRONDISSEMENT,2022-05-17,40.0,40.0,0.0,"['52a9a11f-bd6a-4d1b-b28b-0562a097184c.jpeg', 'af5b4fc3-aad4-4bf1-9986-75a70a249c24.jpeg', 'ff2cb864-d6b5-4459-a3f1-2358cb145441.jpeg']",used,,,2.0,2.0,2022-09-26,FR,1.0,132.0,,,,,"{'score': 4.321116648497991e-05, 'start': 0, 'end': 14, 'answer': 'Boiserie mural'}",,,,,,,,,,,,,,,,,,,,,,, 2.,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,"Lighting columns, brackets and bollards"
1089,1089,1706,1706,f671cbac-3e67-48ab-be59-c0732ff451f9,Boiserie,Lambris bois posée en sous-face intérieure de la toiture,correct,woodwork,C.30.10.99,CHATILLON,2022-07-06,5.0,5.0,0.0,"['5960d686-fe27-4bf6-b20d-5aa46361289a.jpeg', 'b1d1fa95-56e7-4c90-84c1-a211845aa164.jpeg']",used,,,909.0,909.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 1.4672376892121974e-05, 'start': 0, 'end': 12, 'answer': 'Lambris bois'}",,,,,,,,,,,,,,,,,,,,Lambris bois,Lambris bois,,,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,"Lighting columns, brackets and bollards"
1388,1388,2061,2061,2c549e31-4cb6-4507-bad8-6469d5d5a748,Boiserie,Boiserie sur 2 murs de salle de conférence,correct,woodwork,C.30.10.99,PARIS-8E-ARRONDISSEMENT,2022-09-16,60.0,60.0,0.0,"['b773e2c2-199a-47a9-9fa1-f8c1457786e0.jpeg', '46f07586-d2c0-4277-88c3-b52b55db7174.jpeg', 'bf0584eb-6d4a-438a-b5ab-4be5f7f6388e.jpeg', 'bce6470a-72f0-48a7-a31f-9a8a3bfae20c.jpeg']",used,0.25,11.22,24.0,24.0,2023-01-19,FR,1.0,125.0,,,,,"{'score': 5.499465987668373e-05, 'start': 0, 'end': 8, 'answer': 'Boiserie'}",,,,,,,,,,,,,,,,,,,,,Boiserie,,,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,"Lighting columns, brackets and bollards"
1389,1389,2062,2062,2c7ad1a8-8399-450d-930a-93a2f7c5892a,Boiserie,Revêtement mural en bois,correct,woodwork,C.30.10.99,PARIS-8E-ARRONDISSEMENT,2022-09-16,50.0,50.0,0.0,"['66e8bb8e-4f5d-4404-9256-97c2cbf159b8.jpeg', '5adbac56-0d32-4547-8206-7b42aaebccd4.jpeg', '080d5e8f-1ae3-45af-928f-d13e4128a5a3.jpeg']",used,0.25,11.22,39.0,39.0,2023-01-19,FR,1.0,125.0,,,,,"{'score': 0.0310176033526659, 'start': 0, 'end': 24, 'answer': 'Revêtement mural en bois'}",,,,,,,,,,,,,,,,,,,,Revêtement mural en bois,Revêtement mural en bois,,,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,"Lighting columns, brackets and bollards"
1449,1449,2128,2128,451e5e4d-6cc6-4b23-8b35-cd1e02c2722b,Bouche,Bouche d'insufflation encastrable en aluminium thermolaqué blanc. 45x45cm.,verygood,air_heating_cooling_distribution,D.30.40.01.2,PUTEAUX,2022-09-22,7.0,7.0,0.0,"['0c774e10-22ff-4bfc-a54e-ed00de3d77a3.jpeg', '656ca1b0-f8a3-4b36-9559-1acdc7a5fafb.jpeg']",used,0.0,27.79,34.0,34.0,2022-10-03,FR,1.0,11.0,,,,,"{'score': 0.011658321134746075, 'start': 65, 'end': 74, 'answer': ' 45x45cm.'}",,,,,,,,,,,,,,,,,,,,,, 45x45cm., 45x45cm.,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,Other
1603,1603,2302,2302,8af1af5a-ab53-41cd-80c1-3c03e8449019,Bouche,Bouche d'insufflation plastique circulaire blanc en ABS. Diamètre 8cm.,correct,air_heating_cooling_distribution,D.30.40.01.2,PUTEAUX,2022-09-22,7.0,7.0,0.0,"['9c550c9d-f614-43bd-9f07-597b1b74b433.jpeg', 'fc531b81-a8b6-4279-ab77-9c83de83d754.jpeg', 'e2659b19-a123-492a-834f-7be76ed51ab2.jpeg']",used,0.0,104.29,105.0,105.0,2022-10-03,FR,1.0,11.0,,,,,"{'score': 0.00581026216968894, 'start': 0, 'end': 56, 'answer': ""Bouche d'insufflation plastique circulaire blanc en ABS.""}",,,,,,,,,,,,,,,,,,,,, ABS., 8cm.,,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,Other
3202,3202,4124,4124,c91c2039-9e9b-42dd-a218-9fbe148339c0,Boiserie,"Boiserie, plaques de 91x255 cm.",correct,wall_panelling,C.30.10.90.4,RUNGIS,2022-12-15,39.14,39.14,0.0,['d801f2e0-355c-4102-9b9e-502d34e1d68a.jpeg'],used,0.0,18.87,30.0,30.0,2023-09-24,FR,0.0,283.0,,,,,"{'score': 0.00021355376520659775, 'start': 0, 'end': 9, 'answer': 'Boiserie,'}",,,,,,,,,,,,,,,,,,,,,"Boiserie,", 91x255 cm.,,Pisé,Bolsters,Pr_40_50_81_09,Other,Other,"Lighting columns, brackets and bollards"
