,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
206,206,330,330,30257ed0-fe34-459d-8388-45e30cdd3957,"Lavabo blanc , marque ,",Issu de surplus de commande.,new,lavatories,D.20.10.04.7b,CLERMONT-FERRAND,2022-02-28,20.0,20.0,0.0,['96d3556b-9a7a-45ae-ae35-f14ffa8d3318.jpg'],new,,,5.0,4.0,2023-09-24,FR,0.0,573.0,,,,,"{'score': 0.0005177881685085595, 'start': 7, 'end': 28, 'answer': ' surplus de commande.'}",,,,,,,,,,,,,,,,,,,, surplus de commande.,,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,Furnishings,Furnishings,Sanitary fittings and accessories
435,435,682,682,61ce8fc9-d3b7-4133-ab07-a81e0fc7705b,Lavabo blanc sur pied,Lavabos lavés et nettoyés par Cycle Up,verygood,lavatories,D.20.10.04.1a,SAINT-OUEN,2021-04-20,80.0,80.0,0.0,"['e64cb96a-e97d-4f0d-95db-6878e77f0852.JPG', 'd9ddd14f-dfe0-4fab-8e27-909eb08def8b.JPG', '85b9c6c6-cbb8-4a72-a435-207a3838af3a.JPG', '01f86af3-dc41-4e17-ae3e-d54e2e1cdf0f.JPG']",used,,,6.0,6.0,2023-03-26,FR,1.0,705.0,,,,,"{'score': 0.016950614750385284, 'start': 29, 'end': 38, 'answer': ' Cycle Up'}",,,,,,,,,,,,,,,,,,,,Lavabos,,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
558,558,874,874,80a5d5d2-6280-4514-b57f-31a1db763e9e,Lavabo simple vasque encastré,"Simple vasque en céramique
Encastré
Conditionnement : Palette",correct,lavatories,D.20.10.04.1b,PARIS-12E-ARRONDISSEMENT,2022-08-02,30.0,30.0,0.0,['87de210d-7248-433e-8373-57edb50181fb.png'],used,,,57.0,57.0,2023-01-19,FR,1.0,170.0,,,,,"{'score': 0.002439262345433235, 'start': 0, 'end': 26, 'answer': 'Simple vasque en céramique'}",,,,,,,,,,,,,,,,,,,,Simple vasque en céramique, céramique,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
594,594,935,935,8a57009c-9dcd-4dec-9f3c-b9fe9d235dd0,Autre évier,Vidoir,correct,other_plumbing_fixture,D.20.10.01.1,CHATILLON,2022-07-06,35.0,35.0,0.0,"['7c70b737-80f6-46a3-ba60-ed2f897df65a.jpeg', 'fbddab8f-2adf-480c-afdf-851c9ed9c650.jpeg']",used,,,3.0,3.0,2022-10-03,FR,1.0,89.0,,,,,"{'score': 0.050038814544677734, 'start': 0, 'end': 6, 'answer': 'Vidoir'}",,,,,,,,,,,,,,,,,,,,Vidoir,,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
958,958,1502,1502,d91854ee-f521-4bc4-bdb7-3d07421443e4,Autre évier,Vidoir,correct,other_plumbing_fixture,D.20.10.01.1,CHATILLON,2022-07-06,35.0,35.0,0.0,"['6c7333ca-009b-45f6-ad0f-62c06ae6b8b9.jpeg', 'ebe704d7-c7bf-4b44-9314-dd258cb5da0e.jpeg']",used,,,2.0,2.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.050038814544677734, 'start': 0, 'end': 6, 'answer': 'Vidoir'}",,,,,,,,,,,,,,,,,,,,Vidoir,,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
1101,1101,1725,1725,f8508ad8-142e-4722-b2cf-3235c3d6eb5a,Lavabo simple vasque,"Simple vasque en marbre 
Encastré 
Conditionnement : Palette",correct,lavatories,D.20.10.04.1g,PARIS-12E-ARRONDISSEMENT,2022-08-02,60.0,60.0,0.0,['6ff0ff82-327e-4531-97f2-d10d42645ac8.png'],used,,,13.0,13.0,2023-01-19,FR,1.0,170.0,,,,,"{'score': 0.00011476321378722787, 'start': 0, 'end': 23, 'answer': 'Simple vasque en marbre'}",,,,,,,,,,,,,,,,,,,,Simple vasque en marbre, marbre,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories
1874,1874,2605,2605,06619e2e-f2ab-4f1c-8305-6669b94a9d5b,Lavabo à vasque simple suspendue,Vasque simple suspendue en céramique (variées),damaged,lavatories,D.20.10.04.11,EPERNAY,2022-11-04,0.0,0.0,0.0,['551b9e25-57b2-4f8d-93f5-ab38670b0c0d.jpeg'],used,0.0,26.73,2.0,2.0,2023-03-26,FR,1.0,142.0,,,,,"{'score': 0.00020424477406777442, 'start': 0, 'end': 36, 'answer': 'Vasque simple suspendue en céramique'}",,,,,,,,,,,,,,,,,,,,, céramique,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories
2051,2051,2809,2809,38654dc1-810a-4298-a330-47accf8dc370,Lavabo à vasque simple suspendue,Vasque simple suspendue en céramique (variées),damaged,lavatories,D.20.10.04.11,EPERNAY,2022-11-09,0.0,0.0,0.0,['be17e59f-e742-4cf4-9dc0-1bd98d69beca.jpeg'],used,0.0,26.73,1.0,1.0,2023-01-07,FR,1.0,59.0,,,,,"{'score': 0.00020424477406777442, 'start': 0, 'end': 36, 'answer': 'Vasque simple suspendue en céramique'}",,,,,,,,,,,,,,,,,,,,, céramique,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories
2098,2098,2861,2861,49626f13-5172-41c7-8d6d-03f6540dd5c6,Lavabo à vasque simple suspendue,Vasque simple suspendue en céramique (variées),damaged,lavatories,D.20.10.04.11,EPERNAY,2022-11-08,0.0,0.0,0.0,"['43c49144-f6d9-4dfc-accd-16a744be9698.jpeg', '4522b220-7700-4e93-bc2a-78de80879727.jpeg']",used,0.0,26.73,1.0,1.0,2023-03-26,FR,1.0,138.0,,,,,"{'score': 0.00020424477406777442, 'start': 0, 'end': 36, 'answer': 'Vasque simple suspendue en céramique'}",,,,,,,,,,,,,,,,,,,,, céramique,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories
2243,2243,3014,3014,784d1658-4dc1-4105-93cb-54b42c406960,Lavabo à vasque simple,Vasque simple sur colonne en Céramique,damaged,lavatories,D.20.10.04.11,EPERNAY,2022-11-08,0.0,0.0,0.0,['c0f72a45-358e-4a97-ac46-1fe53f9b0cc6.jpeg'],used,0.0,26.73,1.0,1.0,2023-03-26,FR,1.0,138.0,,,,,"{'score': 0.13504281640052795, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en Céramique'}",,,,,,,,,,,,,,,,,,,,, Céramique,,,Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories
