,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
4844,4844,5922,5922,15f130a0-155d-4612-966d-5f582c644471,Accessoire intégré, Miroir de salle de bains rectangulaire suspendu.,correct,bath_and_toilet_accessories,C.10.30.02.5,NEUILLY-SUR-SEINE,2023-03-14,20.0,20.0,0.0,"['3b6a6cf3-f2e2-43a6-8d1d-c59000213b79.jpeg', '3351d611-1122-479f-8271-ba7bdcae6364.jpeg']",used,12.64,5.0,2.0,2.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 2.057053461612668e-05, 'start': 1, 'end': 49, 'answer': 'Miroir de salle de bains rectangulaire suspendu.'}",,,,,,,,,,,,,,,,,,,,,,,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
4891,4891,5972,5972,25ac735b-851b-45b4-b84d-51db1e694335,Accessoire intégré,Grille de ventilation métallique peinte en blanc,verygood,other_built_in_accessory,C.10.30.90.2,NEUILLY-SUR-SEINE,2023-03-14,30.0,30.0,0.0,"['aa5cc67c-3742-4b1a-b04a-176466142ff2.jpeg', 'befcabf9-d84e-4711-a6b6-456ff32a04a5.jpeg', '7fcfd07b-d22c-4129-9516-2f563394409a.jpeg']",used,0.0,16.0,6.0,6.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 0.00021992628171574324, 'start': 0, 'end': 48, 'answer': 'Grille de ventilation métallique peinte en blanc'}",,,,,,,,,,,,,,,,,,,,,,,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
4925,4925,6006,6006,325251a6-49ef-4ef8-8063-d53fcaa3f0d1,Accessoire intégré,Sèche-mains DYSON Airblade. Disponibilité à confirmer avec les locataires.,correct,bath_and_toilet_accessories,C.10.30.02.10,NEUILLY-SUR-SEINE,2023-03-14,30.0,30.0,0.0,"['0a4c124f-cc81-4163-93cd-b4c622e9ea6e.jpeg', 'fa5a7ac6-6d77-4453-abc6-3f005b3b9cae.jpeg']",used,0.0,5.5,6.0,6.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 0.00010479555930942297, 'start': 0, 'end': 27, 'answer': 'Sèche-mains DYSON Airblade.'}",,,,,,,,,,,,,,,,,,,,Sèche-mains DYSON Airblade.,,,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
4943,4943,6024,6024,3787878f-8207-4724-8879-350d11fe67fb,Accessoire intégré,"Distributeur de papier grand rouleau Jumbo, plusieurs modèles disponibles. Capot métallique ou ABS blanc et gris.",correct,bath_and_toilet_accessories,C.10.30.02.3,NEUILLY-SUR-SEINE,2023-03-14,10.0,10.0,0.0,"['a5c0ff09-32f7-4c67-ace0-6e2985ea9019.jpeg', '69266380-3b26-42c8-a542-cd641d45ddd9.jpeg', '99a7ecf1-16fd-40f7-8167-4b3b84ef5d53.jpeg', '64f07b55-40fa-4b10-be68-8bcb5d6e7299.jpeg', 'b8dc7f86-698a-44dd-9deb-b2f287ab9103.jpeg']",used,0.0,1.0,78.0,78.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 0.0008563826559111476, 'start': 36, 'end': 43, 'answer': ' Jumbo,'}",,,,,,,,,,,,,,,,,,,,"Distributeur de papier grand rouleau Jumbo,",,,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
4962,4962,6044,6044,3c963392-2b7c-4285-8bdb-c5c2dbde20b9,Accessoire intégré,Sèche-main Sofmat Optima,correct,bath_and_toilet_accessories,C.10.30.02.10,NEUILLY-SUR-SEINE,2023-03-14,30.0,30.0,0.0,['18868232-5d90-4d4d-bd88-4d40a9338276.jpeg'],used,0.0,5.5,2.0,2.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 0.009060272946953773, 'start': 0, 'end': 24, 'answer': 'Sèche-main Sofmat Optima'}",,,,,,,,,,,,,,,,,,,,Sèche-main Sofmat Optima,,,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
5155,5155,6259,6259,837887a1-71d6-4d74-ba4f-cfc784589b63,Accessoire intégré,"Distributeur de  serviettes en papier, plusieurs modèles disponibles. Capot en ABS blanc.",verygood,bath_and_toilet_accessories,C.10.30.02.3,NEUILLY-SUR-SEINE,2023-03-14,10.0,10.0,0.0,"['d5706ed3-a886-4ac2-a22b-b1f084b29c42.jpeg', '9da0f430-e025-4244-bbf3-da59dc22c374.jpeg', 'a84a7e19-70d0-4dc0-8b15-a70060b01e45.jpeg', 'eedd7764-fceb-415d-b415-ce24b159abea.jpeg', 'f5d5e9c1-c7cf-48ee-b7d4-f0f8ef6c363a.jpeg']",used,0.0,1.0,47.0,47.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 0.0002457973314449191, 'start': 0, 'end': 38, 'answer': 'Distributeur de  serviettes en papier,'}",,,,,,,,,,,,,,,,,,,,"Distributeur de  serviettes en papier,"," papier,",,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
5160,5160,6264,6264,8623c8a7-2e7d-4d8c-97e3-2436192c1e3e,Accessoire intégré,"Porte savon, distributeur de savon, plusieurs modèles disponibles (DEB, Initial, Rossignol, JVD, Tork..)",correct,bath_and_toilet_accessories,C.10.30.02.7,NEUILLY-SUR-SEINE,2023-03-14,10.0,10.0,0.0,"['371f7b1b-7713-4f5d-a472-5be176ceccf6.jpeg', '7038282f-e7c6-46f6-8adf-51d13f2c884b.jpeg', '9a07bf60-0233-4461-b02a-ff510ffd17f6.jpeg']",used,0.0,0.5,81.0,81.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 3.924843258573674e-05, 'start': 0, 'end': 12, 'answer': 'Porte savon,'}",,,,,,,,,,,,,,,,,,,,"Porte savon,",,,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
5218,5218,6328,6328,98327ae3-442f-4c09-97eb-ae0effa50f1c,Accessoire intégré,"Cache-radiateur, grille metallique dorée 100x42cm.",correct,other_built_in_accessory,C.10.30.90.2,NEUILLY-SUR-SEINE,2023-03-14,30.0,30.0,0.0,"['3a307fa2-5e8a-4323-9032-e28fd6902c3b.jpeg', 'd4fbea4b-199e-4d21-8840-1704b319a292.jpeg']",used,0.0,16.0,3.0,3.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 0.000245028204517439, 'start': 40, 'end': 50, 'answer': ' 100x42cm.'}",,,,,,,,,,,,,,,,,,,,"Cache-radiateur,", metallique, 100x42cm., 100x42cm.,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
5258,5258,6369,6369,aa55900e-b6d0-48fe-b98c-5c26b7f2ce01,Accessoire intégré,"Distributeur de papier de toilette plié, plusieurs modèles disponibles.",correct,bath_and_toilet_accessories,C.10.30.02.3,NEUILLY-SUR-SEINE,2023-03-14,10.0,10.0,0.0,"['47952b10-2bfb-4826-b503-caed9ab9e0e8.jpeg', '7d0ca4bb-df51-4ebc-914e-22ee45e9e29e.jpeg', '2d5b7630-c091-4896-b3dc-fade6144432a.jpeg']",used,0.0,1.0,16.0,16.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 1.641264680074528e-05, 'start': 0, 'end': 40, 'answer': 'Distributeur de papier de toilette plié,'}",,,,,,,,,,,,,,,,,,,,"Distributeur de papier de toilette plié,",,,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
5292,5292,6406,6406,b473a5c0-2d86-4afb-80ab-651975400f85,Accessoire intégré,"Miroir de salle de bains, support de fixation en inox, plusieurs dimensions disponibles 75 à 125 cm de hauteur, 40 à 220 cm de largeur.",correct,bath_and_toilet_accessories,C.10.30.02.5,NEUILLY-SUR-SEINE,2023-03-14,20.0,20.0,0.0,"['f688ebcc-56d4-4ed7-86ca-7d7b30364cdc.jpeg', '24e6de8e-84db-46db-803e-13485291cc80.jpeg', 'f3e25d70-d705-4b72-8562-5512a7fca727.jpeg', 'aabe3b16-7f1b-4a00-b2ad-1973b6575430.jpeg', '31438880-86f7-4c5a-a2c9-bd3c3cdc05c2.jpeg']",used,12.64,5.0,82.0,82.0,2023-09-24,FR,0.0,194.0,,,,,"{'score': 1.1316398740746081e-05, 'start': 0, 'end': 25, 'answer': 'Miroir de salle de bains,'}",,,,,,,,,,,,,,,,,,,,"Miroir de salle de bains,",,,,Encaustic,Wiring accessories,Pr_65_72_97,Technical elements,Furnishings,Hardware products
