,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
64,64,99,99,0e8e14ad-afa0-4845-b454-123153eb3874,Grilles d'aération à fente,"NB : La quantité est en unités -> 174 U disponibles sur site.

Grilles d'aération à fentes en aluminium. Dimensions environ 30 x 150cm.",correct,air_heating_cooling_distribution,D.30.40.01.2,PARIS-16E-ARRONDISSEMENT,2022-08-16,8.0,8.0,0.0,['51347e33-5ee1-4e91-9065-8a94d1533ce9.JPG'],used,,,174.0,174.0,2022-09-26,FR,1.0,41.0,,,,,"{'score': 0.0030995754059404135, 'start': 33, 'end': 39, 'answer': ' 174 U'}",,,,,,,,,,,,,,,,,,,,"
Grilles d'aération à fentes en aluminium.", aluminium., 30 x 150cm.,,Fire clay,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs",Other,Space heating and cooling products
269,269,428,428,3e634abb-cc6d-4309-b298-faaf069ed486,Grille de façade,"Grille soudée sur la façade en Acier. 1 unité de 1,4ml",damaged,fencing_gates,G.20.40.01.4a,CHATEAUROUX,2022-07-26,25.0,25.0,0.0,['eafb4d99-6d5d-467b-8251-e3d4a6bed63d.png'],used,,,1.0,1.0,2022-11-30,FR,1.0,127.0,,,,,"{'score': 0.00018250283028464764, 'start': 48, 'end': 54, 'answer': ' 1,4ml'}",,,,,,,,,,,,,,,,,,,,, Acier.,," 1 unité de 1,4ml",Gravel,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
514,514,807,807,74648579-fe8f-4d0b-ab91-226301f4f8e4,Grille de façade,"Grille soudée sur la façade en Acier. 3 unités de 1,6ml, soit 4,8ml au total, pouvant être vendues séparément.",damaged,fencing_gates,G.20.40.01.4a,CHATEAUROUX,2022-07-26,25.0,25.0,0.0,"['d2488af3-2bff-4f72-bf46-2ca3e61556a4.png', '66d0bfeb-0477-4e41-ae60-9ff48d37c277.png']",used,,,5.0,5.0,2022-11-30,FR,1.0,127.0,,,,,"{'score': 2.9671455195057206e-05, 'start': 49, 'end': 56, 'answer': ' 1,6ml,'}",,,,,,,,,,,,,,,,,,,,,,," 3 unités de 1,6ml,",Gravel,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
1165,1165,1809,1809,20deff62-9284-4d5d-953f-4d68e0726866,Clôture grillagée,"Grillage simple en acier galvanisé découpé en trame de 3,4 m. 57 modules avec 3 modules portes inclus.",correct,fencing_gates,G.20.40.01.3a,PARIS-20E-ARRONDISSEMENT,2022-09-06,12.0,12.0,0.0,"['9f1c7494-7851-4505-8c13-311c5556f0dd.jpeg', 'ff7279e1-80f5-4226-9884-41cad216e836.jpeg', 'c1bf9d8d-95b4-4f0a-a47e-18854703ad9c.jpeg', 'a1dc92a4-60c0-4c89-a18a-da908cc330e7.jpeg', '82998445-9a15-4d12-8cb0-f5c2d688a9e2.jpeg']",used,,,156.0,156.0,2022-09-12,FR,1.0,6.0,,,,,"{'score': 7.411941624013707e-06, 'start': 61, 'end': 72, 'answer': ' 57 modules'}",,,,,,,,,,,,,,,,,,,,, acier galvanisé,,,Granule,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings"
1172,1172,1818,1818,3133c2e2-8b27-4a56-a535-55fa3fcb8227,Clôture grillagée,Clôture grillagée en Acier finition Peint,correct,fencing_gates,G.20.40.01.3a,SAINT-ETIENNE,2022-09-07,9.0,9.0,0.0,['70f7f945-2940-459a-bcdb-461181435e55.jpeg'],reconditioned,,,56.0,56.0,2023-04-11,FR,1.0,216.0,,,,,"{'score': 0.007183377631008625, 'start': 0, 'end': 41, 'answer': 'Clôture grillagée en Acier finition Peint'}",,,,,,,,,,,,,,,,,,,,Clôture grillagée, Acier,,,Granule,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings"
1210,1210,1857,1857,623f2d25-4407-4360-ab18-da5f473abe89,Clôture grillagée,Pare ballon avec filet en travée de 4m de large et 6m de hauteur. 44 travées disponibles,damaged,fencing_gates,G.20.40.01.3a,PARIS-20E-ARRONDISSEMENT,2022-09-06,30.0,30.0,0.0,"['f104487c-1ee8-4d18-8848-8989bc4b609b.jpeg', '0f8ff897-733b-4608-9831-c71961c80040.jpeg', '8acbd87c-8244-4377-924f-ae78d38f6396.jpg']",used,,,124.0,124.0,2022-09-12,FR,1.0,6.0,,,,,"{'score': 0.0001933002204168588, 'start': 0, 'end': 32, 'answer': 'Pare ballon avec filet en travée'}",,,,,,,,,,,,,,,,,,,,Pare ballon,,,,Granule,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings"
1216,1216,1863,1863,681d8041-faaa-48c9-8eaa-7ebefeaeaf73,Grilles d'aération à fente,"NB : La quantité est en unités -> 174 U disponibles sur site.

Grilles d'aération à fentes en aluminium. Dimensions environ 30 x 150cm.",correct,air_heating_cooling_distribution,D.30.40.01.2,PARIS-16E-ARRONDISSEMENT,2022-09-14,8.0,8.0,0.0,['bfe78297-c5e8-4457-a6ce-1941e232d41f.JPG'],used,,,174.0,174.0,2022-09-12,FR,1.0,-2.0,,,,,"{'score': 0.0030995754059404135, 'start': 33, 'end': 39, 'answer': ' 174 U'}",,,,,,,,,,,,,,,,,,,,"
Grilles d'aération à fentes en aluminium.", aluminium., 30 x 150cm.,,Fire clay,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs",Other,Space heating and cooling products
1562,1562,2254,2254,7634b198-b99d-44db-9bea-5480d9a4a265,Grille d'aération,Grille d'aération avec ailettes en PVC. Grille pour renouvellement de l'air intérieur.,correct,fan_coil,D.30.50.03.4,PARIS-8E-ARRONDISSEMENT,2022-09-16,23.0,23.0,0.0,['bbc29c50-62c4-4e8f-8f4d-aa80d421caea.jpeg'],used,0.0,26.33,5.0,5.0,2023-01-19,FR,1.0,125.0,,,,,"{'score': 1.1202447467439924e-06, 'start': 0, 'end': 39, 'answer': ""Grille d'aération avec ailettes en PVC.""}",,,,,,,,,,,,,,,,,,,,Grille d'aération avec ailettes en PVC., PVC.,,,Fire clay,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs",Other,Space heating and cooling products
1756,1756,2472,2472,d1a3c709-2a20-44a5-8241-a2ba2990a28f,Grille d'aération,Grille d'aération métalique avec cadre en PVC. Grille pour renouvellement de l'air intérieur.,correct,fan_coil,D.30.50.03.4,PARIS-8E-ARRONDISSEMENT,2022-09-16,23.0,23.0,0.0,['25e09d45-c258-4dd7-a972-04401e55f093.jpeg'],used,0.0,26.33,9.0,9.0,2023-01-19,FR,1.0,125.0,,,,,"{'score': 1.354155187982542e-06, 'start': 0, 'end': 46, 'answer': ""Grille d'aération métalique avec cadre en PVC.""}",,,,,,,,,,,,,,,,,,,,, PVC.,,,Fire clay,Soffit grilles,Pr_30_59_94_78,"Roof, Slabs, Stairs",Other,Space heating and cooling products
2042,2042,2800,2800,34fb6ec7-a8ca-4229-8ef2-3b233d478edd,Grille extensible ou enroulable,Grille extensible ou enroulable en Acier,correct,blast_resistant_doors,B.20.30.06.1a,AUBAGNE,2022-10-25,300.0,300.0,0.0,['0f410263-3f91-4337-a303-a3cc59070f68.jpeg'],used,0.0,133.53,2.0,2.0,2023-02-21,FR,1.0,119.0,,,,,"{'score': 0.018652936443686485, 'start': 0, 'end': 40, 'answer': 'Grille extensible ou enroulable en Acier'}",,,,,,,,,,,,,,,,,,,,Grille extensible ou enroulable en Acier, Acier,,,Heat-strengthened glass,Soffit grilles,Pr_30_59_94_78,"Wall, Barriers, Pannels",Other,Space heating and cooling products
