,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
116,116,180,180,18a63896-941a-42ba-9a80-019e48a88fb6,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme,correct,fire_alarm_device,D.40.10.01.3,ORLEANS,2022-04-15,9.0,9.0,0.0,['78a0a8a0-82e6-4a4e-8e0d-c303db2c1f1c.jpeg'],used,,,2.0,2.0,2023-09-24,FR,0.0,527.0,,,,,"{'score': 0.014005751349031925, 'start': 0, 'end': 27, 'answer': ""Déclencheur manuel d'alarme""}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
139,139,220,220,1eeb9204-e9f8-4fa2-a7ea-07dcd435abca,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme,correct,fire_alarm_device,D.40.10.01.3,ORLEANS,2022-04-15,9.0,9.0,0.0,['8ae9dd3e-5e2f-476e-988f-fe880f4fbd3a.jpeg'],used,,,7.0,7.0,2023-01-19,FR,1.0,279.0,,,,,"{'score': 0.014005751349031925, 'start': 0, 'end': 27, 'answer': ""Déclencheur manuel d'alarme""}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
418,418,658,658,5dd96504-e4b1-49da-afed-7c92d5e767e8,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme,correct,fire_alarm_device,D.40.10.01.3,RENNES,2022-07-15,22.0,22.0,0.0,"['1c468559-f023-40b7-9ea2-4f516bbe56b3.jpeg', '9d37a416-004c-47fd-bf4a-02a2a80b60c2.jpeg']",used,,,8.0,8.0,2022-09-26,FR,1.0,73.0,,,,,"{'score': 0.014005751349031925, 'start': 0, 'end': 27, 'answer': ""Déclencheur manuel d'alarme""}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
870,870,1358,1358,c37d2308-86e5-4657-ab56-49229a70cf93,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme Incendie,correct,fire_alarm_device,D.40.10.01.3,CHAMPS-SUR-MARNE,2022-04-05,8.5,8.5,0.0,['f5fa6788-0d14-4ea3-86ad-50fe7031b8b1.jpeg'],used,,,10.0,10.0,2023-09-24,FR,0.0,537.0,,,,,"{'score': 0.010203615762293339, 'start': 0, 'end': 36, 'answer': ""Déclencheur manuel d'alarme Incendie""}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme Incendie,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
1156,1156,1800,1800,0fe1dab7-8c8a-4e4c-96c3-29d3f629146a,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme de marque NUGELEC,correct,fire_alarm_device,D.40.10.01.3,SAINT-ETIENNE,2022-09-07,8.5,8.5,0.0,['f6677398-112b-4da3-8978-f93296a90e6e.jpeg'],reconditioned,,,4.0,4.0,2023-04-11,FR,1.0,216.0,,,,,"{'score': 0.007452342193573713, 'start': 0, 'end': 45, 'answer': ""Déclencheur manuel d'alarme de marque NUGELEC""}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
1895,1895,2629,2629,0b897d0e-904c-491c-b0e7-c35e97053f6d,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme incendie de la marque LEGRAND ,verygood,fire_alarm_device,D.40.10.01.3,PARIS-8E-ARRONDISSEMENT,2022-10-07,8.5,8.5,0.0,"['d0801736-ba11-463a-8d89-741ec0e3a5eb.jpeg', 'cb9d0c06-4163-4263-a02c-eeaf2b77e014.jpeg']",used,8.79,0.2,5.0,5.0,2022-12-30,FR,1.0,84.0,,,,,"{'score': 0.006366339046508074, 'start': 49, 'end': 57, 'answer': ' LEGRAND'}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme incendie,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
2642,2642,3445,3445,2eb52da6-f84e-4011-b98a-372961179a8c,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme,correct,fire_alarm_device,D.40.10.01.3,LEVALLOIS-PERRET,2022-11-23,8.5,8.5,0.0,['293e3b38-1265-47ef-b79c-bd136d004a9b.jpeg'],used,8.79,0.2,15.0,15.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.014005751349031925, 'start': 0, 'end': 27, 'answer': ""Déclencheur manuel d'alarme""}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
2750,2750,3557,3557,86b2d269-cd21-46b5-968c-6ceb1e74f419,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme de marque FARE,correct,fire_alarm_device,D.40.10.01.3,LEVALLOIS-PERRET,2022-11-23,8.5,8.5,0.0,['75dca83e-80c7-4e8b-952d-dacbc7da625d.jpeg'],used,8.79,0.2,13.0,8.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 0.006613057106733322, 'start': 0, 'end': 42, 'answer': ""Déclencheur manuel d'alarme de marque FARE""}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
2953,2953,3772,3772,f5a7e0f6-2c52-4617-8edf-ce1948f2d414,Déclencheur manuel d'alarme,Déclanchement alarme incendie,correct,fire_alarm_device,D.40.10.01.3,PARIS-15E-ARRONDISSEMENT,2022-11-02,8.5,8.5,0.0,['6c4c8498-cb13-4069-ade7-2f37c123a3f8.jpeg'],used,8.79,0.2,38.0,38.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 0.004181478638201952, 'start': 0, 'end': 29, 'answer': 'Déclanchement alarme incendie'}",,,,,,,,,,,,,,,,,,,, alarme incendie,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
3551,3551,4487,4487,8957102b-a0d3-43dc-aeb1-bcc918f56a72,Déclencheur manuel d'alarme,Déclencheur manuel d'alarme,verygood,fire_alarm_device,D.40.10.01.3,CHEVILLY-LARUE,2022-12-16,8.5,8.5,0.0,['ebee1b7f-c277-40d2-8d83-6d1c5b8f5321.jpeg'],used,8.79,0.2,9.0,9.0,2023-03-26,FR,1.0,100.0,,,,,"{'score': 0.014005751349031925, 'start': 0, 'end': 27, 'answer': ""Déclencheur manuel d'alarme""}",,,,,,,,,,,,,,,,,,,,Déclencheur manuel d'alarme,,,,Safety glass,Voice alarm controllers,Pr_75_75_94_95,Technical elements,Other,Sanitary fittings and accessories
