,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
414,414,648,648,5bb53d72-3c98-4af0-82e5-a170ab033fb7,Plaque de plâtre,"Issues d'une dépose soignée. Dimensions approximatives : 120 x 200 à 250 cm.
Prix en quantité et non en volume (volume total = quantité totale)",correct,fixed_partitions,C.10.10.01.5c,CLERMONT-FERRAND,2022-02-28,4.0,4.0,0.0,['9dc564a2-a34e-46d4-a726-b25406be9f63.jpg'],used,,,6.0,6.0,2023-09-24,FR,0.0,573.0,,,,,"{'score': 0.26165273785591125, 'start': 82, 'end': 94, 'answer': ' en quantité'}",,,,,,,,,,,,,,,,,,,,,, 120 x 200 à 250 cm.,,Ceramic,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
752,752,1178,1178,a97f0faa-8781-4d75-8b89-3852d5cfcfe1,Lot de plaques métal,Disponible immédiatement,verygood,demountable_partitions,C.10.10.02.9,SAINT-OUEN,2022-07-22,30.0,30.0,0.0,"['66171346-f4a4-4151-b44e-5cc1fe13d7d8.png', '59cf064f-b4e0-4d4e-8cc6-315d35841944.jpeg']",used,,,2.0,2.0,2023-09-24,FR,0.0,429.0,,,,,"{'score': 0.006865722127258778, 'start': 0, 'end': 24, 'answer': 'Disponible immédiatement'}",,,,,,,,,,,,,,,,,,,,,,,,Metal,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
2531,2531,3331,3331,d348186b-50f0-42aa-926d-105a69b3a962,Plaque minérale,Plaques de type travertin 76x100 cm,verygood,wall_panelling,C.30.10.90.2,PARIS-15E-ARRONDISSEMENT,2022-11-03,44.4,44.4,0.0,"['2e559c2f-a112-4605-bf5c-081945205264.jpeg', '5ebf76b5-192a-4d97-b8b8-053f0a746cd0.jpeg']",used,47.74,40.0,28.0,28.0,2023-09-24,FR,0.0,325.0,,,,,"{'score': 0.04417333006858826, 'start': 0, 'end': 25, 'answer': 'Plaques de type travertin'}",,,,,,,,,,,,,,,,,,,,Plaques de type travertin, travertin, 76x100 cm,,Basalt,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
2911,2911,3725,3725,ed4bac74-750b-4004-97a1-cc697442d5fd,Plaque minérale,finition de sol et bordures pierre naturelle,correct,wall_panelling,C.30.10.90.2,PARIS-15E-ARRONDISSEMENT,2022-11-02,44.4,44.4,0.0,"['a9c412f8-45f8-48b5-b9c0-03d75cdb405c.jpeg', '234e031e-45a1-4ea8-a2c0-d48ce41ec46f.jpeg']",used,47.74,40.0,34.0,34.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 4.296237966627814e-05, 'start': 0, 'end': 44, 'answer': 'finition de sol et bordures pierre naturelle'}",,,,,,,,,,,,,,,,,,,,, pierre naturelle,,,Basalt,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
3157,3157,4079,4079,63c31fe2-6a83-410c-b86e-bbca9b23d965,Plaque minérale,"Plaque de revêtement minéral, aspect beige poli. Dalles de 120x70 cm.",correct,wall_panelling,C.30.10.90.2,RUNGIS,2022-12-15,60.0,60.0,0.0,['ad711271-0385-48df-a790-ef49f7177c99.jpeg'],used,47.74,40.0,28.0,28.0,2023-09-24,FR,0.0,283.0,,,,,"{'score': 4.2552201193757355e-05, 'start': 0, 'end': 6, 'answer': 'Plaque'}",,,,,,,,,,,,,,,,,,,,," minéral,",,,Basalt,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
3248,3248,4171,4171,09f5f010-20ac-467e-b99f-b7d8ec67deca,Plaque minérale,"Plaque de revêtement minéral, aspect beige poli. Dalles de 85x60 cm.",correct,wall_panelling,C.30.10.90.2,RUNGIS,2023-01-04,60.0,60.0,0.0,['6e66d08c-fa5d-48d9-a23d-086c7a16cd04.jpeg'],used,47.74,40.0,76.0,76.0,2023-09-24,FR,0.0,263.0,,,,,"{'score': 5.388048884924501e-05, 'start': 0, 'end': 48, 'answer': 'Plaque de revêtement minéral, aspect beige poli.'}",,,,,,,,,,,,,,,,,,,,," minéral,",,,Basalt,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
3581,3581,4519,4519,9553c8e5-214c-4306-95a9-6a5ab8960f61,Plaque minérale,Revêtement mural en pierre,damaged,wall_panelling,C.30.10.90.2,PARIS-13E-ARRONDISSEMENT,2023-01-17,60.0,60.0,0.0,"['c98c79b9-4a67-4f29-91f3-140f0e2e2817.jpeg', '8a6f4977-6d56-491b-b904-b4ddf02b0aac.jpeg', 'b7e8a7d7-c392-4b4e-b34e-d825f454cd4a.jpeg']",used,47.74,40.0,25.0,25.0,2023-04-11,FR,1.0,84.0,,,,,"{'score': 0.00894578080624342, 'start': 0, 'end': 26, 'answer': 'Revêtement mural en pierre'}",,,,,,,,,,,,,,,,,,,,Revêtement mural en pierre,Revêtement mural en pierre,,,Basalt,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
4799,4799,5873,5873,041f3e9f-3819-4d40-a152-2fee118526f7,Plaque minérale,Plaque minérale. Revêtement mural. Granite noir,verygood,wall_panelling,C.30.10.90.2,PARIS-8E-ARRONDISSEMENT,2023-03-22,60.0,60.0,0.0,['2c9d3c89-e665-46f5-846e-11a828c87d84.jpeg'],used,47.74,40.0,23.0,23.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 2.1773950720671564e-05, 'start': 34, 'end': 47, 'answer': ' Granite noir'}",,,,,,,,,,,,,,,,,,,,Plaque minérale.,,,,Basalt,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
4833,4833,5909,5909,102e9233-a094-4e8c-94c3-86c2c5154090,Plaque minérale, Plaque minérale,verygood,wall_panelling,C.30.10.90.2,PARIS-8E-ARRONDISSEMENT,2023-03-22,60.0,60.0,0.0,"['3082b343-931c-4d40-8e9c-705633188629.jpeg', 'ed1345cb-ff2d-4324-8f43-0c481773f937.jpeg', '91a9a9c5-9eac-4319-9dfb-308a6d0f9c23.jpeg']",used,47.74,40.0,19.0,19.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 0.019940150901675224, 'start': 1, 'end': 16, 'answer': 'Plaque minérale'}",,,,,,,,,,,,,,,,,,,,Plaque minérale,Plaque minérale,,,Basalt,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
4839,4839,5916,5916,11f4b820-2769-4d62-8a28-e70af0c99ba4,Plaque minérale, Plaque minérale. revêtement mural . granit noir,verygood,wall_panelling,C.30.10.90.2,PARIS-8E-ARRONDISSEMENT,2023-03-23,60.0,60.0,0.0,['f9b70d6e-b151-48d0-b2fb-61406209de2b.jpeg'],used,47.74,40.0,33.0,33.0,2023-09-24,FR,0.0,185.0,,,,,"{'score': 0.0005352784646674991, 'start': 1, 'end': 48, 'answer': 'Plaque minérale. revêtement mural . granit noir'}",,,,,,,,,,,,,,,,,,,,Plaque minérale.,,,,Basalt,Plaques,Pr_40_10_77_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
5522,5522,6649,6649,0ba4bd4e-c960-4396-bd41-6862f809fd68,Plaque de revêtement / Platelage, Plaque de revêtement en mélaminé bois foncé,correct,other_floor_finish,C.30.20.90.1c,PARIS-13E-ARRONDISSEMENT,2023-02-27,15.0,15.0,0.0,['6e7f974b-8053-46af-bba4-1b5afe0eeaf1.jpeg'],used,9.9,110.5,114.0,114.0,2023-09-24,FR,0.0,209.0,,,,,"{'score': 0.008078512735664845, 'start': 1, 'end': 44, 'answer': 'Plaque de revêtement en mélaminé bois foncé'}",,,,,,,,,,,,,,,,,,,,Plaque de revêtement en mélaminé bois foncé, mélaminé bois foncé,,,Plate glass,Plaques,Pr_40_10_77_63,Structural elements,"Covering, Finish","Floor plates, gratings and edgings"
