,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
477,477,748,748,6bdb3df1-6959-4337-a172-cd79798e4b34,Panneau acoustique suspendu,2 unités disponibles,correct,acoustical_panels_adhered_to_wall,C.30.30.06.1,PARIS-12E-ARRONDISSEMENT,2022-08-03,70.0,70.0,0.0,['1cd35d43-07a9-4a47-a884-79a842b48b77.png'],used,,,2.0,2.0,2023-09-24,FR,0.0,417.0,,,,,"{'score': 0.24144838750362396, 'start': 0, 'end': 1, 'answer': '2'}",,,,,,,,,,,,,,,,,,,,,,,,Silt,Acoustic duct linings,Pr_65_67_78_02,Other,Other,Other
970,970,1523,1523,dbc96fa0-1521-4edc-b589-4922e1f6ac1d,Panneau acoustique suspendu,"Module plafond acoustique en laine de roche
50 unités
Dimensions : 110x180",correct,acoustical_panels_adhered_to_wall,C.30.30.06.b,PARIS-12E-ARRONDISSEMENT,2022-08-02,60.0,60.0,0.0,['a68ad609-fb13-404b-9263-52f8312b2fb0.png'],used,,,50.0,10.0,2023-01-19,FR,1.0,170.0,,,,,"{'score': 0.003661548951640725, 'start': 43, 'end': 54, 'answer': '\r\n50 unités'}",,,,,,,,,,,,,,,,,,,,, laine de roche, 110x180,"
50 unités",Silt,Acoustic duct linings,Pr_65_67_78_02,Other,Other,Other
1774,1774,2492,2492,d9937243-aef3-4013-a96d-257816be47c8,Panneau acoustique suspendu,"Panneaux acoustiques suspendus, 4 rouges et 21 marron / beige, vendu sans les cables de suspension",correct,acoustical_panels_adhered_to_wall,C.30.30.06.1,MONTREUIL,2022-09-22,20.0,20.0,0.0,"['1287179d-21dd-4f38-97bb-adebb678c5f9.png', '6c034ce2-8ace-4549-805a-c07a6fda0aa8.jpeg', 'ea3098c2-1846-4407-957e-d173fdcda906.jpeg']",used,0.0,10.62,18.0,18.0,2022-10-03,FR,1.0,11.0,,,,,"{'score': 0.0033092235680669546, 'start': 68, 'end': 98, 'answer': ' sans les cables de suspension'}",,,,,,,,,,,,,,,,,,,,"Panneaux acoustiques suspendus,",,,,Silt,Acoustic duct linings,Pr_65_67_78_02,Other,Other,Other
2437,2437,3228,3228,b309d75b-a24e-4227-8e4e-124fefa64542,Autre panneau acoustique suspendu,Panneau acoustique contreplaqué perforé à dimensions variable au mur et au plafond,correct,acoustical_panels_adhered_to_wall,C.30.30.06.d,PARIS-15E-ARRONDISSEMENT,2022-11-02,32.4,32.4,0.0,[],used,0.0,10.62,24.0,24.0,2023-09-24,FR,0.0,326.0,,,,,"{'score': 0.0008148250635713339, 'start': 0, 'end': 31, 'answer': 'Panneau acoustique contreplaqué'}",,,,,,,,,,,,,,,,,,,,, contreplaqué,,,Silt,Acoustic duct linings,Pr_65_67_78_02,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
2674,2674,3478,3478,4c699b7b-84e8-4f2b-817e-77e5495e3768,Autre panneau acoustique suspendu,Panneau accoustique en tissu noir suspendu en quatres points.,verygood,acoustical_panels_adhered_to_wall,C.30.30.06.c,LEVALLOIS-PERRET,2022-11-23,15.0,15.0,0.0,"['121346aa-c027-4727-9657-dc442f973db7.jpeg', '1ac9633d-6525-4522-887f-32f21286ecc1.jpeg']",used,27.08,5.0,8.0,8.0,2023-01-07,FR,1.0,45.0,,,,,"{'score': 8.563066512579098e-05, 'start': 0, 'end': 33, 'answer': 'Panneau accoustique en tissu noir'}",,,,,,,,,,,,,,,,,,,,, tissu noir,,,Silt,Acoustic duct linings,Pr_65_67_78_02,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
3575,3575,4513,4513,93e14e85-479f-4185-a666-9d797fbb253f,Autre panneau acoustique suspendu,Panneau accoustique en tissu noir suspendu en quatres points.,verygood,acoustical_panels_adhered_to_wall,C.30.30.06.1,LEVALLOIS-PERRET,2022-12-20,15.0,15.0,0.0,"['5dd5c1e2-fdc6-413b-b281-ba11b26d0b38.jpeg', 'd15886eb-0113-4646-8ab4-b72d4d5ee83b.jpeg', '192be68d-a796-4056-8de0-eedeb4a2be1f.jpeg', '8050797a-96d3-41c9-a44e-f09f27817dad.jpeg']",used,0.0,10.62,8.0,8.0,2023-09-24,FR,0.0,278.0,,,,,"{'score': 8.563066512579098e-05, 'start': 0, 'end': 33, 'answer': 'Panneau accoustique en tissu noir'}",,,,,,,,,,,,,,,,,,,,, tissu noir,,,Silt,Acoustic duct linings,Pr_65_67_78_02,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
4081,4081,5074,5074,33c0f992-e453-470d-8238-b088f761dd08,Cloison acoustique pour bureau,"Cloison acoustique pour bureau 140
Compris pate de fixation
Couleur gris clair",new,other_furniture,E.20.20.90.1,NANTERRE,2023-03-06,45.0,45.0,0.0,['4af6be5c-0568-4511-9ce7-a62ff6d737d0.jpg'],new,0.0,8.0,15.0,15.0,2023-09-24,FR,0.0,202.0,,,,,"{'score': 0.0058546289801597595, 'start': 0, 'end': 34, 'answer': 'Cloison acoustique pour bureau 140'}",,,,,,,,,,,,,,,,,,,,,,, 140,Encaustic,Acoustic duct linings,Pr_65_67_78_02,Technical elements,"Floors, Ceiling",Sanitary fittings and accessories
4292,4292,5310,5310,6e282aef-d578-405c-bc9b-f8d38f473be5,Cloison acoustique pour bench cm,"Cloison acoustique pour bureau 140 CM
Couleur Capuccino",new,other_furniture,E.20.20.90.1,NANTERRE,2023-03-06,85.0,85.0,0.0,['399992e3-49e1-4381-be0f-e397641e322c.jpg'],new,0.0,8.0,2.0,2.0,2023-09-24,FR,0.0,202.0,,,,,"{'score': 0.007864313200116158, 'start': 0, 'end': 56, 'answer': 'Cloison acoustique pour bureau 140 CM\r\nCouleur Capuccino'}",,,,,,,,,,,,,,,,,,,,Cloison acoustique pour bureau,"
Couleur Capuccino",, 140 CM,Normal-weight concrete,Acoustic duct linings,Pr_65_67_78_02,Other,Other,Sanitary fittings and accessories
4649,4649,5705,5705,d7c107d9-e297-442d-af36-c2fb8ef0b9ab,Cloison acoustique pour bureau,"Cloison acoustique pour bureau 140
Compris pate de fixation
Couleur gris clair",correct,other_furniture,E.20.20.90.1,NANTERRE,2023-03-06,25.0,25.0,0.0,['9eacedaf-10f3-4610-8343-162435a754a9.jpeg'],used,0.0,8.0,10.0,10.0,2023-09-24,FR,0.0,202.0,,,,,"{'score': 0.0058546289801597595, 'start': 0, 'end': 34, 'answer': 'Cloison acoustique pour bureau 140'}",,,,,,,,,,,,,,,,,,,,,,, 140,Encaustic,Acoustic duct linings,Pr_65_67_78_02,Technical elements,"Floors, Ceiling",Sanitary fittings and accessories
4721,4721,5783,5783,efd96551-b3d7-45d5-b20f-04aa12cc15e8,Panneau acoustique suspendu,"Baffle acoustique en laine de roche avec cadre et fixation.
Rapide et facile à mettre en œuvre pour correction acoustique en complément d'un plafond existant.
Adapté aux locaux utilisant l'inertie thermique du bâtiment ou lorsqu'un accès fréquent aux installations est requis.",correct,acoustical_panels_adhered_to_wall,C.30.30.06.1,SAINT-BRIEUC,2023-03-09,70.0,50.0,-20.0,"['93562e54-e770-40d3-9928-6f3845e9bfdc.JPG', 'f8ea205b-833e-438b-8462-fbe5f767e21f.jpg', 'e78a6fcc-49af-45de-aa85-2636ba854a94.jpg', 'c3907276-7151-44d9-b232-de4c3206857a.jpg']",used,0.0,10.62,600.0,600.0,2023-09-24,FR,0.0,199.0,,,,,"{'score': 8.504005563736428e-06, 'start': 0, 'end': 35, 'answer': 'Baffle acoustique en laine de roche'}",,,,,,,,,,,,,,,,,,,,, laine de roche,,,Silt,Acoustic duct linings,Pr_65_67_78_02,Other,Other,Other
