,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
18,18,32,32,0585c0fd-d737-48e1-8907-ee02bbaf3abb,Caméra,Caméra de surveillance,correct,security_system,D.50.30.05.1,CHATILLON,2022-07-06,10.0,100.0,90.0,['a89165fc-ae32-4782-b0d1-d5127caba7b0.jpeg'],used,,,1.0,1.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.008335172198712826, 'start': 0, 'end': 22, 'answer': 'Caméra de surveillance'}",,,,,,,,,,,,,,,,,,,,Caméra de surveillance,,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
34,34,55,55,07dee294-5bef-4e9b-9d2b-66a506197181,Caméra,Caméra de vidéo surveillance fixé par un pied au mur.,correct,security_system,D.50.30.05.1,CHAMPS-SUR-MARNE,2022-04-05,30.0,30.0,0.0,['d0b23ea2-3082-4252-ba16-37c4b064dea2.jpeg'],used,,,6.0,6.0,2023-09-24,FR,0.0,537.0,,,,,"{'score': 0.0002621277526486665, 'start': 0, 'end': 28, 'answer': 'Caméra de vidéo surveillance'}",,,,,,,,,,,,,,,,,,,,Caméra de vidéo surveillance,,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
679,679,1069,1069,9b3c6c53-92d9-498d-8caf-85d1bf57d29a,Caméra,Caméra de surveillance,correct,security_system,D.50.30.05.1,CHATILLON,2022-07-06,10.0,100.0,90.0,"['24c057cc-59e8-4034-812b-5558f5060376.jpeg', '6598e6a6-6cb3-4d7d-bb4d-2a8199b11c05.jpeg']",used,,,2.0,2.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.008335172198712826, 'start': 0, 'end': 22, 'answer': 'Caméra de surveillance'}",,,,,,,,,,,,,,,,,,,,Caméra de surveillance,,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
965,965,1516,1516,db0a7a66-6c65-4e1e-a79b-4e4eb000df86,Caméra,Caméra de surveillance,correct,security_system,D.50.30.05.1,CHATILLON,2022-07-06,10.0,100.0,90.0,['56f100d0-8b5d-4553-83c4-28615e5987ce.jpeg'],used,,,1.0,1.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.008335172198712826, 'start': 0, 'end': 22, 'answer': 'Caméra de surveillance'}",,,,,,,,,,,,,,,,,,,,Caméra de surveillance,,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
985,985,1540,1540,ddd282bb-ffa4-46fa-ba91-758df01b153e,Caméra,Caméra dôme de diamètre de 10 cm et hauteur de 10 cm.,correct,security_system,D.50.30.05.1,PARIS-13E-ARRONDISSEMENT,2022-08-11,30.0,30.0,0.0,['5f56b838-d9f6-4b2d-9578-8802dbf5f70b.jpg'],used,,,1.0,1.0,2023-09-24,FR,0.0,409.0,,,,,"{'score': 0.0029452876187860966, 'start': 0, 'end': 11, 'answer': 'Caméra dôme'}",,,,,,,,,,,,,,,,,,,,Caméra dôme,,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
1427,1427,2105,2105,3b16422e-c584-4863-8b0a-64892b799332,Caméra,Caméra 360°encastrable circulaire. Corps en ABS blanc.,correct,security_system,D.50.30.05.1,PUTEAUX,2022-09-22,20.0,20.0,0.0,['a1fc9c5d-2578-40c2-ac6e-952b5ddf76e1.jpeg'],used,84.75,0.22,7.0,7.0,2022-10-03,FR,1.0,11.0,,,,,"{'score': 0.03219033032655716, 'start': 6, 'end': 22, 'answer': ' 360°encastrable'}",,,,,,,,,,,,,,,,,,,,, ABS,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
1627,1627,2328,2328,97106ed0-f4dd-498d-9dc3-aa57f44e2a1e,Caméra,"Caméra 360° plafonnier, fixation par vis. Diamètre 30cm. Vitre de protection en verre fumé, corps en abs blanc mat. Très bon état.",verygood,security_system,D.50.30.05.1,PONTCHARRA,2022-09-19,30.0,30.0,0.0,"['6525e835-928a-44dd-9527-e54404d45c0e.jpeg', 'efdf92cf-9738-4d09-8390-0dec64851a66.jpeg']",used,84.75,0.22,1.0,1.0,2023-09-24,FR,0.0,370.0,,,,,"{'score': 3.335857400088571e-05, 'start': 0, 'end': 11, 'answer': 'Caméra 360°'}",,,,,,,,,,,,,,,,,,,,"Caméra 360° plafonnier,",,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
1783,1783,2501,2501,ddb22994-16d5-49cd-b51d-8287b4b671b5,Caméra,"Caméra 360° plafonnier, fixation par vis. Diamètre 16cm. Vitre de protection en verre fumé, corps en abs blanc mat. Très bon état.",verygood,security_system,D.50.30.05.1,PONTCHARRA,2022-09-19,30.0,30.0,0.0,"['41d645d9-0963-4d85-94f2-bd4229755ad0.jpeg', '35f399fb-ddfa-40b9-96be-59ee5a15e5dd.jpeg']",used,84.75,0.22,10.0,10.0,2023-09-24,FR,0.0,370.0,,,,,"{'score': 3.792298957705498e-05, 'start': 0, 'end': 11, 'answer': 'Caméra 360°'}",,,,,,,,,,,,,,,,,,,,"Caméra 360° plafonnier,",,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
1872,1872,2603,2603,064f2c0d-0f95-45c6-ba12-942859cc5588,Caméra,"Caméra dôme, de diamètre de 13 cm.",verygood,security_system,D.50.30.05.1,PARIS-9E-ARRONDISSEMENT,2022-10-05,30.0,30.0,0.0,['b977def1-4d64-4d2d-8faf-d722e843f6e7.jpeg'],used,84.75,0.22,1.0,1.0,2023-09-24,FR,0.0,354.0,,,,,"{'score': 0.0007039963384158909, 'start': 0, 'end': 12, 'answer': 'Caméra dôme,'}",,,,,,,,,,,,,,,,,,,,"Caméra dôme,",,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
2172,2172,2937,2937,606d18f1-c45a-4140-a366-8e12259ac70f,Caméra,Caméra de longueur de 10 cm et largeur de 6 cm.,correct,security_system,D.50.30.05.1,PARIS-9E-ARRONDISSEMENT,2022-10-05,30.0,30.0,0.0,['ce1beba3-841c-4059-8b5b-1481b3782a84.jpeg'],used,84.75,0.22,1.0,1.0,2023-09-24,FR,0.0,354.0,,,,,"{'score': 5.127925760461949e-05, 'start': 0, 'end': 6, 'answer': 'Caméra'}",,,,,,,,,,,,,,,,,,,,Caméra,,,,Film,Digital cameras,Pr_70_75_15_22,Other,Other,Other
