,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
22,22,95358,https://restado.de/baustoff/hebeschiebetuer-3fach-verglast-internorm-2900-x-2375/,Hebeschiebetür 3fach verglast Internorm 2900 x 2375 inkl. Raffstor…,Türen & Zargen,Außentüren,2023-01-09,,"Wir verkaufen unsere Internorm Hebeschiebetür inklusive passender vorgesetzter Raffstore Anlagen (2 separate elektrische Raffstores für feststehendes Element und Tür, in Führungsschienen, von Warema.)  3-fach verglast, Kunststoffprofile weiß, 10 Jahre alt, top in Schuss.  Maße: 2900 x 2375mm, lichte Durchgangsbreite 1270 mm  Schiebeflügel von innen gesehen links  Führungsschiene nahezu fußbodengleich bei Bodenaufbau von 80mm  Sicherheit Beschlag in Anlehnung an WK1  Zusätzlich enthalten ist ein passend angefertigter Fliegenschutz-Rollo, öffnet innerhalb der Türöffnung von links nach rechts.",Gebraucht,1.500€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-56335 Neuhäusel,,{},1500.0,1.0,1500.0,1.0,1.500€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/04/fdb7a6c2-img_20220213_102525.jpg'],Lifting sliding door triple glazed Internorm x incl . external blinds…,Mosaic glass,External roller blinds,Pr_30_59_07_26,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,0.0
63,63,64173,https://restado.de/baustoff/garant-cepal-asteiche-quer-86x1985/,"Garant Wohnungseingangstüren Cepal Asteiche quer 86x198,5",Türen & Zargen,Wohnungseingangstür,2023-01-10,1681862400000.0,"2x Wohnungseingangstür; neu und originalverpackt. (nur einer wurde ausgepackt) Wird verkauft, da ein falsches Maß bestellt wurde. Klimaklasse 3, Hinterbandsicherung, 3fachverriegelung, Drückergarnitur, Obentürschließer, absenkbare Bodendichtung - das ganze Programm. Türen sind nach außen öffnend!",Neu,550€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-07985 Elsterberg,,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Kunststoff"", ""Material Türzarge"": ""Holz"", ""Türzargen-Art"": ""Umfassungszarge"", ""Türzargen-Ausführung"": ""Gefälzt"", ""Element-Breite"": ""0,885 cm"", ""Element-Höhe"": ""2,01 m"", ""Schlossart"": ""Profilzylinder"", ""Oberfläche Türzarge"": ""Kunststoff"", ""Farbe Türblatt"": ""Asteiche quer"", ""Farbe Türzarge"": ""Asteiche"", ""Maulweite Umfassungszarge (cm)"": ""27""}",550.0,2.0,550.0,2.0,550€ (VB) / Stück,2 Stück verfügbar,1.0,8553600000.0,['https://restado.de/wp-content/uploads/products/2020/12/82ba6e13-2020-11-03-09.41.13-scaled.jpg'],Garant apartment entrance doors Cepal Asteiche transverse x .,Roman concrete,Sectional overhead doorsets,Pr_30_59_24_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Openings and opening component products,99.0,0.0
127,127,116224,https://restado.de/baustoff/hoppe-tuerklinke-eingangstuer/,"Hoppe, Türklinke Eingangstür",Türen & Zargen,Sonstiges,2023-01-09,,"Zum Verkauf stehen 20 Türgarnituren für den Einbau in Wohnungseingangstüren.  Hersteller: Hoppe Art: Feuerschutzgarnitur- Langschild Wechselgarnitur  Modell: Stockholm  Maße: 9/77 mm Material: Aluminium   Privatverkauf: ohne Gewährleistung, keine Rücknahme.",Neu,40€ (VB) / Stück,20 Stück verfügbar,(1 Stück Mindestabnahme),D-10178 Berlin,Hoppe,{},40.0,20.0,40.0,20.0,40€ (VB) / Stück,20 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/11/60a3dad9-img_20221114_122539-alle-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/729460f8-img_20221111_152807-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/82d864ce-tuerklinke-eingangstuer-scaled.jpg']","Hoppe , doorknob entrance door",Shell,Door knockers,Pr_30_36_33_22,"Roof, Slabs, Stairs","Door, Windows, Gates",Openings and opening component products,,0.0
132,132,108532,https://restado.de/baustoff/balkonschiebetuer/,Balkonschiebetür,Türen & Zargen,Sonstiges,2023-01-09,, ,Neu,1.800€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-53347 Alfter,Fenster Hai,{},1800.0,1.0,1800.0,1.0,1.800€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/07/90bea148-87b124f8-9cf3-40dd-85cb-8e52d420d589.jpeg'],Sliding balcony door,Mosaic glass,Electric sliding door mechanisms,Pr_30_36_59_27,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,0.0
195,195,83470,https://restado.de/baustoff/3x-badtuer-weiss-din-l/,(Innen) Ecktreppe mit Podest (ausgebaut),Türen & Zargen,Sonstiges,2023-01-09,,Geschosshöhe: 4000 mm Gesamtbreite: 1100 mm  Anzahl der Steigungen: 25 Podestanzahl: 1 Podest als Stufe Nummer: 14 Podestbreite: 1000 mm Podesttiefe: 1000 mm  Konstruktion: Wangentreppe Einsatzbereich: innen Stufenbefestigung: Eingestemmt  Farbe: Anthrazitgrau Laufrichtung: 90° nach links Steigungshöhe: 169 mm Stufenbreite: 500 mm Auftrittsbreite: 290 mm  Geländer: Ja Handlauf: Ja Rutschkante: Ja Feuerwiderstandsklasse DIN 4102-2: F 90-A,Gebraucht,2.500€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},2500.0,1.0,2500.0,1.0,2.500€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/10/401f5052-innen-ecktreppe-mit-podest-ausgebaut.jpg', 'https://restado.de/wp-content/uploads/products/2021/10/7535592a-innen-ecktreppe-mit-podest-ausgebaut2.jpg']",Inside Corner staircase with platform removed,In situ concrete,Straight internal staircases,Pr_25_30_85_86,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Other,,0.0
201,201,79087,https://restado.de/baustoff/hebeschiebetuer-3/,Hebeschiebetür,Türen & Zargen,Sonstiges,2023-01-09,,Ich bieten eine neue Hebeschiebetür an. Von außen Anthraziter Rahmen und von innen weiß Rahmen. Maße: 2250 x 2240 mm Von der Marke Aluplast HST,Neu,2.159€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-23564 Lübeck,Aluplast HST,{},2159.0,1.0,2159.0,1.0,2.159€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/07/0643d99d-ef469fb8-3ba6-4735-809c-d8fa71100aa3-scaled.jpeg'],Lift and slide door,Film,Pneumatic sliding door mechanisms,Pr_30_36_59_62,"Roof, Slabs, Stairs","Door, Windows, Gates",Other,,0.0
206,206,67166,https://restado.de/baustoff/internorm-hebeschiebetuer-ks430/,Internorm Hebeschiebetür KS430,Türen & Zargen,Sonstiges,2023-01-09,,"Wegen Planungsfehler verkaufe ich hier eine neue, noch nie montierte Hebe/Schiebetür von Internorm. Die Hebeschiebetür ist beim Händler eingelagert. Der Preis der Tür lag bei über 3.000 €. In einem weitern Inserat habe ich noch zwei passende Fixteile (Breite: 1710mm, Höhe: 2135mm)  Rahmenbreite: 2230mm, Rahmenhöhe: 2180mm, Breitenteilung: 1115/1115, Rahmensystem: Normaler Rahmen, Rahmenfarbe Innen: Weiß (W), außen: hirest Anthrazitgrau ca. RAL7016 matt (HF716), Flügelfarbe Innen: Weiß (W), außen: hirest Anthrazitgrau ca. RAL7016 matt (HF716), Fixteil: Einbau Flügel: 3-fach 48mm besch. Klarglas 4b/18Ar/4/18Ar/b4 (0.5W/m²K, 34dB) (3N2-IS_), IF Flügel: Hebeschiebetür (HST) Aufgehrichtung: Rechts, Muschelgriff Dallas, chrom sat. (36413), Griff innen: Ziergriff G80 in F1 (36475), Einbau Flügel: 3-fach 48mm besch. Klarglas 4b/18Ar/4/18Ar/b4 (0.5W/m²K, 34dB) (3N2-IS_), Element Ausführung: Futterleiste / Bauanschluss: 140 mm Bodenanschlussprofil PUR Hartschaumplatte (140PB)  Extras: Farbe Verglasungsdichtung außen: Schwarz, vorgebohrt f. Dübelmontage 3-seitig (91) Glaseigenschaften: Abstandhalter: ISO, Beschichtung: solarXPlus, dB-Wert (EN ISO 717-1): 33dB Uw-Wert (EN ISO 12567 / EN ISO 10077): 0,68W/(m².K)",Neu,1.600€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-84048 Mainburg,Internorm,{},1600.0,1.0,1600.0,1.0,1.600€ (VB) / Stück,1 Stück verfügbar,0.0,,[],Internorm lift and slide door,Film,Vertical lifting fabric doors,Pr_30_59_24_95,"Roof, Slabs, Stairs","Door, Windows, Gates",Openings and opening component products,,0.0
257,257,126473,https://restado.de/baustoff/altbautuer/,Altbautür,Türen & Zargen,Zimmertüren,2023-04-08,,schöner Glaseinsatz historisch und unbeschädigt in allen drei Türen,Gebraucht,1€ (VB) / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-13158 Berlin,Historisch,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Stumpf"", ""Oberfläche Türblatt"": ""Massivholz"", ""Material Türzarge"": ""Holz"", ""Schlossart"": ""Buntbart"", ""Farbe Türblatt"": ""weiß""}",1.0,3.0,1.0,3.0,,,0.0,,['https://restado.de/wp-content/uploads/products/2023/05/28b57f2a-tueren.png'],Old building door,Architectural glass,Door knockers,Pr_30_36_33_22,"Roof, Slabs, Stairs","Door, Windows, Gates",Prefabricated buildings and structures,,0.0
282,282,92259,https://restado.de/baustoff/tuerklinken-hueppe/,Türklinken hüppe,Türen & Zargen,Zimmertüren,2023-02-17,1676937600000.0,,,,,,,,,,,,,,,1.0,345600000.0,['https://restado.de/wp-content/uploads/products/2022/03/3130b965-img_20220305_090028-scaled.jpg'],Doorknobs hop,Shell,Door knockers,Pr_30_36_33_22,"Roof, Slabs, Stairs","Door, Windows, Gates",Other,4.0,
405,405,6450,https://restado.de/baustoff/6-tren-im-altbaustil/,6 Türen im Altbaustil,Türen & Zargen,Zimmertüren,2023-01-16,,"Biete 6 Türen im Altbaustil.  Gekauft im September 2016. Unbenutzt, zum großen Teil noch originalverpackt.  Neupreis pro Tür: 165 Euro  3 Türen mit den folgenden Angaben: 2110x860mm DIN L Rundkante TB Typ 20/02B Weiß  3 Türen mit den folgenden Angaben 2110x860mm DIN R Rundkante TB Typ 20/02B Weiß  3 der Türen wurden vom Händler unten leicht zugeschnitten (1cm). Leider kann ich nicht sagen, welche.  Biete die Türen nur an Selbstabholer. Auch Einzelabnahme möglich.  Privatverkauf. Mit anderen Worten: Der Verkauf erfolgt unter Ausschluss jeglicher Gewähr­leistung/Ich schließe jede Haftung für Sachmängel aus. Keine Rücknahme. Keine Garantie. Aber die Türen sind neu und unbenutzt (außer dem Zuschnitt bei drei der Türen).  Preis pro Tür: 120 Euro  Der Preis für alle Türen: 700 Euro",Neu,120€ / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},120.0,6.0,120.0,6.0,120€ / Stück,6 Stück verfügbar,0.0,,[],doors in old building style,Architectural glass,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Prefabricated buildings and structures,,0.0
