,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
19,19,97730,https://restado.de/baustoff/kompotherm-aluminiumhaustuer-neu/,KOMPOtherm Aluminiumhaustür ***NEU**,Türen & Zargen,Außentüren,2023-01-09,1676332800000.0,"Modell: E 316, vollkomen verdecktliegende Türbänder Maße: 1100 x 2100 mm, DIN Links Glas: Safe-Therm, Lavaflow auf Schwarzglasapplikation, erhellt die Farbbrillianz des Glases durch Zimmerbeleuchtung von innen. Oberfläche: Farbe 673 Silbergrau Feinstruktur bds. Schloss: 7-fach Verriegelung Türgriff: Aussen Edelstahl Länge 500 mm Innen: Drücker Edelstahl Zylinder: Sicherheits-und Türzylinder mit Not- u. Gefahrenfunktion, 5 Schlüssel HIGHTLIGHT: DIGITALE KAMERA MIT LCD MONITOR ( DIGITALE LINSE ) NP: 8.674,00 EUR  Die Haustür ist NEU! Fragen: 01716121600  Kann im Umkreis von Lampertheim gegen Entgeld gebracht werden.",Neu,3.600€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-68623 Lampertheim,,"{""Anschlag"": ""DIN Links"", ""Farbe Türblatt"": ""673 Silbergrau Feinstruktur"", ""Farbe Türzarge"": ""673 Feinstruktur""}",3600.0,1.0,3600.0,1.0,3.600€ (VB) / Stück,1 Stück verfügbar,1.0,3110400000.0,"['https://restado.de/wp-content/uploads/products/2022/05/57a00ce1-img_3273.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/98c36248-img_3270.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/b7832f0e-img_3302.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/45fa598f-img_3267.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/55b5e4c1-img_3272.jpg']",KOMPOtherm aluminum front door * * * * *,Aluminium,Aluminium doorsets,Pr_30_59_24_02,"Wall, Barriers, Pannels","Door, Windows, Gates",Prefabricated buildings and structures,36.0,0.0
128,128,116230,https://restado.de/baustoff/feuerschutzgarnitur/,Feuerschutzgarnitur,Türen & Zargen,Sonstiges,2023-01-09,,"Zum Verkauf stehen 10 Feuerschutzgarnituren in U-Form.  Hersteller: -  Art: Drückergarnitur  Farbe: Schwarz   Achtung: Feuerschutzgarnituren sind aufgrund der 9er Nuß nicht für normale Zimmertüren geeignet!  Privatverkauf: ohne Gewährleistung, keine Rücknahme.",Neu,8€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-10178 Berlin,-,{},8.0,10.0,8.0,10.0,8€ (VB) / Stück,10 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/11/dc73bfe7-img_20221111_153011-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/bd6c5652-img_20221111_151326-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/d0d39ef1-img_20221111_153002-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/9cdfc984-img_20221111_152946-scaled.jpg']",Fire protection set,Safety glass,Fire protection safes,Pr_40_30_75_29,"Wall, Barriers, Pannels",Other,Safety cages,,0.0
139,139,84227,https://restado.de/baustoff/promat-brandschutztuermodul-stahl-glas-din-r/,"Promat Schallschutztürmodul, Tür mit Zarge, Stahl/Glas (inkl. Aus…",Türen & Zargen,Sonstiges,2023-03-01,,Schallschutztür inkl. Ausbau  Eigenschaften  Farbe: Anthrazitgrau   Zargentyp: Blockzarge  Schlossart: Profizylinderschloss  DIN-Richtung: DIN R  Türband Typ: Zweiteilig  Oberflächenart: Glas Oberfläche  Stärke Türblatt: 80 mm  Zusatzinformationen: T 30 - RS  Garnitur Ausführung: Rosettengarnitur  Lichte Durchgangshöhe: 2160 mm  Lichte Durchgangsbreite: 1215 mm  Ausbau voraussichtlich ab Januar 2022 möglich.,Gebraucht,1.250€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Promat,{},1250.0,2.0,1250.0,2.0,1.250€ (VB) / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/e3536cf2-promat-brandschutztürmodul-stahl-glas-din-r-scaled.jpg'],"Promat soundproof door module , door with frame , steel/glass incl.…",Safety glass,Door frame protectors,Pr_30_36_33_21,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,0.0
151,151,83901,https://restado.de/baustoff/promat-schallschutztuer-stahl-din-l-985cm-2/,"Promat Schallschutztür Stahl DIN L, 98,5cm",Türen & Zargen,Sonstiges,2023-01-09,,Eigenschaften  Zargentyp:Eckzarge  Wandstärke: 620 mm  DIN-Richtung: DIN L  Türband Typ: Zweiteilig  Zusatzinformationen: T30-RS  Bekleidungsaußenhöhe: 2265 mm  Bekleidungsaußenbreite: 985 mm,Gebraucht,1.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Promat,{},1000.0,1.0,1000.0,1.0,1.000€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/faf34267-promat-brandschutztür-stahl-din-l-985cm--scaled.jpg'],"Promat soundproof door steel , .cm",Steel,Steel noise barrier panels,Pr_25_71_50_87,"Wall, Barriers, Pannels","Door, Windows, Gates",Other,,0.0
158,158,83995,https://restado.de/baustoff/sommer-schallschutztuer-weiss-din-r/,"Sommer, motorisierte Schallschutztür, Schallschutz, Tür (inkl. Au…",Türen & Zargen,Sonstiges,2023-07-18,,Motorisierte Schallschutztür der Marke Sommer (inkl. Ausbau)  Eigenschaften  Farbe: Reinweiß   Zargentyp: Umfassungszarge  Wandstärke: 170 mm  DIN-Richtung: DIN R  Türband Typ: Zweiteilig  Stärke Türblatt: 60 mm  Bekleidungsaußenhöhe: 2290 mm  Lichte Durchgangshöhe: 2220 mm  Bekleidungsaußenbreite: 1320 mm  Lichte Durchgangsbreite: 1165 mm  Abbau ab Februar 2022 möglich,Gebraucht,2.250€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Sommer,{},2250.0,1.0,2250.0,1.0,2.250€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/12/c22351cf-bildschirmfoto-2021-12-09-um-15.23.35.png'],"Summer , motorized soundproof door , soundproofing , door incl . Au…",Rubber,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Hardware products,,0.0
160,160,83983,https://restado.de/baustoff/promat-schallschutztuer-mit-seitenteil-din-r-173cm/,"Promat Schallschutztür mit Seitenteil, Schallschutz, Tür (inkl. A…",Türen & Zargen,Sonstiges,2023-01-09,,Promat Schallschutztür inkl. Ausbau (ab Februar 2022)  Eigenschaften  Zargentyp: Blockzarge  DIN-Richtung: DIN R  Türband Typ: Zweiteilig  Zusatzinformationen: T30-RS  Bekleidungsaußenhöhe: 2260 mm  Bekleidungsaußenbreite: 1735 mm ,Gebraucht,1.350€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Promat,{},1350.0,1.0,1350.0,1.0,1.350€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/1e6b4f1b-promat-brandschutztür-mit-seitenteil-din-r-173cm-scaled.jpg'],"Promat soundproof door with side panel , soundproofing , door incl .",Safety glass,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Openings and opening component products,,0.0
161,161,83987,https://restado.de/baustoff/promat-schallschutztuer-mit-seitenteil-din-r-151cm/,"Promat Schallschutztür mit Seitenteil, Schallschutz, Tür (inkl. A…",Türen & Zargen,Sonstiges,2023-03-03,,Promat Schallschutztür mit Seitenteil (inkl. Ausbau)  Eigenschaften  Zargentyp: Blockzarge  DIN-Richtung: DIN R  Türband Typ: Zweiteilig  Zusatzinformationen: T30-RS  Bekleidungsaußenhöhe: 2255 mm  Bekleidungsaußenbreite: 1510 mm  Ausbau ab Februar 2022,Gebraucht,1.250€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Promat,{},1250.0,1.0,1250.0,1.0,1.250€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/25b032e2-promat-brandschutztür-mit-seitenteil-din-r-157cm-scaled.jpg'],"Promat soundproof door with side panel , soundproofing , door incl .",Safety glass,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Openings and opening component products,,0.0
171,171,83769,https://restado.de/baustoff/promat-brandschutztuer-stahl-din-r-975cm/,"Promat Schallschutztür Stahl DIN R, 97,5cm",Türen & Zargen,Sonstiges,2023-01-09,,Eigenschaften  Zargentyp: Eckzarge  Schlossart: Profizylinderschloss  Wandstärke: 620 mm  DIN-Richtung: DIN R  Türband Typ: Zweiteilig  Zusatzinformationen: T30-RS  Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2270 mm  Bekleidungsaußenbreite: 975 mm,Gebraucht,1.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},1000.0,1.0,1000.0,1.0,1.000€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/10/42f25c22-promat-brandschutztür-stahl-din-l-82cm-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/10/a5515cf7-schallschutz1-scaled.jpg']","Promat soundproof door steel , .cm",Steel,Steel noise barrier panels,Pr_25_71_50_87,"Wall, Barriers, Pannels","Door, Windows, Gates",Other,,0.0
179,179,83649,https://restado.de/baustoff/promat-schallschutztuer-stahl-din-l-905cm/,"Promat Schallschutztür Stahl DIN L, 90,5cm",Türen & Zargen,Sonstiges,2023-02-21,,Eigenschaften  Zargentyp: Eckzarge  Schlossart: Profizylinderschloss  Wandstärke: 200 mm  DIN-Richtung: DIN L  Türband Typ: Zweiteilig  Stärke Türblatt: 80 mm  Zusatzinformationen: T30-RS  Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2190 mm  Bekleidungsaußenbreite: 905 mm,Gebraucht,1.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Promat,{},1000.0,1.0,1000.0,1.0,1.000€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/2b3abec6-schallschutz1-scaled.jpg'],"Promat soundproof door steel , .cm",Steel,Steel noise barrier panels,Pr_25_71_50_87,"Wall, Barriers, Pannels","Door, Windows, Gates",Other,,0.0
182,182,83671,https://restado.de/baustoff/promat-schallschutztuer-stahl-din-l-985cm/,"Promat Schallschutztür Stahl DIN L, 98,5cm",Türen & Zargen,Sonstiges,2023-01-09,,Eigenschaften  Zargentyp: Eckzarge  Schlossart: Profizylinderschloss  Wandstärke: 620 mm  DIN-Richtung: DIN L  Türband Typ: Zweiteilig  Stärke Türblatt: 80 mm  Zusatzinformationen: T30-RS  Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2265 mm  Bekleidungsaußenbreite: 985 mm,Gebraucht,1.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Promat,{},1000.0,1.0,1000.0,1.0,1.000€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/10/bd21bbc5-promat-brandschutztür-stahl-din-l-985cm1-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/10/be175c66-promat-brandschutztür-stahl-din-l-985cm2-scaled.jpg']","Promat soundproof door steel , .cm",Steel,Steel noise barrier panels,Pr_25_71_50_87,"Wall, Barriers, Pannels","Door, Windows, Gates",Other,,0.0
