,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
2,2,119623,https://restado.de/baustoff/haustuere-2-teilig-schueko/,Haustüre 2-teilig SCHÜKO,Türen & Zargen,Außentüren,2023-01-09,1684972800000.0,"Hochwertige Terrassen-/Balkontüre wurde einmal eingebaut und wegen Fehlkauf sofort wieder ausgebaut und gut gelagert. Nur normale Einbauspuren vorhanden. Abmessungen usw siehe Datenblatt. Privatverkauf, keine Garantien/Rückanhmen o.ä.",Neu,2.300€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-50678 Cologne,,{},2300.0,1.0,2300.0,1.0,2.300€ (VB) / Stück,1 Stück verfügbar,1.0,11750400000.0,['https://restado.de/wp-content/uploads/products/2023/01/ac4e0b7e-43802fe3-e140-4345-bf18-8f27d3be0607.jpeg'],-part front door,Shell,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,136.0,0.0
5,5,116739,https://restado.de/baustoff/alte-haustuer/,alte Haustür,Türen & Zargen,Außentüren,2023-01-09,1674000000000.0,,,,,,,,,,,,,,,1.0,777600000.0,"['https://restado.de/wp-content/uploads/products/2022/11/b123618c-tuer3.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/2960cd4c-tuer1.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/4bdadaa3-tuer2.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/073bc35c-haustuer.jpg']",old front door,Lead glass,Door knockers,Pr_30_36_33_22,Openings,"Door, Windows, Gates",Furnishings,9.0,
15,15,108757,https://restado.de/baustoff/historische-haustuer-rokoko-2-flg/,"Historische Haustür, Rokoko, 2-flg.",Türen & Zargen,Außentüren,2023-01-09,,"zweiflügelige Rokoko-Tür aus Fichte, mit dekorativen Elementen, farbig gefasst, kann auf Wunsch entlackt werden",Gebraucht,8.800€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Fichte"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Massivholz"", ""Schlossart"": ""Profilzylinder"", ""Farbe Türblatt"": ""mehrfarbig gefasst"", ""Türblatt-Breite"": ""142 cm"", ""Türblatt-Höhe"": ""242 cm""}",8800.0,1.0,8800.0,1.0,8.800€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/07/90855310-antike-tueren-rokoko-antike-haustueren-5243-0.jpg', 'https://restado.de/wp-content/uploads/products/2022/07/7792c9ce-antike-tueren-rokoko-antike-haustueren-5243-3.jpg']","Historical front door , rococo , -wing .",White pine,Doorsets,Pr_30_59_24,Openings,"Door, Windows, Gates",Handrails,,0.0
21,21,97275,https://restado.de/baustoff/massive-aussentuer/,Massive Außentür,Türen & Zargen,Außentüren,2023-01-09,1673481600000.0,,,,,,,,,,,,,,,1.0,259200000.0,['https://restado.de/wp-content/uploads/products/2022/04/48f71fa6-1835a9cb-b23c-4ed7-b810-562d0b2e4ab6.jpeg'],Solid external door,Solid,Composite doorsets,Pr_30_59_24_16,Openings,"Door, Windows, Gates",Openings and opening component products,3.0,
23,23,94092,https://restado.de/baustoff/haustuer-48/,Haustür,Türen & Zargen,Außentüren,2023-01-09,,Biete hier eine neue Aluminium Haustür von SCHÜCO an. Die Maße stehen im Titel. Innen weiß und außen Anthrazitgrau.  Kein Griff von innen wie auf dem Bild zu sehen ist.,Neu,1.700€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-42699 Solingen,,"{""Farbe Türblatt"": ""Grau""}",1700.0,1.0,1700.0,1.0,1.700€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/04/7fcf0dea-d2db8ee8-7a25-4928-85bd-4824ca015b8f.png', 'https://restado.de/wp-content/uploads/products/2022/04/7e3081fd-f0e3197d-edfe-4834-8fa6-7ac2bd73fdbc.png', 'https://restado.de/wp-content/uploads/products/2022/04/65bde49f-dff391da-4212-40d0-8dbd-a83c620a8cd2.png']",front door,Lead,Door knockers,Pr_30_36_33_22,Openings,"Door, Windows, Gates",Furnishings,,0.0
26,26,89188,https://restado.de/baustoff/haustuer-47/,Haustür,Türen & Zargen,Außentüren,2023-01-09,, ,Gebraucht,200€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-53879 Euskirchen,,"{""Material Türblatt"": ""Kunststoff"", ""Anschlag"": ""DIN Links"", ""Schlossart"": ""Profilzylinder""}",200.0,1.0,200.0,1.0,200€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/01/86638eb1-img_20220109_135017-scaled.jpg'],front door,Lead,Door knockers,Pr_30_36_33_22,Openings,"Door, Windows, Gates",Furnishings,,0.0
28,28,86801,https://restado.de/baustoff/pax-haustueren/,PAX Haustüren,Türen & Zargen,Außentüren,2023-01-09,,"Diese Haustür wurde ursprünglich für ein Restaurant gefertigt, jedoch hat sich der Hausbesitzer dann doch für eine andere Türvariante entschieden.  Die Haustür war nur für 6 Wochen verbaut und dann auch nicht verschäumt und es waren auch keine Deckleisten montiert.   Und obwohl die Tür Baujahr 2012 ist ist der Zustand der Tür nahezu neuwertig. Nach dem Ausbau der Tür wurde die Tür geschützt, dunkel und trocken eingelagert.  Die Tür hat ein Oberlicht, das nach Bedarf auch abgenommen werden kann.   Die Tür hat einen Stangen-Stoßgriff außen und eine Langschild-Drückergarnitur innen aus Edelstahl. Verschlossen wird die Tür von einem 3-fach verriegelndem Haken-Riegelschloss mit Profilzylinder, 5 Schlüsseln, Elektro-Öffner mit Tagesentriegelung (Häkchen). 3 Stück Dr.Hahn-Bänder 3D verstellbar.  Unten ein Alu-Schwelle, ca. 2cm hoch, die auch als Anschlag für die 4-seitig umlaufende Außendichtung und die zusätzliche Schleifdichtung dient. Die Innendichtung ist dreiseitig umlaufend.  Falls Sie noch weitere Fragen haben, bitte schreiben Sie mich an. Ich antworte sobald es der ""Wahnsinn des Alltags"" es zu lässt.",Neuwertig,600€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-34132 Kassel,PAX -Haustür mit angekoppeltem Oberlicht,"{""Material Türblatt"": ""Kunststoff foliert"", ""Anschlag"": ""DIN Rechts nach außen öffnend"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Kunststoff foliert"", ""Material Türzarge"": ""Kunststoff foliert"", ""Türzargen-Art"": ""Blendrahmen"", ""Türzargen-Ausführung"": ""Gefälzt"", ""Element-Breite"": ""109,0cm"", ""Element-Höhe"": ""195,0cm Blendrahmenaußenmaß + ein angekoppeltes Oberlicht 47,0cm"", ""Schlossart"": ""Profilzylinder - Hakenriegelschloss 3-fach verriegelnd"", ""Oberfläche Türzarge"": ""Kunststoff foliert"", ""Farbe Türblatt"": ""Mahagoni (Sapeli) foliert"", ""Farbe Türzarge"": ""Mahagoni (Sapeli) foliert""}",600.0,1.0,600.0,1.0,600€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/11/3677ff33-pxl_20211125_144048257-scaled.jpg'],front doors,Lead glass,Doorsets,Pr_30_59_24,Openings,"Door, Windows, Gates",Furnishings,,0.0
30,30,81960,https://restado.de/baustoff/haustuer-45/,Haustür,Türen & Zargen,Außentüren,2023-01-09,,"Hallo,  ich biete eine nagelneue Haustür an.  Schade, aber die Tür passt nicht.  Ich habe einen Fehler gemacht und 10 cm zu breit bestellt. Ich weiß nicht wie. Ich benötige die Maße mit Rahmen 100x210 und habe 110x210 bestellt.  Die Tür sind vom Bauhaus gekauft, aber ich kann nicht zurückgeben, weil mir gesagt wurde, dass die Tür auf Anfrage bestellt wurde und nicht zurückgegeben werden kann - komisch. Die Tür wird nur aus der Folie ausgepackt. Schloss und Greif sind dabei.  Türen sind in Anthrazit Farben.  Die Abmessungen der Tür mit Rahmen - 110x210 (siehe Bilder).  Die neuen kosten 1.200€ und ich verkaufe für 800€. Ich denke, es ist ein guter Preis für eine nagelneue Tür.  Ich will gleiche nochmal bestellen, aber schon mit richtige Maße.  Nur Selbstabholung. Ich habe ein Rechnung, daher ist eine Garantie beim Bauhaus möglich.  Bei Fragen, bitte entweder schreiben oder anrufen.  Größe",Neu,800€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-78056 Villingen-Schwenningen,Termodoor,"{""Material Türblatt"": ""Aluminium"", ""Anschlag"": ""DIN Links"", ""Oberfläche Türblatt"": ""Aluminium"", ""Material Türzarge"": ""Aluminium"", ""Element-Breite"": ""1,10m"", ""Element-Höhe"": ""2,10m"", ""Oberfläche Türzarge"": ""Aluminium"", ""Farbe Türblatt"": ""Anthrazit"", ""Farbe Türzarge"": ""Anthrazit""}",800.0,1.0,800.0,1.0,800€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/09/02bd272a-screenshot_20210913_211923_com.ebay_.kleinanzeigen.jpg', 'https://restado.de/wp-content/uploads/products/2021/09/4432a990-screenshot_20210913_211920_com.ebay_.kleinanzeigen.jpg', 'https://restado.de/wp-content/uploads/products/2021/09/9ba9fc30-screenshot_20210913_211920_com.ebay_.kleinanzeigen.jpg']",front door,Lead,Door knockers,Pr_30_36_33_22,Openings,"Door, Windows, Gates",Furnishings,,0.0
32,32,71947,https://restado.de/baustoff/leibungsrahmentueren-3/,Leibungsrahmentüren,Türen & Zargen,Außentüren,2023-01-09,,Die Türen wurden falsch geliefert und liegen seitdem im Lager.  Preis ist verhandelbar. Bei weiteren Fragen gerne melden.,Neuwertig,175€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-49716 Meppen,ACO,"{""Material Türblatt"": ""Kunststoff"", ""Material Türzarge"": ""Kunststoff"", ""Element-Breite"": ""0,90"", ""Element-Höhe"": ""2,01 m""}",175.0,6.0,175.0,6.0,175€ (VB) / Stück,6 Stück verfügbar,0.0,,[],Reveal frame doors,Architectural glass,Wood door frames,Pr_30_59_23_96,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
33,33,71429,https://restado.de/baustoff/haustuer-44/,Haustür,Türen & Zargen,Außentüren,2023-05-09,,"Nagelneue ! Haustür 1100 x 2100 mm deutscher Hersteller Anschlag DIN rechts * Außenfarbe: Weinrot (RAL 3005) genarbt * Innenfarbe: Weinrot (RAL 3005) genarbt * Bautiefe: 82 mm (Flügelrahmen 5-Kammer / Blendrahmen 6-Kammer-System) * Blendrahmen (Außenansicht): 73 mm * Flügelrahmen (Innenansicht): 115 mm * inkl. 2-fach-Verglasung , außen Sicherheitsglas * Ornamentglas Satinato * zusätzliche Guardfüllung 1mm Alu aussen * beidseitiger ALUNOX-Rahmen * 3 Stück hochwertige Türbänder * inkl. thermisch-getrennter Altbaubodenschwelle * inkl. zusätzlicher Bürsten-Schleifdichtung * hochwertig geschweißte Eckverbinder für optimale Stabilität * inkl. Wetterschenkel 3-fach Haken-Riegel-Sicherheitsschloss in Kombination mit massiven Einzelschließblechen im Blendrahmen der Haustür verwendet und sorgt für sicheres Schließen. * inkl. Stoßgriff und Innentürdrücker Edelstahl  Entweder Selbstabholer oder bei Einigung auch Lieferung",Neu,1.200€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-10178 Berlin,,"{""Material Türblatt"": ""Kunststoff"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Kunststoff"", ""Material Türzarge"": ""Kunststoff"", ""Schlossart"": ""Profilzylinder"", ""Oberfläche Türzarge"": ""Kunststoff"", ""Farbe Türblatt"": ""Weinrot RAL 3005"", ""Farbe Türzarge"": ""Weinrot RAL 3005""}",1200.0,1.0,1200.0,1.0,1.200€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/03/672ba1ff-20210308_114023-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/03/cc87a873-20210308_134622-scaled.jpg']",front door,Lead,Door knockers,Pr_30_36_33_22,Openings,"Door, Windows, Gates",Furnishings,,0.0
