,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
0,0,121613,https://restado.de/baustoff/eigenbau/,Eigenbau,Türen & Zargen,Außentüren,2023-01-09,,Biete hier eine Hauseingangstür Eigenbau Massivholz zum Verkauf. Drei Fach Verriegelung Komplett mit Zarge Top Zustand,Neuwertig,1€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-04539 Groitzsch,,"{""Material Türblatt"": ""Holz"", ""Oberfläche Türblatt"": ""Massivholz"", ""Material Türzarge"": ""Holz"", ""Türzargen-Art"": ""Umfassungszarge"", ""Oberfläche Türzarge"": ""Massivholz""}",1.0,1.0,1.0,1.0,1€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/3507867b-16779951035331310211834540922170-scaled.jpg'],Homemade,Powder,Made ground,Pr_15_31_26_50,Furnishings,Furnishings,Fastener products,,0.0
1,1,120516,https://restado.de/baustoff/stabile-holztuer/,Stabile Holztür,Türen & Zargen,Außentüren,2023-01-09,1673568000000.0,,,,,,,,,,,,,,,1.0,345600000.0,['https://restado.de/wp-content/uploads/products/2023/02/140e4cbf-20230216_085248-scaled.jpg'],Stable wooden door,Wood,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,4.0,
7,7,108773,https://restado.de/baustoff/antike-haustuer-1-flg-gruenderzeit/,Antike Haustür 1-flg. Gründerzeit,Türen & Zargen,Außentüren,2023-02-16,,"Gründerzeit-Haustür aus Eiche, 1-flg., üppig verziert, mit 2 schmiedeeisernen Gittern. Provenienz Hannover.",Gebraucht,7.400€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Eiche"", ""Türblatt-Ausführung"": ""Stumpf"", ""Oberfläche Türblatt"": ""Massivholz"", ""Schlossart"": ""Profilzylinder"", ""Farbe Türblatt"": ""holzfarben Eiche"", ""Türblatt-Breite"": ""94 cm"", ""Türblatt-Höhe"": ""204 cm""}",7400.0,1.0,7400.0,1.0,7.400€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/07/249eec40-antike-tueren-gruenderzeit-antike-haustueren-5295-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/07/d45b1663-antike-tueren-gruenderzeit-antike-haustueren-5295-0.jpg']","Antique front door , -wing . Founding era",Wrought iron,Wood doorsets,Pr_30_59_24_97,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
8,8,108792,https://restado.de/baustoff/historische-haustuer-klassizismus/,Historische Haustür Klassizismus,Türen & Zargen,Außentüren,2023-01-09,,"Klassizistische Haustür aus Eiche, 1-flg., mit großen kannelierten Halbrosetten in Fächerform verziert.",Gebraucht,7.900€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Eiche"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Massivholz"", ""Schlossart"": ""Profilzylinder"", ""Farbe Türblatt"": ""holzfarben Eiche"", ""Türblatt-Breite"": ""107 cm"", ""Türblatt-Höhe"": ""205 cm""}",7900.0,1.0,7900.0,1.0,7.900€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/07/0724817b-antike-tueren-klassizismus-antike-haustueren-5297-0.jpg'],Historic front door classicism,Architectural glass,Door knockers,Pr_30_36_33_22,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
9,9,108817,https://restado.de/baustoff/antike-haustuer-jugendstil/,Antike Haustür Jugendstil,Türen & Zargen,Außentüren,2023-01-09,,"Einflügel-Haustür mit wunderschön geschnitzten floralen Verzierungen, Sprossenfenster und Rundbogen.",Gebraucht,5.500€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Fichte"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Massivholz"", ""Farbe Türblatt"": ""holzfarben"", ""Türblatt-Breite"": ""96 cm"", ""Türblatt-Höhe"": ""214 cm""}",5500.0,1.0,5500.0,1.0,5.500€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/07/835166fc-antike-tueren-jugendstil-antike-haustueren-5311-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/07/67455cf1-antike-tueren-jugendstil-antike-haustueren-5311-0.jpg']",Antique front door Art Nouveau,Mahogany,Antique glass,Pr_25_71_33_03,Furnishings,Furnishings,Furnishings,,0.0
10,10,108804,https://restado.de/baustoff/antike-haustuer-gruenderzeit-1-flg/,Antike Haustür Gründerzeit 1-flg.,Türen & Zargen,Außentüren,2023-01-10,,"Antike Gründerzeit-Haustür, 1-flg., aus Eiche, mit 2 schmiedeeisernen Gittern. Restauriert.",Gebraucht,5.400€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Eiche"", ""Türblatt-Ausführung"": ""Stumpf"", ""Oberfläche Türblatt"": ""Massivholz"", ""Farbe Türblatt"": ""holzfarben Eiche"", ""Türblatt-Breite"": ""90 cm"", ""Türblatt-Höhe"": ""213 cm""}",5400.0,1.0,5400.0,1.0,5.400€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/07/e380a42c-antike-tueren-gruenderzeit-antike-haustueren-5300-0.jpg'],"Antique Wilhelminian style front door , -wing .",Wrought iron,Sectional overhead doorsets,Pr_30_59_24_75,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
11,11,108810,https://restado.de/baustoff/antike-haustuer-gruenderzeit-1-flg-2/,Antike Haustür Gründerzeit 1-flg.,Türen & Zargen,Außentüren,2023-05-02,,"Antike Gründerzeit-Haustür, 1-flg., aus Eiche, mit 2 schmiedeeisernen Gittern. Restauriert.",Gebraucht,5.500€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Eiche"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Massivholz"", ""Farbe Türblatt"": ""holzfarben Eiche"", ""Türblatt-Breite"": ""108 cm"", ""Türblatt-Höhe"": ""206,5 cm""}",5500.0,1.0,5500.0,1.0,5.500€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/07/11b18ebe-antike-tueren-gruenderzeit-antike-haustueren-5301-0.jpg'],"Antique Wilhelminian style front door , -wing .",Wrought iron,Sectional overhead doorsets,Pr_30_59_24_75,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
12,12,108798,https://restado.de/baustoff/antike-haustuer-historismus-1-flg/,Antike Haustür Historismus 1-flg.,Türen & Zargen,Außentüren,2023-01-09,,"Antike Haustür aus der Zeit des Historismus, aus Eiche, mit zwei schmiedeeisernen Gittern.",Gebraucht,4.400€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Eiche"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Massivholz"", ""Schlossart"": ""Profilzylinder"", ""Farbe Türblatt"": ""holzfarben Eiche"", ""Türblatt-Breite"": ""93,5 cm"", ""Türblatt-Höhe"": ""194 cm""}",4400.0,1.0,4400.0,1.0,4.400€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/07/922efe86-antike-tueren-historismus-antike-haustueren-5299-0.jpg'],"Antique front door , historicism , -wing .",Wrought iron,Wood doorsets,Pr_30_59_24_97,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
13,13,108832,https://restado.de/baustoff/antike-haustuer-1-flg-gruenderzeit-2/,Antike Haustür 1-flg. Gründerzeit,Türen & Zargen,Außentüren,2023-01-09,,"Gründerzeit-Haustür aus Eiche, 1-flg., üppig verziert und beschnitzt, u.a. mit Baldachin und Messingrosetten, mit einem schmiedeeisernen Gitter. Provenienz Kaiserslautern.",Gebraucht,7.900€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Eiche"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Massivholz"", ""Farbe Türblatt"": ""holzfarben Eiche"", ""Türblatt-Breite"": ""88,5 cm"", ""Türblatt-Höhe"": ""222 cm""}",7900.0,1.0,7900.0,1.0,7.900€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/07/0122cac1-antike-tueren-gruenderzeit-antike-haustueren-5340-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/07/10bef1bb-antike-tueren-gruenderzeit-antike-haustueren-5340-0.jpg']","Antique front door , -wing . Founding era",Wrought iron,Wood doorsets,Pr_30_59_24_97,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
14,14,108824,https://restado.de/baustoff/historische-haustuer-gruenderzeit-2-flg/,Historische Haustür Gründerzeit 2-flg.,Türen & Zargen,Außentüren,2023-01-09,,"Üppig verzierte Gründerzeit-Haustür aus Eiche, 2-flg., mit kunstvollen schmiedeeisernen Gittern. Aus einem Bürgerhaus in Hamburg.",Gebraucht,9.900€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Eiche"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Massivholz"", ""Farbe Türblatt"": ""holzfarben Eiche"", ""Türblatt-Breite"": ""125 cm"", ""Türblatt-Höhe"": ""203 cm""}",9900.0,1.0,9900.0,1.0,9.900€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/07/e3d20436-antike-tueren-gruenderzeit-antike-haustueren-5313-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/07/6a14af7a-antike-tueren-gruenderzeit-antike-haustueren-5313-0.jpg']","Historical front door from Wilhelminian style , -wing .",Wrought iron,Louvre doorsets,Pr_30_59_24_49,Furnishings,"Door, Windows, Gates",Handrails,,0.0
