,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1846,121522,https://restado.de/baustoff/schwaiger-sat-koaxialkabel-kox-90-50m-ring-75db/,"Schwaiger SAT-Koaxialkabel , m Ring , dB",Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Verkaufe neuen und original verpackten 50m Ring SAT-Koaxialkabel Schwaiger KOX 90 - 75dB - Durchmesser 6,8mm",Neu,15€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-47259 Duisburg,Schwaiger,"{""Kabelart"": ""Koaxialkabel""}",15.0,1.0,15.0,1.0,15€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/19ee3fa0-img_2165-scaled.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
1847,117651,https://restado.de/baustoff/kabelkanal-grau-30x15/,Kabelkanal grau x,Haustechnik & Sanitär,Elektroarbeiten,2023-03-03,1678147200000.0,,,,,,,,,,,,,,,1.0,345600000.0,['https://restado.de/wp-content/uploads/products/2022/12/c2388673-bik-dh-klein-halbschr.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,4.0,
1848,117638,https://restado.de/baustoff/kabelkanal-15x15/,Kabelkanal weiss x,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1673395200000.0,,,,,,,,,,,,,,,1.0,172800000.0,['https://restado.de/wp-content/uploads/products/2022/12/db685fa7-bik-dh-klein-halbschr.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,2.0,
1849,117644,https://restado.de/baustoff/kabelkanal-15x15-2/,Kabelkanal grau x,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1673395200000.0,,,,,,,,,,,,,,,1.0,172800000.0,['https://restado.de/wp-content/uploads/products/2022/12/3edc5245-bik-dh-klein-halbschr.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,2.0,
1850,116483,https://restado.de/baustoff/kabel-nycwy-4x185-95-mm%c2%b2-sw/,Kabel x/ mm²,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,, ,Neu,10.125€ / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-48477 Hörstel,nkt Cables / Faber Kabel,"{""Kabelart"": ""Erdkabel"", ""Adernanzahl"": ""4-adrig""}",10125.0,3.0,10125.0,3.0,10.125€ / Stück,3 Stück verfügbar,0.0,,[],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
1851,111596,https://restado.de/baustoff/datenkabel-cat-7a-1500-mhz-500m/,Datenkabel MHz m,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Elmat Fairline 4PSC22 1500MHz S/FTP CAT.7A LSOH-3, orange CPR: B2ca  Beim unserem Neubau übrig geblieben. Original verpackt.",Neu,400€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-38704 Liebenburg,,"{""Kabelart"": ""Datenkabel"", ""Adernanzahl"": ""7-adrig""}",400.0,1.0,400.0,1.0,400€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/08/75f88681-2287-4ee6-ae19-0a375d749dea.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
1852,109914,https://restado.de/baustoff/led-aufbau-einzelspots-absinthe-nimis/,Aufbau Einzelspots Absinthe Nimis,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Formschöne, schwenkbare und dimmbare LED Aufbau-Einzelspots ""Nimis AB 30006-01-WW"" von Absinthe in hochwertigem weißem Metallgehäuse (Aluminium) - zu verkaufen wegen geänderter Lichtplanung.  Technische Daten jeweils:  13,8 Watt 3000 K (warmweiß) 1050 lm (max., dimmbar) dimmbar mit Phasenabschnittsdimmer Abmessungen d= 100mm h= 103mm Abstrahlwinkel 50 Grad CRI (Colour Rendering Index) 80 Schutzart IP 20 schwenkbar zum Anschluss an 220-230 V inkl. LED Netzteil inkl. LED Leuchtmittel  Unbenutzt und originalverpackt (4 mit Versiegelung, 1 geöffnet).  Der angegebene Preis ist der Stückpreis (handelsüblicher Neupreis: € 130). Es sind 5 Stück vorhanden; die Mindestabnahmezahl sind 4 Stück. ",Neu,95€ (VB) / Stück,5 Stück verfügbar,(4 Stück Mindestabnahme),D-20099 Hamburg,,{},95.0,5.0,95.0,5.0,95€ (VB) / Stück,5 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/07/db8c802b-01.jpeg', 'https://restado.de/wp-content/uploads/products/2022/07/33e15e21-01.jpeg']",Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
1853,106242,https://restado.de/baustoff/datwyler-keram-sicherheitskabel-nhxh-j-fe180-e90-4-x-1-5/,Datwyler Keram Sicherheitskabel x .,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,Typ: Sicherheitskabel (N)HXH-J FE180 E90 4 x 1.5  Anzahl Leiter4 Durchmesser mm²1.5 Außenmantel Durchmesser [mm]12.4 Cu-Zahl [kg/km]58 Gewicht [kg/km]233 Brandlast [kWh/m]0.61 kWh/m LeiterRE Konstruktion3LPE  Nur Abholung. Bei Fragen: [email protected],Neu,100€ (VB) / Paket,2 Paket verfügbar,(1 Paket Mindestabnahme),D-85622 Feldkirchen,Datwyler Keram,"{""Kabelart"": ""Sicherheitkabel"", ""Adernanzahl"": ""4-adrig""}",100.0,2.0,100.0,2.0,100€ (VB) / Paket,2 Paket verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/05/12a35c4f-img_20220525_141350_4.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/42ee20fa-img_20220525_141546_7.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/f200960f-img_20220525_141601_7.jpg']",Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
1854,101384,https://restado.de/baustoff/industrial-strom-kabel/,Industrial strom kabel,Haustechnik & Sanitär,Elektroarbeiten,2023-03-02,,Industrial stark strom Kabel 9m,Neuwertig,135€ (VB) Paketpreis,9 lfm verfügbar,(9 lfm Mindestabnahme),D-72461 Albstadt,,{},135.0,9.0,135.0,9.0,135€ (VB) Paketpreis,9 lfm verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/05/ad780ea0-279915115_5164456563610669_3211798035419491649_n.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
1855,92264,https://restado.de/baustoff/buschjaeger/,Buschjäger,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1673222400000.0,,,,,,,,,,,,,,,0.0,0.0,['https://restado.de/wp-content/uploads/products/2022/03/b2172b30-img_20220305_092005-scaled.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,0.0,
1856,88381,https://restado.de/baustoff/philips-led-leuchte/,Philips LED-Leuchte,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Sehr hochwertige Feuchtraum- / Außenkeuchte der Marke Philips. Typ: Pacific LED WT 460C LED 42S/840 PSU WB L 1300  Die Leuchte ist neu und originalverpackt. Die Länge beträgt einschließlich der Verschraubung 1321 mm. Die Lichtfarbe ist weiß (4000 lm). Sie arbeitet in einem sehr großen Temperaturbereich zwischen 45°C und -30°C und wiegt ca. 3,2 Kg.  Da ich Artikel aus meinem Privatbesitz verkaufe, schließe ich jegliche Garantieansprüche und Rücknahmen sowie die Haftung aus. Ich garantiere hierbei jedoch die Originalität aller meiner angebotenen Artikel.",Neu,100€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-21217 Seevetal,,"{""Verwendungszweck"": ""1543"", ""Leuchtenname"": ""Pacific LED WT 460C LED 42S/840 PSU WB L 1300"", ""Leuchtentyp"": ""Aufbauleuchte""}",100.0,10.0,100.0,10.0,100€ (VB) / Stück,10 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/01/9f2d6325-img_0280-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/924707be-img_0277-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/1fc83145-img_0286-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/014379fb-img_0283-scaled.jpg']",Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
1857,88407,https://restado.de/baustoff/berker-gehaeuse-2-fach-ap/,Berker Gehäuse -fach,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Aufputz-Gehäuse 2-fach, Serie: S.1 polarweiß, glänzend. Aufputz-Gehäuse für senkrechte und waagerechte Montage mit Leitungs- und Kanaleinführung. Mit dem Aufputz-Gehäuse können Unterputz-Apparate zur Aufputz-Installation verwendet werden, der Boden geschlossen, somit auf Holz montierbar. Standardprogramm. Material: Kunststoff, Thermoplast, bruchsicher, halogenfrei.  Da ich Artikel aus meinem Privatbesitz verkaufe, schließe ich jegliche Garantieansprüche und Rücknahmen sowie die Haftung aus. Ich garantiere hierbei jedoch die Originalität aller meiner angebotenen Artikel.",Neu,10€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-21217 Seevetal,"Berker Gehäuse 2-fach AP, Art. Nr.: 10428989",{},10.0,2.0,10.0,2.0,10€ (VB) / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/01/90d17bd1-dscf2080.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
1858,88401,https://restado.de/baustoff/berker-taster-schliesser/,Berker Taster Schließer,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Taster mit einem Schließer. Wipptaster, beleuchtbar mit Glimm- und Glühaggregat mit N-Klemme. Für Beleuchtung und Kontrollschaltung, mit Steckklemmen. Mit Glimmaggregat im Sinne der Arbeitsstättenverordnung beleuchtbar.  Da ich Artikel aus meinem Privatbesitz verkaufe, schließe ich jegliche Garantieansprüche und Rücknahmen sowie die Haftung aus. Ich garantiere hierbei jedoch die Originalität aller meiner angebotenen Artikel.",Neu,"4,50€ (VB) / Stück",8 Stück verfügbar,(1 Stück Mindestabnahme),D-21217 Seevetal,Berker Artikelnr.: 5031,{},4.5,8.0,4.5,8.0,"4,50€ (VB) / Stück",8 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/01/005463df-dscf2088.jpg'],Encaustic,Electrical diagrams,Pr_40_10_57_23,Technical elements,"Blocks, Panels, Fences, Bricks",Power and lighting outlet products,,0.0
