,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
246,120607,https://restado.de/baustoff/massivholzueren/,Massivholzüren,Türen & Zargen,Zimmertüren,2023-01-09,,"2 kleiner Türen sind 199x 61 cm , der Türgriff nur auf einer Seite. 1 Tür 199x74 cm . Türgriff auf beiden Seiten. Ohne Zargen. Gebrauchsspuren ohne Zarge. Für Selbstabholer",Gebraucht,100€ (VB) / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-04288 Leipzig,,"{""Material Türblatt"": ""Holz"", ""Oberfläche Türblatt"": ""Massivholz"", ""Material Türzarge"": ""Holz"", ""Farbe Türblatt"": ""braun""}",100.0,3.0,100.0,3.0,100€ (VB) / Stück,3 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/02/45a938d9-4-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/3111045d-grosse-tuer-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/6eadd7db-3-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/c8a9d7f3-20230218_093109-scaled.jpg']",Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
247,120477,https://restado.de/baustoff/huga-innentuer-durat-weisslack-mit-lichtausschnitt/,Huga Innentür Durat Weißlack mit Lichtausschnitt,Türen & Zargen,Zimmertüren,2023-01-09,,"Huga Normtür Durat Weißlack Dekor Deck: Spanplattendeck 3,0 mm Türdicke: 39,5 mm Kantenausführung: 4Protect weiß glatt matt Profilrahmen: Glasleiste Profil 0, gestiftet und verkittet Glas: 040 Planscheibe ESG 4 mm, Clear (Float klar)  Schloss: Klasse 1 20/55 mm BB Nickelsilber Schlossmaße: Oberkante Türfalz - mitte Drücker 1054 mm Bandausführung: nur Bohr für zwei Bänder V 0026 WF BBL1: 237 mm / BBL 2: 1435 mm Nur Türblatt mit Schloss, ohne Bänder und ohne Drücker  6 Stück DIN Links 985 x 2110 6 Stück DIN rechts 985 x 2110  Verkaufspreis 99 € = Stückpreis Abverkauf -> Umtausch / Rückgabe ausgeschlossen Zwischenverkauf vorbehalten  Ansprechpartner: Herr Sascha Hurny 0173/6492731",Neu,99€ / Stück,12 Stück verfügbar,(1 Stück Mindestabnahme),D-93057 Regensburg,Huga,{},99.0,12.0,99.0,12.0,99€ / Stück,12 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/02/36050aea-img_3254-rotated.jpg'],Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
248,119659,https://restado.de/baustoff/tueren-5/,Türen,Türen & Zargen,Zimmertüren,2023-01-09,, ,Neu,7.500€ (VB) Paketpreis,100 Stück verfügbar,(100 Stück Mindestabnahme),D-57555 Mudersbach,,"{""Material Türblatt"": ""Holz"", ""Material Türzarge"": ""Holz""}",7500.0,100.0,7500.0,100.0,7.500€ (VB) Paketpreis,100 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/01/4ccf122b-037dfe8e-7324-4030-8d03-c9b5e6a4483c.jpeg', 'https://restado.de/wp-content/uploads/products/2023/01/d042bc9e-7aa6e34f-5ce2-4b67-aaec-e006bf064306.jpeg', 'https://restado.de/wp-content/uploads/products/2023/01/a5b74899-22db6a1d-e38c-458a-9728-5846223b468e.jpeg']",Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
249,118924,https://restado.de/baustoff/zimmertuer-innen-cpl-eiche/,Zimmertür innen Eiche,Türen & Zargen,Zimmertüren,2023-01-09,,Maße: 1985×735,Neu,450€ / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-98617 Meiningen,Prüm,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""1x DIN rechts, 1x DIN links"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Furnier"", ""Material Türzarge"": ""Holz"", ""Schlossart"": ""Profilzylinder"", ""Farbe Türblatt"": ""Eiche""}",450.0,2.0,450.0,2.0,450€ / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/01/dce94403-img-20230116-wa0052.jpg'],Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
250,126547,https://restado.de/baustoff/ovp-pruem-tuerblatt-schallschutz-2110x985mm-bohrungen/,Prüm Türblatt Schallschutz . xmm . Bohrungen,Türen & Zargen,Zimmertüren,2023-04-22,,"Zum Verkauf stehen insgesamt 2 originalverpackte Türblätter der Marke Prüm mit integriertem Schallschutz von 32 dB.  Die Türen enthalten bereits Bohrungen für einen Gleittürschließer (TS91, TS92 B , TS92 B Basic, TS93 EMR, TS 99 FL N Normalmontage, TS99 FLR/K Normalmontage, G-U BIVIS XE A, TS71, TS72, TS73 V, TS73 EMF, TS89, TS5000, TS3000).  Es handelt sich um CPL (Continuous Pressure Laminate) und mit dem ECO-Label zertifizierte Türblätter in Weißlack-Optik. Details zu den Eigenschaften des Materials erhalten Sie auf der Website der PRÜM Türenwerk GmbH.  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Blattfarbe: RAL 9016 Anschlag: links Schallschutz: 32 dB Türbänder: silber Kantenausbildung: Kunststoffkante, Normalfalz, Rundpost-Kr (Postforming nur bis TB Dicke 48,5 | Aufdeck < 21,5) Einleimer: sichtbar Bandflügelteil 3-tlg. Vernickelt PZ-Schloss KL3 55mm Dom silberfarbig  Breite (Rohbaumaße): 1,010 m Höhe (Rohbaumaße): 2,135 m Breite (Rohbaumaße): 0,900 m  Breite 985 mm Höhe: 2110 mm Dicke: 39 Wandstärke 12,5 cm  Die Türblätter sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können die passende grundierte Stahlzarge (Farbe noch anpassbar) und eine silberfarbene Klinke der Marke Hoppe dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.  Bei den Bildern handelt es sich um beispielhafte Türen der gleichen Farbe, der gleichen Maße und des gleichen Herstellers.",Neu,100€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Prüm Türenwerk GmbH,"{""Material Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Normalfalz, Rundpost-Kr"", ""Oberfläche Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Schlossart"": ""PZ-Schloss KL3 35mm Dom silberfarbig"", ""Farbe Türblatt"": ""Weißlack RAL 9016"", ""Türblatt-Breite"": ""985mm"", ""Türblatt-Höhe"": ""2110mm""}",100.0,2.0,100.0,2.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/05/bcc4db3a-tuer-schallschutzbohrung.png', 'https://restado.de/wp-content/uploads/products/2023/05/9df2274a-image00009-scaled.jpeg']",Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
251,126534,https://restado.de/baustoff/ovp-pruem-tuerblatt-schallschutz-2110x985mm-anschlag-links/,Prüm Türblatt Schallschutz . xmm . Anschlag links,Türen & Zargen,Zimmertüren,2023-04-02,,"Zum Verkauf stehen insgesamt 3 originalverpackte Türblätter der Marke Prüm mit integriertem Schallschutz von 32 dB.  Es handelt sich um CPL (Continuous Pressure Laminate) und mit dem ECO-Label zertifizierte Türblätter in Weißlack-Optik. Details zu den Eigenschaften des Materials erhalten Sie auf der Website der PRÜM Türenwerk GmbH (https://www.tuer.de/produkte/innentueren/uebersicht.html).   Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Blattfarbe: RAL 9016 Anschlag: links Schallschutz: 32 dB Türbänder: silber Kantenausbildung: Kunststoffkante, Normalfalz, Rundpost-Kr (Postforming nur bis TB Dicke 48,5 | Aufdeck < 21,5) Einleimer: sichtbar Bandflügelteil 3-tlg. Vernickelt PZ-Schloss KL3 55mm Dom silberfarbig  Breite (Rohbaumaße): 1,010 m Höhe (Rohbaumaße): 2,135 m Breite (Rohbaumaße): 0,900 m  Breite 985mm Höhe: 2110mm Dicke: 39 Wandstärke 12,5 cm  Die Türblätter sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können die passende grundierte Stahlzarge (Farbe noch anpassbar) und eine silberfarbene Klinke der Marke Hoppe dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.",Neu,100€ (VB) / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Prüm Türenwerk GmbH,"{""Material Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Normalfalz, Rundpost-Kr"", ""Oberfläche Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Schlossart"": ""PZ-Schloss KL3 35mm Dom silberfarbig"", ""Farbe Türblatt"": ""Weißlack RAL 9016"", ""Türblatt-Breite"": ""985mm"", ""Türblatt-Höhe"": ""2110mm""}",100.0,3.0,100.0,3.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/05/56d955ad-image00016-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/05/ab07f0e4-tuer-schallschutz.png', 'https://restado.de/wp-content/uploads/products/2023/05/7b8370d4-image00009-scaled.jpeg']",Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
252,126527,https://restado.de/baustoff/ovp-pruem-tuerblatt-2110x985mm-anschlag-links/,Prüm Türblatt . xmm . Anschlag links,Türen & Zargen,Zimmertüren,2023-04-21,,"Zum Verkauf stehen insgesamt 5 originalverpackte Türblätter der Marke Prüm.  Es handelt sich um CPL (Continuous Pressure Laminate) und mit dem ECO-Label zertifizierte Türblätter in Weißlack-Optik. Details zu den Eigenschaften des Materials erhalten Sie auf der Website der PRÜM Türenwerk GmbH (https://www.tuer.de/produkte/innentueren/uebersicht.html).  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Blattfarbe: RAL 9016 Anschlag: links Türbänder: silber Kantenausbildung: Kunststoffkante, Normalfalz, Rundpost-Kr (Postforming nur bis TB Dicke 48,5 | Aufdeck < 21,5) Einleimer: sichtbar Bandflügelteil 3-tlg. Vernickelt PZ-Schloss KL3 55mm Dom silberfarbig  Breite (Rohbaumaße): 1,010 m Höhe (Rohbaumaße): 2,135 m Breite (Rohbaumaße): 0,900 m  Breite 985mm Höhe: 2110mm Dicke: 39 Wandstärke 12,5 cm  Die Türblätter sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können die passende grundierte Stahlzarge (Farbe noch anpassbar) und eine silberfarbene Klinke der Marke Hoppe dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.",Neu,100€ (VB) / Stück,5 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Prüm Türenwerk GmbH,"{""Material Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Normalfalz, Rundpost-Kr"", ""Oberfläche Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Schlossart"": ""PZ-Schloss KL3 35mm Dom silberfarbig"", ""Farbe Türblatt"": ""Weißlack RAL 9016"", ""Türblatt-Breite"": ""985mm"", ""Türblatt-Höhe"": ""2110 mm""}",100.0,5.0,100.0,5.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/05/431e0179-image00009-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/05/ba19e92f-tuerblatt.anschlag_links.png']",Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
253,126556,https://restado.de/baustoff/pruem-stahlzarge-mit-verglasung/,Prüm Stahlzarge mit Verglasung,Türen & Zargen,Zimmertüren,2023-04-13,,"Zum Verkauf stehen insgesamt 2 neue Stahlzargen der Marke Prüm mit integrierter Verglasung.  Die passenden Türen mit den Maßen 2110x985mm finden Sie in den weiteren Anzeigen.  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Farbe: Grundiert, Farbe noch individuell anpassbar.  Breite 1466 mm Höhe: 2108 mm Dicke: 39  Die Stahlzargen sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können das passende Türblatt und eine silberfarbene Klinke der Marke Hoppe dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.",Neu,50€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Prüm Türenwerk GmbH ,"{""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Umfassungszarge"", ""Oberfläche Türzarge"": ""BOS-Grundierung"", ""Farbe Türzarge"": ""Farbe noch anpassbar"", ""Türzargen-Breite"": ""1466mm"", ""Türzargen-Höhe"": ""2108mm""}",50.0,2.0,50.0,2.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/05/bc7ee21b-20230418_125705-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/05/a82bb793-6e7b-4e02-a2df-569797ef8950-1.jpg']",Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
254,126562,https://restado.de/baustoff/ovp-pruem-tuerblatt-2110x985mm-anschlag-links-bohrungen/,Prüm Türblatt . xmm . Anschlag links . Bohrungen,Türen & Zargen,Zimmertüren,2023-04-04,,"Zum Verkauf steht ein originalverpacktes Türblatt der Marke Prüm.  Die Tür enthält bereits Bohrungen für einen Obertürschließer.  Es handelt sich um ein CPL (Continuous Pressure Laminate) und mit dem ECO-Label zertifiziertes Türblatt in Weißlack-Optik. Details zu den Eigenschaften des Materials erhalten Sie auf der Website der PRÜM Türenwerk GmbH (https://www.tuer.de/produkte/innentueren/uebersicht.html).  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Blattfarbe: RAL 9016 Anschlag: links Türbänder: silber Bandflügelteil 3-tlg. vernickelt PZ-Schloss KL3 55mm Dom silberfarbig  Breite (Rohbaumaße): 1,010 m Höhe (Rohbaumaße): 2,135 m Breite (Rohbaumaße): 0,900 m  Breite 985mm Höhe: 2110mm Dicke: 39  Das Türblatt ist nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können die passende grundierte Stahlzarge (Farbe noch anpassbar) und eine silberfarbene Klinke der Marke Hoppe dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.",Neu,100€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Prüm Türenwerk GmbH,"{""Material Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Normalfalz, Rundpost-Kr"", ""Oberfläche Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Schlossart"": ""PZ-Schloss KL3 35mm Dom silberfarbig"", ""Farbe Türblatt"": ""Weißlack RAL 9016"", ""Türblatt-Breite"": ""985mm"", ""Türblatt-Höhe"": ""2110mm""}",100.0,1.0,100.0,1.0,,,0.0,,['https://restado.de/wp-content/uploads/products/2023/05/244a62b3-tuer-bohrung.png'],Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
255,126569,https://restado.de/baustoff/pruem-stahlzarge-2108x966mm-grundiert/,Prüm Stahlzarge . xmm . Grundiert,Türen & Zargen,Zimmertüren,2023-04-21,,"Zum Verkauf stehen insgesamt 11 neue Stahlzargen der Marke Prüm.  Die passenden Türen mit den Maßen 2110x985mm finden Sie in den weiteren Anzeigen.  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Farbe: Grundiert, Farbe noch individuell anpassbar.  Breite 966 mm Höhe: 2108 mm Dicke: 39  Die Stahlzargen sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können das passende Türblatt und eine silberfarbene Klinke der Marke Hoppe dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.",Neu,50€ (VB) / Stück,11 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Prüm Türenwerk GmbH ,"{""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Umfassungszarge"", ""Oberfläche Türzarge"": ""BOS-Grundierung"", ""Farbe Türzarge"": ""Farbe noch anpassbar"", ""Türzargen-Breite"": ""966mm"", ""Türzargen-Höhe"": ""2108mm""}",50.0,11.0,50.0,11.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/05/a398f115-image00009-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/05/cfb93074-20230418_125739-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/05/ee98c1e2-20230503_144612-scaled.jpg']",Sitka spruce,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
