,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1885,1885,63299,https://restado.de/baustoff/deckenlampe/,Deckenlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1683849600000.0,"Interessante, vermutlich mundgeblasene Deckenlampe in grau meliert (die Bänderung erinnert an Achat). Überhaupt löste die Lampe hier einige Assoziationen aus: ""wie eine Auster"" oder ""ein Häubchen"".  Material: glas Farbe: grau Höhe: 12,00 cm Gewicht: 2,00 kg  Durchmesser:: 27,00cm Lieferung nach Absprache.",Neuwertig,45€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},45.0,1.0,45.0,1.0,45€ / Stück,1 Stück verfügbar,1.0,10627200000.0,[],Ceiling lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,123.0,0.0
1889,1889,63303,https://restado.de/baustoff/deckenlampe-3/,Deckenlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-06-09,1697068800000.0,"5-armiger Leuchter aus Omas guter Stube. Das Gestell ist aus Mahagonie und die Lampenschirme haben Ornamentglas.  Material: Mahagonie/Glas Höhe: 30,00 cm Breite: 63,00 cm  Lieferung nach Absprache.",Neuwertig,30€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},30.0,1.0,30.0,1.0,30€ / Stück,1 Stück verfügbar,1.0,10800000000.0,,Ceiling lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,125.0,0.0
1890,1890,63301,https://restado.de/baustoff/deckenlampe-2/,Deckenlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1682208000000.0,"Hängelampe aus Tiffanyglas. Formschön und in dezenten Farben. Ein Klassiker!  Material: Glas/Metall Farbe: weiß/blau Höhe: 20,00 cm  Durchmesser:: 48,00cm Lieferung nach Absprache.",Neuwertig,60€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},60.0,1.0,60.0,1.0,60€ / Stück,1 Stück verfügbar,1.0,8985600000.0,,Ceiling lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,104.0,0.0
1897,1897,63331,https://restado.de/baustoff/langfeldleuchte/,Langfeldleuchte,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1681430400000.0,"Eine Leuchte für Arbeitsplätze aller Art als Langfeld, mit Aluraster, Deckenmontage, 1 Röhre, 220V und 50 Hertzen. Artikel findet sich in Regal...  Material: Stahl,Alu Farbe: weiß,natur Höhe: 8,50 cm Breite: 18,50 cm Länge/Tiefe: 155,00 cm Gewicht: 4,00 kg  Lieferung nach Absprache.",Neuwertig,20€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},20.0,1.0,20.0,1.0,20€ / Stück,1 Stück verfügbar,1.0,8208000000.0,[],Long field lamp,Filament,Lamps,Pr_70_70_46,Other,Other,"Lighting columns, brackets and bollards",95.0,0.0
1901,1901,63365,https://restado.de/baustoff/wandlampe-3/,Wandlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1681862400000.0,"Diese schlichte Wandlampe ist groß und formschön. Sie ist leicht und aus Kunststoff und verbreitet Vollmondlicht in jedem Treppenhaus. Ausgebaut in St.Jürgen.  Material: Metall/Kunststoff Farbe: weiß Höhe: 14,00 cm Gewicht: 0,50 kg  Durchmesser:: 40,00cm Lieferung nach Absprache.",Neuwertig,20€ / Stück,18 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},20.0,18.0,20.0,18.0,20€ / Stück,18 Stück verfügbar,1.0,8640000000.0,,Wall lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,100.0,0.0
1902,1902,63361,https://restado.de/baustoff/wandlampe/,Wandlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1683072000000.0,"Wandlampe mit Kunststofffuß und Glasabdeckung.  Material: Kunststoff/Glas Farbe: weiß Höhe: 10,00 cm Breite: 15,00 cm Länge/Tiefe: 25,00 cm Gewicht: 0,50 kg  Im Angebot bis:: 13.02.20""2020-02-13"" Lieferung nach Absprache.",Neuwertig,15€ / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},15.0,2.0,15.0,2.0,15€ / Stück,2 Stück verfügbar,1.0,9849600000.0,,Wall lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,114.0,0.0
1903,1903,63363,https://restado.de/baustoff/wandlampe-2/,Wandlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1684195200000.0,"Nach oben leuchtende Wandschale aus rosa/grauem Marmorimitat.  Farbe: rosa/grau Höhe: 11,00 cm  Durchmesser:: 29,00cm Lieferung nach Absprache.",Neuwertig,20€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},20.0,1.0,20.0,1.0,20€ / Stück,1 Stück verfügbar,1.0,10972800000.0,,Wall lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,127.0,0.0
1906,1906,63374,https://restado.de/baustoff/wandlampe-7/,Wandlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1683590400000.0,"Diese Wandlampe ist sicher nicht von einem berühmten Designer entworfen, sondern eher ein typisches achzigerjahre Modell. Die Glaskuppel ist auf ein Sperrholzbrett in Bucheoptik montiert und dazwischen befindet sich das Blech mit dem gemusterten Rand. Die Lampe hat mattiertes Glas und spendet ein weiches Licht.  Material: Glas/Holz/Metall Farbe: weiß/silber Höhe: 10,00 cm Gewicht: 1,00 kg  Durchmesser:: 32,00cm Lieferung nach Absprache.",Neuwertig,25€ / Gesamt,3 Gesamt verfügbar,(1 Gesamt Mindestabnahme),D-28217 Bremen,,{},25.0,3.0,25.0,3.0,25€ / Gesamt,3 Gesamt verfügbar,1.0,10368000000.0,,Wall lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,120.0,0.0
1907,1907,63367,https://restado.de/baustoff/wandlampe-4/,Wandlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1682985600000.0,"Diese Wandlampen sind zwar komplett aus Kunststoff, aber nicht für den Außenbereich geeignet. Sie sind eher schlicht und ergreifend als etwas Besonderes und machen ein praktisches Licht z.B. in der Garage, oder im Carport, oder, oder, oder  Material: Kunststoff/Metall Farbe: weiß Höhe: 9,50 cm Gewicht: 1,50 kg  Durchmesser:: 26,00cm Lieferung nach Absprache.",Neuwertig,25€ / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},25.0,3.0,25.0,3.0,25€ / Stück,3 Stück verfügbar,1.0,9763200000.0,,Wall lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,113.0,0.0
1963,1963,4945,https://restado.de/baustoff/garagenlampen-kellerlampen-rhrenleuchten/,"Garagenlampen, Kellerlampen, Röhrenleuchten",Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Biete Ihnen hier zwei Gebrauchte Röhrenleuchten. Voll funktionsfähig. Inkl. Leuchtröhre von OSRAM.   Foto: (1,2,3,4)  Länge: 127cm.  Leuchtröhre (L 36W/865).   Foto: (5,6,7)  Länge : 157 cm.  Leuchtröhre (L 58W/840).   Preis : 15 € (bezieht sich auf 1 Stk)   Abholung: (nach Terminvereinbarung ).   Versandkosten muss den Käufer selbst übernehmen).    Privatverkauf ohne Rücknahme, Nachverhandlungen oder Garantie/Gewährleistung.  Bei weiteren fragen, einfach melden, ich werde ihnen schnellstmöglich antworten",Gebraucht,15€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-55283 Nierstein,,{},15.0,1.0,15.0,1.0,15€ (VB) / Stück,1 Stück verfügbar,0.0,,[],"Garage lamps , basement lamps , tube lights",Filament,Lamps,Pr_70_70_46,"Roof, Slabs, Stairs","Floors, Ceiling",Power and lighting outlet products,,0.0
