,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
21,21,97275,https://restado.de/baustoff/massive-aussentuer/,Massive Außentür,Türen & Zargen,Außentüren,2023-01-09,1673481600000.0,,,,,,,,,,,,,,,1.0,259200000.0,['https://restado.de/wp-content/uploads/products/2022/04/48f71fa6-1835a9cb-b23c-4ed7-b810-562d0b2e4ab6.jpeg'],Solid external door,Solid,Composite doorsets,Pr_30_59_24_16,Openings,"Door, Windows, Gates",Openings and opening component products,3.0,
51,51,5806,https://restado.de/baustoff/2-flg-zwischentuer/,2-Flg. Zwischentür,Türen & Zargen,Außentüren,2023-01-09,,"Eine Glasfüllung ist beschädigt. Breite:  178,00 cm Höhe:  207,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1950 Material:  Holz,Glas Farbe:  beige Verglasg.:  einfach Anschlag DIN:  li./re. Zarge/Blende:  ohne Flügel:  2-flügelig Verfügbar ab: sofort", gut,380€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},380.0,1.0,380.0,1.0,380€ / Stk.,1 Stk. verfügbar,0.0,,[],-wing Intermediate door,Spandrel glass,Composite doorsets,Pr_30_59_24_16,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
134,134,97099,https://restado.de/baustoff/beschlaege-fuer-innentueren/,Beschläge für Innentüren,Türen & Zargen,Sonstiges,2023-01-09,,Beschläge für Innentüren. Wie neu !,Neuwertig,5€ (VB) / Stück,16 Stück verfügbar,(1 Stück Mindestabnahme),D-82377 Penzberg,,{},5.0,16.0,5.0,16.0,5€ (VB) / Stück,16 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/04/01ac14a1-53e23d24-a950-479c-867d-edae750cebf2-scaled.jpeg'],Fittings for interior doors,Architectural glass,Composite doorsets,Pr_30_59_24_16,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
215,215,32570,https://restado.de/baustoff/balkontuerelement-kunststoff-mit-stulpfluegel-3-fach-verglasung-neu-und-abholbereit/,Balkontürelement Kunststoff mit Stulpflügel 3-Fach-Verglasung neu…,Türen & Zargen,Sonstiges,2023-01-09,1690329600000.0,"Neues, falsch bemessenes Balkon-/Terrassenelement (NP 985€) mit 3-fach-Verglasung weiß, zweiflügelig (mit Stulpflügel) anzubieten. Maße: H=240cm; B=185cm. Profilsystem Streamline 76 AD; Beschlag Pilzkopf (ähnl. RC 1N) ",Neu,750€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-10249 Berlin Friedrichshain,,{},750.0,1.0,750.0,1.0,750€ (VB) / Stück,1 Stück verfügbar,1.0,17107200000.0,[],"Plastic balcony door element with double sash , triple glazing , new ...",Polyethylene resin,Composite doorsets,Pr_30_59_24_16,Structural elements,"Door, Windows, Gates",Glass blocks and panels,198.0,0.0
237,237,6067,https://restado.de/baustoff/2-flgl-zwischentuer/,2-Flgl. Zwischentür,Türen & Zargen,Sonstiges,2023-01-09,," Breite:  150,00 cm Höhe:  216,50 cm Länge/Tiefe:  3,70 cm Gewicht / Stk.:    Baujahr (ca.):  1980 Material:  Holz Farbe:  natur Zarge/Blende:  ohne Verfügbar ab: sofort", gut,450€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},450.0,1.0,450.0,1.0,450€ / Stk.,1 Stk. verfügbar,0.0,,[],-wing Intermediate door,Spandrel glass,Composite doorsets,Pr_30_59_24_16,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
885,885,6848,https://restado.de/baustoff/sprossenfenster-und-sprossentuer/,Sprossenfenster und Sprossentuer,Fenster,Aussenfenster,2023-01-09,1678147200000.0,Verkaufen 3 Sprossenfenster und 1 Sprossentuer aus einem Abriss eines Gartenhauses. Die Fenster sind soweit in Ordnung. Für einen Gebrauch eventuell für ein Gartenhaus sind sie super.,Gebraucht,200€ (VB) Paketpreis,4 Stück verfügbar,(4 Stück Mindestabnahme),Gebraucht,,{},200.0,4.0,200.0,4.0,200€ (VB) Paketpreis,4 Stück verfügbar,1.0,4924800000.0,[],Lattice windows and lattice doors,Architectural glass,Composite doorsets,Pr_30_59_24_16,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,57.0,0.0
3307,3307,123287,https://restado.de/baustoff/innentuerelemente/,Innentürelemente,Türen & Zargen,Zimmertüren,2023-07-02,,"Wir verkaufen folgende Elemente: 30 Stück Röhrenspanelemente, 985 x 2110 x 125 mm, DIN Links, BB-Schloss 27 Stück Röhrenspanelemente, 985 x 2110 x 125 mm, DIN Rechts, BB-Schloss 2 Stück Röhrenspanelemente, 985 x 2110 x 270 mm, DIN Rechts, BB-Schloss 17 Stück Röhrenspanelemente, 985 x 2110 x 125 mm, DIN Links, WC-Schloss 26 Stück Röhrenspanelemente, 985 x 2110 x 125 mm, DIN Rechts, WC-Schloss 29 Stück Einbruchhemmendes Element, 985 x 2110 x 270 mm, DIN Links, PZ-Schloss 9 Stück Einbruchhemmendes Element, 985 x 2110 x 270 mm, DIN Rechts, PZ-Schloss 2 Stück Einbruchhemmendes Element, 985 x 2110 x 205 mm, DIN Links, PZ-Schloss  Warenwert 26.000,00 € netto",Neu,9.520€ / Paket,1 Paket verfügbar,(1 Paket Mindestabnahme),D-67433 Neustadt,,{},9520.0,1.0,9520.0,1.0,9.520€ / Paket,1 Paket verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/03/24a93afa-wesrag-roehrenspan.png', 'https://restado.de/wp-content/uploads/products/2023/03/089dcaec-westag-roehrenspan-2.png']",Interior door elements,Acetal resin,Composite doorsets,Pr_30_59_24_16,Structural elements,"Door, Windows, Gates",Openings and opening component products,,0.0
3308,3308,122277,https://restado.de/baustoff/innentuer-set-schallschutztuer-mit-runder-zarge-weiss-9010-lebolitcpl/,Innentür-Set Schallschutztür mit runder Zarge Weiß 9010 LebolitC…,Türen & Zargen,Zimmertüren,2023-03-14,,Es handelt sich um eine Schallschutztür der Klasse 3 mit dazugehöriger Zarge.,Neu,700€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-90489 Nuremberg,Lebo,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Furnier"", ""Material Türzarge"": ""Holz"", ""Schlossart"": ""Buntbart"", ""Farbe Türblatt"": ""Weiß""}",700.0,1.0,700.0,1.0,700€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/03/d0d64c6d-rr_zarge_lebo_wei_9010_ecke2_2.jpg', 'https://restado.de/wp-content/uploads/products/2023/03/7040123c-weiss-9010-schallschutzinnentuer-inkl-zarge.jpg']",Interior door set soundproof door with round frame white LebolitC…,Sheet glass,Composite doorsets,Pr_30_59_24_16,Other,"Door, Windows, Gates",Other,,0.0
3309,3309,122286,https://restado.de/baustoff/innentuer-set-schallschutztuer-mit-runder-zarge-weiss-9010-lebolitcpl-2/,Innentür-Set Schallschutztür mit runder Zarge Weiß 9010 LebolitC…,Türen & Zargen,Zimmertüren,2023-06-07,,Es handelt sich um eine Schallschutztür der Klasse 2 mit dazugehöriger Zarge.,Neu,450€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-90489 Nuremberg,Lebo,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Furnier"", ""Material Türzarge"": ""Holz"", ""Schlossart"": ""Buntbart""}",450.0,1.0,450.0,1.0,450€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/491ffad6-rr_zarge_lebo_wei_9010_ecke2_2.jpg'],Interior door set soundproof door with round frame white LebolitC…,Sheet glass,Composite doorsets,Pr_30_59_24_16,Other,"Door, Windows, Gates",Other,,0.0
3654,3654,134575,https://restado.de/baustoff/westag-innentuer-set-portalit-mehrere-restbestaende/,Westag Innentür Set Portalit *mehrere Restbestände*,Türen & Zargen,Zimmertüren,2023-09-02,,"*Vereinzelte Restbestände*  Westag PortaLit-Tür, Röhrenspan, stumpf einschlagend, innenliegende Bandmontage; - 2210x860mm - 2210x985mm - 39mm Türblattstärke - DIN Links und DIN Rechts - Dekor: A222 - Oberfläche: soft-touch  Mehr Infos auf Anfrage.  Umtausch, Garantieansprüche oder Rückgabe ausgeschlossen.",Neu,270€ (VB) / Stück,,"(inkl. 19% MwSt., falls anwendbar)",D-89331 Burgau,Westag,"{""Farbe Türblatt"": ""A222 / RAL9010"", ""Schlossart"": ""Buntbart"", ""Anschlag"": ""DIN Links / DIN Rechts"", ""Türblatt-Ausführung"": ""Stumpf"", ""Oberfläche Türblatt"": ""Röhrenspan"", ""Material Türblatt"": ""Holz"", ""Material Türzarge"": ""Holz""}",270.0,,270.0,,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/08/a46d07f6-0257-4ff0-a4d8-2b3b02ecd9b6.jpeg', 'https://restado.de/wp-content/uploads/products/2023/08/1ad32ca9-1c8c-4f6c-830c-c1f46ef696b6.jpeg', 'https://restado.de/wp-content/uploads/products/2023/08/3ef52da2-f383-419b-8d5f-ebdfdffcdccf.jpeg', 'https://restado.de/wp-content/uploads/products/2023/08/6e55783f-7628-4fde-b727-c62465e00feb.jpeg']",Westag interior door set Portalit * several remaining stocks *,Western hemlock,Composite doorsets,Pr_30_59_24_16,Furnishings,"Door, Windows, Gates",Openings and opening component products,,
