,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
2640,2640,121194,https://restado.de/baustoff/treppe-11/,Treppe,Innenausbau,Innentreppen,2023-01-09,1681948800000.0,Zum Verkauf steht einen Innentreppe aus einer Metallkonstruktion mit Holzstufen. Die genauen Maße gerne auf Anfrage. Die Treppe kann auch in den nächsten zwei Wochen besichtigt werden. Gruß Matthias,Gebraucht,800€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-32052 Herford,,"{""Material Stufen"": ""Holz"", ""Material Geländer"": ""Stahl"", ""Material Handlauf"": ""Holz""}",800.0,1.0,800.0,1.0,800€ (VB) / Stück,1 Stück verfügbar,1.0,8726400000.0,['https://restado.de/wp-content/uploads/products/2023/02/4e60a795-screenshot_20230227-094411_gallery.jpg'],Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,101.0,0.0
2647,2647,87461,https://restado.de/baustoff/treppe-10/,treppe,Innenausbau,Innentreppen,2023-01-09,1684454400000.0,"Treppe muss vor Ort in Eigenleistung abgebaut werden. (KEIN VERSANDT, Versandtoption lässt sich von Restrado nicht abwählen)  Irrtümer und Zwischenkverauf bleiben jederzeit vorbehalten.   Alle Maße sind ca. Werte",Gebraucht,1.350€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-88045 Friedrichshafen,,"{""Treppentyp"": ""Spindeltreppe"", ""Material Stufen"": ""Holz"", ""Material Geländer"": ""Holz"", ""Material Handlauf"": ""Holz"", ""Steigungshöhe (cm)"": ""20"", ""Steigungsanzahl"": ""14"", ""Auftrittstiefe (cm)"": ""40""}",1350.0,1.0,1350.0,1.0,1.350€ / Stück,1 Stück verfügbar,1.0,11232000000.0,"['https://restado.de/wp-content/uploads/products/2021/12/5cf6564c-img_2851.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/df1c1181-img_2850.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/1c3ec085-img_2861.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/69191b16-20211216_123459-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/894312d8-img_2846-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/8bd57700-img_2848.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/8652e589-img_2852-scaled.jpg']",stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,130.0,0.0
2651,2651,70758,https://restado.de/baustoff/treppen/,Treppen,Innenausbau,Innentreppen,2023-01-09,1682812800000.0,Alle Treppen sind massiv Vollholz. Müssen selbst abgebaut werden.,Neu,300€ / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-59368 Werne,,"{""Treppentyp"": ""Wangentreppe"", ""Material Stufen"": ""Holz"", ""Material Wange"": ""Holz"", ""Material Geländer"": ""Holz"", ""Material Handlauf"": ""Holz"", ""Treppenart"": ""Zweiläufig""}",300.0,3.0,300.0,3.0,300€ / Stück,3 Stück verfügbar,1.0,9590400000.0,"['https://restado.de/wp-content/uploads/products/2021/02/d55fbc4e-img_4510.png', 'https://restado.de/wp-content/uploads/products/2021/02/4a675441-img_4511.png', 'https://restado.de/wp-content/uploads/products/2021/02/486f1ff4-img_4509.png', 'https://restado.de/wp-content/uploads/products/2021/02/ac2fb766-img_4508.png']",Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,111.0,0.0
2655,2655,62716,https://restado.de/baustoff/treppe-3/,Treppe,Innenausbau,Innentreppen,2023-01-09,1683072000000.0,"Spindeltreppe massiv, bestehend aus: 11 Stufen (mit Winkeln von ca. 30°), einer Austrittsstufe (alles Gitterrostelemente), der Spindel mit einer Höhe von 330cm, 3 Treppengeländerelementen die zusammen ca. 330° ergeben müßten und einem Brüstungselement samt Pfosten mit einer Brüstungshöhe von 90cm. Die Austrittshöhe der Treppe beträgt 234cm. Das Element ist vollverzinkt. Klassisch für ""Altbremer Häuser"" vom Hochpaterre in den Hinterhof.  Material: Stahl Farbe: zinkfarben Baujahr: 2000 Höhe: 234,00 cm Gewicht: 240,00 kg  Durchmesser:: 157,00cm Lieferung nach Absprache.",Neuwertig,800€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},800.0,1.0,800.0,1.0,800€ / Stück,1 Stück verfügbar,1.0,9849600000.0,,Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,114.0,0.0
2657,2657,62725,https://restado.de/baustoff/treppe-7/,Treppe,Innenausbau,Innentreppen,2023-01-09,1681862400000.0,"Eine links halbgewendelte Treppe aus dem schönen Schweden, mit 13 geschlossenen Stufen und einer jeweiligen Auftrittshöhe von 18,6cm. Die Treppe ist aus geleimten Kieferholz gefertigt, die Auftrittstiefe beträgt 25,00cm. Die Stufen waren mit Teppich beklebt, sind inzwischen davon befreit und die Oberfläche sollte nachbehandelt werden. Eine orginale Konstruktionszeichnung ist vorhanden. Ein Geländer ist nicht mehr vorhanden. Artikel findet sich in Regal 10.  Material: Holz Farbe: natur Baujahr: 1971 Höhe: 241,80 cm Breite: 230,00 cm Länge/Tiefe: 128,00 cm Gewicht: 120,00 kg  Lieferung nach Absprache.",Neuwertig,400€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},400.0,1.0,400.0,1.0,400€ / Stück,1 Stück verfügbar,1.0,8640000000.0,,Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,100.0,0.0
2658,2658,62728,https://restado.de/baustoff/treppe-9/,Treppe,Innenausbau,Innentreppen,2023-01-09,1680480000000.0,"Kurze Treppe mit 5 Steigungen (je 18,9cmH), ursprünglich mit 2 Pfosten versehen (s.Artikel 13474, sind nicht inklusive), diverse Holzwurmfraßgänge (evtl. bereits verlassen, evtl. nicht!), eingestemmte Tritt- und Setzstufen und die Grundlänge beträgt 110/91,6 cm. Es handelt sich um eine ausgesprochen schön gestaltete Treppe, bedarf allerdings der Restaurierung! Artikel findet sich in Regal 12/1.  Material: Pitchpine Farbe: braun Baujahr: 1930 Höhe: 94,50 cm Breite: 91,60 cm Gewicht: 83,00 kg  Lieferung nach Absprache.",Neuwertig,200€ / Gesamt,1 Gesamt verfügbar,(1 Gesamt Mindestabnahme),D-28217 Bremen,,{},200.0,1.0,200.0,1.0,200€ / Gesamt,1 Gesamt verfügbar,1.0,7257600000.0,,Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,84.0,0.0
2659,2659,62735,https://restado.de/baustoff/stiege/,Stiege,Innenausbau,Innentreppen,2023-01-09,1683331200000.0,"Diese Stiege war ehemals der Zugang zu einer Hochebene in einer Bremer Kita. Die einzelnen Stufen (10 Stück) sind mit Teppich ummantelt. Zwischen den Stufen gibt es einen ""Durchrutschschutz"". Die Stufen sind recht schmal und nur für Kinderfüße gut geeignet, es sei denn, der ""Durchrutschschutz"" wird abgebaut, was sehr einfach machbar wäre.  Material: Nadelholz Farbe: holz Höhe: 200,00 cm Breite: 58,00 cm Länge/Tiefe: 7,00 cm Gewicht: 30,00 kg  Lieferung nach Absprache.",Neuwertig,50€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},50.0,1.0,50.0,1.0,50€ / Stück,1 Stück verfügbar,1.0,10108800000.0,,Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,117.0,0.0
2660,2660,62720,https://restado.de/baustoff/treppe-5/,Treppe,Innenausbau,Innentreppen,2023-01-09,1683158400000.0,"Kurze Treppe mit 5 eingestemmten Tritt- und Setzstufen (je 19cmH), einem Pfosten und einem Handlaufbrett. Es handelt sich um eine sehr solide gebaute Treppe. Das Austrittbrett ist diagonal abgeschnitten, was aber leicht verändert werden kann. Dann beträgt die Grundlänge beträgt 107 cm. Artikel findet sich in Regal 12/1.  Material: Kiefer Farbe: natur Baujahr: 1980 Höhe: 94,00 cm Breite: 65,00 cm Gewicht: 83,00 kg  Lieferung nach Absprache.",Neuwertig,240€ / Gesamt,1 Gesamt verfügbar,(1 Gesamt Mindestabnahme),D-28217 Bremen,,{},240.0,1.0,240.0,1.0,240€ / Gesamt,1 Gesamt verfügbar,1.0,9936000000.0,,Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,115.0,0.0
2663,2663,62739,https://restado.de/baustoff/stiege-3/,Stiege,Innenausbau,Innentreppen,2023-01-09,1682640000000.0,"Eine kurze Stiege, die leider so eingebaut in der Ecke steht, daß wir die Höhe nur geschätzt haben. Sie ist aber gut in Schuß und kann (außer samstags) im Keller besichtigt werden.  Material: Nadelholz Farbe: braun Höhe: 130,00 cm Breite: 70,00 cm Länge/Tiefe: 30,00 cm Gewicht: 30,00 kg  Lieferung nach Absprache.",Neuwertig,50€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},50.0,1.0,50.0,1.0,50€ / Stück,1 Stück verfügbar,1.0,9417600000.0,,Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,109.0,0.0
2725,2725,48289,https://restado.de/baustoff/treppe/,Treppe,Innenausbau,Innentreppen,2023-01-09,1681344000000.0,Auftritt 29 cm Anzahl Steigungen 20 Stück Steigungshöhe 19 cm Treppenbreite 70 cm Geschosshöhe 384 cm Kiefernholz Raumsparende Wechselstufentreppe Linksgewendelt oben am Austritt Einkürzen für andere Geschosshöhe möglich. Montage im Raum Berlin/Brandenburg durch unsere Firma möglich.,Neuwertig,2.500€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-14469 Potsdam,,"{""Treppentyp"": ""Wangentreppe"", ""Material Stufen"": ""Holz"", ""Material Wange"": ""Holz"", ""Material Geländer"": ""Holz"", ""Material Handlauf"": ""Holz"", ""Steigungshöhe (cm)"": ""19"", ""Treppenart"": ""Einläufig"", ""Steigungsanzahl"": ""20"", ""Auftrittstiefe (cm)"": ""29""}",2500.0,1.0,2500.0,1.0,2.500€ (VB) / Stück,1 Stück verfügbar,1.0,8121600000.0,[],Stairs,Wrought iron,Skate stairs,Pr_40_30_80_83,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,94.0,0.0
