,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1,1,120516,https://restado.de/baustoff/stabile-holztuer/,Stabile Holztür,Türen & Zargen,Außentüren,2023-01-09,1673568000000.0,,,,,,,,,,,,,,,1.0,345600000.0,['https://restado.de/wp-content/uploads/products/2023/02/140e4cbf-20230216_085248-scaled.jpg'],Stable wooden door,Wood,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,4.0,
31,31,80400,https://restado.de/baustoff/antikes-portal-haus-eingangs-tor-tuer-historisch-rahmen-2-fluegelig-gruenderzeit-alte-post/,Antikes Portal Haus Eingangs Tor Tür historisch Rahmen 2 flügelig…,Türen & Zargen,Außentüren,2023-01-09,,"Große Hauseingangstür eines gründerzeitlichen Hauses um 1895.  Es handelte sich um eine alte Post, in der Nähe von Erfurt  Der Rahmen ist sehr gut erhalten und verziert.  Die Türflügel sind ebenso top erhalten.  Lediglich der alte Farbanstrich muss erneuert werden und kleinere Blessuren aufgearbeitet werden.  Die alten Beschläge sind komplett erhalten.  Die Maße für den Rahmen betragen:  Höhe: 290 cm Breite: 178 cm  Die lichten Maße betragen:  Höhe 273 cm Breite: 157 cm  Transporkosten auf Anfrage.  Besichtigung jederzeit an unserem Bergelager möglich.",Gebraucht,850€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-06120 Halle (Saale),,{},850.0,1.0,850.0,1.0,850€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/08/0eed3186-kauf-portal-peter-steinert-14.1.14-5.jpg', 'https://restado.de/wp-content/uploads/products/2021/08/c51b9d18-kauf-portal-peter-steinert-14.1.14-8.jpg']",Antique portal house entrance gate door historical frame -wing…,Architectural glass,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
32,32,71947,https://restado.de/baustoff/leibungsrahmentueren-3/,Leibungsrahmentüren,Türen & Zargen,Außentüren,2023-01-09,,Die Türen wurden falsch geliefert und liegen seitdem im Lager.  Preis ist verhandelbar. Bei weiteren Fragen gerne melden.,Neuwertig,175€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-49716 Meppen,ACO,"{""Material Türblatt"": ""Kunststoff"", ""Material Türzarge"": ""Kunststoff"", ""Element-Breite"": ""0,90"", ""Element-Höhe"": ""2,01 m""}",175.0,6.0,175.0,6.0,175€ (VB) / Stück,6 Stück verfügbar,0.0,,[],Reveal frame doors,Architectural glass,Wood door frames,Pr_30_59_23_96,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
36,36,59480,https://restado.de/baustoff/jugendstil-haustuer-aus-pitch-pine/,Jugendstil Haustür aus Pitch Pine Holz,Türen & Zargen,Außentüren,2023-01-09,,"Eindrucksvolle Jugendstil-Haustür aus Pitch Pine mit kunstvoll geschmiedeten Beschlägen.  Höhe: 2,26 m Breite: 1,27 m",Gebraucht,3.500€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-78194 Immendingen,,"{""Oberfläche Türblatt"": ""Massivholz"", ""Türblatt-Breite"": ""1,27 m"", ""Türblatt-Höhe"": ""2,26 m""}",3500.0,1.0,3500.0,1.0,3.500€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/09/043dacb7-jugendstiltuer1.jpg'],Art Nouveau front door made of pitch pine wood,Caribbean pitch pine,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
164,164,84021,https://restado.de/baustoff/badezimmertuer-holzoptik-din-l/,"Badezimmertür Holzoptik, Türen, Bad (inkl. Ausbau)",Türen & Zargen,Sonstiges,2023-01-09,,Eigenschaften  Bekleidungsaußenhöhe: 2265 mm  Bekleidungsaußenbreite: 750 mm  Lichte Durchgangshöhe: 2220 mm  Lichte Durchgangsbreite: 800 mm  Wandstärke: 850 mm  Stärke Türblatt: 45 mm  Farbe: Orangebraun   Garnitur Ausführung: Rosettengarnitur  Schlossart: Profizylinderschloss  Zargentyp: Umfassungszarge  DIN-Richtung: DIN L  Türband Typ: Zweiteilig  Ausbau 1 Woche nach Kaufanfrage möglich,Gebraucht,100€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},100.0,1.0,100.0,1.0,100€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/12/3874585f-bildschirmfoto-2021-12-09-um-15.39.07.png', 'https://restado.de/wp-content/uploads/products/2021/10/cd3dfb52-badezimmertür-holzoptik-din-l-scaled.jpg']","Bathroom door wood look , doors , bathroom incl . expansion",Wood,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
167,167,84026,https://restado.de/baustoff/badezimmertuer-din-l/,"Badezimmertür, Tür, Bad, Türen mit Zarge, inkl. Ausbau",Türen & Zargen,Sonstiges,2023-01-09,,Eigenschaften  Farbe: Reinweiß   Zargentyp: Blockzarge  Schlossart: Badschloss  Wandstärke: 160 mm  DIN-Richtung: DIN L  Türband Typ: Zweiteilig  Stärke Türblatt: 45 mm  Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2265 mm  Lichte Durchgangshöhe: 2210 mm  Bekleidungsaußenbreite: 750 mm  Lichte Durchgangsbreite: 650 mm  Ausbau 1 Woche nach Kaufanfrage möglich,Gebraucht,100€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},100.0,1.0,100.0,1.0,100€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/1241affc-badezimmertür-din-l-scaled.jpg'],"Bathroom door , door , bathroom , doors with frame , including removal",Wood,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
191,191,83438,https://restado.de/baustoff/badtuer-schwarz-din-r-tueren-mit-zarge/,"Badtür schwarz DIN R, Türen mit Zarge",Türen & Zargen,Sonstiges,2023-01-09,,"Farbe: Signalschwarz  Zargentyp: Umfassungszarge Schlossart: Profizylinderschloss DIN-Richtung: DIN R Türband Typ: Dreiteilig  Oberflächenart: CPL Oberfläche Stärke Türblatt: 40 mm  Zusatzinformationen Trittschutzblech 200mm hoch, einseitig Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2150 mm Lichte Durchgangshöhe: 2100 mm Bekleidungsaußenbreite: 800 mm Lichte Durchgangsbreite: 690 mm",Gebraucht,150€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},150.0,1.0,150.0,1.0,150€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/10/fffabda8-badtuer-schwarz-din-r-tueren-mit-zarge2.png', 'https://restado.de/wp-content/uploads/products/2021/10/c6ccb307-badtuer-schwarz-din-r-tueren-mit-zarge.png']","Bathroom door black , doors with frame",Coloured glass,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
218,218,29870,https://restado.de/baustoff/schiebetuerenrohlinge-aus-massivholz/,Schiebetürenrohlinge aus Massivholz,Türen & Zargen,Sonstiges,2023-01-09,,"Verkaufe original eingepackte holzschiebetüren. 211x98,5x2,7 cm  Ca 25 Stück vorhanden.  Hier ein Link mit Bildern:  https://www.ebay-kleinanzeigen.de/s-anzeige/holzschiebetueren/946902354-87-3387  Bei Abnahme aller Türen lasse ich mit mir sicher gut verhandeln.",Neu,70€ (VB) / Stück,30 Stück verfügbar,(1 Stück Mindestabnahme),D-12359 Berlin,,{},70.0,30.0,70.0,30.0,70€ (VB) / Stück,30 Stück verfügbar,0.0,,[],Sliding door blanks made of solid wood,Wood,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Glass blocks and panels,,0.0
261,261,125348,https://restado.de/baustoff/innentueren-mit-zargen-echtholz/,Innentüren mit Zargen Echtholz,Türen & Zargen,Zimmertüren,2023-04-13,,"Landhaustüren, bei Renovierung professionell ausgebaut. Eine Zarge hat einen Schaden. Türen sind mit Mattlack behandelt, haben Gebrauchsspuren und sind renigungsbedürftig. Verkauf erfolgt mit Beschlägen, diese sind nicht einheitlich. Gemessen wurde die Türbreite und -Höhe über alles, Anschlag entspricht der Seite der Bänder, L ist links, R ist rechts.   Vollholz- Türblätter (alles Zentimeter) 98 x 195 L 1x,  86 x195 R 3x L 6x,  73,5 x 193 L 3x R 1x 60,5 x 195 L 2x  Türen mit Glasausschnitt 86 x 193 L 1x R 2x  Zargen: passend zu den Türen 195 hoch, angegebene Breite des Futterbrettes: 11 2x 14 12x 27 1x (defekt)  Ansonsten siehe Fotos. Abgabe nur als Gesamtpaket, keine Garantie, Privatverkauf.  Türen sind auf Außenlager, Besichtigung nur nach Absprache möglich , Anfrage per EMail, Antwort manchmal erst nach mehreren Tagen möglich. Preisvorstellung: 1000 bis 1250 Euro VB ",Gebraucht,1€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-18292 Hoppenrade,,{},1.0,1.0,1.0,1.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/04/cce3c366-20230430_122436-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/04/4d856d77-20230430_124001-scaled.jpg']",Interior doors with real wood frames,Wood,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
264,264,108840,https://restado.de/baustoff/antike-zimmertuer-suedtirol/,Antike Zimmertür Südtirol,Türen & Zargen,Zimmertüren,2023-01-09,,"Bergbauernhof-Tür aus Fichte. Provenienz Südtirol. Schön farbig gefasst, mit ornamentalen Verzierungen. Typisch alpenländisch.",Gebraucht,3.400€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35447 Reiskirchen,original antike Handarbeit,"{""Material Türblatt"": ""Fichte"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Massivholz"", ""Schlossart"": ""Kastenschloss"", ""Farbe Türblatt"": ""farbig gefasst"", ""Türblatt-Breite"": ""86 cm"", ""Türblatt-Höhe"": ""178 cm""}",3400.0,1.0,3400.0,1.0,3.400€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/07/28b5d94d-antike-tueren-tirolum-1850-antike-zimmertueren-5273-0.jpg'],Antique room door South Tyrol,Beech,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,,0.0
