,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
2,2,119623,https://restado.de/baustoff/haustuere-2-teilig-schueko/,Haustüre 2-teilig SCHÜKO,Türen & Zargen,Außentüren,2023-01-09,1684972800000.0,"Hochwertige Terrassen-/Balkontüre wurde einmal eingebaut und wegen Fehlkauf sofort wieder ausgebaut und gut gelagert. Nur normale Einbauspuren vorhanden. Abmessungen usw siehe Datenblatt. Privatverkauf, keine Garantien/Rückanhmen o.ä.",Neu,2.300€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-50678 Cologne,,{},2300.0,1.0,2300.0,1.0,2.300€ (VB) / Stück,1 Stück verfügbar,1.0,11750400000.0,['https://restado.de/wp-content/uploads/products/2023/01/ac4e0b7e-43802fe3-e140-4345-bf18-8f27d3be0607.jpeg'],-part front door,Shell,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,136.0,0.0
42,42,43570,https://restado.de/baustoff/nebeneingangstuere/,Nebeneingangstüre,Türen & Zargen,Außentüren,2023-01-09,,Novoferm Nebentüre für Garagen etc. aus Ausstellung.,Neuwertig,350€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-78559 Gosheim,Hörmann,"{""Material Türblatt"": ""Stahl"", ""Anschlag"": ""DIN Rechts"", ""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Eckzarge"", ""Farbe Türblatt"": ""hellgrau"", ""Farbe Türzarge"": ""hellgrau""}",350.0,1.0,350.0,1.0,350€ (VB) / Stück,1 Stück verfügbar,0.0,,[],Side entrance door,Anti-bandit glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
52,52,6170,https://restado.de/baustoff/nebeneingangstuer-3/,Nebeneingangstür,Türen & Zargen,Außentüren,2023-01-09,,"Die Nebeneingangstür hat drei liegende Füllungen. Zwei der Füllungen haben vertikale Sprossen und die obere Füllung ist verglast. Einfacher Falz und rechts Anschlag. Die Kanten unten sind leicht berieben. Breite:  90,00 cm Höhe:  194,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1950 Material:  Holz Farbe:  blau/weiß Verfügbar ab: sofort", gut,100€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},100.0,1.0,100.0,1.0,100€ / Stk.,1 Stk. verfügbar,0.0,,[],Side entrance door,Anti-bandit glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
54,54,6160,https://restado.de/baustoff/2-flg-hauseingangstuer-2/,2-flg. Hauseingangstür,Türen & Zargen,Außentüren,2023-01-09,,"gut erhaltene 2flg. Hauseingangstür aus einer ehem. Baracke, Feststellverrieglung vorhanden, Farbe außen angewittert Breite:  178,50 cm Höhe:  208,50 cm Länge/Tiefe:  4,30 cm Gewicht / Stk.:  40,00 kg Baujahr (ca.):  1970 Material:  Holz/Glas Farbe:  braun Herkunft:  ÖffentlichesGebäude Verfügbar ab: sofort", gut,280€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},280.0,1.0,280.0,1.0,280€ / Stk.,1 Stk. verfügbar,0.0,,[],-wing House entrance door,Spandrel glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
105,105,6105,https://restado.de/baustoff/bueroeingangstuer/,Büroeingangstür,Türen & Zargen,Wohnungseingangstür,2023-01-09,1681862400000.0,"Die Außenseite der Tür ist grün und die Innenseite ist weiß. Breite:  91,00 cm Höhe:  219,00 cm Länge/Tiefe:  9,00 cm Gewicht / Stk.:    Baujahr (ca.):  2000 Material:  Kunststoff Farbe:  weiß/grün Herkunft:  ÖffentlichesGebäude Verglasg.:  Iso2-fach Anschlag DIN:  re. Flügel:  1-flügelig Verfügbar ab: sofort", gut,250€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},250.0,1.0,250.0,1.0,250€ / Stk.,1 Stk. verfügbar,1.0,8640000000.0,[],Office entrance door,Sheet glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,100.0,0.0
106,106,5803,https://restado.de/baustoff/2-flg-hauseingangstuer/,2-Flg. Hauseingangstür,Türen & Zargen,Wohnungseingangstür,2023-01-09,1684195200000.0,"An einer Zierleiste sind wenige Holzwurmlöcher vorhanden. Keine Spuren von einer Holzwurmaktivität. Breite:  136,00 cm Höhe:  210,00 cm Länge/Tiefe:  3,50 cm Gewicht / Stk.:    Baujahr (ca.):  1960 Material:  Holz,Glas Farbe:  braun/grün Verglasg.:  einfach Anschlag DIN:  li./re. Zarge/Blende:  ohne Flügel:  2-flügelig Verfügbar ab: sofort", brauchbar,450€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),brauchbar,,{},450.0,1.0,450.0,1.0,450€ / Stk.,1 Stk. verfügbar,1.0,10972800000.0,[],-wing House entrance door,Spandrel glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,127.0,0.0
107,107,6107,https://restado.de/baustoff/bueroeingangstuer-2/,Büroeingangstür,Türen & Zargen,Wohnungseingangstür,2023-02-23,1687132800000.0,"Die Außenseite der Tür ist grün und die Innenseite ist weiß. Breite:  91,00 cm Höhe:  203,00 cm Länge/Tiefe:  8,00 cm Gewicht / Stk.:    Baujahr (ca.):  2000 Material:  Kunststoff Farbe:  weiß/grün Herkunft:  ÖffentlichesGebäude Verglasg.:  Iso2-fach Anschlag DIN:  re. Flügel:  1-flügelig Verfügbar ab: sofort", gut,225€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},225.0,1.0,225.0,1.0,225€ / Stk.,1 Stk. verfügbar,1.0,10022400000.0,[],Office entrance door,Sheet glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,116.0,0.0
108,108,5936,https://restado.de/baustoff/nebeneingangstuer/,Nebeneingangstür,Türen & Zargen,Wohnungseingangstür,2023-01-09,1681689600000.0," Breite:  106,00 cm Höhe:  200,00 cm Länge/Tiefe:  3,50 cm Gewicht / Stk.:    Baujahr (ca.):  1970 Material:  Holz Farbe:  braun Anschlag DIN:  li. Verglasg.:  ohne Zarge/Blende:  mitZarge Flügel:  1-flügelig Verfügbar ab: sofort", gut,180€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},180.0,1.0,180.0,1.0,180€ / Stk.,1 Stk. verfügbar,1.0,8467200000.0,[],Side entrance door,Anti-bandit glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,98.0,0.0
3632,3632,119623,https://restado.de/baustoff/haustuere-2-teilig-schueko/,Haustüre 2-teilig SCHÜKO,Türen & Zargen,Außentüren,2023-08-23,1704499200000.0,"Hochwertige Terrassen-/Balkontüre wurde einmal eingebaut und wegen Fehlkauf sofort wieder ausgebaut und gut gelagert. Nur normale Einbauspuren vorhanden. Abmessungen usw siehe Datenblatt. Privatverkauf, keine Garantien/Rückanhmen o.ä.",Neu,2.300€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-50678 Cologne,,{},2300.0,1.0,2300.0,1.0,2.300€ (VB) / Stück,1 Stück verfügbar,1.0,11750400000.0,['https://restado.de/wp-content/uploads/products/2023/01/ac4e0b7e-43802fe3-e140-4345-bf18-8f27d3be0607.jpeg'],-part front door,Shell,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,136.0,0.0
3648,3648,136594,https://restado.de/baustoff/herholz-tuere/,HERHOLZ Türe,Türen & Zargen,Zimmertüren,2023-08-27,,Zwei NEUE HERHOLZ TÜREN NP : 220€ ( Komplett - Set ) Jetzt : 99€ ,Neu,198€ (VB) Paketpreis,,"(inkl. 19% MwSt., falls anwendbar)",D-79353 Bahlingen,,"{""Farbe Türblatt"": ""DECORA BRILLANT - WEISS"", ""Schlossart"": ""Buntbart"", ""Anschlag"": ""DIN Links"", ""Oberfläche Türblatt"": ""Massivholz"", ""Material Türblatt"": ""Holz"", ""Material Türzarge"": ""Stahl""}",198.0,,198.0,,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/09/9e1924cd-img_9384.jpeg', 'https://restado.de/wp-content/uploads/products/2023/09/558ac7a7-img_9391.jpeg']",door,Film,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Furnishings,,
