,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1118,1118,69722,https://restado.de/baustoff/travertin-natursteinfliesen-terrassenplatten/,"Travertin-Natursteinfliesen, Terrassenplatten",Fliesen & Steine,Naturstein,2023-01-09,1678492800000.0,"Beste Qualität zum fairen Preis   Original Travertin - Made in Spain  Farbe: Goldfarben mit Adern  Oberfläche: Gebürstet offenporig  1. Wahl - Frostsicher- Zertifiziert- Tausalzbeständig  Maße (cm): 40x60, 40x40, 20x20, 40x20  Palette: 12m² / 1 Tonne  Materialstärke: 3 cm kalibriert   Bei Anfragen bitte Adresse mit angeben. Wir beraten Sie gerne.",Neu,97€ / m²,100 m² verfügbar,(1 m² Mindestabnahme),Neu,,{},97.0,100.0,97.0,100.0,97€ / m²,100 m² verfügbar,1.0,5270400000.0,['https://restado.de/wp-content/uploads/products/2021/02/9fe576b3-s-l1600-29.jpg'],"Travertine natural stone tiles , patio tiles",Travertine,Natural stone tiles,Pr_35_93_96_57,"Roof, Slabs, Stairs",Other,Other,61.0,0.0
1174,1174,33280,https://restado.de/baustoff/granit-platten-g682-tiger-skin-605x30x2cm-fliesen-naturstein/,"Granit Platten G682 Tiger Skin 60,5x30x2cm ( Fliesen Naturstein )",Fliesen & Steine,Naturstein,2023-08-30,1697241600000.0,"Alle Paletten stehn in einer Halle beheizt und troken !!!! Verkauf nur Paletten weise und Abholung größere Mengen auch Versand ab 10 Paletten  Beschreibung Dicke: 2,5 cm Oberflächen \ Artikel 60,5x30x2cm geflammt/gesägt Sehr raue Oberfläche rutschfest geeignet für Terrassen / Außenberreich Preis ist pro m² 21,7 m² / Palette Gesamt: 998,2m²  Privatverkauf!",Neu,39€ (VB) / m²,900 m² verfügbar,(22 m² Mindestabnahme),D-63526 Erlensee,,{},39.0,900.0,39.0,900.0,39€ (VB) / m²,900 m² verfügbar,1.0,3888000000.0,[],Granite slabs Tiger Skin .xxcm natural stone tiles,Granite,Natural stone tiles,Pr_35_93_96_57,"Roof, Slabs, Stairs",Other,"Floor plates, gratings and edgings",45.0,0.0
1175,1175,33272,https://restado.de/baustoff/granit-platten-g603-bianco-60x60x2cm-fliesen-naturstein/,Granit Platten G682 Tiger Skin 30x15x3cm ( Fliesen Naturstein Mauer…,Fliesen & Steine,Naturstein,2023-01-09,1676592000000.0,Alle Paletten stehn in einer Halle beheizt und troken !!!! Verkauf nur Paletten weise und Abholung größere Mengen auch Versand ab 10 Paletten  Beschreibung Dicke: 3 cm Oberflächen \ Artikel 30x15x3cm Mauer Splitface  Preis ist pro m² 18 m² / Palette Gesamt: 810m²  Privatverkauf!,Neu,35€ (VB) / m²,810 m² verfügbar,(18 m² Mindestabnahme),D-63526 Erlensee,,{},35.0,810.0,35.0,810.0,35€ (VB) / m²,810 m² verfügbar,1.0,3369600000.0,[],Granite Slabs Tiger Skin xxcm Natural Stone Wall Tiles…,Granite,Natural stone tiles,Pr_35_93_96_57,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Masonry walling units,39.0,0.0
1183,1183,14049,https://restado.de/baustoff/fiandre-italienische-fliesen-naturstein-original-verpackt/,FIANDRE Italienische Fliesen (Naturstein) ORIGINAL VERPACKT,Fliesen & Steine,Naturstein,2023-01-09,1677024000000.0,"Wir Haben ital. Natursteinfliesen im Angebot. Sehr hochwertige Fliesen.  Fiandre 30x60 Plaine Creme (30qm) Wandfliesen, aber auch für den Boden geeignet.  Fiandre 60x60 Plaine Creme (10qm) Bodenfliesen. Die Fliesen sind unter der Herstellerseite am besten zu erkennen!!! Warenwert 1700Euro ohne Mwst. Über den Preis lässt sich sprechen.  Wer was wirklich schickes sucht, liegt hiermit richtig. Passende Edelstahlschienen sind auch dabei. Absolut Neuwertig.  Hersteller Link:  https://deref-web-02.de/mail/client/xqh-kFPC-yc/dereferrer/?redirectUrl=http%3A%2F%2Fwww.granitifiandre.de%2Ffeinsteinzeug%2Fcore-shade%2Fplain-core  Einfach per Handy melden unter: 0176 617 466 43 ",Neu,42€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-30952 Ronnenberg,,{},42.0,1.0,42.0,1.0,42€ (VB) / Stück,1 Stück verfügbar,1.0,3801600000.0,[],Italian tiles natural stone,Natural stone aggregates,Natural stone tiles,Pr_35_93_96_57,"Roof, Slabs, Stairs",Other,Masonry walling units,44.0,0.0
1184,1184,14036,https://restado.de/baustoff/natur-quarzfliesen/,Natur Quarzfliesen,Fliesen & Steine,Naturstein,2023-01-09,1677974400000.0,Graue naturquarzsteine Neupreis 60 Euro qm2.,Neu,"2,77€ / Stück",200 Stück verfügbar,(8 Stück Mindestabnahme),Neu,,{},2.77,200.0,2.77,200.0,"2,77€ / Stück",200 Stück verfügbar,1.0,4752000000.0,[],Natural quartz tiles,Quartzite,Natural stone tiles,Pr_35_93_96_57,Other,Other,Other,55.0,0.0
1203,1203,115932,https://restado.de/baustoff/steinzeug-steingut-fliesen-grobkeramik-terracotta-landhaus-optik-handform-alte-mauer-ziegel-stein/,Steinzeug Steingut Fliesen Grobkeramik Terracotta Landhaus Optik ha…,Fliesen & Steine,Fliesen,2023-01-09,,"Unsere Ziegelverblender werden aus originalen alten Mauersteine geschnitten   Es werden NUR die zwei Außenseiten  vom Stein verwendet.   Preis je 1 m²  Ergiebigkeit 52 Stck/ m².  Maße: 25x6,5x2 cm  Transportkosten auf Anfrage.  Sofort lieferbar.   Bezugnahme auf Art-Nr: Rm rt Osterhausn-22  Ab 20 m² Bestellmenge 55 EUR/ m²  Antik-Stein auch auf Facebook, Pinterest & youtube",Gebraucht,59€ / m²,100 m² verfügbar,(3 m² Mindestabnahme),D-06120 Halle (Saale),,{},59.0,100.0,59.0,100.0,59€ / m²,100 m² verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/11/a03d8207-1-rueckbau.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/69d85227-vk-p074-21.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/eb3e11d8-rm-rt-ronny-22.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/7bf2a089-rm-rt-ronny-22-4.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/4dae03f8-4-steintrennmashch-zuber-10.2.16.jpg']",Stoneware stoneware tiles coarse ceramic terracotta country house look…,Terracotta,Natural stone tiles,Pr_35_93_96_57,Other,Other,Masonry walling units,,0.0
1222,1222,107260,https://restado.de/baustoff/agrob-buchtal-052020-valley-bodenfliese-schiefer-anthrazit/,"Agrob Buchtal 052020 Valley Bodenfliese - Schiefer, anthrazit",Fliesen & Steine,Fliesen,2023-01-09,,"https://agrob-buchtal.de/de/privatperson/serie/valley?sku=052020#article  Neu, unverbaut, Original verpackt",Neu,150€ Paketpreis,5 Paket verfügbar,(5 Paket Mindestabnahme),D-53757 Sankt Augustin,Agrob Buchtal,"{""Farbe"": ""Anthrazit"", ""Bezeichnung"": ""Feinsteinzeug"", ""Länge (cm)"": ""60"", ""Breite (cm)"": ""60"", ""Serie"": ""Agrob Buchstein Valley 052020"", ""Dicke (mm)"": ""10"", ""Rutschfestigkeitsklasse"": ""R10"", ""Wasseraufnahmevermögen"": ""3""}",150.0,5.0,150.0,5.0,150€ Paketpreis,5 Paket verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/06/4b438cd5-whatsapp-image-2022-06-15-at-09.32.44.jpeg', 'https://restado.de/wp-content/uploads/products/2022/06/73d2ce61-whatsapp-image-2022-06-15-at-09.33.33.jpeg']","Agrob Buchtal Valley floor tile - slate , anthracite",Natural stone aggregates,Natural stone tiles,Pr_35_93_96_57,"Roof, Slabs, Stairs",Other,Other,,0.0
1277,1277,70396,https://restado.de/baustoff/original-marmor-natursteinfliesen-gris-pulpis/,Original Marmor - Natursteinfliesen “Gris Pulpis“,Fliesen & Steine,Fliesen,2023-04-14,,"Beste Qualität zum fairen Preis  Gris Pulpis, ein exklusiver und einzigartiger Naturstein der mit seiner Farbgebungen und Farbeinschlüssen unverwechselbar ist.   Gris Pulpis - Made in Spain  Farbe: braun  Oberfläche: poliert  1. Wahl - Zertifiziert  Maße: römischer Verband  Materialstärke: 1,2 cm kalibriert  Palette: 21 m² / 1 Tonne  Preis: 118,80 € / 1m² ab Lager  Hammerpreis: NUR 27,00 € / 1 Musterstein 20/20cm     Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,27€ / Stück,300 Stück verfügbar,(1 Stück Mindestabnahme),D-01558 Grossenhain,,{},27.0,300.0,27.0,300.0,27€ / Stück,300 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/02/ceb7d93c-s-l1600-12.jpg'],Original marble - natural stone tiles “ Gris Pulpis ”,Marble,Natural stone tiles,Pr_35_93_96_57,Other,Other,"Floor plates, gratings and edgings",,0.0
1358,1358,32301,https://restado.de/baustoff/nord-ceram-feinsteinzeug-bodenfliese/,Nord Ceram Feinsteinzeug Bodenfliese,Fliesen & Steine,Fliesen,2023-01-09,,"59,8x59,8 cm beige, N-SHI242 Unglasiert rektifiziert   Frostbeständig",Neu,18€ / m²,7 m² verfügbar,(1 m² Mindestabnahme),D-73431 Aalen,,{},18.0,7.0,18.0,7.0,18€ / m²,7 m² verfügbar,0.0,,[],Nord Ceram fine stoneware floor tile,Natural stone aggregates,Natural stone tiles,Pr_35_93_96_57,"Roof, Slabs, Stairs","Floors, Ceiling",Masonry walling units,,0.0
3554,3554,70494,https://restado.de/baustoff/travertin-fliesen-naturstein-verblender/,"Travertin Fliesen, Naturstein Verblender",Fliesen & Steine,Naturstein,2023-07-30,,Beste Qualität zum fairen Preis  Travertin gelb - Made in Spain  Farbe: Gelb mit Adern  Oberfläche: Gebürstet offenporig  1. Wahl - Frostsicher- Zertifiziert  Maße: freie Längen 40-90cm x10cmx2cm  Palette: 20 m² / 1 Tonne  Materialstärke: 2 cm kalibriert ,Neu,"74,50€ / m²",,(1 m² Mindestabnahme),Neu,,{},74.5,,74.5,,,,0.0,,['https://restado.de/wp-content/uploads/products/2021/02/6cf21584-s-l1600-45.jpg'],"Travertine tiles , natural stone facings",Travertine,Natural stone tiles,Pr_35_93_96_57,"Roof, Slabs, Stairs",Other,Masonry walling units,,
