,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
531,531,119960,https://restado.de/baustoff/gaulhofer-glasline-aussen-alu-schale-holz-laerche-7-fenster-in-versch-massen/,Gaulhofer Glasline Außen: ALU Schale/ Holz Lärche - 7 Fenster in …,Fenster,Aussenfenster,2023-04-08,1684281600000.0,"Design: Gaulhofer Glasline Außen: ALU Schale 90 mm pulverbeschichtet RAL 6005M moosgrün matt Innen: Holz Lärche, Kompaktlasur Verglasung: S-Polar ES 24 4 / 12G / 8B  Uw 1,2 W/m²K Ug 1,0 W/m²K g-Wert 61% Tl 79% Rw 36 dB  1-flg. Fenster DK-R 670 x 780 mm  3-flg. Fenster DK-L,DK-L, DK-R Teilung 1/3 2954 x 1180 mm  2-flg. Fenster DK-L, Pfosten, DK-R Teilung 1/2 1514 x 1176 mm  1-flg. Fenster DK-L, ALU Rolladenführung 38/41 für Panzer 14 30 mm eingerückt 1000 x 1198 mm  2-flg. Fenster DK-L, Pfosten, DK-R Teilung 1/2 2094 x 1196 mm  2-flg. Fenster DK-L, Pfosten, DK-R Teilung 1/2 2094 x 1202 mm  1-flg. Fenster DK-L, ALU Rolladenführung 38/41 für Panzer 14 30 mm eingerückt 1000 x 1200 mm",Neu,1€ (VB) / Stück,7 Stück verfügbar,(1 Stück Mindestabnahme),D-50859 Köln,Gaulhofer Glasline,"{""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""Außen: ALU Schale 90 mm pulverbeschichtet RAL 6005M moosgrün matt Innen: Holz Lärche, Kompaktlasur"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1 - 3-flügelig"", ""Material Fensterrahmen"": ""Holz"", ""Farbe Fensterrahmen"": ""Außen: ALU Schale 90 mm pulverbeschichtet RAL 6005M moosgrün matt Innen: Holz Lärche, Kompaktlasur"", ""U-Wert"": ""1,2 W/m²K""}",1.0,7.0,1.0,7.0,1€ (VB) / Stück,7 Stück verfügbar,1.0,3369600000.0,['https://restado.de/wp-content/uploads/products/2023/02/2f9b23b1-img_2284-scaled.jpg'],Gaulhofer Glasline Exterior : shell/wood larch - windows in ...,European larch,Wood window walls,Pr_30_59_99_96,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,39.0,0.0
543,543,118250,https://restado.de/baustoff/gealan-fenster-und-tueren/,Gealan Fenster und Türen,Fenster,Aussenfenster,2023-01-09,1677628800000.0,"Sehr geehrte Damen und Herren,  ich biete hier einen ganzen Konvolut an Fenstern,einer Doppelflügelbalkontür und einer Haustür an.  Die Fenster und Türen sind im Oktober diesen Jahres von einem Fensterbauer hergestellt worden. Aufgrund mehrere Umstände haben wir leider keine Verwendung mehr für die Fenster und Türen, daher stehen sie nun zum Verkauf. Alle Fenster und Türen sind noch verpackt und mit Transportschutzfolien verklebt damit keine Kratzer entstehen. Zu den Fenstern gibt es auch passende Rolläden welche elektronisch bedienbar sind. Auch bei der Doppelflügelbalkontür ist ein elektrischer Rolladen dabei. Die Haustür ist komplett mit Schloss und Schlüsseln.  Die Maße der Fenster und Türen finden sie hier aufgelistet. Nähere Informationen werden in den nächsten Tagen noch ergänzt.  1. Fenster: 73x50  2. Fenster: 95x86  3. Fenster: 74x160  Doppel-Flügel-Balkontür: 228x183  Haustür: ca. 200x100  Alle Angaben sind in cm!",Neu,8.500€ (VB) / Paket,1 Paket verfügbar,(1 Paket Mindestabnahme),D-35644 Hohenahr,Gealan,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Anthrazit"", ""Verglasungs-Art"": ""3-fach"", ""Material Fensterrahmen"": ""Aluminium"", ""Farbe Fensterrahmen"": ""Anthrazit""}",8500.0,1.0,8500.0,1.0,8.500€ (VB) / Paket,1 Paket verfügbar,1.0,4406400000.0,['https://restado.de/wp-content/uploads/products/2023/01/74ce6268-img-20221118-wa0003.jpg'],Gealan windows and doors,Architectural glass,Wood window walls,Pr_30_59_99_96,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,51.0,0.0
548,548,116608,https://restado.de/baustoff/1-holzfenster-meranti/,1 Holzfenster Meranti,Fenster,Aussenfenster,2023-01-09,1677715200000.0, ,Gebraucht,100€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-56414 Meudt,Heep,"{""Element-Breite"": ""1,91 m"", ""Element-Höhe"": ""1,03 m"", ""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""Eiche hell"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""ohne Mittelsteg"", ""Material Fensterrahmen"": ""Holz"", ""Farbe Fensterrahmen"": ""Eiche hell"", ""U-Wert"": ""K-Wert 1,6""}",100.0,1.0,100.0,1.0,100€ (VB) / Stück,1 Stück verfügbar,1.0,4492800000.0,['https://restado.de/wp-content/uploads/products/2022/11/deb5abcf-flurfenster-ii-scaled.jpg'],Meranti wooden window,Spandrel glass,Wood window walls,Pr_30_59_99_96,Other,"Door, Windows, Gates",Glass blocks and panels,52.0,0.0
553,553,111096,https://restado.de/baustoff/holzisolierglasfenster-aus-3-schicht-verleimter-nordischer-fichte/,Holzisolierglasfenster aus 3-schicht-verleimter nordischer Fichte,Fenster,Aussenfenster,2023-02-16,1681862400000.0,Wir bieten wegen Umbau gebrauchte Holzisolierglasfenster in gutem Zustand. Die Fenster haben verschiedene Größen (B/H):  6x RBL 150 / 147 cm zweiflüglig mit Stulpflügel 3x RBL 96 / 147 cm einflüglig Dreh/ Kipp 1 x RBL 60 / 115 cm einflüglig Dreh / Kipp 1 x RBL 96 / 115 cm einflüglig Dreh / Kipp 3 x RBL 150 / 115 cm zweiflüglig mit Stulpflügel 2 x RBL 260 / 147 cm dreiflüglig mit 2 Setzhölzern 1 x Fenstertür RBL 100 / 200 cm Dreh / Kipp mit Quersprosse 1 x Fenstertür RBL 100 / 230 cm Dreh / Kipp mit Quersprosse  Preise verhandelbar 100 - 400 € je Größe der Fenster bzw. Fenstertüren,Gebraucht,200€ (VB) / Stück,19 Stück verfügbar,(1 Stück Mindestabnahme),D-07366 Rosenthal am Rennsteig,Bautischlerei und Fensterbau Hassmann,"{""Farbe Fensterflügel"": ""rotbraun , ähnlich RAL 8012, Dickschichtlasur"", ""Farbe Fensterrahmen"": ""rotbraun , ähnlich RAL 8012, Dickschichtlasur""}",200.0,19.0,200.0,19.0,200€ (VB) / Stück,19 Stück verfügbar,1.0,5356800000.0,"['https://restado.de/wp-content/uploads/products/2022/08/313e7bca-img_32091-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/b0aba520-img_32101-scaled.jpg']",Wooden insulating glass windows made of -layer glued Nordic spruce,Insulating glass,Wood window walls,Pr_30_59_99_96,Other,Other,Glass blocks and panels,62.0,0.0
579,579,125698,https://restado.de/baustoff/22-holzfenster-5-tueren-doppelverglasung-flachglas-thermoplus/,22 Holzfenster + 5 -türen Doppelverglasung Flachglas Thermoplus,Fenster,Aussenfenster,2023-04-02,1680825600000.0,Bei uns werden in der Woche 8.Mai - 12.Mai die Fenster getauscht. Die Holzfenster und Holzfenster-Türen sind mit einer Doppelverglasung von Flachglas AG - Typ Thermoplus-Neutral 3 12 J SZR 16 ausgestattet.  Insgesamt sind es 22 Fenster und 5 Türen gemäß der Aufstellung in Bild 2.  * Gegen Preisvorschlag  * Abgabe auch in Teilmengen möglich   * Nur Abholung  * Die Fenster werden von einer Fachfirma demontiert. leider werden dabei die meisten Rahmen zerschnitten...   * Die Abholung muss nach Absprache zuverlässig am Wochenende nach der Demontage erfolgen.  Natürlich können die Fenster vorab besichtigt und ausgemessen werden.,Gebraucht,45€ (VB) / Stück,27 Stück verfügbar,(1 Stück Mindestabnahme),D-91094 Langensendelbach,Flachglas Thermoplus,"{""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""Braun"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Verglasungs-Art"": ""2-fach"", ""Material Fensterrahmen"": ""Holz"", ""Ausführung"": ""1-flügelig""}",45.0,27.0,45.0,27.0,,,1.0,432000000.0,"['https://restado.de/wp-content/uploads/products/2023/05/dc41cd1e-gridart_20230319_140706935-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/05/d11c5089-s-l1600.jpg']",wooden windows + doors double glazing flat glass Thermoplus,Heat-absorbing glass,Wood window walls,Pr_30_59_99_96,Other,"Door, Windows, Gates",Glass blocks and panels,5.0,0.0
580,580,125598,https://restado.de/baustoff/holzfenster-gebraucht-daenisch/,"holzfenster gebraucht, dänisch",Fenster,Aussenfenster,2023-04-24,1682380800000.0,"Dänische Holzfenster, doppelt verglast, aus etwa 1995. Fachgerecht ausgebaut. Material wahrscheinlich Kernkiefer oder Lärche. Glasleisten außen aufgenagelt. Zustand wie im Bild, alle Fenster sind vollständig, auch wenn zT nur Rahmenfoto. Innen lackiert, außen Leinöl.   Spezifikation (alle Maße in Zentimeter) 2 Stück rechteckig, zweiflüglig, 104 H x 99 B 1 Stück mit Bogen, zweiflüglig, 147 H x 89 B 1 Stück mit Bogen, einflüglig, 140 H x 65 B 7 Stück mit Bogen, zweifüglig, 161 H x 100 B  Privatverkauf unter Ausschluß jeglicher Gewährleistung. Abgabe nur als ganzes Los. Ware liegt auf Außenlager. Antwort auf Anfragen dauert ggf. mehrere Tage. Preisvorstellung 4500 VB",Gebraucht,4.500€ Paketpreis,10 Stück verfügbar,(10 Stück Mindestabnahme),D-18292 Hoppenrade,,"{""Material Fensterflügel"": ""Holz"", ""Verglasungs-Art"": ""2-fach"", ""Ausführung"": ""2-flügelig""}",4500.0,10.0,4500.0,10.0,,,1.0,86400000.0,['https://restado.de/wp-content/uploads/products/2023/05/49e788b9-20230430_131158-scaled.jpg'],"wooden windows used , Danish",Wood,Wood window walls,Pr_30_59_99_96,Furnishings,Furnishings,Glass blocks and panels,1.0,0.0
586,586,93218,https://restado.de/baustoff/holzfenster-17/,holzfenster,Fenster,Aussenfenster,2023-06-18,1692576000000.0,Große Terrassentüre inbegriffen.  Baujahr der Fenster 1995,Gebraucht,1.600€ (VB) Paketpreis,16 Stück verfügbar,(16 Stück Mindestabnahme),D-63933 Mönchberg,Fritz Fenster ,"{""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""Meranti"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Farbe Fensterrahmen"": ""Meranti""}",1600.0,16.0,1600.0,16.0,1.600€ (VB) Paketpreis,16 Stück verfügbar,1.0,5529600000.0,['https://restado.de/wp-content/uploads/products/2022/03/a20b9778-20220321_090539-scaled.jpg'],wooden windows,Wood,Wood window walls,Pr_30_59_99_96,Furnishings,"Door, Windows, Gates",Glass blocks and panels,64.0,0.0
590,590,91936,https://restado.de/baustoff/fenster-115/,großes Holzfenster,Fenster,Aussenfenster,2023-01-09,1676678400000.0,"Fenstergröße B 1,23 x H 2,03 m, mit Regenschutzschiene und Flügelabdeckprofil in Aluminium.",Gebraucht,15€ (VB) / Stück,11 Stück verfügbar,(1 Stück Mindestabnahme),D-73433 Aalen,,"{""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""weiß"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Holz"", ""Farbe Fensterrahmen"": ""weiß""}",15.0,11.0,15.0,11.0,15€ (VB) / Stück,11 Stück verfügbar,1.0,3456000000.0,"['https://restado.de/wp-content/uploads/products/2022/02/bc314df8-img_5142-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/02/34147841-img_5182-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/02/493ba6a6-p1040677.jpg', 'https://restado.de/wp-content/uploads/products/2022/02/d46726d9-img_5615-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/02/c3bdf22f-img_4826-scaled.jpg']",large wooden window,Sheet glass,Wood window walls,Pr_30_59_99_96,Other,"Door, Windows, Gates",Glass blocks and panels,40.0,0.0
606,606,86723,https://restado.de/baustoff/prentzel-holzfenster/,Prentzel-Holzfenster,Fenster,Aussenfenster,2023-01-09,1676332800000.0,"Fenster war ca. 5 Monate lang verbaut und wurde wegen Umbau auf Balkontür wieder ausgebaut. Fenster hat Gebrauchsspuren aber keine Schäden. Griff gibt es zum Fenster inkl. Evtl. sind auch noch Holz-Deckleisten im Fundus gegen geringen Aufpreis vorhanden. Holzart Fichte Nußbaum lasiert. Das Baujahr ist 2013, aber Fenster wurde seit dem Ausbau dunkel und trocken gelagert. Für die Fotos haben wir das Fenster kurz auf den Hof gestellt, als es geregnet hat.  Die Scheibe ist Klarglas und des Fenster steht jetzt wieder dunkel und trocken.",Gebraucht,120€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-34132 Kassel,Prentzel-Holzfenster,"{""Anschlag"": ""DIN Rechts"", ""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""braun / Nußbaum"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Holz"", ""Farbe Fensterrahmen"": ""braun / Nußbaum"", ""U-Wert"": ""Ug 1.1 4-16-4 klar""}",120.0,1.0,120.0,1.0,120€ (VB) / Stück,1 Stück verfügbar,1.0,3110400000.0,['https://restado.de/wp-content/uploads/products/2021/11/48ddc80b-pxl_20211126_132306864-scaled.jpg'],Prentzel wooden windows,Sheet glass,Wood window walls,Pr_30_59_99_96,Other,"Door, Windows, Gates",Prefabricated buildings and structures,36.0,0.0
613,613,86762,https://restado.de/baustoff/prentzel-holzfenster-2/,Prentzel-Holzfenster,Fenster,Aussenfenster,2023-01-09,1675900800000.0,Fenster ist von einem Premium-Hersteller aus Nordhessen (Kein Polenfenster). Das Baujahr 1997. Fenster war die ganze Zeit dunkel und Trocken gelagert.   Fenster wurde ursprünglich mit falschem Maß gefertigt. Fenster war noch nie verbaut.  Zu dem Fenster ist der Griff inkl. Verschiedene Deckleisten können gegen kleinen Aufpreis dazu gegeben werden.,Neuwertig,120€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-34132 Kassel,Prentzel-Holzfenster,"{""Anschlag"": ""DIN Rechts"", ""Element-Breite"": ""97,0cm"", ""Element-Höhe"": ""145,5cm"", ""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""weiß"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Holz"", ""Farbe Fensterrahmen"": ""weiß""}",120.0,1.0,120.0,1.0,120€ (VB) / Stück,1 Stück verfügbar,1.0,2678400000.0,['https://restado.de/wp-content/uploads/products/2021/11/626e3060-pxl_20211126_133452588-scaled.jpg'],Prentzel wooden windows,Sheet glass,Wood window walls,Pr_30_59_99_96,Other,"Door, Windows, Gates",Prefabricated buildings and structures,31.0,0.0
