,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
476,476,111981,https://restado.de/baustoff/roto-r8-klapp-schwingfenster-aus-kunststoff-anthrazit-740x1180-dreifachverglast/,Roto R8 Klapp-Schwingfenster aus Kunststoff Anthrazit (740x1180) Dr…,Fenster,Dachfenster,2023-01-09,1677715200000.0,"Moin,  wir verkaufen ein noch ungeöffnetes und somit neues Roto R8 Dachfenster. Es ist während des Neubaus durch die spontane Umplanung übrig geblieben.  Das Dachfenster hat die Maße 740/1180 mm ist dreifachverglast (comfort 9G) und kann gerne vor Ort geöffnet und geprüft werden.  Neupreis des Fensters beträgt 1.500€. Bitte daher nur ernstgemeinte Preisanfragen.  Anbei der Link zum Roto Shop:  https://www.roto-store.de/dachfenster/r8-klapp-schwingfenster/43512/roto-designo-r8-aus-kunststoff?number=ROTO632229&c=114  Viele Grüsse",Neu,1€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-23829 Kükels,Roto,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Anthrazit"", ""Verglasungs-Art"": ""3-fach"", ""Öffnungsart"": ""Klapp-Schwingfenster"", ""Material Aussenabdeckung"": ""Kunststoff"", ""Fensterbreite (cm)"": ""74"", ""Fensterhöhe (cm)"": ""118""}",1.0,1.0,1.0,1.0,1€ (VB) / Stück,1 Stück verfügbar,1.0,4492800000.0,"['https://restado.de/wp-content/uploads/products/2022/08/b60ee2de-rotowdfr8kwd-roto-designo-r8-aus-kunststoff-2_600x600.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/92d57afc-16610754671678648445345571918152-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/6aa4707e-16610755071843236482868172931127-scaled.jpg']",Roto folding swing window made of plastic anthracite x Dr…,Rolled glass,Plastics window films,Pr_25_57_51_60,Other,Other,Glass blocks and panels,52.0,0.0
519,519,12806,https://restado.de/baustoff/renolux-therm-dachfenster-vollkunststoff/,Renolux Therm Dachfenster Vollkunststoff,Fenster,Dachfenster,2023-01-09,1677283200000.0,"Verkaufen hier unsere neuen \""Renolux Therm\"" Dachfenster in Vollkunststoff. Diese wurden Ende letzters Jahr geliefert und sind noch komplett verpackt. Zum verkauf stehen insgesamt 5 Fenster mit Fensterinnenfarbe: Holzdekor sierra und Äußere ALU-Abdeckung: anthrazit. Maße und weitere Details siehe Rechnung. Bilder können auf Anfrage auch zugeschickt werden.  Beispielbilder dienen nur als Muster.  Der Preis ist Verhandlungsbasis daher können wir auch vernünftige Preisvorschläge akzeptieren.  Fenster können auch einzeln erworben werden Preis auf Anfrage.",Neu,"7,50€ / Stück",5 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},7.5,5.0,7.5,5.0,"7,50€ / Stück",5 Stück verfügbar,1.0,4060800000.0,[],Renolux Therm roof window made of solid plastic,Thermoplastic elastomer resin,Plastics window films,Pr_25_57_51_60,"Roof, Slabs, Stairs",Other,Glass blocks and panels,47.0,0.0
528,528,120750,https://restado.de/baustoff/kunststoff-fenster-zweifach-verglast/,Kunststoff-Fenster zweifach verglast,Fenster,Aussenfenster,2023-01-09,1677628800000.0,"9 Kunststoff-Fenster doppelverglast, BJ 2010 in verschiedenen Größen abzugeben. 6 Fenster davon mit elektrischem Rollladen:  Mit elektrischem Rollladen: - 2x B 1,90 x H 1,50, je 190 € - 1x B 1,90 x H 1,27, 170 € - 1x B 2,00 x H 1,35, 190 € - 1x B 1,30 x H 1,25 150 € - 1x B 1,30 x H 1,26, 150 €  Ohne elektrischen Rollladen: - 1x B 3,00 x H 1,22, 190 € - 1x B 2,00 x 1,15, 150 € - 1x B 1,15 x 1,22, 100 €  Außerdem: 1x zweiflügelige Terrassentür B1,50 x 2,15, 290 €",Gebraucht,150€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-91126 Schwabach,,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Weiss"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Kippflügel"", ""Ausführung"": ""Teilweise 2- und 1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff""}",150.0,10.0,150.0,10.0,150€ (VB) / Stück,10 Stück verfügbar,1.0,4406400000.0,"['https://restado.de/wp-content/uploads/products/2023/02/83434b37-ee49f2e8-1468-4774-810f-fc0ca978cb88-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/d1b5ce35-bc594aa6-f9b1-49ff-8d4e-d1233c30955b-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/5d16821a-wfcctlurqztrgaaaabjru5erkjggg.png', 'https://restado.de/wp-content/uploads/products/2023/02/48ce0e8e-d524d543-9b1a-4738-81e7-a086b428529e-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/b996be95-3b31f714-7c2c-4190-81b8-27aefd6e300d-scaled.jpeg']",Double glazed plastic window,Prismatic glass,Plastics window films,Pr_25_57_51_60,Other,"Door, Windows, Gates",Glass blocks and panels,51.0,0.0
529,529,120230,https://restado.de/baustoff/teba-fenster-kunststoff/,Teba Fenster Kunststoff,Fenster,Aussenfenster,2023-01-09,1677196800000.0,"Hier noch ein paar Informationen, da das Formular zum Anlegen nicht einwandfrei auf dieser Seite funktioniert.  - Drehkipp-Fenster Kunsstoff, 2-fach verglast, DIN Rechts - Breite: 1470 mm, Höhe 1290 mm - Ug = 1,1 W/m²K  Neuwert war ca. 600 €. Fenster wurden im Jahr 2008 eingebaut.",Gebraucht,180€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-66625 Nohfelden,Teba,"{""Anschlag"": ""DIN Rechts"", ""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Nussbaum"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""Nussbaum"", ""U-Wert"": ""1,1""}",180.0,1.0,180.0,1.0,180€ (VB) / Stück,1 Stück verfügbar,1.0,3974400000.0,"['https://restado.de/wp-content/uploads/products/2023/02/cc864030-20230211_1151001-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/17f6e8dc-20230211_1151361-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/7a0712f7-20230211_1152291-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/9a439e00-20230211_1214041-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/b6f24c54-20230211_1152141-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/338f3ef7-20230211_1214281-scaled.jpg']",Teba window plastic,Polyethylene terephthalate resin,Plastics window films,Pr_25_57_51_60,Other,Other,Glass blocks and panels,46.0,0.0
545,545,117888,https://restado.de/baustoff/kunststofffenster-32/,Kunststofffenster,Fenster,Aussenfenster,2023-06-29,1690934400000.0,"Alle 12 Fenster sind ca. 18 Jahre alt. Bei Abholung wird der Preis verhandelt, Aushändigung der Ware nur in bar.  Bei Fragen können Sie mich gerne unter 01786551362 anrufen.",Gebraucht,12€ (VB) Paketpreis,12 Stück verfügbar,(12 Stück Mindestabnahme),D-72587 Römerstein,Kneer Fenster,"{""Anschlag"": ""DIN Links"", ""Element-Höhe"": ""0,885 m"", ""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""weiß"", ""Verglasungs-Art"": ""3-fach"", ""Ausführung"": ""2-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""weiß""}",12.0,12.0,12.0,12.0,12€ (VB) Paketpreis,12 Stück verfügbar,1.0,2937600000.0,['https://restado.de/wp-content/uploads/products/2022/12/a5432266-img_0154.jpg'],Plastic windows,Plastics,Plastics window films,Pr_25_57_51_60,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,34.0,0.0
547,547,116835,https://restado.de/baustoff/kunststofffenster-31/,Kunststofffenster,Fenster,Aussenfenster,2023-01-09,1673654400000.0,,,,,,,,,,,,,,,1.0,432000000.0,"['https://restado.de/wp-content/uploads/products/2022/11/35ae6d61-fenster_1.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/3179b23c-fenster_2.jpg']",Plastic windows,Plastics,Plastics window films,Pr_25_57_51_60,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,5.0,
552,552,111299,https://restado.de/baustoff/fenster-mit-kunststoffrahmen/,Fenster mit Kunststoffrahmen,Fenster,Aussenfenster,2023-01-09,1678579200000.0, ,Gebraucht,800€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-75181 Pforzheim,,{},800.0,6.0,800.0,6.0,800€ (VB) / Stück,6 Stück verfügbar,1.0,5356800000.0,['https://restado.de/wp-content/uploads/products/2022/08/da6a183f-16600602024033406695983330210799-scaled.jpg'],Windows with plastic frames,Prismatic glass,Plastics window films,Pr_25_57_51_60,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,62.0,0.0
560,560,110482,https://restado.de/baustoff/jura-kunststofffenster/,JURA Kunststofffenster,Fenster,Aussenfenster,2023-01-09,1678406400000.0,2 flg. Balkontüre Stulp ohne Bodenschwelle Es handelt sich um die Pos 9 aus dem angefügten Lieferschein. Der Artikel ist unverbaut und neu. Lieferung erfolgte am 17.07.2022,Neu,749€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-93155 Hemau,JURA Kunststofffenster,"{""Anschlag"": ""DIN Rechts"", ""Element-Breite"": ""1,485 m"", ""Element-Höhe"": ""2,269 m"", ""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""weiß"", ""Verglasungs-Art"": ""3-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""2-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""weiß"", ""U-Wert"": ""0,6""}",749.0,1.0,749.0,1.0,749€ / Stück,1 Stück verfügbar,1.0,5184000000.0,['https://restado.de/wp-content/uploads/products/2022/08/b8a95d18-screenshot_20220803-083201_adobe-acrobat.jpg'],plastic windows,Plastics,Plastics window films,Pr_25_57_51_60,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,60.0,0.0
562,562,110486,https://restado.de/baustoff/jura-kunststofffenster-2/,JURA Kunststofffenster,Fenster,Aussenfenster,2023-03-11,1683676800000.0,2 flg. Balkontüre betrifft Pos. 10 aus dem Lieferschein vom 17.07.2022 Artikel ist unverbaut und neu,Neu,799€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-93155 Hemau,JURA Kunststofffenster,"{""Anschlag"": ""DIN Rechts"", ""Element-Breite"": ""1,985 m"", ""Element-Höhe"": ""2,259 m"", ""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""weiß"", ""Verglasungs-Art"": ""3-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""2-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""weiß"", ""U-Wert"": ""0,6""}",799.0,1.0,799.0,1.0,799€ / Stück,1 Stück verfügbar,1.0,5184000000.0,['https://restado.de/wp-content/uploads/products/2022/08/b7a18761-screenshot_20220803-083201_adobe-acrobat.jpg'],plastic windows,Plastics,Plastics window films,Pr_25_57_51_60,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,60.0,0.0
568,568,108189,https://restado.de/baustoff/kunststoff-fenster-5/,Kunststoff-Fenster,Fenster,Aussenfenster,2023-01-09,1677715200000.0, ,Neu,195€ / Stück,100 Stück verfügbar,(1 Stück Mindestabnahme),D-10178 Berlin,Mak plas Mk,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""weiss"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""weiss""}",195.0,100.0,195.0,100.0,195€ / Stück,100 Stück verfügbar,1.0,4492800000.0,['https://restado.de/wp-content/uploads/products/2022/07/7a874ddd-img-ce89de03bf0c7d04f5bd1f5d10654c50-v.jpg'],Plastic windows,Plastics,Plastics window films,Pr_25_57_51_60,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,52.0,0.0
