,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
983,983,108327,https://restado.de/baustoff/mettener-terrassenplatten/,Mettener Terrassenplatten,Fliesen & Steine,Betonwerkstein,2023-01-09,1678320000000.0,"Lose verlegt in Kies, 1. OG",Gebraucht,0€ (VB) Paketpreis,200 Stück verfügbar,(200 Stück Mindestabnahme),D-50933 Cologne,Metten Stein + Design,"{""Bezeichnung"": ""Terrassenplatten"", ""Länge (cm)"": ""40"", ""Breite (cm)"": ""40"", ""Dicke (cm)"": ""5""}",0.0,200.0,0.0,200.0,0€ (VB) Paketpreis,200 Stück verfügbar,1.0,5097600000.0,"['https://restado.de/wp-content/uploads/products/2022/07/522fe4fc-0953df2d-eb7d-473b-a18a-c49b6c9ba2d4.jpeg', 'https://restado.de/wp-content/uploads/products/2022/07/b8b03017-b97b1992-027a-4698-8c2d-d94b1b71f6c3.jpeg', 'https://restado.de/wp-content/uploads/products/2022/07/7b21a727-ofxqvlxwlivlgaaaaasuvork5cyii.png']",Metten terrace tiles,Mosaic glass,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Structural roofing units,59.0,0.0
990,990,93148,https://restado.de/baustoff/terrassenfliesen/,Terrassenfliesen,Fliesen & Steine,Betonwerkstein,2023-01-09,1678406400000.0, ,Gebraucht,5€ (VB) / m²,30 m² verfügbar,(1 m² Mindestabnahme),D-58769 Nachrodt-Wiblingwerde,Unbekannt ,"{""Farbe"": ""Beige/sand"", ""Bezeichnung"": ""Terrassenfliesen"", ""Länge (cm)"": ""40"", ""Breite (cm)"": ""40"", ""Dicke (cm)"": ""4,5"", ""Serie"": ""Unbekannt""}",5.0,30.0,5.0,30.0,5€ (VB) / m²,30 m² verfügbar,1.0,5184000000.0,['https://restado.de/wp-content/uploads/products/2022/03/5b746ad0-img-20220118-wa0005.jpg'],Terrace tiles,Mosaic glass,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Glass blocks and panels,60.0,0.0
992,992,91893,https://restado.de/baustoff/ytong-steine-gebraucht-diverse-gg-abholung/,YTONG Steine gebraucht diverse gg Abholung,Fliesen & Steine,Betonwerkstein,2023-01-09,1675814400000.0,Diverse Ytong Steine gg Abholung,Gebraucht,10€ Paketpreis,10 Stück verfügbar,(10 Stück Mindestabnahme),D-73779 Deizisau,,{},10.0,10.0,10.0,10.0,10€ Paketpreis,10 Stück verfügbar,1.0,2592000000.0,['https://restado.de/wp-content/uploads/products/2022/02/c50adbb7-20220226_141057-scaled.jpg'],stones used various gg collection,Natural stone aggregates,Stone tiles,Pr_35_93_96_86,Other,Other,Other,30.0,0.0
1072,1072,78255,https://restado.de/baustoff/schiefer-fliesen/,Schiefer Fliesen,Fliesen & Steine,Naturstein,2023-07-02,1692316800000.0,"ca.50 qm abzugeben. (Fliesen wurden nie verlegt!)  Format der Fliesen 40x60x1,2 cm +/- 4 mm Format Sockel 6x40x1,2cm  Bilder sind Beispielbilder wen sie verlegt sind.  Fußbodenheizung Geeignet  Verwendung im Haus Küche, Bad / Nassbereich, Keller, Wandverkleidung, Sonstiger Wohnbereich, Haustiergeeignet, Wintergarten  Rutschfestigkeit Hohe Rutschsicherheit  Oberfläche mit markanten, individuellen Schieferungen. Kaum Farbabstufungen zwischen den Fliesen  Diese Schieferfliesen sollten aufgrund ihrer Höhentoleranzen im Mittelbett verlegt werden.  Die Fliesen sind im Garagenvorraum gelagert. Nur Barzahlung bei Abholung.",Neu,2.000€ (VB) Paketpreis,50 m² verfügbar,(50 m² Mindestabnahme),D-78098 Triberg,,"{""Farbe"": ""Schwarz / Anthrazit"", ""Bezeichnung"": ""Schiefer"", ""Länge (cm)"": ""40"", ""Breite (cm)"": ""60"", ""Dicke (cm)"": ""1,2 +/- 4 mm"", ""Oberfläche"": ""matt"", ""Kalibriert"": ""Nein""}",2000.0,50.0,2000.0,50.0,2.000€ (VB) Paketpreis,50 m² verfügbar,1.0,4060800000.0,[],Slate tiles,Slate,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Glass blocks and panels,47.0,0.0
1122,1122,69695,https://restado.de/baustoff/hochwertiger-marmor-marmorfliesen-crema-valencia/,Hochwertiger Marmor - Marmorfliesen „Crema Valencia“,Fliesen & Steine,Naturstein,2023-01-09,1677888000000.0,"Beste Qualität zum fairen Preis  Hochwertiger Marmor „Crema Valencia“ - Made in Spain  Farbe: gelb mit Adern  Oberfläche: poliert  1. Wahl - Zertifiziert  Maße: 60 cm x 30 cm x 2cm  Palette: 17,10 m²  Materialstärke: 2 cm kalibriert   Dieser Preis gilt ab unserem Lager Parkstraße 3 in 01558 Großenhain. Eine Anlieferung mit Spedition ist möglich. Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,113€ / m²,200 m² verfügbar,(1 m² Mindestabnahme),Neu,,{},113.0,200.0,113.0,200.0,113€ / m²,200 m² verfügbar,1.0,4665600000.0,"['https://restado.de/wp-content/uploads/products/2021/02/2ec604b8-s-l1600-23.jpg', 'https://restado.de/wp-content/uploads/products/2021/02/33ae2c8d-s-l500-6.jpg']",High-quality marble - marble tiles “ Crema Valencia ”,Marble,Stone tiles,Pr_35_93_96_86,Other,Other,Other,54.0,0.0
1127,1127,69647,https://restado.de/baustoff/granitsteine-und-fliesen-grau-weiss/,Granitsteine und -fliesen „grau-weiß“,Fliesen & Steine,Naturstein,2023-01-09,1677024000000.0,"Beste Qualität zum fairen Preis  Dieser spanische Naturstein ist in seiner Qualität unverwechselbar und erzielt ein exklusives und gemütliches Ambiente. Er eignet sich hervorragend für die Gestaltung am Haus und im Garten.  Granit - Made in Spain  Farbe: grau / weiß  Oberfläche: geflammt / feinkörnig  1. Wahl - Frostsicher- Zertifiziert - Tausalzbeständig - 1A Qualität  Maße (cm): 40x60  Palette: 10m² / 1 Tonne  Materialstärke: 4 cm kalibriert  Preis: 64,80 €/ 1m²    Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,"64,80€ / m²",100 m² verfügbar,(1 m² Mindestabnahme),Neu,,{},64.8,100.0,64.8,100.0,"64,80€ / m²",100 m² verfügbar,1.0,3801600000.0,['https://restado.de/wp-content/uploads/products/2021/02/f97ca34a-s-l500.jpg'],Granite stones and tiles “ gray-white ”,Granite,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs",Other,Other,44.0,0.0
1128,1128,69660,https://restado.de/baustoff/granitsteine-und-fliesen-beige-60-40-3/,Granitsteine und -fliesen „beige“ 60/40/3,Fliesen & Steine,Naturstein,2023-01-09,1676851200000.0,"Beste Qualität zum fairen Preis  Dieser spanische Naturstein ist in seiner Qualität unverwechselbar und erzielt ein exklusives und gemütliches Ambiente. Er eignet sich hervorragend für die Gestaltung am Haus und im Garten.  Granit - Made in Spain  Farbe: beige  Oberfläche: fein gestockt  1. Wahl - Frostsicher- Zertifiziert-Tausalzbeständig  Maße (cm): 40x60  Palette: 12,00 m²/ 900 kg  Materialstärke: 3 cm kalibriert   Nur solange der Vorrat reicht!   Haben Sie Fragen? Wir beraten Sie gern. ",Neu,"73,40€ / m²",50 m² verfügbar,(1 m² Mindestabnahme),Neu,,{},73.4,50.0,73.4,50.0,"73,40€ / m²",50 m² verfügbar,1.0,3628800000.0,['https://restado.de/wp-content/uploads/products/2021/02/c1faebb7-s-l500-4.jpg'],Granite stones and tiles “ beige ” //,Granite,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs",Other,Other,42.0,0.0
1129,1129,69628,https://restado.de/baustoff/granitsteine-und-fliesen-silvestre-moreno/,Granitsteine und -fliesen „Silvestre Moreno“,Fliesen & Steine,Naturstein,2023-01-09,1677369600000.0,Beste Qualität zum fairen Preis  Dieser spanische Naturstein ist in seiner Qualität unverwechselbar und erzielt ein exklusives und gemütliches Ambiente.   Granit „Silvestre Moreno“ - Made in Spain  Farbe: beige feinkörnig  Oberfläche: fein gestockt  1. Wahl - Frostsicher- Zertifiziert- Tausalzbeständig  Maße (cm): 40x60   Palette: 12m² / 1 Tonne  Materialstärke: 3 cm kalibriert   Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.,Neu,"110,25€ / m²",36 m² verfügbar,(12 m² Mindestabnahme),Neu,,{},110.25,36.0,110.25,36.0,"110,25€ / m²",36 m² verfügbar,1.0,4147200000.0,['https://restado.de/wp-content/uploads/products/2021/02/198efdc4-s-l500-1.jpg'],Granite stones and tiles “ Silvestre Moreno ”,Granite,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs",Other,"Floor plates, gratings and edgings",48.0,0.0
1130,1130,69624,https://restado.de/baustoff/granitsteine-und-fliesen-2/,Granitsteine und -fliesen,Fliesen & Steine,Naturstein,2023-01-09,1676764800000.0,"Beste Qualität zum fairen Preis  Dieser spanische Granit ist in seiner Qualität unverwechselbar und erzielt ein exklusives und gemütliches Ambiente.   Granit - Made in Spain  Farbe: grau / beige  Oberfläche: geflammt / feinkörnig  1. Wahl - Frostsicher- Zertifiziert- Tausalzbeständig  Maße (cm): 40x60  Palette: 10m² / 1 Tonne  Materialstärke: 4 cm kalibriert  Preis: 70,00 € / 1m²    Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,70€ / m²,500 m² verfügbar,(1 m² Mindestabnahme),D-01558 Grossenhain,,{},70.0,500.0,70.0,500.0,70€ / m²,500 m² verfügbar,1.0,3542400000.0,['https://restado.de/wp-content/uploads/products/2021/02/1ebc4ea3-s-l1600-9.jpg'],Granite stones and tiles,Granite,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs",Other,Masonry walling units,41.0,0.0
1132,1132,69643,https://restado.de/baustoff/granitsteine-und-fliesen-3/,Granitsteine und -fliesen,Fliesen & Steine,Naturstein,2023-01-09,1677542400000.0,"Beste Qualität zum fairen Preis   Granit Naturstein - Made in Spain  Farben: beige   Oberfläche: leicht gestockt  1. Wahl - Frostsicher- Prüfzeugnis- sehr hohe Rohdichte - sehr hart  Maße: 60cm x 40cm  Palette: 12 m² / 1 Tonne  Materialstärke: 3 cm kalibriert   Preis: 70,00 € / 1m²   Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,70€ / m²,70 m² verfügbar,(1 m² Mindestabnahme),Neu,,{},70.0,70.0,70.0,70.0,70€ / m²,70 m² verfügbar,1.0,4320000000.0,['https://restado.de/wp-content/uploads/products/2021/02/1b8068b3-s-l1600-10.jpg'],Granite stones and tiles,Granite,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs",Other,Masonry walling units,50.0,0.0
