,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
200,200,80513,https://restado.de/baustoff/westag-tuerzargen/,WESTAG Türzargen,Türen & Zargen,Sonstiges,2023-01-09,,Aufgrund von falscher Bestellung abzugeben. Original verpackt.,Neu,60€ / Stück,7 Stück verfügbar,(1 Stück Mindestabnahme),D-28870 Ottersberg,WESTAG,{},60.0,7.0,60.0,7.0,60€ / Stück,7 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/08/c61f4f0d-ef41fb92-b28d-4835-8db4-034d859cc9d7.jpeg'],Türzargen,Tufa,Scagliola,Pr_35_31_64_76,Other,Other,Other,,0.0
524,524,121116,https://restado.de/baustoff/schueco-fenster-3/,Schüco Fenster,Fenster,Aussenfenster,2023-01-26,1678838400000.0,Kostenlos Angebot andorden.,Neu,1€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28219 Bremen,Schüco,"{""Anschlag"": ""DIN Rechts"", ""Material Fensterflügel"": ""Kunststoff"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""Weiß"", ""U-Wert"": ""1,1""}",1.0,1.0,1.0,1.0,1€ (VB) / Stück,1 Stück verfügbar,1.0,4147200000.0,['https://restado.de/wp-content/uploads/products/2023/02/bd0591b3-0e1235d6-2909-456f-9fd6-74c7bd00b422-scaled.jpeg'],Schüco windows,Shell,Scagliola,Pr_35_31_64_76,Other,"Door, Windows, Gates",Other,48.0,0.0
592,592,91654,https://restado.de/baustoff/schueco-fenster-2/,Schüco Fenster,Fenster,Aussenfenster,2023-01-09,1675900800000.0,"mehrere Fenster vorhanden. Fensterbauer hatte falsch gemessen, Die Fenster wurden ein und sofort wieder ausgebaut. Bei Interesse kann ich die einzelnen Größen und den U-Wert miteilen.",Neuwertig,50€ (VB) / Stück,9 Stück verfügbar,(1 Stück Mindestabnahme),D-65428 Rüsselsheim,Schüco,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""RAL 7016 anthrazitgrau"", ""Verglasungs-Art"": ""3-fach"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff""}",50.0,9.0,50.0,9.0,50€ (VB) / Stück,9 Stück verfügbar,1.0,2678400000.0,[],Schüco windows,Shell,Scagliola,Pr_35_31_64_76,Other,"Door, Windows, Gates",Other,31.0,0.0
993,993,91074,https://restado.de/baustoff/schalstein/,Schalstein,Fliesen & Steine,Betonwerkstein,2023-01-09,1676505600000.0, ,Neu,6€ / Stück,10.000 Stück verfügbar,(500 Stück Mindestabnahme),HU-6500 Baja,Conrad Bau Kft.,"{""Farbe"": ""grau"", ""Bezeichnung"": ""Schalstein"", ""Länge (cm)"": ""30"", ""Breite (cm)"": ""50"", ""Oberfläche"": ""gebürstet""}",6.0,10000.0,6.0,10000.0,6€ / Stück,10.000 Stück verfügbar,1.0,3283200000.0,['https://restado.de/wp-content/uploads/products/2022/02/5202f969-blm_zsk.jpg'],Schalstein,Encaustic,Scagliola,Pr_35_31_64_76,Other,Other,Other,38.0,0.0
1446,1446,32451,https://restado.de/baustoff/koramic-alegra-2/,Koramic Alegra,Dach,Dacheindeckung,2023-01-09,,Biete einen Restmenge von von ca. 60 Ziegel an,Neu,60€ Paketpreis,60 Stück verfügbar,(60 Stück Mindestabnahme),D-31558 Hagenburg Altenhagen,,{},60.0,60.0,60.0,60.0,60€ Paketpreis,60 Stück verfügbar,0.0,,[],Koramic Alegra,Encaustic,Scagliola,Pr_35_31_64_76,Other,Other,Other,,0.0
1451,1451,26715,https://restado.de/baustoff/creaton-domino-schieferton-engobiert/,"Creaton Domino, schieferton engobiert",Dach,Dacheindeckung,2023-01-09,,"Biete hier Creaton Domino schiefer engobiert zum Verkauf an: es sind noch 151 Flächenziegel, 4 Firstanschlußziegel, 5 Orte rechts, 3 Orte links und 5 Halbe zu verkaufen Der Preis bezieht sich auf die Abnahme des Gesamtpacketes Bitte anrufen: 0151/17443002",Neu,140€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-06618 Prießnitz,,{},140.0,1.0,140.0,1.0,140€ / Stück,1 Stück verfügbar,0.0,,[],"Creaton Domino , schieferton engobiert",Tabby,Scagliola,Pr_35_31_64_76,Other,Other,Other,,0.0
1457,1457,5404,https://restado.de/baustoff/firstziegel/,Firstziegel,Dach,Dacheindeckung,2023-01-09,," Breite:  26,50 cm Höhe:  14,00 cm Länge/Tiefe:  39,50 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Ton Farbe:  rot Verfügbar ab: sofort", gut,128€ Paketpreis,4 Stk. verfügbar,(4 Stk. Mindestabnahme),gut,,{},128.0,4.0,128.0,4.0,128€ Paketpreis,4 Stk. verfügbar,0.0,,[],Firstziegel,Pozzolana,Scagliola,Pr_35_31_64_76,Other,Other,Other,,0.0
1766,1766,57072,https://restado.de/baustoff/kanalgrundrohre-dn400/,Kanalgrundrohre DN400,Haustechnik & Sanitär,Sanitär,2023-01-09,,"Kanalgrundrohr aus PVC verschiedene Längen 20,00 €/lfm . Längstes Rohr 6 m Besichtigung und Abholung in Berlin. Privatverkauf ohne Garantie und Gewährleistung, keine Rücknahme. Transport muss selbst organisiert werden.",Gebraucht,20€ (VB) / Stück,10 Stück verfügbar,(5 Stück Mindestabnahme),D-12057 Berlin,divers,{},20.0,10.0,20.0,10.0,20€ (VB) / Stück,10 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/08/1be5ce7e-dsc_0040-scaled.jpg'],Kanalgrundrohre,Japanese larch,Scagliola,Pr_35_31_64_76,Other,Other,Other,,0.0
2139,2139,31165,https://restado.de/baustoff/stufenlos-hebelift-st360-hetek/,Stufenlos Hebelift ST360 (Hetek),Haustechnik & Sanitär,Sonstiges,2023-01-09,,"Personenlift Fassade Baujahr 2011 für Selbstabholer abzugeben. Inklusive Dachkonstruktion. Neupreis EUR 35‘000,-. Raum Heidelberg / Schwetzingen",Neuwertig,20.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-68723 Oftersheim,,{},20000.0,1.0,20000.0,1.0,20.000€ (VB) / Stück,1 Stück verfügbar,0.0,,[],Stufenlos Hebelift Weeks,Silt,Scagliola,Pr_35_31_64_76,Other,Other,Other,,0.0
2562,2562,111688,https://restado.de/baustoff/planeo-goteneiche-klebevinyl/,Planeo Goteneiche Klebevinyl,Innenausbau,Bodenbeläge,2023-07-02,,"Planeo Klebevinyl Goteneiche. 12 Pakete je 3,34 Quadratmeter für insgesamt 40 Quadratmeter. Teilweise ist die Verpackung beschädigt, aber die Ware ist absolut neuwertig.  Preis verhandelbar.",Neuwertig,15€ (VB) / m²,40 m² verfügbar,(3 m² Mindestabnahme),D-32278 Kirchlengern,Planeo,{},15.0,40.0,15.0,40.0,15€ (VB) / m²,40 m² verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/08/8de6c980-16606676554097578069615401285623-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/4234af67-16606676748233429795085145977083-scaled.jpg']",Gliding Goteneiche Klebevinyl,Encaustic,Scagliola,Pr_35_31_64_76,Other,Other,Other,,0.0
