,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1020,1020,63451,https://restado.de/baustoff/pflastersteine-rund-ca-25m%c2%b3-durchmesser-7-9-und-11cm/,"Pflastersteine rund, ca. 2,5m³, Durchmesser 7, 9 und 11cm",Fliesen & Steine,Betonwerkstein,2023-01-09,1676764800000.0," eBay Kleinanzeigen pflastersteine Pflastersteine rund, ca. 2,5m³, Durchmesser 7, 9 und 11cm VB Ebelstraße 30, 35392 Gießen  18.10.2020 73  ID: 1544138916 Details Kategorie Weiteres Haus & Garten Versand Nur Abholung Beschreibung Wir haben einen großen Haufen Pflastersteine von der Erstellung eines Gartenweges übrig und würden uns freuen wenn Sie irgendwo gebraucht werden =) Sie zum Bauschutt zu bringen wäre doch sehr schade.  Wenn Sie mit einem Anhänger/Transporter vorbei kommen, helfen wir Ihnen natürlich auch gerne beim Aufladen.  Die Steine sind auf Verhandlungsbasis abzugeben.   Es handelt sich um ein Privatangebot. Daher ist Umtausch, Gewährleistung und Reklamation ausgeschlossen.  Bei Fragen gerne melden!",Neuwertig,5€ (VB) / m³,3 m³ verfügbar,(1 m³ Mindestabnahme),D-35392 Giessen,,{},5.0,3.0,5.0,3.0,5€ (VB) / m³,3 m³ verfügbar,1.0,3542400000.0,['https://restado.de/wp-content/uploads/products/2020/10/e2d5f783-img_20201011_163236-scaled.jpg'],"Round paving stones , approx . .m³ , diameter , and cm",Natural stone aggregates,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Masonry walling units,41.0,0.0
1027,1027,50754,https://restado.de/baustoff/pflastersteine-platten-bordsteine-aussenverkleidungselemente-zaunelemente-mastkappen/,"Pflastersteine, Platten, Bordsteine, Außenverkleidungselemente, Za…",Fliesen & Steine,Betonwerkstein,2023-01-09,1677024000000.0,"DER GENUSS, IM TREND ZU SEIN  Der Traverstone Dekorationsstein ist ein neues Produkt, das Designern hilft, völlig neue und einzigartige Projekte zu schaﬀen. Das Dekorieren mit diesem Material verleiht der Umwelt Eleganz, Harmonie und Stil. Unsere vibrationsgepressten Produkte haben eine bis zu dreimal so hohe Beständigkeit wie der gegossene Beton.",Neu,"27,50€ (VB) / m²",1.200 m² verfügbar,(100 m² Mindestabnahme),24 Monate Gewährleistung,,{},27.5,1200.0,27.5,1200.0,"27,50€ (VB) / m²",1.200 m² verfügbar,1.0,3801600000.0,"['https://restado.de/wp-content/uploads/products/2020/04/4bb6b0ba-adg.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/224d98d3-ghjk.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/ce0888b1-desalin-c-nanosilv.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/6ce407d9-fyujh.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/1e362e14-kmjnbv.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/85741487-decorativa.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/7ee63f6c-traverstone-60x30x3-cm.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/b6a2b515-frum.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/29964e97-alta.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/b276e8b6-asedrfg.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/b9778a94-pas-japonez.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/57fbc5b6-th.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/a7cfaa76-jhg.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/473bb1d9-thumbnail.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/80f44e7f-uhg.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/86d102c1-traverston-lo.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/dac4f596-athos-bun.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/5d9765ba-tot-asa.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/2f51c699-dfgh.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/202ed40b-art-brick.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/02810fe9-colorat.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/7242cd6a-orion-cv.jpg.webp']","Paving stones , slabs , curbs , exterior cladding elements , tiles…",Concrete,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,44.0,0.0
1059,1059,90881,https://restado.de/baustoff/gebrauchtes-granitgrosspflaster-16-16-16/,Gebrauchtes Granitgroßpflaster 16/16/16,Fliesen & Steine,Naturstein,2023-01-09,1676851200000.0,"Gebrauchtes Granitgroßpflaster 16/16/16   Es sind insgesamt ca. 21 Big Bags mit ca. 1,5 Tonnen Gewicht.",Gebraucht,180€ / Tonnen,30 Tonnen verfügbar,(1 Tonnen Mindestabnahme),D-86154 Augsburg,,"{""Bezeichnung"": ""Granit"", ""Länge (cm)"": ""16"", ""Breite (cm)"": ""16"", ""Dicke (cm)"": ""16""}",180.0,30.0,180.0,30.0,180€ / Tonnen,30 Tonnen verfügbar,1.0,3628800000.0,['https://restado.de/wp-content/uploads/products/2022/02/2c2be74b-20210818_135958-scaled.jpg'],Used large granite paving //,Granite,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs",Other,Other,42.0,0.0
1075,1075,76728,https://restado.de/baustoff/porphyr-pflastersteine-8-9-cm/,Porphyr Pflastersteine 8/9 cm,Fliesen & Steine,Naturstein,2023-01-09,1676851200000.0,"Verkaufe ca. 44.000 m² Porphyr Pflastersteine 8/9 in einem Rotton, siehe Abbildung.",Gebraucht,880.000€ (VB) Paketpreis,44.000 m² verfügbar,(44.000 m² Mindestabnahme),D-73765 Neuhausen auf den Fildern,,"{""Farbe"": ""rötlich"", ""Länge (cm)"": ""8"", ""Breite (cm)"": ""9"", ""Oberfläche"": ""matt""}",880000.0,44000.0,880000.0,44000.0,880.000€ (VB) Paketpreis,44.000 m² verfügbar,1.0,3628800000.0,['https://restado.de/wp-content/uploads/products/2021/06/f35647af-stein1.jpg'],Porphyry paving stones / cm,Natural stone aggregates,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs",Other,Masonry walling units,42.0,0.0
1111,1111,69929,https://restado.de/baustoff/porphyr-pflastersteine-10-12/,Porphyr - Pflastersteine 10/12,Fliesen & Steine,Naturstein,2023-01-09,1676592000000.0,"Beste Qualität zum fairen Preis  Naturstein Pophyr Pflastersteine aus Italien  Farbe: herbstbunt  Oberfläche: gespalten, naturrau  Tausalzbeständig- Frostsicher- Zertifiziert  Maße: 10/12 cm  Palette: 6,5 m² / 1,5 t   Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,150€ / m²,700 m² verfügbar,(7 m² Mindestabnahme),Neu,,{},150.0,700.0,150.0,700.0,150€ / m²,700 m² verfügbar,1.0,3369600000.0,['https://restado.de/wp-content/uploads/products/2021/02/360d4be9-s-l1600-1.jpg'],Porphyry paving stones /,Natural stone dusts,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Masonry walling units,39.0,0.0
1112,1112,69884,https://restado.de/baustoff/naturstein-pflastersteine-gehwegplatten-rassenborde/,"Naturstein-Pflastersteine, Gehwegplatten, Rassenborde",Fliesen & Steine,Naturstein,2023-01-09,1676505600000.0,"Beste Qualität zum fairen Preis   Quarzit Pflaster - Made in Spain  Farbe: Blau mit leichten Adern  Oberfläche: naturrau  1. Wahl - Frostsicher- Zertifiziert- Tausalzbeständig  Maße (cm) : 20 x 10, 20 x 20, 8 x 8  Palette: 12 m² / 1 t  Materialstärke: 5-6 cm    Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,89€ / m²,500 m² verfügbar,(12 m² Mindestabnahme),Neu,,{},89.0,500.0,89.0,500.0,89€ / m²,500 m² verfügbar,1.0,3283200000.0,['https://restado.de/wp-content/uploads/products/2021/02/e3295604-s-l1600-3.jpg'],"Natural stone paving stones , paving slabs , race borders",Natural stone aggregates,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Masonry walling units,38.0,0.0
1117,1117,69713,https://restado.de/baustoff/naturstein-bruchplatten-quarzit-gelb/,"Naturstein-Bruchplatten, Quarzit, gelb",Fliesen & Steine,Naturstein,2023-01-09,1677456000000.0,Beste Qualität zum fairen Preis   Sandstein - Quarzit Polygonal - Made in Spain  Farbe: gelb  Oberfläche: Natur  1. Wahl - Frostsicher- Zertifiziert- Tausalzbeständig  Maße: 6-9 Platten= 1m²  Palette: 18 m² / 1 Tonne  Materialstärke: 2-3 cm    Bitte kalkulieren Sie bei der Polygonalverlegung einen Mehrbedarf an Material von ca. 20-25 % ein.  Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.,Neu,54€ / m²,150 m² verfügbar,(1 m² Mindestabnahme),Neu,,{},54.0,150.0,54.0,150.0,54€ / m²,150 m² verfügbar,1.0,4233600000.0,['https://restado.de/wp-content/uploads/products/2021/02/d67a9063-s-l1600-26.jpg'],"Natural stone quarry slabs , quartzite , yellow",Quartzite,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs",Other,Other,49.0,0.0
1133,1133,69638,https://restado.de/baustoff/granitpflaster-kopfsteinpflaster-10x10x10cm/,"Granitpflaster, Kopfsteinpflaster 10 x 10 x 10cm",Fliesen & Steine,Naturstein,2023-01-09,1677196800000.0,"Beste Qualität zum fairen Preis  Pflastersteine aus PORTUGAL  Farbe: gemischt (grau, beige, anthrazit)  Oberfläche: gespalten, naturrau  Tausalzbeständig- Frostsicher- Zertifiziert  Maße: 10 x 10 x 10 cm  Palette: 5 m² / 1 Tonne  225,00 € / pro Tonne   Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern. ",Neu,45€ / m²,1.000 m² verfügbar,(5 m² Mindestabnahme),Neu,,{},45.0,1000.0,45.0,1000.0,45€ / m²,1.000 m² verfügbar,1.0,3974400000.0,['https://restado.de/wp-content/uploads/products/2021/02/bfe7cef0-s-l1600-12.jpg'],"Granite paving , cobblestones x x cm",Granite,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs",Other,"Floor plates, gratings and edgings",46.0,0.0
1134,1134,69652,https://restado.de/baustoff/granitpflaster-kopfsteinpflaster-9-11/,"Granitpflaster, Kopfsteinpflaster 9/11",Fliesen & Steine,Naturstein,2023-01-09,1676678400000.0,"Beste Qualität zum fairen Preis  Spanische Granitsteine  Farbe: Grau  Oberfläche: gespalten, naturrau  Tausalzbeständig- Frostsicher- Zertifiziert  Maße: 9/11cm  Packung: 4,7 m² / 1 t   Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,"0,41€ / kg",1.000 kg verfügbar,(5 kg Mindestabnahme),Neu,,{},0.41,1000.0,0.41,1000.0,"0,41€ / kg",1.000 kg verfügbar,1.0,3456000000.0,['https://restado.de/wp-content/uploads/products/2021/02/130587c3-s-l500-3.jpg'],"Granite paving , cobblestones /",Granite,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware","Floor plates, gratings and edgings",40.0,0.0
1135,1135,69614,https://restado.de/baustoff/porphyrpflaster-pflastersteine-natursteinpflaster-kopfsteinpflaster-14-18/,"Porphyrpflaster Pflastersteine, Natursteinpflaster, Kopfsteinpflast…",Fliesen & Steine,Naturstein,2023-01-09,1676678400000.0,"Beste Qualität zum fairen Preis  Dieser Naturstein ist in seiner Qualität unverwechselbar und erzielt ein exklusives und gemütliches Ambiente. Er eignet sich hervorragend für die Gestaltung am Haus und im Garten.  Farbe: herbstbunt  Oberfläche: gespalten, naturrau  Tausalzbeständig- Frostsicher- Zertifiziert  Maße: 14/18 cm  Palette: 4,5 m² / 1,5 t   20,00 €/ Stück 205,55€ / m2  Weitere Maße verfügbar.  Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,20€ / Stück,2.000 Stück verfügbar,(5 Stück Mindestabnahme),Neu,,{},20.0,2000.0,20.0,2000.0,20€ / Stück,2.000 Stück verfügbar,1.0,3456000000.0,['https://restado.de/wp-content/uploads/products/2021/02/10b8d45f-s-l1600-7.jpg'],"Porphyry paving stones , natural stone paving , cobblestones…",Natural stone dusts,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Other,40.0,0.0
