,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1040,1040,121895,https://restado.de/baustoff/ziegelsteine-altes-deutsches-reichsformat-rot-und-gelb/,Ziegelsteine Altes Deutsches Reichsformat rot und gelb,Fliesen & Steine,Naturstein,2023-01-09,1677628800000.0,"Mindestens 40.000 Ziegelsteine zum Selbstauspicken. Ab einer Abnahme von mindestens 3240 Steinen (=9 Paletten) kostet jeder Stein nur 32 Cent bzw jede Palette (=360 Steine) nur 115€. Davor gilt folgende Staffelung:  1 Palette (360 Steine) = 201€ (56 Cent pro Ziegel)  2 Paletten (720 Steine) = 381€ (0,53€ pro Ziegel, 190€ pro Palette)  3 Paletten (1080 Steine) = 540€ (0,50€ pro Ziegel, 180€ pro Palette)  4 Paletten (1440 Steine) = 676€ (0,47€ pro Ziegel, 169€ pro Palette)  5 Paletten (1800 Steine) = 792€ (0,44€ pro Ziegel, 158€ pro Palette)  6 Paletten (2160 Steine) = 885€ (0,41€ pro Ziegel, 147€ pro Palette)  7 Paletten (2520 Steine) = 957€ (0,38€ pro Ziegel, 136€ pro Palette)  8 Paletten (2880 Steine) = 1008€ (0,35€ pro Ziegel, 126€ pro Palette)  Es sind insgesamt etwa 111 Paletten vorhanden.  Das Bild ist nur ein Beispielbild, da die Steine aktuell noch eine dreistöckige 1920er Jahre Villa bilden. Können direkt nach dem Abriss aufgesammelt werden oder bei Abnahme von großen Mengen, kann der Bagger sie auch direkt und ohne Aufpreis ins Fahrzeug laden.",Gebraucht,"0,32€ / Stück",40.000 Stück verfügbar,(360 Stück Mindestabnahme),D-12527 Berlin,,"{""Länge (cm)"": ""24"", ""Breite (cm)"": ""12"", ""Dicke (cm)"": ""6,5""}",0.32,40000.0,0.32,40000.0,"0,32€ / Stück",40.000 Stück verfügbar,1.0,4406400000.0,['https://restado.de/wp-content/uploads/products/2023/03/ed228581-unbenannt.png'],Bricks Old German Empire format red and yellow,Coloured glass,Refractory bricks,Pr_20_93_52_73,Other,"Blocks, Panels, Fences, Bricks",Masonry walling units,51.0,0.0
1162,1162,53758,https://restado.de/baustoff/ziegelstein-reichsformat-gelb/,Ziegelstein Reichsformat gelb,Fliesen & Steine,Naturstein,2023-01-09,1678320000000.0,"Beschreibung Ziegelsteine gelb aus dem Rückbau Unsere Ziegelsteine stammen aus Rückbauprojekten aus ganz Deutschland und sind manuell aufbereitet und auf höchste Qualität geprüft. Mit diesen Ziegelsteinen können Sie ihr individuelles Projekt realisieren.  restado ist dabei als größte Anbieter von alten Ziegelsteinen in Deutschland Ihr Ansprechpartner. Variante der Ziegelsteine: 1. Variante: Reichsformat (gängiges Format): Breite x Tiefe x Höhe: 25cm x 12,5 x 6cm  Masse können leicht abweichen.  Benötigte Menge pro m²: 1m² = 52-54 Steine.  Anwendungsmöglichkeiten: Vielfältige Anwendungsmöglichkeiten für die alten Ziegel. Beispielsweise für die Aussen- und Innengestaltung wie Wände, Grillplätze oder Mauern. Gebrannte Steine und hauptsächlich winter-resistent, aber für den Außenbereich würden wir empfehlen diese zu imprägnieren.  Ursprung: Die Ziegelsteine sind aus Rückbauten in ganz Deutschland gewonnen und hochwertig aufbereitet.  Weitere Informationen: Verfügbare Farben: Gelb Format: Alte Reichsformatziegel Ursprung: Alte Ziegelsteine aus Rückbauten (keine Industriegebäude oder Stallungen) Menge pro m²: 52 - 54 Ziegelsteine Verfügbarkeit: Lagerware beträgt immer ca. 300.000 Ziegel Lieferung: Wir liefern Ihnen die Ziegelsteine deutschlandweit. Für genaue Lieferkosten hinterlassen Sie uns bitte Ihre PLZ oder eine Lieferadresse.  Bei der Anlieferung ist für Abladungstechnik zu sorgen. Sollte diese nicht vorhanden sein, können wir diese gegen eine Gebühr zur Verfügung stellen.  Eine Palette befasst ca. 320 Ziegelsteine und diese werden foliert geliefert, sodass diese aussen gelagert werden können.  Da es sich um gebrauchte Ware handelt, ist die Reklamationen und Gewährleistungen ausgeschlossen.  Zahlung: Die Zahlung ist über Vorkasse, Paypal (Käuferschutz), Kreditkarte und Giropay möglich.  Über restado: Wir sind Ihr Spezialist für Ziegelsteine im Reichsformat & Klosterformat in Deutschland. Wir haben mit mehreren Millionen alten Klinker den größten Bestand in Deutschland. Dadurch konnten wir bereits mehrere tausend Kunden zufrieden machen.  Fragen, Bestellung aufgeben oder Beratung: Sie benötigen eine individuelle Beratung zu den Ziegeln oder möchten eine Bestellung aufgeben? Telefon: 0711 400 990 97 E-Mail: [email protected]",Gebraucht,"1,29€ / Ziegelstein",1.500 Ziegelstein verfügbar,(1 Ziegelstein Mindestabnahme),Gebraucht,,{},1.29,1500.0,1.29,1500.0,"1,29€ / Ziegelstein",1.500 Ziegelstein verfügbar,1.0,5097600000.0,"['https://restado.de/wp-content/uploads/products/2020/05/20b5bf72-steine1-scaled.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/05/ac1022ae-steine4-scaled.jpg.webp']",Brick imperial format yellow,Coloured glass,Refractory bricks,Pr_20_93_52_73,Other,Other,Masonry walling units,59.0,0.0
1180,1180,28733,https://restado.de/baustoff/verblender-klinker-retro-sz-1008-wdf/,Verblender (Klinker) Retro SZ 1008 WDF,Fliesen & Steine,Naturstein,2023-01-09,1676764800000.0,"zu verkaufen sind 2 Paletten Verblender (Klinker) Retro SZ 1008 WDF Maße: 215x102x65 mm gelb, grau gerumpelt. (ca. 1350 Steine / ca. 19 qm) Klinker befinden sich in der Nähe von Rostock!",Neu,0€ (VB) Paketpreis,1.350 Stück verfügbar,(1.350 Stück Mindestabnahme),D-18311 Ribnitz-Damgarten,,{},0.0,1350.0,0.0,1350.0,0€ (VB) Paketpreis,1.350 Stück verfügbar,1.0,3542400000.0,[],Facing brick clinker Retro,Clinker,Refractory bricks,Pr_20_93_52_73,Other,Other,Other,41.0,0.0
2190,2190,120553,https://restado.de/baustoff/set-810-stck-incl-trasport-antik-klinker-mauer-ziegel-alte-back-steine-loft-garten-ruine-feldbrand/,Set 810 Stck. incl. Trasport Antik Klinker Mauer Ziegel alte Back S…,Rohbau,Mauerwerk,2023-01-09,,"originale historische Klinker.  Reichsformat ca. 25x12x6,5 cm   Aus dem Handrückbau eines alten bäuerlichen Gehöfts, um 1880, Region Merseburg, Sachsen-Anhalt.  Preis je Posten, 810 Steine, netto, Bei Selbstabholung ab Lager, Halle/ S.  Ein Stapler, zum Beladen, steht zur Verfügung.  Das Gesamtgewicht beträgt 3 to, für Abholungen mit 7,5 to LKW.  Individuelle Bestellmengen möglich.  Bezugnahme: Kl rt H²0 Bd Düb 02-23   Antik-Stein auch auf allen social media Kanälen, page: baustoffe-antik",Gebraucht,810€ / Paket,10 Paket verfügbar,(1 Paket Mindestabnahme),D-06120 Halle (Saale),,{},810.0,10.0,810.0,10.0,810€ / Paket,10 Paket verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/02/354b0bdc-kl-rt-h2o-bd-dueb-02-23.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/ff8ce349-kl-rt-h2o-bd-dueb-02-23-3.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/d5e6dfcb-buenning-ziegel-dach-und-wand-4.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/7e96582a-kl-rt-auf-ep-segrena-neu-2.2.23.jpg']",Set pieces . including Trasport Antique Clinker Wall Brick Old Back,Clinker,Refractory bricks,Pr_20_93_52_73,Furnishings,"Blocks, Panels, Fences, Bricks",Masonry walling units,,0.0
2210,2210,69338,https://restado.de/baustoff/ziegel-altstadt-rau/,Ziegel „Altstadt Rau“,Rohbau,Mauerwerk,2023-01-09,,"- Lehmziegel „Altstadt Rau“ -  Bei stärkerer Hitze gebrannt  Einzigartiges Farbspiel von leicht gelblich über Rot bis hin zu einem tiefen Schwarz  Jeder Ziegel handgefertigt  Die verspielten Texturen lassen vermuten, dass es sich um einen 200 Jahre alten Ziegel handelt.  Versand möglich  Schicken Sie uns Ihre Anfrage und wir beraten Sie gerne von der Auswahl über den Transport bis hin zum Einbau.",Gebraucht,"4,30€ / Stück",1.000 Stück verfügbar,(1 Stück Mindestabnahme),Gebraucht,,{},4.3,1000.0,4.3,1000.0,"4,30€ / Stück",1.000 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/02/64a15902-8214-4310-984c-6a1e83799691.jpg', 'https://restado.de/wp-content/uploads/products/2021/02/07f028d2-5643-49bc-bfeb-f2c23e62b094.jpg']",Brick “ Old Town Rau ”,Radon,Refractory bricks,Pr_20_93_52_73,Other,"Blocks, Panels, Fences, Bricks",Masonry walling units,,0.0
2222,2222,66986,https://restado.de/baustoff/backsteinklinker-ecke-antik/,Backsteinklinker Ecke „Antik“,Rohbau,Mauerwerk,2023-01-09,,"Beschreibung Ziegelriemchen / Verblender Eckmodule dem Rückbau restado ist der größte Anbieter von Riemchen in Deutschland mit über 2 Millionen Verblender.  Format der Riemchen: Reichsformat (gängiges Format): 25x6,5x2 cm Rückseite glatt, Frontseite antik  Das Format kann leicht abweichen (+/-1cm) Benötigte Menge: 1m² = 52-54 Verblender  Grundmaterial: Lehmziegel aus dem Rückbau & aufbereitet  Verwendung: Vielfältige Anwendungsmöglichkeiten wenn Sie Ihrem Appartement/Wohnung Haus einen Loft Style verpassen. Die Riemchen haben vielfältige Anwendungsmöglichkeiten und können mit handelsüblichen Fliesenkleber verklebt werden und anschließend mit Klinkermörtel verfugt werden.  Transport: Für die genauen Transportkosten, fragen Sie bitte mit Ihrer PLZ bei uns an.   Da es sich um gebrauchte Ware handelt, ist die Reklamationen und Gewährleistungen ausgeschlossen.  Informationen: Farbe: rot Format: Riemchen in Reichtsformat oder Normalformat Menge pro m²: 52 - 54 Ziegelsteine Verfügbarkeit: Lagerware beträgt immer ca. 2 Millionen Verblender Über restado: Wir sind der Spezialist für Ziegel, Ziegelriemchen und Verblender im Reichsformat & Klosterformat in Deutschland. Wir haben mit mehreren Millionen alten Klinker den größten Bestand in Deutschland. Dadurch bieten wir ein großes Sortiment und können jeden Tag hunderte von glücklichen Kunden generieren.  Weitere Fragen: Du benötigst eine individuelle Beratung zu den Ziegeln? Du kannst uns jederzeit erreichen: Telefon: 0711 400 990 97 E-Mail: [email protected]",Gebraucht,"8,30€ / Stück",5.000 Stück verfügbar,(1 Stück Mindestabnahme),Gebraucht,,"{""Länge (cm)"": ""18 cm"", ""Höhe (cm)"": ""15 cm"", ""Mauersteingruppe"": ""Backsteinklinker"", ""(Mauer-)Breite (cm)"": ""23 cm""}",8.3,5000.0,8.3,5000.0,"8,30€ / Stück",5.000 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2020/12/a0a4afaa-spaltholzriemchen_02-708x540-1.jpg', 'https://restado.de/wp-content/uploads/products/2020/12/8753b270-spaltholzriemchen_01-708x540-1.jpg', 'https://restado.de/wp-content/uploads/products/2020/12/6e80a364-backsteinklinker-ecke-antik_03.jpg', 'https://restado.de/wp-content/uploads/products/2020/12/54381005-backsteinklinker-ecke-antik_01.jpg', 'https://restado.de/wp-content/uploads/products/2020/12/fc0ca878-spaltholzriemchen_04-708x540-1.jpg']",Brick clinker corner “ antique ”,Clinker,Refractory bricks,Pr_20_93_52_73,Other,"Blocks, Panels, Fences, Bricks",Other,,0.0
2224,2224,66900,https://restado.de/baustoff/ziegelstein-reichsformat-rot/,Ziegelstein Reichsformat rot,Rohbau,Mauerwerk,2023-01-09,,"Beschreibung Ziegelsteine rot aus dem Rückbau Unsere Ziegelsteine stammen aus Rückbauprojekten aus ganz Deutschland und sind manuell aufbereitet und auf höchste Qualität geprüft. Mit diesen Ziegelsteinen können Sie ihr individuelles Projekt realisieren.  restado ist dabei als größte Anbieter von alten Ziegelsteinen in Deutschland Ihr Ansprechpartner. Variante der Ziegelsteine: 1. Variante: Reichsformat (gängiges Format): Breite x Tiefe x Höhe: 25cm x 12,5 x 6cm  Masse können leicht abweichen.  Benötigte Menge pro m²: 1m² = 52-54 Steine.  Anwendungsmöglichkeiten: Vielfältige Anwendungsmöglichkeiten für die alten Ziegel. Beispielsweise für die Aussen- und Innengestaltung wie Wände, Grillplätze oder Mauern. Gebrannte Steine und hauptsächlich winter-resistent, aber für den Außenbereich würden wir empfehlen diese zu imprägnieren.  Ursprung: Die Ziegelsteine sind aus Rückbauten in ganz Deutschland gewonnen und hochwertig aufbereitet.  Weitere Informationen: Verfügbare Farben: Rot  Format: Alte Reichsformatziegel Ursprung: Alte Ziegelsteine aus Rückbauten (keine Industriegebäude oder Stallungen) Menge pro m²: 52 - 54 Ziegelsteine Verfügbarkeit: Lagerware beträgt immer ca. 300.000 Ziegel Lieferung: Wir liefern Ihnen die Ziegelsteine deutschlandweit. Für genaue Lieferkosten hinterlassen Sie uns bitte Ihre PLZ oder eine Lieferadresse.  Bei der Anlieferung ist für Abladungstechnik zu sorgen. Sollte diese nicht vorhanden sein, können wir diese gegen eine Gebühr zur Verfügung stellen.  Eine Palette befasst ca. 320 Ziegelsteine und diese werden foliert geliefert, sodass diese aussen gelagert werden können.  Da es sich um gebrauchte Ware handelt, ist die Reklamationen und Gewährleistungen ausgeschlossen.  Zahlung: Die Zahlung ist über Vorkasse, Paypal (Käuferschutz), Kreditkarte und Giropay möglich.  Über restado: Wir sind Ihr Spezialist für Ziegelsteine im Reichsformat & Klosterformat in Deutschland. Wir haben mit mehreren Millionen alten Klinker den größten Bestand in Deutschland. Dadurch konnten wir bereits mehrere tausend Kunden zufrieden machen.  Fragen, Bestellung aufgeben oder Beratung: Sie benötigen eine individuelle Beratung zu den Ziegeln oder möchten eine Bestellung aufgeben? Telefon: 0711 400 990 97 E-Mail: [email protected]",Aufbereitet,"0,99€ / Stück",40.000 Stück verfügbar,(700 Stück Mindestabnahme),Aufbereitet,,"{""Mauersteingruppe"": ""Vollziegel""}",0.99,40000.0,0.99,40000.0,"0,99€ / Stück",40.000 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2020/12/5cfe259d-img_5197.jpg', 'https://restado.de/wp-content/uploads/products/2020/12/5a85caa4-img_5193.jpg']",Brick imperial format red,American red oak,Refractory bricks,Pr_20_93_52_73,Other,Other,Masonry walling units,,0.0
2421,2421,77660,https://restado.de/baustoff/antike-ziegelsteine-mauerziegel-klinker-rot/,Antike Ziegelsteine Mauerziegel Klinker rot Reichsformat Klosterfor…,Fassade,Fassadenverkleidung,2023-01-09,,"Sonderaktion: Nur für kurze Zeit: 0,94€ statt 1,29€.Antike Ziegelsteine Mauersteine rot aus dem RückbauUnsere Ziegelsteine stammen aus Rückbauprojekten aus Deutschland und sind händisch aufbereitet und geprüft. Mit diesen Ziegelsteinen können Sie ihr individuelles Projekt realisieren.restado ist der größte Anbieter von alten Ziegelsteinen in Deutschland und Ihr Ansprechpartner.Zwei Varianten der antiken Ziegelsteine:1. Variante: Reichsformat (gängiges Format):Breite x Tiefe x Höhe: 25cm x 12,5cm x 6,5cmErgiebigkeit: 52-54 Steine pro m²Härte: Hart2. Variante: Klosterformat:Breite x Tiefe x Höhe: 29cm x 13cm x 7cmErgiebigkeit: 40 Steine pro m²Härte: Mittel-HartMasse können leicht abweichen.Anwendungsmöglichkeiten:Die Ziegelsteine sind für den Außenbereich geeignet und frostsicher.Es existieren vielfältige Anwendungsmöglichkeiten für die alten Ziegel. Beispielsweise für die Aussen- und Innengestaltung wie Wände, Grillplätze oder Mauern.Die Steine sind mittel-hart gebrannt und winter-resistent. Daher sind diese auch für den Außenbereich, wie z.B. Ruinenmauern geeignet.Ursprung:Die Ziegelsteine sind aus Rückbauten in ganz Deutschland gewonnen und hochwertig, händisch aufbereitet.Lieferung:Die Versandkostenpauschale bis 3.000 Ziegelsteine beträgt 80€. Ab 3.000 Ziegelsteinen ist die Anlieferung kostenfrei.Bei der Anlieferung müssen Sie für die Abladung sorgen (z.b. händisch oder per Gabelstapler). Ab einer Bestellmenge von 1.500 Steinen kann diese zugebucht werden. Ab 5.000 Steinen ist die Abladung im Preis enthalten.Die Ziegelsteine und diese werden foliert geliefert, sodass diese aussen gelagert werden können.Es handelt sich um gebrauchte Ziegelsteine. Die Steine sind geprüft, können jedoch auch Nutzungsspuren wie z.B. Bruchspuren und Mörtelreste enthalten. Diese waren bis zu 150 Jahre in Gebäuden eingebaut und dadurch nicht mit neuen Steinen verglichen werden können. Jeder Stein erzählt eine einzigartige Geschichte und hat einen Charme.Zahlung:Die Zahlung ist über Vorkasse, Paypal (Käuferschutz), Kreditkarte und Giropay möglich.Weitere Informationen:Mischung aus verschiedenen Rot-TönenFormat: Alte Reichsformatziegel und KlosterformatUrsprung: Alte Ziegelsteine aus RückbautenMenge pro m²: 52 - 54 ZiegelsteineVerfügbarkeit: Lagerware beträgt immer ca. 300.000 ZiegelÜber restado:Wir sind Ihr Spezialist für Ziegelsteine im Reichsformat & Klosterformat in Deutschland. Wir haben mit mehreren Millionen alten Klinker den größten Bestand in Deutschland. Dadurch konnten wir bereits mehrere tausend Kunden zufrieden machen.Fragen, Bestellung aufgeben oder Beratung:Sie benötigen eine individuelle Beratung zu den Ziegeln oder möchten eine Bestellung aufgeben? Telefon: 0711 400 990 97E-Mail: [email protected]",Einwandfeier Zustand (rückgebaut & aufbereitet),"0,94€ / Stück",200.000 Stück verfügbar,(500 Stück Mindestabnahme),Einwandfeier Zustand (rückgebaut & aufbereitet),,"{""Material"": ""Klinker""}",0.94,200000.0,0.94,200000.0,"0,94€ / Stück",200.000 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2020/10/b43d3cf8-59-4.jpg', 'https://restado.de/wp-content/uploads/products/2020/10/874da9d2-59-1.jpg', 'https://restado.de/wp-content/uploads/products/2021/02/acfda669-67ea1c8e-3749-4375-a1f8-92898d16dd7f.jpeg']","Antique bricks , wall bricks , clinker , red , imperial format , monastery…",Roman concrete,Refractory bricks,Pr_20_93_52_73,Furnishings,"Blocks, Panels, Fences, Bricks",Furnishings,,0.0
2423,2423,77236,https://restado.de/baustoff/ziegelstein-backstein-klinker-gelb-reichsformat/,Ziegelstein Backstein Klinker Reichsformat gelb,Fassade,Fassadenverkleidung,2023-09-17,,"Sonderaktion: Nur für kurze Zeit. 30% günstiger.Ziegelsteine gelb Reichsformat aus dem RückbauUnsere Ziegelsteine stammen aus Rückbauprojekten aus Deutschland und sind händisch aufbereitet und auf höchste Qualität geprüft. Mit diesen Ziegelsteinen können Sie ihr individuelles Projekt realisieren.restado ist der größte Anbieter von alten Ziegelsteinen in Deutschland und Ihr Ansprechpartner.Breite x Tiefe x Höhe: 25cm x 12,5cm x 6,5cmErgiebigkeit: 52-54 Steine pro m²Härte: HartMaße können leicht abweichen.Anwendungsmöglichkeiten:Die Ziegelsteine sind für den Außenbereich geeignet und frostsicher.Es existieren vielfältige Anwendungsmöglichkeiten für die alten Ziegel. Beispielsweise für die Aussen- und Innengestaltung wie Wände, Grillplätze oder Mauern.Die Steine sind mittel-hart gebrannt und winter-resistent. Daher sind diese auch für den Außenbereich, wie z.B. Ruinenmauern geeignet.Ursprung:Die Steine sind aus Rückbauten in ganz Deutschland gewonnen und händisch aufbereitet.Lieferung:Wir liefern Ihnen die Ziegelsteine deutschlandweit kostenfrei. Eine Lieferung ausserhalb von Deutschland kann gegen Gebühr erfolgen.Bei der Anlieferung müssen Sie für die Abladung sorgen (z.b. händisch oder per Gabelstapler). Ab einer Bestellmenge von 1.500 Steinen kann diese zugebucht werden. Ab 5.000 Steinen ist die Abladung im Preis enthalten.Die Ziegelsteine und diese werden foliert geliefert, sodass diese aussen gelagert werden können.Es handelt sich um gebrauchte Ziegelsteine, welche von der Farbgebung abweichen und varieren können. Die Bilder sind Symbolbilder. Die Steine sind geprüft, können jedoch auch Nutzungsspuren wie z.B. Bruchspuren und Mörtelreste enthalten.Zahlung:Die Zahlung ist über Vorkasse, Paypal (Käuferschutz), Kreditkarte und Giropay möglich.Weitere Informationen:GelbFormat: Alte ReichsformatziegelUrsprung: Alte Ziegelsteine aus RückbautenMenge pro m²: 52 - 54 ZiegelsteineVerfügbarkeit: Lagerware beträgt immer ca. 300.000 ZiegelKundenbewertungen: Unzählige Kunden haben bereits positive Bewertungen abgegeben.Über restado:Wir sind Ihr Spezialist für Ziegelsteine im Reichsformat & Klosterformat in Deutschland. Wir haben mit mehreren Millionen alten Klinker den größten Bestand in Deutschland. Dadurch konnten wir bereits mehrere tausend Kunden zufrieden machen.Fragen, Bestellung aufgeben oder Beratung:Sie benötigen eine individuelle Beratung zu den Ziegeln oder möchten eine Bestellung aufgeben? Telefon: 0711 400 990 97E-Mail: [email protected]Die Ziegelsteine sind aus Rückbauten in ganz Deutschland gewonnen und hochwertig, händisch aufbereitet.",Gebraucht (rückgebaut & aufbereitet),"1,02€ / Stück",20.000 Stück verfügbar,(1.000 Stück Mindestabnahme),Gebraucht (rückgebaut & aufbereitet),,"{""Material"": ""Klinker""}",1.02,20000.0,1.02,20000.0,"1,02€ / Stück",20.000 Stück verfügbar,0.0,,[],Brick brick clinker imperial format yellow,Clinker,Refractory bricks,Pr_20_93_52_73,Other,Other,Masonry walling units,,0.0
2432,2432,67822,https://restado.de/baustoff/ziegelriemchen-berliner-herbstbunt/,Ziegelriemchen Berliner herbstbunt,Fassade,Fassadenverkleidung,2023-01-09,,"Berliner Mischung Hebstbunt   - Farbe: Gelb, Grün, Rosa, Rot, Braun Okerfarben, Purpur  - Format: Reichsformat, Handstrichziegelstein, raue Oberfläche.  - Maße: Länge 23,5-25,5cm; Höhe 6-6,7cm; Dicke 2,2-2,5cm  - Bedarf pro m²: 50 Stück  - Qualität: Hart gebrannt  - Preis: pro Stück 1,50 € Netto zzgl. 19 % MwSt.   - Produkteinheiten pro Packung: 26 Stk.  Lieferung auf Anfrage",Gebraucht,"39,25€ / Paket",50 Paket verfügbar,(1 Paket Mindestabnahme),Gebraucht,,"{""Material"": ""Ziegelstein""}",39.25,50.0,39.25,50.0,"39,25€ / Paket",50 Paket verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/01/20d06bc7-ziegelriemchen-berlinermischung-herbstbunt-hart-01-01.jpg', 'https://restado.de/wp-content/uploads/products/2021/01/55be7710-ziegelriemchen-berlinermischung-herbstbunt-hart-01-04.jpg']",Brick strips Berliner autumn colorful,Decorative aggregates,Refractory bricks,Pr_20_93_52_73,Other,"Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,0.0
