,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
6,6,111621,https://restado.de/baustoff/ture-hoerman/,Ture Hörman,Türen & Zargen,Außentüren,2023-01-09,," der ganze Satz. Griff, Gummi, Rahmen, Stahltür  Alles ist in den Bildern beschrieben",Neu,650€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-76534 Baden-Baden,Hörmann,"{""Material Türblatt"": ""Stahl"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Umfassungszarge""}",650.0,1.0,650.0,1.0,650€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/08/f6ee1207-0da9e8de-bfc6-4f0a-a94f-a350643ece2a.png'],Ture Hörman,Tufa,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,,0.0
25,25,91449,https://restado.de/baustoff/sparfenster-de/,Sparfenster.de,Türen & Zargen,Außentüren,2023-02-20,,"Massive Holz-Haustür Wegen Fehlbestellung günstig abzugeben (Originalpreis 1.255,41 €) Einbaumaß 2,10m Höhe / 1,09m Breite Farbe: RAL 6009 / Tannengrün Öffnungsrichtung: Scharniere rechts(von außen gesehen) / öffnet nach außen Weitere Details siehe Foto",Neu,850€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-60488 Frankfurt am Main,Sparfenster.de,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""siehe Foto"", ""Oberfläche Türblatt"": ""Massivholz"", ""Material Türzarge"": ""Holz"", ""Türzargen-Art"": ""Umfassungszarge"", ""Element-Breite"": ""1,09 m"", ""Element-Höhe"": ""2,10 m"", ""Schlossart"": ""Profilzylinder"", ""Oberfläche Türzarge"": ""Massivholz"", ""Farbe Türblatt"": ""Tannengrün (RAL 6009)"", ""Farbe Türzarge"": ""Tannengrün RAL 6009""}",850.0,1.0,850.0,1.0,850€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/02/30a2f4e9-tuer-k11_5-scaled.jpg'],Sparfenster.de,Poplar,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,,0.0
299,299,82702,https://restado.de/baustoff/jeldwen-optima-30/,Jeldwen Optima 30,Türen & Zargen,Zimmertüren,2023-01-09,, ,Neu,115€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-76530 Baden-Baden,Jeldwen,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""CPL"", ""Material Türzarge"": ""Holz"", ""Schlossart"": ""Buntbart"", ""Farbe Türblatt"": ""Ultraweiß Matt""}",115.0,1.0,115.0,1.0,115€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/09/306a1b3f-989b9f9e-760a-48a5-a9bd-afa90e8e4107.jpeg'],Jeldwen Optima,Japanese larch,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,,0.0
510,510,53298,https://restado.de/baustoff/velux-flachdachfenster-cfp/,"KORAMIC Hohlfalz Ton-Dunstrohrsystem, Toscana",Fenster,Dachfenster,2023-01-09,1677369600000.0,"Verkaufe neue KORAMIC Hohlfalz Ton-Dunstrohrsystem, Durchmesser 125 mm. Modell: Hohlfalz Farbe: Toscana",Neu,80€ / Stück,5 Stück verfügbar,(1 Stück Mindestabnahme),D-63791 Karlstein am Main,,{},80.0,5.0,80.0,5.0,80€ / Stück,5 Stück verfügbar,1.0,4147200000.0,"['https://restado.de/wp-content/uploads/products/2021/03/8fad32d9-20200321_112242-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/03/dbb3a79a-20200321_112424-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/03/c168ec08-20200321_112441-scaled.jpg']","Hohlfalz Ton-Dunstrohrsystem , Toscana",Encaustic,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,48.0,0.0
996,996,81611,https://restado.de/baustoff/randsteine/,Randsteine,Fliesen & Steine,Betonwerkstein,2023-07-14,1694044800000.0,Maße 1000x80x40(sichtbar)mm 860x120x100mm,Gebraucht,3€ (VB) / lfm,210 lfm verfügbar,(1 lfm Mindestabnahme),D-40213 Düsseldorf,,{},3.0,210.0,3.0,210.0,3€ (VB) / lfm,210 lfm verfügbar,1.0,4752000000.0,['https://restado.de/wp-content/uploads/products/2021/09/12e41437-img_2698-scaled.jpg'],Randsteine,Gneiss,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,55.0,0.0
1043,1043,120006,https://restado.de/baustoff/granitfliesen-30x30x1/,Granitfliesen 30x30x1,Fliesen & Steine,Naturstein,2023-01-09,1678492800000.0,Übermenge einer Sanierungsmaßnahme,Neuwertig,37€ (VB) / m²,100 m² verfügbar,(50 m² Mindestabnahme),D-54441 Mannebach,,"{""Farbe"": ""granit"", ""Bezeichnung"": ""Granit"", ""Länge (cm)"": ""30"", ""Breite (cm)"": ""30"", ""Dicke (cm)"": ""1"", ""Oberfläche"": ""poliert"", ""Kalibriert"": ""Nein""}",37.0,100.0,37.0,100.0,37€ (VB) / m²,100 m² verfügbar,1.0,5270400000.0,"['https://restado.de/wp-content/uploads/products/2023/02/64413b43-platten03.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/f5cbc099-platten02.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/13ac94f6-platten01.jpg']",Granitfliesen xx,Granule,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,61.0,0.0
1088,1088,70417,https://restado.de/baustoff/marmorkies-dolomitgestein/,"Marmorkies, Dolomitgestein",Fliesen & Steine,Naturstein,2023-01-09,1678752000000.0,Beste Qualität zum fairen Preis   Zierkies Dolomitgestein- Made in Spain  Farbe: schokolade  Oberfläche: rund  1. Wahl - Frostsicher- Zertifiziert- Tausalzbeständig  Körnung: 30/60mm  Palette: 50 Gebinde a 20 kg = 1000 kg   Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.,Neu,"1,35€ / kg",100 kg verfügbar,(1 kg Mindestabnahme),D-01558 Grossenhain,,{},1.35,100.0,1.35,100.0,"1,35€ / kg",100 kg verfügbar,1.0,5529600000.0,['https://restado.de/wp-content/uploads/products/2021/02/965613f4-s-l500-8.jpg'],"Marmorkies , Dolomitgestein",Dolomite,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,64.0,0.0
1116,1116,69834,https://restado.de/baustoff/terassensteine/,Terassensteine,Fliesen & Steine,Naturstein,2023-01-09,1676073600000.0,"Pflastersteine 15x15cm x 6cm und Basaltsteine in grau. Aktuell verlegt, müssen abgeholt werden",Gebraucht,0€ / m²,50 m² verfügbar,(5 m² Mindestabnahme),D-45257 Essen,,{},0.0,50.0,0.0,50.0,0€ / m²,50 m² verfügbar,1.0,2851200000.0,['https://restado.de/wp-content/uploads/products/2021/02/1ba60d63-img_7561.jpg'],Terassensteine,Terne-coated steel,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,33.0,0.0
1143,1143,67928,https://restado.de/baustoff/ruedersdorfer-sandsteine/,Rüdersdorfer-Sandsteine,Fliesen & Steine,Naturstein,2023-01-09,1677456000000.0,"Rüdersdorfer-Sandstein  Preis 2,40 €/Stück inkl.MwSt.  Mindestabnahme nach Absprache    VERSANDKOSTEN NACH ABSPRACHE/VEREINBARUNG ",Gebraucht,"2,40€ / Stück",500 Stück verfügbar,(1 Stück Mindestabnahme),Gebraucht,,{},2.4,500.0,2.4,500.0,"2,40€ / Stück",500 Stück verfügbar,1.0,4233600000.0,"['https://restado.de/wp-content/uploads/products/2021/01/a931aaea-00176_produktbild_165-203_700x700.jpg', 'https://restado.de/wp-content/uploads/products/2021/01/ef14abe5-00177-1_produktbild_165-203_700x700.jpg']",Rüdersdorfer-Sandsteine,Clinker,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,49.0,0.0
1156,1156,58119,https://restado.de/baustoff/wellensteine/,Wellensteine,Fliesen & Steine,Naturstein,2023-01-09,1677628800000.0, ,Neuwertig,3€ (VB) / m²,100 m² verfügbar,(10 m² Mindestabnahme),D-10318 Berlin,,{},3.0,100.0,3.0,100.0,3€ (VB) / m²,100 m² verfügbar,1.0,4406400000.0,"['https://restado.de/wp-content/uploads/products/2020/08/d17c4e26-20200820_100827_resized-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2020/08/36a1f501-20200820_104324_resized-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2020/08/1b1a8e1f-20200820_100844_resized-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2020/08/5ee9d62d-20200820_104326_resized-scaled.jpg']",Wellensteine,Dolomite,Prie-dieux,Pr_40_50_12_67,Other,Other,Other,51.0,0.0
