,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1073,1073,77502,https://restado.de/baustoff/marmor-7m%c2%b2-mosaike-platten/,Marmor 7m² Mosaike & Platten,Fliesen & Steine,Naturstein,2023-01-09,1676764800000.0,"Preis gilt bei Abnahme der Gesamtmenge. Nur Mosaike 80 Euro. Nur Platten 100 Euro.  Hochwertiger Marmor der Firma Sölker Marmor, bestehend aus verschiedenen Größen. Das Badfoto zeigt das Projekt, aus dem der Marmor übrig ist.  * ca. 60 Platten in 400*200*20 mm, 1 Seite poliert >> ca. 5m²  * ca. 180 Mosaike in 70*70*10 mm Natur >> Ca. 1 m² (auf einem Foto sieht man 40 Mosaike abgezählt im Verhältnis zur Gesamtmenge).  Bei Fragen gerne melden...  Marmor kann nach vorheriger Terminabsprache in Berlin Heiligensee besichtigt und abgeholt werden.  Hierbei handelt es sich ausdrücklich um Privatverkauf, kein Gewerbe!",Neu,25€ (VB) / m²,7 m² verfügbar,(3 m² Mindestabnahme),D-13503 Berlin,Sölker,{},25.0,7.0,25.0,7.0,25€ (VB) / m²,7 m² verfügbar,1.0,3542400000.0,['https://restado.de/wp-content/uploads/products/2021/06/bd36f394-image_3f01fbdd-570f-4094-afce-e5384d79c757-scaled.jpg'],Marble m² mosaics & slabs,Mosaic glass,Mosaic tiles,Pr_35_93_96_53,"Roof, Slabs, Stairs",Other,Masonry walling units,41.0,0.0
1146,1146,67780,https://restado.de/baustoff/original-deutscher-terrakotta-ziegel-mosaikboden-2/,Original deutscher Terrakotta / Ziegel Mosaikboden,Fliesen & Steine,Naturstein,2023-06-26,1693267200000.0,"Original deutscher Terrakotta/ Ziegel Mosaikboden (gereinigt)  - 3,5 – 4 cm Dick - 3 Sorten Terrakottaplatten - Fläche auf dem Foto etwa 140 cm x 140 cm   Versandkosten nach Absprache",Gebraucht,360€ / Paket,400 Paket verfügbar,(1 Paket Mindestabnahme),Gebraucht,,{},360.0,400.0,360.0,400.0,360€ / Paket,400 Paket verfügbar,1.0,5529600000.0,"['https://restado.de/wp-content/uploads/products/2021/01/f3a1e800-img_4779.jpg', 'https://restado.de/wp-content/uploads/products/2021/01/422f6722-img_4776.jpg', 'https://restado.de/wp-content/uploads/products/2021/01/69ed6a3f-img_4779.jpg', 'https://restado.de/wp-content/uploads/products/2021/01/3da4d5a4-img_4777.jpg', 'https://restado.de/wp-content/uploads/products/2021/01/2a210cdf-img_4776.jpg']",Original German terracotta/brick mosaic floor,Mosaic glass,Mosaic tiles,Pr_35_93_96_53,"Roof, Slabs, Stairs","Floors, Ceiling",Masonry walling units,64.0,0.0
1152,1152,60149,https://restado.de/baustoff/original-deutscher-terrakotta-ziegel-mosaikboden/,Original deutscher Terrakotta / Ziegel Mosaikboden,Fliesen & Steine,Naturstein,2023-01-09,1676851200000.0,"Original deutscher Terrakotta/ Ziegel Mosaikboden 3,5 – 4 cm Dick 3 Sorten Terrakottaplatten Fläche auf dem Foto etwa 140 cm x 140 cm Preis pro Mosaik Siehe Bilder gereinigt: 300 € inkl. MwSt. VERSANDKOSTEN NACH ABSPRACHE/VEREINBARUNG",Gebraucht,300€ / Stück,400 Stück verfügbar,(1 Stück Mindestabnahme),D-14641 Retzow,,"{""Farbe"": ""terrakotta"", ""Länge (cm)"": ""140"", ""Breite (cm)"": ""140"", ""Dicke (cm)"": ""3,5 - 4""}",300.0,400.0,300.0,400.0,300€ / Stück,400 Stück verfügbar,1.0,3628800000.0,[],Original German terracotta/brick mosaic floor,Mosaic glass,Mosaic tiles,Pr_35_93_96_53,"Roof, Slabs, Stairs","Floors, Ceiling",Masonry walling units,42.0,0.0
1293,1293,58803,https://restado.de/baustoff/originale-historische-gruenderzeit-fliesen-blue-heaven/,Originale Historische Gründerzeit-Fliesen – „Blue Heaven“,Fliesen & Steine,Fliesen,2023-01-09,,"Sehr gut erhalten Originale Historische Fliesen aus der Zeit von 1870 bis 1920. Ursprünglich aus einer Gründerzeit-Villa in Wien. Die Fliesen sind gereinigt und können unmittelbar weiterverwendet werden. 17x17x 1,8cm",Gebraucht,20€ / Stück,30 Stück verfügbar,(10 Stück Mindestabnahme),AT-1020 Vienna,,"{""Farbe"": ""Blau, weiß"", ""Bezeichnung"": ""Feinsteinzeug"", ""Länge (cm)"": ""17"", ""Breite (cm)"": ""17"", ""Dicke (mm)"": ""18""}",20.0,30.0,20.0,30.0,20€ / Stück,30 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/09/31ab6559-tile-blue-heaven-0-scaled.jpg'],Original historical Wilhelminian style tiles – “ Blue Heaven ”,Mosaic glass,Mosaic tiles,Pr_35_93_96_53,Other,Other,Other,,0.0
1375,1375,7718,https://restado.de/baustoff/mosaik-fliesen-blau-5x5-cm-2/,Mosaik Fliesen Blau 5x5 cm,Fliesen & Steine,Fliesen,2023-01-09,,"neu und original Verpackt, Restbestand Villeroy & Boch insgesamt 3 m² = 3 Pakete Einzelabnahme möglich",Neu,36€ / m²,3 m² verfügbar,(inkl. 19% MwSt.),Neu,,{},36.0,3.0,36.0,3.0,36€ / m²,3 m² verfügbar,0.0,,[],Mosaic tiles blue x cm,Mosaic glass,Mosaic tiles,Pr_35_93_96_53,Other,Other,Other,,0.0
1394,1394,3501,https://restado.de/baustoff/mosaik-fliesen-jasba-terrano-5957h-3/,Mosaik fliesen Jasba Terrano 5957H,Fliesen & Steine,Fliesen,2023-01-09,,"Bodenfliese Wandfliese ""Mosaik"" Jasba Terrano 5957HFarbe: Steingrau Insgesamt 10 Kartons dieser schönen Mosaikfliesen abzugeben.je Karton 10 bahnen a 1 qm insgesamt also 10 qm Fliesen Lagen ca 2 Jahre in einem trockenen Kellerraum",Neu,20€ (VB) / piece,1 piece verfügbar,(1 piece Mindestabnahme),24 Monate Gewährleistung,,{},20.0,1.0,20.0,1.0,20€ (VB) / piece,1 piece verfügbar,0.0,,[],Mosaic tiles Jasba Terrano,Mosaic glass,Mosaic tiles,Pr_35_93_96_53,Other,Other,Other,,0.0
1395,1395,3500,https://restado.de/baustoff/mosaik-fliesen-jasba-terrano-5957h-2/,Mosaik fliesen Jasba Terrano 5957H,Fliesen & Steine,Fliesen,2023-01-09,,"Bodenfliese Wandfliese ""Mosaik"" Jasba Terrano 5957HFarbe: Steingrau Insgesamt 10 Kartons dieser schönen Mosaikfliesen abzugeben.je Karton 10 bahnen a 1 qm insgesamt also 10 qm Fliesen Lagen ca 2 Jahre in einem trockenen Kellerraum",Neu,20€ (VB) / piece,1 piece verfügbar,(1 piece Mindestabnahme),24 Monate Gewährleistung,,{},20.0,1.0,20.0,1.0,20€ (VB) / piece,1 piece verfügbar,0.0,,[],Mosaic tiles Jasba Terrano,Mosaic glass,Mosaic tiles,Pr_35_93_96_53,Other,Other,Other,,0.0
1403,1403,1177,https://restado.de/baustoff/mosaik-fliesen/,Mosaik Fliesen,Fliesen & Steine,Fliesen,2023-01-09,,"Einsatzbereich: Aussenbereich, Innenbereich, Boden, WandVerlegempfehlung: Bad, KücheStärke: 6mmFarbe: Cotto, Weiss, BeigeAbtriebsklasse: 3Eigenschaften: NetzgeklebtFrostsicher: JaGewicht pro qm2: 8kg",,30€ / m²,1 m² verfügbar,(1 m² Mindestabnahme),,,{},30.0,1.0,30.0,1.0,30€ / m²,1 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2013/08/Foto-1-450x336.webp'],Mosaic tiles,Mosaic glass,Mosaic tiles,Pr_35_93_96_53,Other,Other,Glass blocks and panels,,0.0
1409,1409,106132,https://restado.de/baustoff/biberschwanzziegel-6-eck-schnitt/,"Biberschwanzziegel, 6-Eck Schnitt",Dach,Dacheindeckung,2023-01-09,,"Verschiedene Ziegel vorhanden, bei Interesse einfach nachfragen",Neu,1€ (VB) / Stück,300 Stück verfügbar,(1 Stück Mindestabnahme),D-91126 Rednitzhembach,Koramic,"{""Oberfläche"": ""Natur"", ""Art"": ""Firstziegel, Lüfter....""}",1.0,300.0,1.0,300.0,1€ (VB) / Stück,300 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/05/6168d51c-20220312_132229_hdr.jpg'],"Plain tiles , hexagonal cut",Mosaic glass,Mosaic tiles,Pr_35_93_96_53,Other,"Blocks, Panels, Fences, Bricks","Non-rigid sheet, mat and strip covering and finish products",,0.0
2539,2539,89202,https://restado.de/baustoff/41-qm-mosaikparkett-wuerfel-8-mm-verlegeelement-buche/,41 qm Mosaikparkett Würfel 8 mm Verlegeelement Buche,Innenausbau,Parkett,2023-01-09,,"41 qm Mosaikparkett Würfel 8 mm Verlegeelement Buche ungedämpft Natur/Select Lamellengröße 8 x 22,86 x 160 mm, Paket a 4,10 qm 10 Stk. 4,10 x 100,00, Neuware",Neu,902€ Paketpreis,41 m² verfügbar,(41 m² Mindestabnahme),D-54589 Stadtkyll,,{},902.0,41.0,902.0,41.0,902€ Paketpreis,41 m² verfügbar,0.0,,[],sqm mosaic parquet cube mm installation element beech,Beech,Mosaic tiles,Pr_35_93_96_53,Other,Other,Other,,0.0
