,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1469,1469,118461,https://restado.de/baustoff/daemmung-bauder-preis-reduziert/,Dämmung-BAUDER Preis reduziert,Dach,Dachdämmung,2023-01-09,1673654400000.0,,,,,,,,,,,,,,,1.0,432000000.0,"['https://restado.de/wp-content/uploads/products/2023/01/698ebb2c-ff89-4431-b96d-6080d3edadee.jpeg', 'https://restado.de/wp-content/uploads/products/2023/01/dd32ad19-img_0514-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/01/376f7f87-img_0514-scaled.jpeg']",Insulation-BAUDER price reduced,Lightweight insulating concrete,Loose insulation,Pr_25_31_48,Other,Other,Other,5.0,
1470,1470,118450,https://restado.de/baustoff/daemmung-bauder/,Dämmung-BAUDER,Dach,Dachdämmung,2023-01-09,1673481600000.0,,,,,,,,,,,,,,,1.0,259200000.0,"['https://restado.de/wp-content/uploads/products/2023/01/8549fa9b-4f4c-4ee8-a8e5-8f9920503702.jpeg', 'https://restado.de/wp-content/uploads/products/2023/01/29d9fa16-413b-4380-b2e0-de98c8116852.jpeg']",Insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,3.0,
1489,1489,91334,https://restado.de/baustoff/daemmung-4/,Dämmung,Dach,Dachdämmung,2023-01-09,, ,Neu,24€ (VB) / m²,160 m² verfügbar,(20 m² Mindestabnahme),D-47551 Bedburg-Hau,Bauder,"{""Serie"": ""PIR WLS23"", ""Verwendungszweck"": ""Flachdachdämmung"", ""Lieferform"": ""Platte"", ""Länge"": ""2400"", ""Brandverhalten"": ""nicht brennbar"", ""Breite"": ""1200"", ""Dicke"": ""100 mm""}",24.0,160.0,24.0,160.0,24€ (VB) / m²,160 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/02/eca94b83-screenshot_20220216_114053_com.android.gallery3d.jpg'],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
1523,1523,13287,https://restado.de/baustoff/daemmung/,Dämmung,Dach,Dachdämmung,2023-01-09,,Dämmung von climowool in Stärke 220mm  Ca 75qm zur selbstabholung,Neu,675€ Paketpreis,75 m² verfügbar,(75 m² Mindestabnahme),Neu,,{},675.0,75.0,675.0,75.0,675€ Paketpreis,75 m² verfügbar,0.0,,[],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
1525,1525,7285,https://restado.de/baustoff/dmmung/,Dämmung,Dach,Dachdämmung,2023-01-09,,isover ultimate  klemmfilz 160 17 Rollen,Neu,34€ / Stück,17 Stück verfügbar,(inkl. 19% MwSt.),Neu,,{},34.0,17.0,34.0,17.0,34€ / Stück,17 Stück verfügbar,0.0,,[],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
2273,2273,73638,https://restado.de/baustoff/daemmung-3/,Dämmung,Rohbau,Dämmung,2023-01-09,,Dämmplatten   88 Platten eingeschweißt uns trocken. Auf 4 Paletten verteilt. 100x60x16  Sowie 4 Pakete Isover fassadendämmung Beschreibung Siehe Foto.,Neuwertig,200€ (VB) Paketpreis,5 Paket verfügbar,(5 Paket Mindestabnahme),D-57399 Kirchhundem,,{},200.0,5.0,200.0,5.0,200€ (VB) Paketpreis,5 Paket verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/04/d5bb0187-889e0314-2fd0-4d05-85b3-01afee0d1ef6-scaled.jpeg'],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
2366,2366,78214,https://restado.de/baustoff/xps-daemmung-120mm/,XPS Dämmung 120mm,Fassade,Fassadendämmung,2023-01-09,1688428800000.0,Dämmplatten XPS   Stufenfalz  120mm Dick 600mm Breit  1250mm Lang   weitere Informationen siehe Datenblatt   Für Rückfragen stehe ich gerne zur Verfügung,Neu,21€ (VB) / m²,600 m² verfügbar,(100 m² Mindestabnahme),D-87600 Kaufbeuren,,{},21.0,600.0,21.0,600.0,21€ (VB) / m²,600 m² verfügbar,1.0,15206400000.0,['https://restado.de/wp-content/uploads/products/2021/07/879605c0-be522092-7ca4-4cb4-9323-0cc6ef0a94a6-scaled.jpeg'],insulation mm,Insulating glass,Loose insulation,Pr_25_31_48,Other,Other,Walling units,176.0,0.0
2454,2454,56602,https://restado.de/baustoff/isolierung-2/,Isolierung,Fassade,Fassadenverkleidung,2023-01-09,, ,Neuwertig,5€ (VB) Paketpreis,5 Stück verfügbar,(5 Stück Mindestabnahme),D-69214 Eppelheim,,{},5.0,5.0,5.0,5.0,5€ (VB) Paketpreis,5 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/07/7d0c231a-isolierung.jpg'],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
2963,2963,13389,https://restado.de/baustoff/daemmung-2/,Dämmung,Innenausbau,Sonstiges,2023-07-08,,"Verkaufe Dämmwolle ,die auf der Baustelle übrig geblieben ist.  Eine Rolle 50mm,zwei Rollen 100mm und fünf Rollen 240 mm!!! Nur an Selbstabholer!!!",Neu,20€ (VB) / Stück,8 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},20.0,8.0,20.0,8.0,20€ (VB) / Stück,8 Stück verfügbar,0.0,,[],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
3782,3782,138092,https://restado.de/baustoff/daemmung-6/,Dämmung,Dach,Dachdämmung,2023-09-06,, ,Neu,350€ (VB) / Palette,,"(inkl. 19% MwSt., falls anwendbar)",D-49205 Hasbergen,,"{""Serie"": ""Ultratherm"", ""Verwendungszweck"": ""Aufsparrendämmung"", ""Wärmeleitgruppe"": ""042"", ""Breite"": ""60"", ""Länge"": ""178"", ""Dicke"": ""100 mm""}",350.0,,350.0,,,,0.0,,['https://restado.de/wp-content/uploads/products/2023/10/479734a6-img_0748-450x338.webp'],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,
3846,3846,136003,https://restado.de/baustoff/prima-daemmschuettung/,Prima Dämmschüttung,Rohbau,Dämmung,2023-08-16,,Es handelt sich um 1 nahezu vollständigen Sack unbenutzter loser Dämmschüttung der Firma prima. Blieb beim Bau übrig und wurde danach abgefüllt in einen anderen Sack der Firma Prima,Neuwertig,1€ / Stück,,"(inkl. 19% MwSt., falls anwendbar)",D-72336 Balingen,,{},1.0,,1.0,,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/09/4b03f48b-prima-daemmschuettung-100-l.jpg', 'https://restado.de/wp-content/uploads/products/2023/09/bb601726-image_db157c3d-2623-4037-af5a-5e38ffd6c1c7-scaled.jpg']",Great insulation fill,Insulating concrete,Loose insulation,Pr_25_31_48,Other,"Covering, Finish",Unit covering and finish products,,
3865,3865,130680,https://restado.de/baustoff/daemmung-5/,Dämmung,Fassade,Fassadendämmung,2023-09-23,,Verlaufen 22 Pakete 140mm dämmung mit den Massen 100×50 cm,Neu,374€ Paketpreis,,"(inkl. 19% MwSt., falls anwendbar)",D-70435 Stuttgart,,"{""Anwendungsbereich"": ""Vollwärmeschutz"", ""Wärmeleitgruppe"": ""032"", ""Dämmstärke"": ""140 mm""}",374.0,,374.0,,,,0.0,,['https://restado.de/wp-content/uploads/products/2023/07/90d719f0-20230707_195345-scaled.jpg'],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,
