,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
852,852,26205,https://restado.de/baustoff/pvc/,PVC,Fenster,Aussenfenster,2023-01-09,1678147200000.0,"NEU - Unverpackt - nur das 2-flügeliges Fenster wurde eingebaut, das ist auch nicht zu verkaufen - hab aber ein anderes unverpacktes 2-fach-verglast Alle Fenster und Balkontür besitzen elektronische Rolladen Alle Fenster und Balkontür werden mit einer Fernbedienung gesteuert Balkontür und Doppelflügelfenster haben einen integriertes Fliegennetz Fenster im Stück - 2250x1450 + 235 Kasten Balkontür - 90x2145 + 235 Kasten Fenster 2-flüglig - 2400x1345 + 235 Kasten 1 Fenster - 1300x1245 + 235 Kasten 2 Fenster - 1450x1340 + 235 Kasten 3 Fenster - 1450x1340 + 235 Kasten Preis pro Fenster 550 - 700€ Preid Balkontür 850€ Preis insgesamt 4000€ Selbstabholen oder nach Bedarf zuschicken Aus privaten Gründen muss ich meine grad gelieferten Fenster verkaufen. WEITERE BILDER FOLGEN!!!!",Neu,750€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-33602 Bielefeld,,{},750.0,1.0,750.0,1.0,750€ (VB) / Stück,1 Stück verfügbar,1.0,4924800000.0,[],,Yew,Fans,Pr_65_67_29,Other,Other,Other,57.0,0.0
1634,1634,83600,https://restado.de/baustoff/wc-5/,WC,Haustechnik & Sanitär,Sanitär,2023-01-09,,"Zwei WC's zu verkaufen, WC Sitze schon vergilbt (Neupreis bezieht sich auf WC ohne Sitz), können aber gerne mitgenommen werden. WC selbst in einem einwandfreien Zustand. Nur für Selbstabholer. Neupreis des Serientyp's 180€.",Neuwertig,50€ / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-10785 Berlin,Keramag,"{""Farbe"": ""Weiß"", ""Gegenstand"": ""WC""}",50.0,2.0,50.0,2.0,50€ / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/e9917ab4-bildschirmfoto-2021-10-12-um-11.52.34.png'],,Yew,Fans,Pr_65_67_29,Other,Other,Other,,0.0
1641,1641,81990,https://restado.de/baustoff/oeg/,OEG,Haustechnik & Sanitär,Sanitär,2023-01-09,,Firma wurde aufgelöst deswegen werden neu Produkte verkauft!! WC-Sitz aus hochwertigem Thermoplast mit hoher Lebensdauer. Mit Soft Close Funktion gleitet er wie von Zauberhand automatisch und leise auf die Keramik zurück. Diese robuste Ausführung ist durch die Nylonmuttern bei Bedarf sehr schnell und einfach zu wechseln. Der Sitz passt auf die meisten WC-Formen und ist durch die weiße Farbgebung in vielen Umgebungen einsetzbar.,Neu,25€ / Stück,15 Stück verfügbar,(1 Stück Mindestabnahme),D-06749 Bitterfeld-Wolfen,OEG,"{""Farbe"": ""Weiß"", ""Serie"": "" WC-Sitz mit Soft Close Funktion"", ""Gegenstand"": ""WC-Sitz""}",25.0,15.0,25.0,15.0,25€ / Stück,15 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/09/24fe9b0e-c42904ea-8ec2-49b0-b0b8-2de8b131158e.jpeg'],,Yew,Fans,Pr_65_67_29,Other,Other,Other,,0.0
1734,1734,65180,https://restado.de/baustoff/wc-4/,WC,Haustechnik & Sanitär,Sanitär,2023-01-09,1684281600000.0,"Tiefspüler mit Rohranschluß in den Boden, Ausstellungsstück (nie benutzt),Der Artikel befindet im Keller. Samstagskunden: Vorher bitte melden, da der Keller Samstags zu ist.  Material: Keramik Farbe: beige (kaschmir) Baujahr: 2000 Höhe: 85,00 cm Breite: 34,00 cm Länge/Tiefe: 70,00 cm Gewicht: 35,00 kg  Lieferung nach Absprache.",Gebraucht,70€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},70.0,1.0,70.0,1.0,70€ / Stück,1 Stück verfügbar,1.0,11059200000.0,,,Yew,Fans,Pr_65_67_29,Other,Other,Other,128.0,0.0
1771,1771,49622,https://restado.de/baustoff/wc/,WC,Haustechnik & Sanitär,Sanitär,2023-01-09,,"Maße ca. 0,57 x 0,37 [m]",Gebraucht,50€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-70599 Stuttgart,,"{""Farbe"": ""Weiß"", ""Gegenstand"": ""WC""}",50.0,1.0,50.0,1.0,50€ (VB) / Stück,1 Stück verfügbar,0.0,,[],,Yew,Fans,Pr_65_67_29,Other,Other,Other,,0.0
2330,2330,5528,https://restado.de/baustoff/selbstbohrende-fassadenbauschraube-mit-sechskantkopf-und-dichtscheibe-faba-typ-a-65-x-75/,SELBSTBOHRENDE FASSADENBAUSCHRAUBE MIT SECHSKANTKOPF UND DICHTSCHEI…,Rohbau,Sonstiges,2023-02-10,1686441600000.0,"Herstellerbeschreibung Dichtscheibe mit witterungsbeständiger EPDM-Dichtung Für Verschraubungen von Stahlprofilen, Aluminiumprofilen, Kunststofftafeln, Faserzementtafeln, Holztafeln und Sandwichelementen auf Stahlunterkonstruktionen Aluminiumunterkonstruktionen Holzunterkonstruktionen Werkstoff Edelstahl A2 OberflächeVerzinkt Werkstoff Dichtscheibe Edelstahl A2 Werkstoff Dichtung Ethylen-Propylen-Dien-Terpolymer-Kautschuk-EPDM Nenndurchmesser 6,5 mm Länge 75 mm Kopfhöhe 4,5 mm Scheibendurchmesser 16 mm Scheibendicke 3,6 mm Außenantrieb SW3/8 Antriebart Sechskant Kopfform Sechskantkopf Breite:    Höhe:    Länge/Tiefe:  7,50 cm Gewicht / Stk.:    Durchm.:  0,65 cm Baujahr:   Material:  EdelstahlA2verzinkt,DichtungEthylen-Propylen-Dien-Terpolymer-Kautschuk-EPDM Farbe:   Herkunft:  Gewerbe Neupreis: 491,00€ Verfügbar ab: sofort", neuwertig,122.320€ Paketpreis,880 Stk. verfügbar,(880 Stk. Mindestabnahme),neuwertig,,{},122320.0,880.0,122320.0,880.0,122.320€ Paketpreis,880 Stk. verfügbar,1.0,10454400000.0,[],,Yew,Fans,Pr_65_67_29,Other,Other,Other,121.0,0.0
2335,2335,5526,https://restado.de/baustoff/selbstbohrende-fassadenbauschraube-mit-sechskantkopf-und-dichtscheibe-faba-typ-a-65-x-32/,SELBSTBOHRENDE FASSADENBAUSCHRAUBE MIT SECHSKANTKOPF UND DICHTSCHEI…,Rohbau,Sonstiges,2023-01-09,,"Herstellerbeschreibung Dichtscheibe mit witterungsbeständiger EPDM-Dichtung Für Verschraubungen von Stahlprofilen, Aluminiumprofilen, Kunststofftafeln, Faserzementtafeln, Holztafeln und Sandwichelementen auf Stahlunterkonstruktionen Aluminiumunterkonstruktionen Holzunterkonstruktionen Werkstoff Edelstahl A2 OberflächeVerzinkt Werkstoff Dichtscheibe Edelstahl A2 Werkstoff Dichtung Ethylen-Propylen-Dien-Terpolymer-Kautschuk-EPDM Nenndurchmesser 6,5 mm Länge 32 mm Kopfhöhe 4,5 mm Scheibendurchmesser 16 mm Scheibendicke 3,6 mm Außenantrieb SW3/8 Antriebart Sechskant Kopfform Sechskantkopf Breite:    Höhe:    Länge/Tiefe:  3,20 cm Gewicht / Stk.:    Durchm.:  0,65 cm Baujahr:   Material:  EdelstahlA2verzinkt,DichtungEthylen-Propylen-Dien-Terpolymer-Kautschuk-EPDM Farbe:   Herkunft:  Gewerbe Neupreis: 260,00€ Verfügbar ab: sofort", neuwertig,63.200€ Paketpreis,800 Stk. verfügbar,(800 Stk. Mindestabnahme),neuwertig,,{},63200.0,800.0,63200.0,800.0,63.200€ Paketpreis,800 Stk. verfügbar,0.0,,[],,Yew,Fans,Pr_65_67_29,Other,Other,Other,,0.0
2340,2340,5534,https://restado.de/baustoff/schraubhaken-ohne-bund/,SCHRAUBHAKEN OHNE BUND,Rohbau,Sonstiges,2023-01-09,,"Werkstoff Stahl Oberfläche Verzinkt Nenndurchmesser 5 mm Innendurchmesser Haken 16 mm Länge 60 mm Gewindelänge (metrisches Gewinde) 30 mm Ausführung Ohne Bund Breite:    Höhe:    Länge/Tiefe:  6,00 cm Gewicht / Stk.:    Durchm.:  1,60 cm Baujahr:   Material:  Stahlblauverzinkt Farbe:   Herkunft:  Gewerbe Verfügbar ab: sofort", neuwertig,0€ Paketpreis,90 Stk. verfügbar,(90 Stk. Mindestabnahme),neuwertig,,{},0.0,90.0,0.0,90.0,0€ Paketpreis,90 Stk. verfügbar,0.0,,[],,Yew,Fans,Pr_65_67_29,Other,Other,Other,,0.0
2509,2509,5580,https://restado.de/baustoff/selbstbohrende-fassadenbauschraube-mit-sechskantkopf-63x150-zebra-piasta/,"SELBSTBOHRENDE FASSADENBAUSCHRAUBE MIT SECHSKANTKOPF, 6,3X150 ZEBRA…",Fassade,Sonstiges Fassadenmaterial,2023-01-09,,"Herstellerbeschreibung Sechskantkopf mit Bund Bohren, Gewindeformen, Verschrauben alles in einem Arbeitsgang Mit ZEBRA piasta arbeiten Sie schneller als mit jedem Spiralbohrer. Sie verringern Ihre Montagekosten um mindestens 50% Universell einsetzbar durch Sechskantkopf Für Längsstoßverschraubungen von Stahlprofilblechen Direktverschraubungen von Stahlprofilen auf Stahlunterkonstruktionen Preishinweis, 08.02.2016, im Würth-Shop: https://eshop.wuerth.de 100 Schrauben = 253 EUR / Listenpreis Würth Die Bauteilbörse Hannover hat ca 120 Stück auf Lager. Ihr Preis in der Bauteilbörse Hannover: 79 EUR - und 20 Schrauben bekommen Sie geschenkt. Breite:    Höhe:    Länge/Tiefe:  15,00 cm Gewicht / Stk.:    Durchm.:  0,63 cm Baujahr:   Material:  Bimetall-EdelstahlA2/Stahlgehärtet,Ruspert Farbe:   Herkunft:  Gewerbe Neupreis: 253,00€ Verfügbar ab: sofort", neuwertig,9.480€ Paketpreis,120 Stk. verfügbar,(120 Stk. Mindestabnahme),neuwertig,,{},9480.0,120.0,9480.0,120.0,9.480€ Paketpreis,120 Stk. verfügbar,0.0,,[],",",Gold,Fans,Pr_65_67_29,Other,Other,Other,,0.0
2523,2523,1978,https://restado.de/baustoff/ejot-h1/,EJOT H1,Fassade,Sonstiges Fassadenmaterial,2023-01-09,,Es sind 3 Kartons. Normalerweise sind 100 Stk. drin. In einem Karton sind mehr drin.,Gebraucht,0€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Gebraucht,,{},0.0,1.0,0.0,1.0,0€ (VB) / Stück,1 Stück verfügbar,0.0,,[],,Yew,Fans,Pr_65_67_29,Other,Other,Other,,0.0
