,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
2469,122015,https://restado.de/baustoff/stoplex-w-20liter-kanister/,Stoplex w liter Kanister,Fassade,Sonstiges Fassadenmaterial,2023-01-09,1673827200000.0,,,,,,,,,,,,,,,1.0,604800000.0,['https://restado.de/wp-content/uploads/products/2023/03/adcd2855-image_9b720f24-574e-40d9-b91c-7bb04739fff9-scaled.jpg'],Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,7.0,
2470,118486,https://restado.de/baustoff/gelende-aussen-balkon/,Gelende außen Balkon,Fassade,Sonstiges Fassadenmaterial,2023-01-09,,"Verkaufe unser Balkon Gelende. Massen ca 1.55/2,15,/1,55m Das Holz ist sehr gut erhalten brauch nur ein neuen Anstrich. 7 Stallträger ink Befestigung Material auch gut erhalten. Das Gelende wird die Tage abgebaut in Einzelteile (aufbau ist nicht schwer). Das Holz läßt sich passgenau zuschneiden, somit ist man flexibel mit den Massen.. Kann abgeholt werden mit einem Anhänger oder größere PKW.",Gebraucht,400€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-35466 Rabenau,Holt ,{},400.0,1.0,400.0,1.0,400€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/01/f67ac8d4-screenshot_20230104_174214_com.ebay_.kleinanzeigen2.jpg'],Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,,0.0
2471,117667,https://restado.de/baustoff/winkelprofil-schwarz-30x60/,Winkelprofil schwarz x,Fassade,Sonstiges Fassadenmaterial,2023-01-09,1673308800000.0,,,,,,,,,,,,,,,1.0,86400000.0,['https://restado.de/wp-content/uploads/products/2022/12/6b00a735-winkelprofile-kl.jpg'],Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,1.0,
2476,111229,https://restado.de/baustoff/deryck-verblendriemchen/,deRyck Verblendriemchen,Fassade,Sonstiges Fassadenmaterial,2023-01-09,,"12qm Steinriemchen und 12lfd.m Eckriemchen in unregelmäßigen Größen der Marke deRyck aus den Niederlanden im Farbton Murok Sierra (M43). Die Verlegung verleiht dem Haus/ der Wand eine sehr besondere mediterrane Note. Die Riemchen sind durchgefärbt und können sowohl innen wie außen - auch fugenlos - verlegt werden. Im Außenbereich sollte bei Wetterbelastung jedoch verfugt werden. Die hohe Qualität ist sehr robust, farb- und wetterbeständig auch über Jahre.",Neu,1.200€ (VB) Paketpreis,12 m² verfügbar,(12 m² Mindestabnahme),D-87669 Rieden am Forggensee,"deRyck, NL",{},1200.0,12.0,1200.0,12.0,1.200€ (VB) Paketpreis,12 m² verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/08/f7d43c6b-img-20220802-wa0000.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/3fe761bd-img-20220802-wa0008.jpg']",Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,,0.0
2477,110624,https://restado.de/baustoff/stahlcoil-075mm-in-ral-1021/,"Stahlcoil , mm in",Fassade,Sonstiges Fassadenmaterial,2023-01-09,1690934400000.0,"Farbcoil 0,75 Stahl RAL 1021. Coilbreite 1250mm. Foliert",Neu,480€ (VB) Paketpreis,240 kg verfügbar,(240 kg Mindestabnahme),D-72770 Reutlingen,Fischer Stahl,{},480.0,240.0,480.0,240.0,480€ (VB) Paketpreis,240 kg verfügbar,1.0,17712000000.0,['https://restado.de/wp-content/uploads/products/2022/08/6097b0f4-win_20220805_10_12_17_pro-rotated.jpg'],Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,205.0,0.0
2478,110629,https://restado.de/baustoff/thermo-e-glas-naehgewirkmatte/,Thermo-E-Glas Nähgewirkmatte,Fassade,Sonstiges Fassadenmaterial,2023-01-09,1690588800000.0,"Glasfasersteppband, 25lfm/rolle, 100m breit, weiß",Neuwertig,"1,50€ (VB) / lfm",800 lfm verfügbar,(25 lfm Mindestabnahme),D-72770 Reutlingen,HKO Isolier- und Textiltechnik,{},1.5,800.0,1.5,800.0,"1,50€ (VB) / lfm",800 lfm verfügbar,1.0,17366400000.0,"['https://restado.de/wp-content/uploads/products/2022/08/d33a2c0b-win_20220805_10_35_11_pro.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/99aee93d-win_20220805_10_35_11_pro.jpg']",Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,201.0,0.0
2479,107311,https://restado.de/baustoff/ejot-sdf-kb-10v-x-60-m8-x13e/,x xE,Fassade,Sonstiges Fassadenmaterial,2023-01-09,,"Ich verkaufe SDF-KB-10V x 60/M8 x13E der Firma EJOT. Es handelt sich um Neuware, Restpostenabverkauf.  117,60€ je 100 Stück Preis ist verhandelbar.  Verpackungseinheit: 100 Stück  Verfügbare Menge: 3000 Stück  Anwendung: -Geeignet zur Verankerung von stabwerksförmigen Fassadenunterkonstruktionen in der VHF -Verankerung von Deckenabhängungen -Befestigung von Ringmuttern  Versand gegen Aufpreis möglich.  Privatverkauf, keine Garantie, keine Rücknahme, keine Gewährleistung.",Neu,"1,18€ (VB) / Stück",3.000 Stück verfügbar,(100 Stück Mindestabnahme),D-57271 Hilchenbach,EJOT,{},1.18,3000.0,1.18,3000.0,"1,18€ (VB) / Stück",3.000 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/06/167e332b-sdf-kb_10v_pos2.jpg'],Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,,0.0
2480,107301,https://restado.de/baustoff/ejot-sdf-kb-10hx100-m8-x13e/,SDF-KB-Hx/M xE,Fassade,Sonstiges Fassadenmaterial,2023-01-09,,"Ich verkaufe SDF-KB-10Hx100/M8 x13E der Firma EJOT. Es handelt sich um Neuware, Restpostenabverkauf.  153,80€ je 100 Stück Preis ist verhandelbar.  Verpackungseinheit: 50 Stück  Verfügbare Menge: 2000 Stück  Anwendung: -Geeignet zur Verankerung von stabwerksförmigen Fassadenunterkonstruktionen in der VHF -Verankerung von Deckenabhängungen -Befestigung von Ringmuttern  Versand gegen Aufpreis möglich.  Privatverkauf, keine Garantie, keine Rücknahme, keine Gewährleistung.",Neu,"1,54€ (VB) / Stück",2.000 Stück verfügbar,(50 Stück Mindestabnahme),D-57271 Hilchenbach,EJOT,{},1.54,2000.0,1.54,2000.0,"1,54€ (VB) / Stück",2.000 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/06/3f1a329a-sdf-kb_10h-m8_pos2.jpg'],Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,,0.0
2481,107176,https://restado.de/baustoff/ejot-sdp-kb-10gx-100-m8x13e/,SDP-KB-Gx /MxE,Fassade,Sonstiges Fassadenmaterial,2023-01-09,,"Ich verkaufe SDP-KB-10Gx 100 /M8x13E der Firma EJOT. Es handelt sich um Neuware, Restpostenabverkauf.  164,10€ je 100 Stück Preis ist verhandelbar.  Verpackungseinheit: 50 Stück  Verfügbare Menge: 2000 Stück  Anwendung: Zur Verankerung von Anbauteilen aus Metall in Porenbeton  Versand gegen Aufpreis möglich.  Privatverkauf, keine Garantie, keine Rücknahme, keine Gewährleistung.",Neu,"1,64€ (VB) / Stück",2.000 Stück verfügbar,(50 Stück Mindestabnahme),D-57271 Hilchenbach,EJOT,{},1.6400000000000001,2000.0,1.6400000000000001,2000.0,"1,64€ (VB) / Stück",2.000 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/06/cc9a66bb-sdp-kb.png'],Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,,0.0
2482,105920,https://restado.de/baustoff/sandwichpkatten-isorock-80mm/,Sandwichpkatten Isorock mm,Fassade,Sonstiges Fassadenmaterial,2023-07-04,,"Es handelt sich um eine verzinkte Stahlkonstruktion, Höhe 5m demontierbar, mit 80 mm Isorock Akustiksandwichelementen, Rw = 34 dB im Wand- und Deckenbereich. Je Einheit 2-flg. Toranlage als Stahlblechtoranlage 2 x 2,5m und Manntür 2 x 1,0m sowie Sichtkontaktfenster 1 x 1,2m mit starrer Verglasung. Über allen Ebenen befindet sich eine Gitterrostebene als Wartungsebene mit seitlichem Industriegeländer in verzinkter Ausführung.",Neuwertig,20.000€ (VB) Paketpreis,800 m² verfügbar,(800 m² Mindestabnahme),D-12681 Berlin,,{},20000.0,800.0,20000.0,800.0,20.000€ (VB) Paketpreis,800 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/05/634bc2de-dsc_9538.jpg'],Lignite,Lacquers,Pr_35_31_68_46,Technical elements,"Covering, Finish",Structure and general products,,0.0
