,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
104,104,29183,https://restado.de/baustoff/tuerelement-suehac-hsd/,Türelement Sühac HSD,Türen & Zargen,Wohnungseingangstür,2023-01-09,1682553600000.0,43 CPL Weisslack m Zarge u Rundkanten absenkbare Bodendichtung  Höhe 1985mm Din links  Breite 985mm Tiefe 270mm 900 NP,Neu,550€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-63801 Kleinostheim,,{},550.0,1.0,550.0,1.0,550€ (VB) / Stück,1 Stück verfügbar,1.0,9331200000.0,[],Türelement Sühac,Tufa,Abat-voix,Pr_40_30_71_01,Other,Other,Other,108.0,0.0
625,625,82244,https://restado.de/baustoff/hoffmannglas-gruppe/,Hoffmannglas Gruppe,Fenster,Aussenfenster,2023-01-09,1677542400000.0,"Isoliergläser als Dreifachglas  Schallschutzglas 42dB  Dämmwert 0,5 Dicke 52mm Größe 1308x2245mm",Neu,90€ (VB) / Stück,72 Stück verfügbar,(10 Stück Mindestabnahme),D-30419 Hanover,Hoffmannglas Gruppe,"{""Material Fensterflügel"": ""Stahl"", ""Farbe Fensterflügel"": ""Grau"", ""Verglasungs-Art"": ""3-fach"", ""Ausführung"": ""1-flügelig"", ""Farbe Fensterrahmen"": ""Grau""}",90.0,72.0,90.0,72.0,90€ (VB) / Stück,72 Stück verfügbar,1.0,4320000000.0,"['https://restado.de/wp-content/uploads/products/2021/09/049cd114-7016317f-d0e7-4576-a6e0-012201f7edd2.jpeg', 'https://restado.de/wp-content/uploads/products/2021/09/5f44858d-0f606f46-1328-4d21-a721-18ac2772c989.jpeg']",Hoffmannglas Group,Reed,Abat-voix,Pr_40_30_71_01,Other,Other,Other,50.0,0.0
1482,1482,97559,https://restado.de/baustoff/isover-integra-035-180/,Isover Integra 035-180,Dach,Dachdämmung,2023-01-09,, ,Neu,42€ / Stück,86 Stück verfügbar,(1 Stück Mindestabnahme),D-21680 Stade,,"{""Serie"": ""Integra"", ""Material"": ""Glaswolle"", ""Verwendungszweck"": ""Zwischensparrendämmung"", ""Lieferform"": ""Rolle"", ""Brandverhalten"": ""nicht brennbar"", ""Wärmeleitgruppe"": ""035"", ""Dicke"": ""180 mm""}",42.0,86.0,42.0,86.0,42€ / Stück,86 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/04/a65078b8-421473f1-1642-4ef5-8130-d5707a773ebd.jpeg'],Isover Integra -,Silt,Abat-voix,Pr_40_30_71_01,Other,Other,Other,,0.0
1655,1655,70450,https://restado.de/baustoff/aluverbundrohr-16mm/,Aluverbundrohr 16mm,Haustechnik & Sanitär,Sanitär,2023-01-09,,"Multi-Calor Verbundrohr, bis 100 Meter Rolle, 16mm-12mm-2mm (DN12) Bezeichnung: PE-X + AI + PE-X, PN10 - 95° Prüfgrundlagen: DVGW W 542 (01.08.2009), UBA KTW (07.03.2016), DVGW W 270 (01.11.2007) Bezugsnormen: UNI 10954-1; DIN 4726 - 4729 Aluminiumverstärkung 0,30mm gemäß UNI 10954-1 Verwendung/Zulassung: Max. Betriebsdruck bei 20°C = 30 Bar Kaltbetriebstemperatur (für Klimatisierung) bei + 5°C bis 20 Bar (Min. Dauer 50 Jahre) Warmbetriebszustäne bei 95°C bis 10 Bar (Min. Dauer 50 Jahre) Max. Spitzenthemperatur 100°C. Sauerstoffdurchlässigkeit gemäs DIN 4726 = 0,0 %mg/L  Die Multi-Calor Rohre entsprechen allen von den Normen UNI 10954-1 für den Transport trinkbarer Flussigkeiten, Warm- und Kaltflussigkeiten, für menschlichen Verzehr, für Heizradiatoren, für die Klimatisierung bei niedrigen Temperaturen, für Bodenplattenheizkörper und andere mit den Basiswerkstoffen kompatiblen Anlagen, verlangten Anforderungen. Gewicht: 12 Kg/100 Meter (Rolle).  Das Material ist neu und im Einwandfreien Zustand",Neuwertig,1€ (VB) / lfm,2.000 lfm verfügbar,(100 lfm Mindestabnahme),D-61206 Wöllstadt,,"{""Produktname"": ""Aquatechnik Multicalor-Multi-Calor Verbundrohr, bis 100 Meter Rolle, 16mm-12mm-2mm (DN12) Bezeichnung: PE-X + AI + PE-X, PN10 - 95°""}",1.0,2000.0,1.0,2000.0,1€ (VB) / lfm,2.000 lfm verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/02/c579ba7a-5.jpg'],Aluverbundrohr mm,Alabaster,Abat-voix,Pr_40_30_71_01,Other,Other,Other,,0.0
1758,1758,64563,https://restado.de/baustoff/duravit-wc-happy-d2-rimless-art-nr-250090000/,Duravit WC Happy D2 rimless Art.-Nr. 250090000,Haustechnik & Sanitär,Sanitär,2023-01-09,,"Duravit WC Happy D2 rimless Art.-Nr. 250090000 2 Stück vorhanden  Neu und originalverpackt. Die Originalverpackung weist leichte Gebrauchsspuren auf.  Das Paket ist vollständig und unbenutzt, sowie unbeschädigt, inkl. Einbauanleitung.  Keine Garantie, keine Rücknahme.",Neu,300€ / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-19288 Ludwigslust,Duravit,"{""Farbe"": ""Weiß"", ""Gegenstand"": ""WC""}",300.0,2.0,300.0,2.0,300€ / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/11/18446b31-20201105_110212-scaled.jpg'],Duravit Happy rimless Art.-Nr .,Coade stone,Abat-voix,Pr_40_30_71_01,Other,Other,Other,,0.0
2284,2284,44664,https://restado.de/baustoff/ursa-klemmfilz-200mm-wlg-35/,Ursa Klemmfilz 200mm WLG 35,Rohbau,Dämmung,2023-01-09,, ,Neu,132€ (VB) Paketpreis,6 Stück verfügbar,(6 Stück Mindestabnahme),D-04824 Brandis,,{},132.0,6.0,132.0,6.0,132€ (VB) Paketpreis,6 Stück verfügbar,0.0,,[],Ursa Klemmfilz mm,Silt,Abat-voix,Pr_40_30_71_01,Other,Other,Other,,0.0
2306,2306,77685,https://restado.de/baustoff/knauf-perlmix-15-l-kanister/,"Knauf Perlmix 1,5 l Kanister",Rohbau,Sonstiges,2023-01-09,, ,Neu,20€ Paketpreis,20 Stück verfügbar,(20 Stück Mindestabnahme),D-70736 Fellbach,Knauf,{},20.0,20.0,20.0,20.0,20€ Paketpreis,20 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/06/1933787b-1.jpg'],Knauf Perlmix . l canister,Perlite aggregates,Abat-voix,Pr_40_30_71_01,Other,Other,Other,,0.0
2591,2591,91430,https://restado.de/baustoff/maxit-bfx-flexfuge-25kg-zementgrau/,Maxit BFX Flexfuge 25kg Zementgrau,Innenausbau,Bodenbeläge,2023-01-09,,"Technische Daten Anwendungsbereich Fliesen- & Natursteinverlegeprodukte: Boden, Wand Artikeltyp Fliesen- & Natursteinverlegeprodukte: Fugenmörtel Ausführung Fliesen- & Natursteinverlegeprodukte: Zementmörtel Aushärtezeit begehbar nach: ca. 2 Stunden Aushärtezeit voll belastbar nach: ca. 7 Tage Eignung: Keramik, Fliesen, Spaltplatten, Betonwerkstein, Glasbaustein, Fassadenriemchen, Feinsteinzeug, Naturstein Einsatzbereich: Innen & Außen Farbe: zementgrau Flexibel: Ja Fugenbreite bis (mm): 20 Fugenbreite von (mm): 3 Gebindeart: Sack Inhalt (kg): 25 Material Basis: Zement Schnellhärtend: Ja Verarbeitungsdauer: ca. 30 Minuten Verarbeitungstemperatur bis (°C): 25 Verarbeitungstemperatur von (°C): 5  41 Sack zur Verfügung Versand möglich, Kosten kommen drauf",Neuwertig,"34,99€ / Stück",42 Stück verfügbar,(1 Stück Mindestabnahme),D-99428 Weimar,Maxit,{},34.99,42.0,34.99,42.0,"34,99€ / Stück",42 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/02/5c6fa600-maxit-bfx-flexfuge-zementgrau-rotated.jpg'],Maxit Flexfuge kg Zementgrau,Expansive concrete,Abat-voix,Pr_40_30_71_01,Other,Other,Support and restraint products,,0.0
2830,2830,44680,https://restado.de/baustoff/isover-estrichdaemmung-akustic-ep3/,Isover Estrichdämmung Akustic Ep3 40mm,Innenausbau,Estrich,2023-04-21,,,,,,,,,{},0.0,0.0,0.0,0.0,,,0.0,,[],Isover Estrichdämmung Akustic Ep mm,Vinyl ester resin,Abat-voix,Pr_40_30_71_01,Other,Other,Other,,0.0
2843,2843,108972,https://restado.de/baustoff/murexin-voranstrich-pu-5-express/,MUREXIN Voranstrich PU 5 Express,Innenausbau,Sonstiges,2023-01-09,,"Dieser Voranstrich ist bei unserem Hausbau übrig geblieben, deshalb möchte ich diesen verkaufen.  Der Voranstrich ist ungeöffnet und die Füllmenge beträgt 11kg.  Falls Fragen auftauchen sollten, gerne an mich wenden.",Neu,250€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-84489 Burghausen,MUREXIN,"{""Produkt"": ""Voranstrich PU 5 Express""}",250.0,1.0,250.0,1.0,250€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/07/0e47ec07-20220712_162841.jpg', 'https://restado.de/wp-content/uploads/products/2022/07/5873454e-20220712_162926.jpg']",Voranstrich Express,Poplar,Abat-voix,Pr_40_30_71_01,Other,Other,Other,,0.0
