,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
2706,2706,63123,https://restado.de/baustoff/staketen-8/,Staketen,Innenausbau,Innentreppen,2023-01-09,1682985600000.0,"Ein Satz Staketen, die ursprünglich ein Treppengeländer bildeten. .- Dafür wieder einsetzbar (evtl. neuen Winkel schneiden) oder als Tischbein, Stütze für Arbeitsplatte (z.B. Platte mit Spülstein drauf). Die Staketen haben eine Länge von 70,00cm bis 82,00cm. Die Staketen stammen aus dem Bestand des Denkmalamtes Bremen.  Material: Holz Farbe: braun Baujahr: 1900 Höhe: 70,00 cm Breite: 4,00 cm Länge/Tiefe: 4,00 cm  Durchmesser:: 4,00cm Lieferung nach Absprache.",Neuwertig,10€ / Stück,8 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},10.0,8.0,10.0,8.0,10€ / Stück,8 Stück verfügbar,1.0,9763200000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,113.0,0.0
2707,2707,63120,https://restado.de/baustoff/staketen-7/,Staketen,Innenausbau,Innentreppen,2023-01-09,1681430400000.0,"Ein Satz von Staketen, die ursprünglich ein Treppengeländer bildeten. .- Dafür wieder einsetzbar (evtl. neuen Winkel schneiden) oder als Tischbein, Stütze für Arbeitsplatte (z.B. Platte mit Spülstein drauf). Die Staketen haben eine Länge von 74,00cm bis 84,00cm. Die Staketen stammen aus dem Bestand des Landesamt für Denkmalpflege.  Material: Holz Farbe: beige Baujahr: 1900 Höhe: 70,00 cm Breite: 4,50 cm Länge/Tiefe: 4,58 cm  Lieferung nach Absprache.",Neuwertig,10€ / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},10.0,6.0,10.0,6.0,10€ / Stück,6 Stück verfügbar,1.0,8208000000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,95.0,0.0
2708,2708,63125,https://restado.de/baustoff/staketen-9/,Staketen,Innenausbau,Innentreppen,2023-01-09,1682208000000.0,"Ein Satz Staketen, die ursprünglich ein Treppengeländer bildeten. .- Dafür wieder einsetzbar (evtl. neuen Winkel schneiden) oder als Tischbein, Stütze für Arbeitsplatte (z.B. Platte mit Spülstein drauf). Die Staketen haben eine Länge von 65,00cm bis 74,00cm. Die Staketen stammen aus dem Bestand des Denkmalamtes Bremen.  Material: Holz Farbe: beige Baujahr: 1900 Breite: 3,50 cm Länge/Tiefe: 74,00 cm  Durchmesser:: 4,00cm Lieferung nach Absprache.",Neuwertig,10€ / Stück,7 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},10.0,7.0,10.0,7.0,10€ / Stück,7 Stück verfügbar,1.0,8985600000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,104.0,0.0
2709,2709,63118,https://restado.de/baustoff/staketen-6/,Staketen,Innenausbau,Innentreppen,2023-01-09,1683849600000.0,"Ein Satz gedrechselte Staketen/Doggen/Geländerstäbe aus Nadelholz und aus historistischen Zeiten, die in einem (schräg verlaufenden) Treppengeländer verbaut waren, dehalb H:74cm - 78cm(ca) und zu finden in der Abtlg. ""Staketen"".  Material: Nadelholz Farbe: natur/dunkelbraun Baujahr: 1900 Höhe: 74,00 cm Breite: 4,50 cm Länge/Tiefe: 4,50 cm Gewicht: 0,50 kg  Lieferung nach Absprache.",Neuwertig,10€ / Stück,12 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},10.0,12.0,10.0,12.0,10€ / Stück,12 Stück verfügbar,1.0,10627200000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,123.0,0.0
2710,2710,63116,https://restado.de/baustoff/staketen-5/,Staketen,Innenausbau,Innentreppen,2023-01-09,1683331200000.0,"Ein Satz gedrechselte Doggen/Staketen/Geländerstäbe uas einem (schräg verlaufenden) Treppengeländer, somit in der Höhe variierend von 71,5cm - 82cm(ca) und zu nutzen für 1000 Funktionen/Gestaltungen!  Material: Holz Farbe: natur,dklbraun Baujahr: 1920 Höhe: 71,50 cm Breite: 4,00 cm Länge/Tiefe: 4,00 cm Gewicht: 0,50 kg  Lieferung nach Absprache.",Neuwertig,8€ / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},8.0,6.0,8.0,6.0,8€ / Stück,6 Stück verfügbar,1.0,10108800000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,117.0,0.0
2711,2711,63111,https://restado.de/baustoff/staketen-3/,Staketen,Innenausbau,Innentreppen,2023-01-09,1681862400000.0,"Staketen geborgen aus dem Gemeindehaus in Heiligenrode. Der Zahn der Zeit hat seine Spuren hinterlassen (""Wurmlöcher""). Der Verursacher dürfte aber schon seit langem das Zeitliche gesegnet haben.  Material: Eiche Farbe: weiß Baujahr: 1900 Höhe: 70,00 cm Breite: 4,00 cm Länge/Tiefe: 4,00 cm Gewicht: 0,50 kg  Lieferung nach Absprache.",Neuwertig,5€ / Stück,19 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},5.0,19.0,5.0,19.0,5€ / Stück,19 Stück verfügbar,1.0,8640000000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,100.0,0.0
2712,2712,63107,https://restado.de/baustoff/staketen/,Staketen,Innenausbau,Innentreppen,2023-07-05,1698364800000.0,"Dieses Treppengeländer ist 30 Jahre alt und sehr gut erhalten. Es stammt aus einem Haus in Farge. Es sind nicht nur die Staketen, sondern auch der Handlauf (nicht auf dem Foto)vorhanden. Der Handlauf besteht aus 4 Stücken, 2 davon haben ein um 180 grad gewendeltes Ende.  Material: Eiche Farbe: eichenbraun Höhe: 85,00 cm  Lieferung nach Absprache.",Neuwertig,10€ / Stück,55 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},10.0,55.0,10.0,55.0,10€ / Stück,55 Stück verfügbar,1.0,9849600000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,114.0,0.0
2713,2713,63114,https://restado.de/baustoff/staketen-4/,Staketen,Innenausbau,Innentreppen,2023-01-09,1683590400000.0,"Staketen/Doggen/Geländerstäbe aus einem (schräg verlaufenden) Treppengeländer in recht üppiger Ausführung und gefertigt aus gedrechseltem Nadelholz!  Material: Holz Farbe: narur,braun Höhe: 68,00 cm Breite: 4,50 cm Länge/Tiefe: 4,50 cm Gewicht: 0,50 kg  Lieferung nach Absprache.",Neuwertig,8€ / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},8.0,6.0,8.0,6.0,8€ / Stück,6 Stück verfügbar,1.0,10368000000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,120.0,0.0
2714,2714,63109,https://restado.de/baustoff/staketen-2/,Staketen,Innenausbau,Innentreppen,2023-01-09,1682553600000.0,"Staketen in verschiedenen Höhen (73cm - 91cm)  Material: Holz Farbe: natur Höhe: 91,00 cm Breite: 4,50 cm Länge/Tiefe: 4,00 cm  Lieferung nach Absprache.",Neuwertig,10€ / Stück,27 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},10.0,27.0,10.0,27.0,10€ / Stück,27 Stück verfügbar,1.0,9331200000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,108.0,0.0
2715,2715,63127,https://restado.de/baustoff/staketen-10/,Staketen,Innenausbau,Innentreppen,2023-01-09,1684022400000.0,"Ein Satz Staketen, die ursprünglich ein Treppengeländer bildeten. .- Dafür wieder einsetzbar (evtl. neuen Winkel schneiden) oder als Tischbein, Stütze für Arbeitsplatte (z.B. Platte mit Spülstein drauf). Die Staketen stammen aus dem Bestand des Denkmalamtes Bremen.  Material: Holz Farbe: weiß Baujahr: 1900 Breite: 3,50 cm Länge/Tiefe: 71,00 cm  Durchmesser:: 3,50cm Lieferung nach Absprache.",Neuwertig,10€ / Stück,7 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},10.0,7.0,10.0,7.0,10€ / Stück,7 Stück verfügbar,1.0,10800000000.0,,The fence,Wood,Protective fencing,Pr_45_63_64_67,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Handrails,125.0,0.0
