,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1566,121830,https://restado.de/baustoff/geberit-fitinge-edelstahl/,Geberit Fitinge Edelstahl,Haustechnik & Sanitär,Sanitär,2023-01-09,, ,Neu,"2,50€ / Stück",1.000 Stück verfügbar,(1 Stück Mindestabnahme),D-71254 Ditzingen,Geberit,{},2.5,1000.0,2.5,1000.0,"2,50€ / Stück",1.000 Stück verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,0.0
1567,121833,https://restado.de/baustoff/kupfer-fitinge/,Kupfer Fitinge,Haustechnik & Sanitär,Sanitär,2023-01-09,, ,Neu,"3,50€ / Stück",1.000 Stück verfügbar,(100 Stück Mindestabnahme),D-71254 Ditzingen,,{},3.5,1000.0,3.5,1000.0,"3,50€ / Stück",1.000 Stück verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,0.0
1568,121836,https://restado.de/baustoff/geberit/,Geberit,Haustechnik & Sanitär,Sanitär,2023-01-09,, ,Neu,"4,20€ / Stück",400 Stück verfügbar,(100 Stück Mindestabnahme),D-71254 Ditzingen,,"{""Produktname"": ""PE Muffen / Abzweige und vieles mehr""}",4.2,400.0,4.2,400.0,"4,20€ / Stück",400 Stück verfügbar,0.0,,[],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,0.0
1569,121629,https://restado.de/baustoff/wt-warm-tile/,WT-Warm Tile,Haustechnik & Sanitär,Sanitär,2023-01-09,,Die elektrische Fußbodenheizung ist für 1 qm gedacht.,Neu,40€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-23879 Mölln,WT Warm Tile,{},40.0,1.0,40.0,1.0,40€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/f62eeea3-67c7ef09-e040-4e50-af30-c46971a76a53-scaled.jpeg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,0.0
1570,121389,https://restado.de/baustoff/viguor-waschbecken-derby-50x40cm-weiss/,Viguor Waschbecken Derby xcm Weiß,Haustechnik & Sanitär,Sanitär,2023-01-09,,"Die Waschtische sind originalverpackt.  Außenmaße: Länge 400mm, Breite 500mm  Möbel-Handwaschbecken mit Hahnloch mit Überlauf aus Sanitärporzellan geschliffen  Höhe: 170 mm Breite: 500 mm Tiefe: 400 mm Farbe: weiß Fabrikat:  VIGOUR Modell: derby Artikel-Nr.: DE50MG    Ablagefläche ohne Ablaufdurchmesser (mm)	46 Antibakterielle Behandlung ohne Anzahl der Hahnlöcher je Waschplatz: 1 Anzahl der Waschschüsseln: 1 Anzahl Plätze: 1 Ausführung: mit Hahnloch Ausführung: mit Überlauf Bauform: Rechteck Baureihe/Produktserie: derby Benennung: Möbelhandwaschbecken Beschichtung: ohne Breite (cm)	50.0 Durchschlagbare Armaturenlöcher: ohne Erhöhte Kante an der Rückseite: ohne Farbe: weiß Geeignet für Halbsäule: Nein Geeignet für Möbel: Nein Geeignet für Standsäule: Nein Herstellername: VIGOUR Höhe (cm): 17.0 Max. Geeignet für Konsolenlänge (cm): 60 Min. Geeignet für Konsolenlänge (cm): 60 Mit Ablaufventil: ohne Mit Befestigungsmaterial: nein Mit Bohrung für Seifenspender: ohne Montageart: wandhängend Tiefe (cm): 40.0 Werkstoff: Sanitärporzellan",Neuwertig,45€ / Stück,18 Stück verfügbar,(1 Stück Mindestabnahme),D-12053 Berlin,Vigour,"{""Farbe"": ""Weiß""}",45.0,18.0,45.0,18.0,45€ / Stück,18 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/e899a2c2-image004.png'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,0.0
1571,121154,https://restado.de/baustoff/bad-sanitaer-bordeaux-rot-komplett-retro-80er-jahre/,Bad Sanitär bordeaux rot komplett retro er Jahre,Haustechnik & Sanitär,Sanitär,2023-01-09,, ,Gebraucht,499€ (VB) / Paket,1 Paket verfügbar,(1 Paket Mindestabnahme),D-88481 Balzheim,unbekannt,"{""Farbe"": ""bordeaux"", ""Gegenstand"": ""Komplett oder Einzelteile""}",499.0,1.0,499.0,1.0,499€ (VB) / Paket,1 Paket verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/02/c855955b-badewanne1.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,0.0
1572,121080,https://restado.de/baustoff/zirkulationsventil-aba-dn-15-innengewinde/,Zirkulationsventil Innengewinde,Haustechnik & Sanitär,Sanitär,2023-01-09,,"Verkaufe 29 ABA Zirkulationsventile Rg, DN 15 Innengewinde in der Originalverpackung.",Neu,85€ (VB) / Stück,29 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},85.0,29.0,85.0,29.0,85€ (VB) / Stück,29 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/02/b620988a-converted_1496_alb_d_71465png.jpg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,0.0
1573,120924,https://restado.de/baustoff/hansgrohe-armatur-venris-shape-100/,Hansgrohe Armatur venris shape,Haustechnik & Sanitär,Sanitär,2023-01-09,, ,Neu,150€ (VB) / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-30167 Hanover,Hansgrohe,"{""Farbe"": ""Chrom"", ""Serie"": ""Vernis Square 100"", ""Gegenstand"": ""Waschtischarmatur""}",150.0,3.0,150.0,3.0,150€ (VB) / Stück,3 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/02/82affe6f-1cef272a-258b-4705-8898-84b7aee24c83-scaled.jpeg'],Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,0.0
1574,120727,https://restado.de/baustoff/warmwasserbereiter-boiler-bosch-tr2000tf-200t-6-kw/,Warmwasserbereiter Boiler Bosch kw,Haustechnik & Sanitär,Sanitär,2023-01-09,1673395200000.0,,,,,,,,,,,,,,,1.0,172800000.0,"['https://restado.de/wp-content/uploads/products/2023/02/6a8a9b37-dscf2134-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/9c55d378-dscf2140-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/8378c149-dscf2136-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/60b986f2-dscf2137-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/0390a8ab-dscf2135-scaled.jpg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,2.0,
1575,120737,https://restado.de/baustoff/boiler-warmwasserbereiter-bosch-siemens-tr5500t-80-eb-15-jahre/,"Boiler Warmwasserbereiter Bosch/Siemens , Jahre",Haustechnik & Sanitär,Sanitär,2023-01-09,1673395200000.0,,,,,,,,,,,,,,,1.0,172800000.0,"['https://restado.de/wp-content/uploads/products/2023/02/1478b6e5-dscf2142-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/47c0aa74-dscf2144-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/299cdbd1-dscf2154-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/0baba59d-dscf2147.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/126c7525-dscf2151-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/c3411ebf-dscf2145-scaled.jpg']",Pisé,Sedge,Pr_45_31_63_76,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,2.0,
