,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
217,217,31004,https://restado.de/baustoff/novoferm-staenderwerkzarge/,NOVOFERM Ständerwerkzarge,Türen & Zargen,Sonstiges,2023-01-09,,"NOVOFERM Ständerwerkzarge Profil 23/1645, MW 150 875 x 2000 mm, verzinkt, DIN L/R mit Dichtung und Variant Bandunterteil, vernickelt  komplett neu!",Neu,89€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-52074 Aachen,,{},89.0,1.0,89.0,1.0,89€ (VB) / Stück,1 Stück verfügbar,0.0,,[],stud frame,Structural steel,Stud bolts,Pr_20_29_08_86,Structural elements,"Blocks, Panels, Fences, Bricks",Walling units,,0.0
226,226,5989,https://restado.de/baustoff/trennwand-2/,Trennwand,Türen & Zargen,Sonstiges,2023-01-09,," Breite:  154,50 cm Höhe:  223,00 cm Länge/Tiefe:  3,50 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Metall,Glas Farbe:   Verfügbar ab: sofort", gut,75€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},75.0,1.0,75.0,1.0,75€ / Stk.,1 Stk. verfügbar,0.0,,[],partition wall,Wallaba,Storage wall partition units,Pr_40_30_87_86,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,0.0
241,241,5987,https://restado.de/baustoff/trennwand/,Trennwand,Türen & Zargen,Sonstiges,2023-01-09,," Breite:  128,00 cm Höhe:  222,00 cm Länge/Tiefe:  3,50 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Metall,Glas Farbe:   Verfügbar ab: sofort", gut,65€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},65.0,1.0,65.0,1.0,65€ / Stk.,1 Stk. verfügbar,0.0,,[],partition wall,Wallaba,Storage wall partition units,Pr_40_30_87_86,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,0.0
255,255,126569,https://restado.de/baustoff/pruem-stahlzarge-2108x966mm-grundiert/,Prüm Stahlzarge. 2108x966mm. Grundiert,Türen & Zargen,Zimmertüren,2023-04-21,,"Zum Verkauf stehen insgesamt 11 neue Stahlzargen der Marke Prüm.  Die passenden Türen mit den Maßen 2110x985mm finden Sie in den weiteren Anzeigen.  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Farbe: Grundiert, Farbe noch individuell anpassbar.  Breite 966 mm Höhe: 2108 mm Dicke: 39  Die Stahlzargen sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können das passende Türblatt und eine silberfarbene Klinke der Marke Hoppe dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.",Neu,50€ (VB) / Stück,11 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Prüm Türenwerk GmbH ,"{""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Umfassungszarge"", ""Oberfläche Türzarge"": ""BOS-Grundierung"", ""Farbe Türzarge"": ""Farbe noch anpassbar"", ""Türzargen-Breite"": ""966mm"", ""Türzargen-Höhe"": ""2108mm""}",50.0,11.0,50.0,11.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/05/a398f115-image00009-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/05/cfb93074-20230418_125739-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/05/ee98c1e2-20230503_144612-scaled.jpg']",Prüm steel frame . xmm . Primed,Structural steel,Aluminium frames,Pr_20_85_32_02,Structural elements,"Blocks, Panels, Fences, Bricks",Structural units,,0.0
385,385,53118,https://restado.de/baustoff/stahlzarge-3/,Stahlzarge,Türen & Zargen,Zimmertüren,2023-01-09,,"2 Umfassungszargen Normstahlzarge für Mauerwerk grundiert, R + L Anschlag,  Rohmaß RM 875 x 2000 Mauerwerk MW 130 nach DIN 18111-1 – Standardzargen für gefälzte Türen in Mauerwerkswänden Montage mit Ruck-Zuck-Anker (Standard) oder Fugenanker (Sichtmauerwerk) Ruck-Zuck-Anker vorhanden  neu unbenutzt wegen Fehlkauf zu verkaufen an Selbstabholer Stück für 50€",Neuwertig,50€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-79410 Badenweiler,,"{""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Umfassungszarge"", ""Türzargen-Ausführung"": ""Gefälzt"", ""Maulweite Umfassungszarge (cm)"": ""13""}",50.0,2.0,50.0,2.0,50€ (VB) / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/05/61e22c59-zarge.jpg.webp'],Steel frame,Structural steel,Stainless steel frames,Pr_20_85_32_84,Structural elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,,0.0
390,390,44511,https://restado.de/baustoff/stahlzarge/,Stahlzarge,Türen & Zargen,Zimmertüren,2023-01-09,,2- Schalige Zargen für Ständerwerk Bandtaschen für VN/160 3D ohne Bodeneinstand,Neu,100€ / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-84089 Aiglsbach,Hörmann,"{""Anschlag"": ""DIN Links"", ""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Umfassungszarge"", ""Türzargen-Ausführung"": ""Gefälzt"", ""Farbe Türzarge"": ""RAL 7035"", ""Maulweite Umfassungszarge (cm)"": ""10"", ""Türzargen-Breite"": ""1,01 m"", ""Türzargen-Höhe"": ""2,135 m""}",100.0,10.0,100.0,10.0,100€ / Stück,10 Stück verfügbar,0.0,,[],Steel frame,Structural steel,Stainless steel frames,Pr_20_85_32_84,Structural elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,,0.0
536,536,119372,https://restado.de/baustoff/sprossenfenster-barock-historisch-verbundfenster/,Sprossenfenster barock/ historisch Verbundfenster,Fenster,Aussenfenster,2023-01-09,1677369600000.0,"Fenestra Fensterbau  Fotos zeigen die Außenseite aus Aluminium  B 195,5 H 205,5 cm Teilung 97,5 / 98 cm Lichte Weite Tür 84x195 cm / Fenster 84 x",Neuwertig,1.050€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-99423 Weimar,Fenestra,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Glas"", ""Material Türzarge"": ""Holz"", ""Türzargen-Art"": ""Blockzarge"", ""Türzargen-Ausführung"": ""Stumpf"", ""Element-Breite"": ""195,5"", ""Element-Höhe"": ""205,5""}",1050.0,1.0,1050.0,1.0,1.050€ (VB) / Stück,1 Stück verfügbar,1.0,4147200000.0,['https://restado.de/wp-content/uploads/products/2023/03/f3fb7b06-29700a97-b690-4b05-963a-5b87c096db6e.jpeg'],Baroque/historic composite window bars,Architectural glass,Composite window walls,Pr_30_59_99_15,Other,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,48.0,0.0
552,552,111299,https://restado.de/baustoff/fenster-mit-kunststoffrahmen/,Fenster mit Kunststoffrahmen,Fenster,Aussenfenster,2023-01-09,1678579200000.0, ,Gebraucht,800€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-75181 Pforzheim,,{},800.0,6.0,800.0,6.0,800€ (VB) / Stück,6 Stück verfügbar,1.0,5356800000.0,['https://restado.de/wp-content/uploads/products/2022/08/da6a183f-16600602024033406695983330210799-scaled.jpg'],Windows with plastic frames,Prismatic glass,Plastics window films,Pr_25_57_51_60,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,62.0,0.0
627,627,81885,https://restado.de/baustoff/esg-glas-paneele/,ESG Glas Paneele,Fenster,Aussenfenster,2023-01-09,1678406400000.0, ,Neuwertig,5€ (VB) / m²,600 m² verfügbar,(100 m² Mindestabnahme),D-10178 Berlin,,{},5.0,600.0,5.0,600.0,5€ (VB) / m²,600 m² verfügbar,1.0,5184000000.0,"['https://restado.de/wp-content/uploads/products/2021/09/3aa400b6-img_5624-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/09/05137fd9-bvg.jpeg', 'https://restado.de/wp-content/uploads/products/2021/09/03e5e842-bvg.jpeg', 'https://restado.de/wp-content/uploads/products/2021/09/e6a52f8a-img_5624-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/09/74732f66-screenshot-2021-09-13-at-11.54.03.png']",glass panels,Glass,Glass panels,Pr_25_71_33_35,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,60.0,0.0
666,666,74893,https://restado.de/baustoff/2-kunststoff-fensterelemente/,2 Kunststoff-Fensterelemente,Fenster,Aussenfenster,2023-01-09,1676419200000.0,"2 Kunststoff-Fensterelemente, 3 m breit, 2,2 m hoch, 1 Element mit Hebeschiebetür ( ca. 1 m breit) und Festverglasung, 1 Element mit Drehkipptür und Vestverglasung mit Brüstungspanel in weiß und Querriegel auf ca. 60 cm Höhe",Gebraucht,1€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-67059 Ludwigshafen am Rhein,,{},1.0,2.0,1.0,2.0,1€ (VB) / Stück,2 Stück verfügbar,1.0,3196800000.0,"['https://restado.de/wp-content/uploads/products/2021/05/f059160b-20210412_100938-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/05/c47c44ef-verkauf-2-fensterelemente.jpg', 'https://restado.de/wp-content/uploads/products/2021/05/d0f23215-20210412_104656-scaled.jpg']",plastic window elements,Plastics,Metallized plastics window films,Pr_25_57_51_52,Structural elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,37.0,0.0
