,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
116,121410,https://restado.de/baustoff/verschiedene-tuerklinken-tuerbeschlaege/,verschiedene Türklinken / Türbeschläge,Türen & Zargen,Sonstiges,2023-02-19,,"Zu verkaufen sind knapp 300 Türbeschläge / Türklinken siehe Bilder. Alle gut erhalten und bereit zur Wiederverwendung. Preis ist verhandelbar!  Abzuholen in 12053, c/o Impact Hub",Gebraucht,1€ (VB) / Stück,323 Stück verfügbar,(10 Stück Mindestabnahme),D-12053 Berlin,,{},1.0,323.0,1.0,323.0,1€ (VB) / Stück,323 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/0f699a93-img_7610-scaled.jpg'],Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
117,126578,https://restado.de/baustoff/ovp-tuerklinke-der-marke-hoppe-rosetten-garnitur-edelstahl-matt/,Türklinke der Marke Hoppe . Rosetten-Garnitur . Edelstahl matt,Türen & Zargen,Sonstiges,2023-04-20,,"Zum Verkauf stehen insgesamt 11 originalverpackte Klinken der Marke Hoppe.  Es handelt sich um Drückergarnituren des Modells Amsterdam E1400Z/42KV/42KVS in mattem Edelstahl.  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Form: rund Rosetten-Durchschnitt: 52 mm Schildstärke: 8 mm für Türstärke: 37-42 mm  Die Rosetten-Garnituren sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können das passende Türblatt der Marke Prüm sowie die entsprechende grundierte Stahlzarge (Farbe noch anpassbar) dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.",Neu,10€ (VB) / Stück,11 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Hoppe,{},10.0,11.0,10.0,11.0,,,0.0,,['https://restado.de/wp-content/uploads/products/2023/05/276087a2-image00004-scaled.jpeg'],Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
118,124658,https://restado.de/baustoff/ladentuere-autom-2-tlg-glas-2m-breit-22m-hoch/,"Ladentüre Autom . tlg . Glas m breit , m hoch",Türen & Zargen,Sonstiges,2023-04-21,,Baujahr 12/2020,Neuwertig,1.500€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-85276 Pfaffenhofen an der Ilm,Tormax,{},1500.0,1.0,1500.0,1.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/04/d14171df-img_0683-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/04/5ec9ad5a-img_0686-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/04/35d6a31c-img_0682-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/04/bc3390c7-img_0684-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/04/d31e7347-img_0681-scaled.jpeg']",Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
119,117867,https://restado.de/baustoff/stahltueren/,Stahltüren,Türen & Zargen,Sonstiges,2023-01-09,,"5 Stück Stahlblechtüren von Hörmann mit Universal-Eckzargen  T30-H3-1  Maße: 875 mm x 2000 mm  Blechdicke 1,0 mm  3 St. DIN Links und 2 St. DIN rechts a 500 €",Neuwertig,500€ (VB) / Stück,5 Stück verfügbar,(1 Stück Mindestabnahme),D-53359 Rheinbach,Hörmann T30,{},500.0,5.0,500.0,5.0,500€ (VB) / Stück,5 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/02/1e3d6de6-stahltueren-unten.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/d6815658-img_4618-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/8b6babb2-masse-stahltueren.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/51f52bb5-stahltueren1.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/4447564d-img_4619-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/62632c26-stahltueren-unten-3.jpg']",Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
120,117459,https://restado.de/baustoff/tuer-6/,tür,Türen & Zargen,Sonstiges,2023-01-09,, ,Gebraucht,60€ / Stück,107 Stück verfügbar,(1 Stück Mindestabnahme),D-80539 München,,{},60.0,107.0,60.0,107.0,60€ / Stück,107 Stück verfügbar,0.0,,[],Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
121,116659,https://restado.de/baustoff/edelstahltuer-ems/,Edelstahltür,Türen & Zargen,Sonstiges,2023-01-09,,"Ich verkaufe hier eine super Edelstahltür. Die Tür ist in Takt und lässt sich schließen, es gibt keine Beschädigung auf dem Edelstahl, welche die Funktion beeinträchtigt.  Die Maße sind etwaige Angaben!  Breite der Tür: 93cm Höhe der Tür 203cm  Rahmenhöhe/Zargenhöhe 208cm Rahmenbreite/Zargenbreite 103,5cm  Auf die Richtigkeit der Größen gibts keine Gewähr, ich lade euch selbst vorbeizukommen und ggf. nachzumessen falls etwas unklar ist. Ich helfe gerne wo ich kann. Ausbau ist durch euch zu Erfolgen.  Ich habe auch Isoliertüren, schaut sie euch gerne an! Wie viele und welche Tür ihr wollt bleibt euch überlassen, ich bin fast jeden Werktag am Lager und kann euch alles zeigen.",Gebraucht,600€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-22946 Trittau,EMS,{},600.0,1.0,600.0,1.0,600€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/11/451c38af-2e96-41e8-9f6a-a51599b5f24d.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/f7535cfa-8677-4441-970c-7eea01d15cd6.jpg']",Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
122,116668,https://restado.de/baustoff/ems-isoliertuer-kuehlraum-edelstahl-kuehlraumschiebetuer/,Isoliertür Kühlraum Edelstahl Kühlraumschiebetür,Türen & Zargen,Sonstiges,2023-01-09,,"Ich verkaufe hier mehrere EMS Isoliertüren. Diese Model hat oben noch eine Edelstahlverkleidung! Alle Türen sind in Takt und lassen sich schließen, es gibt keine Beschädigung auf dem Edelstahl, welche die Funktion beeinträchtigt.  Die Maße sind etwaige Angaben! Auf den Bildern sind drei Türen zu sehen mit gleichen Proportionen.  Breite der Tür: 130cm Höhe der Tür 205,5cm  Rahmenhöhe/Zargenhöhe 210cm Rahmenbreite/Zargenbreite 140cm  Auf die Richtigkeit der Größen gibts keine Gewähr, ich lade euch selbst vorbeizukommen und ggf. nachzumessen falls etwas unklar ist. Ich helfe gerne wo ich kann. Ausbau ist durch euch zu Erfolgen.  Ich habe weitere Isoliertüren, schaut sie euch gerne an! Wie viele und welche Tür ihr wollt bleibt euch überlassen, ich bin fast jeden Werktag am Lager und kann euch alles zeigen.",Gebraucht,800€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-22946 Trittau,EMS,{},800.0,1.0,800.0,1.0,800€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/11/9add3a13-d54c-4a1c-a77d-e2a253265708.jpg'],Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
123,116697,https://restado.de/baustoff/ems-isoliertuer-kuehlraum-edelstahl-kuehlraumschiebetuer-2/,Isoliertür Kühlraum Edelstahl Kühlraumschiebetür,Türen & Zargen,Sonstiges,2023-02-08,,"Ich verkaufe hier mehrere EMS Isoliertüren. Alle Türen sind in Takt und lassen sich schließen, es gibt keine Beschädigung auf dem Edelstahl, welche die Funktion beeinträchtigt.  Die Maße sind etwaige Angaben! Auf den Bildern sind drei Türen zu sehen mit gleichen Proportionen.  Breite der Tür: 130cm Höhe der Tür 205,5cm  Rahmenhöhe/Zargenhöhe 210cm Rahmenbreite/Zargenbreite 140cm  Auf die Richtigkeit der Größen gibts keine Gewähr, ich lade euch selbst vorbeizukommen und ggf. nachzumessen falls etwas unklar ist. Ich helfe gerne wo ich kann. Ausbau ist durch euch zu Erfolgen.  Ich habe weitere Isoliertüren, schaut sie euch gerne an! Wie viele und welche Tür ihr wollt bleibt euch überlassen, ich bin fast jeden Werktag am Lager und kann euch alles zeigen.",Gebraucht,800€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-22946 Trittau,EMS,{},800.0,1.0,800.0,1.0,800€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/11/cd670f50-8a2a-4c5f-a41b-b5cea99a59c6.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/aa05b6fd-7826-4fa7-80e0-bcd4972b0142.jpg']",Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
124,116674,https://restado.de/baustoff/isoliertuer-ems-kuehlraumtuer-edelstahltuer/,Isoliertür Kühlraumtür Edelstahltür,Türen & Zargen,Sonstiges,2023-01-09,,"Ich verkaufe hier eine EMS Isoliertür. Die Türen ist in Takt und lässt sich schließen, es gibt keine Beschädigung auf dem Edelstahl, welche die Funktion beeinträchtigt.  Die Maße sind etwaige Angaben! Breite der Tür: 121cm Höhe der Tür 200cm  Rahmenhöhe/Zargenhöhe 210cm Rahmenbreite/Zargenbreite 140cm  Auf die Richtigkeit der Größen gibts keine Gewähr, ich lade euch selbst vorbeizukommen und ggf. nachzumessen falls etwas unklar ist. Ich helfe gerne wo ich kann. Ausbau ist durch euch zu Erfolgen.  Ich habe weitere Isoliertüren, schaut sie euch gerne an! Wie viele und welche Tür ihr wollt bleibt euch überlassen, ich bin fast jeden Werktag am Lager und kann euch alles zeigen.",Gebraucht,800€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-22946 Trittau,EMS,{},800.0,1.0,800.0,1.0,800€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/11/369f861d-73ca-4d01-ba36-392f46d070cd.jpg'],Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
125,116680,https://restado.de/baustoff/isoliertuer-ems-kuehlraumtuer-edelstahltuer-2/,Isoliertür Kühlraumtür Edelstahltür,Türen & Zargen,Sonstiges,2023-01-09,,"Ich verkaufe hier eine EMS Isoliertür. Die Türen ist in Takt und lässt sich schließen, es gibt keine Beschädigung auf dem Edelstahl, welche die Funktion beeinträchtigt.  Die Maße sind etwaige Angaben! Breite der Tür: 103cm Höhe der Tür 200cm  Rahmenhöhe/Zargenhöhe 210cm Rahmenbreite/Zargenbreite 118cm  Auf die Richtigkeit der Größen gibts keine Gewähr, ich lade euch selbst vorbeizukommen und ggf. nachzumessen falls etwas unklar ist. Ich helfe gerne wo ich kann. Ausbau ist durch euch zu Erfolgen.  Ich habe weitere Isoliertüren, schaut sie euch gerne an! Wie viele und welche Tür ihr wollt bleibt euch überlassen, ich bin fast jeden Werktag am Lager und kann euch alles zeigen.",Gebraucht,800€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-22946 Trittau,EMS,{},800.0,1.0,800.0,1.0,800€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/11/c579a546-83e7-4e70-86cc-85caeed42d44.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/458f2dde-fbb4-49b6-8b48-3a78905dc2fb.jpg']",Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
126,116689,https://restado.de/baustoff/isoliertuer-ems-kuehlraumtuer-edelstahltuer-3/,Isoliertür Kühlraumtür Edelstahltür,Türen & Zargen,Sonstiges,2023-01-09,,"Ich verkaufe hier eine EMS Isoliertür. Die Türen ist in Takt und lässt sich schließen, es gibt keine Beschädigung auf dem Edelstahl, welche die Funktion beeinträchtigt.  Die Maße sind etwaige Angaben! Breite der Tür: 103cm Höhe der Tür 200cm  Rahmenhöhe/Zargenhöhe 210cm Rahmenbreite/Zargenbreite 118cm  Auf die Richtigkeit der Größen gibts keine Gewähr, ich lade euch selbst vorbeizukommen und ggf. nachzumessen falls etwas unklar ist. Ich helfe gerne wo ich kann. Ausbau ist durch euch zu Erfolgen.  Ich habe weitere Isoliertüren, schaut sie euch gerne an! Wie viele und welche Tür ihr wollt bleibt euch überlassen, ich bin fast jeden Werktag am Lager und kann euch alles zeigen.",Gebraucht,750€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-22946 Trittau,EMS,{},750.0,1.0,750.0,1.0,750€ / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/11/1f1dae79-7556-49b5-abf8-2c1d3dfbedfc.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/c028d94d-b42d-4dd6-9706-f0c1aede9fad.jpg']",Pisé,Tundishes,Pr_65_52_61_91,Openings,"Covering, Finish",Furnishings,,0.0
