,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
2,2,119623,https://restado.de/baustoff/haustuere-2-teilig-schueko/,Haustüre 2-teilig SCHÜKO,Türen & Zargen,Außentüren,2023-01-09,1684972800000.0,"Hochwertige Terrassen-/Balkontüre wurde einmal eingebaut und wegen Fehlkauf sofort wieder ausgebaut und gut gelagert. Nur normale Einbauspuren vorhanden. Abmessungen usw siehe Datenblatt. Privatverkauf, keine Garantien/Rückanhmen o.ä.",Neu,2.300€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-50678 Cologne,,{},2300.0,1.0,2300.0,1.0,2.300€ (VB) / Stück,1 Stück verfügbar,1.0,11750400000.0,['https://restado.de/wp-content/uploads/products/2023/01/ac4e0b7e-43802fe3-e140-4345-bf18-8f27d3be0607.jpeg'],-part front door,Shell,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,136.0,0.0
21,21,97275,https://restado.de/baustoff/massive-aussentuer/,Massive Außentür,Türen & Zargen,Außentüren,2023-01-09,1673481600000.0,,,,,,,,,,,,,,,1.0,259200000.0,['https://restado.de/wp-content/uploads/products/2022/04/48f71fa6-1835a9cb-b23c-4ed7-b810-562d0b2e4ab6.jpeg'],Solid external door,Solid,Composite doorsets,Pr_30_59_24_16,Openings,"Door, Windows, Gates",Openings and opening component products,3.0,
32,32,71947,https://restado.de/baustoff/leibungsrahmentueren-3/,Leibungsrahmentüren,Türen & Zargen,Außentüren,2023-01-09,,Die Türen wurden falsch geliefert und liegen seitdem im Lager.  Preis ist verhandelbar. Bei weiteren Fragen gerne melden.,Neuwertig,175€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-49716 Meppen,ACO,"{""Material Türblatt"": ""Kunststoff"", ""Material Türzarge"": ""Kunststoff"", ""Element-Breite"": ""0,90"", ""Element-Höhe"": ""2,01 m""}",175.0,6.0,175.0,6.0,175€ (VB) / Stück,6 Stück verfügbar,0.0,,[],Reveal frame doors,Architectural glass,Wood door frames,Pr_30_59_23_96,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
35,35,66208,https://restado.de/baustoff/fluegeltuer-eiche/,Flügeltür Eiche,Türen & Zargen,Außentüren,2023-07-05,,Zum Verkauf steht eine Flügeltür aus Eiche. Die Substanz vom Holz ist sehr gut. Maße: Höhe:220 Breite:160,Gebraucht,800€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-32547 Bad Oeynhausen,,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""DIN Links"", ""Oberfläche Türblatt"": ""Massivholz"", ""Türblatt-Breite"": ""160"", ""Türblatt-Höhe"": ""220""}",800.0,1.0,800.0,1.0,800€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/12/42749969-D341-46A2-B0E6-1D4D3379B289-scaled.jpeg'],Oak hinged door,Oak,Door hinges,Pr_30_36_36_21,Furnishings,"Door, Windows, Gates",Openings and opening component products,,0.0
42,42,43570,https://restado.de/baustoff/nebeneingangstuere/,Nebeneingangstüre,Türen & Zargen,Außentüren,2023-01-09,,Novoferm Nebentüre für Garagen etc. aus Ausstellung.,Neuwertig,350€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-78559 Gosheim,Hörmann,"{""Material Türblatt"": ""Stahl"", ""Anschlag"": ""DIN Rechts"", ""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Eckzarge"", ""Farbe Türblatt"": ""hellgrau"", ""Farbe Türzarge"": ""hellgrau""}",350.0,1.0,350.0,1.0,350€ (VB) / Stück,1 Stück verfügbar,0.0,,[],Side entrance door,Anti-bandit glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
49,49,13285,https://restado.de/baustoff/eingangstuer/,Eingangstür,Türen & Zargen,Außentüren,2023-01-09,,Aluminium in Holz verarbeitet. Massiv.,Gebraucht,100€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Gebraucht,,{},100.0,1.0,100.0,1.0,100€ (VB) / Stück,1 Stück verfügbar,0.0,,[],entrance,Film,Entrance mats,Pr_35_57_11_26,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
51,51,5806,https://restado.de/baustoff/2-flg-zwischentuer/,2-Flg. Zwischentür,Türen & Zargen,Außentüren,2023-01-09,,"Eine Glasfüllung ist beschädigt. Breite:  178,00 cm Höhe:  207,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1950 Material:  Holz,Glas Farbe:  beige Verglasg.:  einfach Anschlag DIN:  li./re. Zarge/Blende:  ohne Flügel:  2-flügelig Verfügbar ab: sofort", gut,380€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},380.0,1.0,380.0,1.0,380€ / Stk.,1 Stk. verfügbar,0.0,,[],-wing Intermediate door,Spandrel glass,Composite doorsets,Pr_30_59_24_16,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
52,52,6170,https://restado.de/baustoff/nebeneingangstuer-3/,Nebeneingangstür,Türen & Zargen,Außentüren,2023-01-09,,"Die Nebeneingangstür hat drei liegende Füllungen. Zwei der Füllungen haben vertikale Sprossen und die obere Füllung ist verglast. Einfacher Falz und rechts Anschlag. Die Kanten unten sind leicht berieben. Breite:  90,00 cm Höhe:  194,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1950 Material:  Holz Farbe:  blau/weiß Verfügbar ab: sofort", gut,100€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},100.0,1.0,100.0,1.0,100€ / Stk.,1 Stk. verfügbar,0.0,,[],Side entrance door,Anti-bandit glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
53,53,6071,https://restado.de/baustoff/zwischentuer-2-flgl/,Zwischentür 2 flgl.,Türen & Zargen,Außentüren,2023-01-09,,"Zwei Füllungen fehlen. Breite:  260,00 cm Höhe:  208,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1960 Material:  Holz Farbe:  braun Verfügbar ab: sofort", gut,260€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},260.0,1.0,260.0,1.0,260€ / Stk.,1 Stk. verfügbar,0.0,,[],"Intermediate door , wings .",Beech,Doorsets,Pr_30_59_24,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
54,54,6160,https://restado.de/baustoff/2-flg-hauseingangstuer-2/,2-flg. Hauseingangstür,Türen & Zargen,Außentüren,2023-01-09,,"gut erhaltene 2flg. Hauseingangstür aus einer ehem. Baracke, Feststellverrieglung vorhanden, Farbe außen angewittert Breite:  178,50 cm Höhe:  208,50 cm Länge/Tiefe:  4,30 cm Gewicht / Stk.:  40,00 kg Baujahr (ca.):  1970 Material:  Holz/Glas Farbe:  braun Herkunft:  ÖffentlichesGebäude Verfügbar ab: sofort", gut,280€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},280.0,1.0,280.0,1.0,280€ / Stk.,1 Stk. verfügbar,0.0,,[],-wing House entrance door,Spandrel glass,Door latches,Pr_30_36_08_24,Openings,"Door, Windows, Gates",Openings and opening component products,,0.0
