,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1535,1535,120027,https://restado.de/baustoff/drahtstifte-34-x-87-mm/,"Drahtstifte 3,4 x 87 mm",Dach,Konstruktiver Holzbau,2023-01-09,1673308800000.0,,,,,,,,,,,,,,,1.0,86400000.0,"['https://restado.de/wp-content/uploads/products/2023/02/7a543726-img_20230117_120711-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/4ce76c60-img_20230117_101504-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/0b0a78e6-img_20230117_101509-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/e8b37ef9-img_20230117_122617-scaled.jpg']",Wire pins . x mm,Copper,U-pins,Pr_20_29_23_92,Other,Other,Wire structure and general products,1.0,
1610,1610,104154,https://restado.de/baustoff/geberit-spannverbinder/,Geberit Spannverbinder,Haustechnik & Sanitär,Sanitär,2023-01-09,,"Neue und OVP Spannverbinder von Geberit. Preis inklusive Versand beträgt 50,00€. 2* 5 Stück 135 1* 7 Stück 110 1* 8 Stück 56",Neu,50€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-70173 Stuttgart,Geberit,"{""Produktname"": ""Geberit db silent Spannverbinder""}",50.0,1.0,50.0,1.0,50€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/05/d48e3995-20220516_185520.jpg'],Geberit tension connector,Monofilament,High-pressure water hose connectors,Pr_70_55_98_37,Other,Other,Wire structure and general products,,0.0
1818,1818,120283,https://restado.de/baustoff/wickelfalzrohr-355-mm-rund-verzinkt-2-m/,Wickelfalzrohr 355 mm rund verzinkt - 2 m,Haustechnik & Sanitär,Lüftungsbau,2023-01-09,, ,Neu,45€ / Stück,4 Stück verfügbar,(1 Stück Mindestabnahme),D-79235 Vogtsburg,Wickelfalzrohr 355 mm verzinkt 2m,"{""Material"": ""Stahlblech, verzinkt"", ""Bauform"": ""Rund""}",45.0,4.0,45.0,4.0,45€ / Stück,4 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/02/96a86bcf-wickelfalzrohr-o-355-mm-rund-verzinkt-2m.jpg'],Folding folding pipe mm round galvanized - m,Galvanized steel,Pipe jointing materials,Pr_65_52_62,Other,Other,Wire structure and general products,,0.0
1822,1822,120295,https://restado.de/baustoff/wickelfalzrohr-schalldaempfer-355mm-isolierung-50-mm-1m-verzinkt-mit-dichtung/,Wickelfalzrohr Schalldämpfer 355mm Isolierung 50 mm 1m verzinkt mi…,Haustechnik & Sanitär,Lüftungsbau,2023-06-04,, ,Neu,180€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-79235 Vogtsburg,Wickelfalzrohr Schalldämpfer 355 mm Isolierung 50mm (1m) verzinkt mit Dichtung,"{""Typ"": ""Rohrschalldämpfer""}",180.0,1.0,180.0,1.0,180€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/02/226c54e9-wickelfalzrohr-schalldaempfer-o-355-mm-isolierung-50-mm-1m-verzinkt-mit-dichtung.jpg'],Wrapped folded pipe silencer mm insulation mm m galvanized with…,Galvanized steel,Insulated wrap pipe collars,Pr_65_52_61_42,Other,Other,Wire structure and general products,,0.0
1846,1846,121522,https://restado.de/baustoff/schwaiger-sat-koaxialkabel-kox-90-50m-ring-75db/,"Schwaiger SAT-Koaxialkabel KOX 90, 50m Ring, 75dB",Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Verkaufe neuen und original verpackten 50m Ring SAT-Koaxialkabel Schwaiger KOX 90 - 75dB - Durchmesser 6,8mm",Neu,15€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-47259 Duisburg,Schwaiger,"{""Kabelart"": ""Koaxialkabel""}",15.0,1.0,15.0,1.0,15€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/19ee3fa0-img_2165-scaled.jpg'],"Schwaiger coaxial cable , m ring , dB",Wired glass,Coaxial cables,Pr_65_70_15_13,Other,Other,Wire structure and general products,,0.0
1864,1864,86646,https://restado.de/baustoff/kabeltrasse/,Kabeltrasse,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,Im Gebäude befinden sich Kabeltrassen in unterschiedlichen breiten von 8-40mm Die Kabeltrassen sind mit Konsolen an der Wand befestigt.,Gebraucht,5€ (VB) / lfm,40 lfm verfügbar,(6 lfm Mindestabnahme),D-50823 Cologne,,{},5.0,40.0,5.0,40.0,5€ (VB) / lfm,40 lfm verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/11/03ac931c-photo_2021-11-29_09-38-42.jpg'],Cable trasse,Fibre,Cable assemblies,Pr_65_70_11_02,Other,Other,Wire structure and general products,,0.0
1908,1908,55782,https://restado.de/baustoff/erdkabel-100-meter-nayy-j4650-se-eca/,Erdkabel 100 Meter Nayy-J4650 SE Eca,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,ca 100 meter Erdkabel Alu 4mal Nayy-j4650 Se ECE 4x95 se,Neu,5€ (VB) / Stück,1 Stück verfügbar,(10 Stück Mindestabnahme),D-48477 Hörstel,,"{""Kabelart"": ""Erdkabel"", ""Adernanzahl"": ""4-adrig""}",5.0,1.0,5.0,1.0,5€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2020/07/bd1049a4-108952923_277368093542797_6380603047195085763_n.jpg', 'https://restado.de/wp-content/uploads/products/2020/07/9fcc7f29-109372459_2745719322381460_2355994536746610552_n.jpg']",Underground cable meters Nayy-J Eca,Wallaba,Circuit meters,Pr_80_51_51_13,Other,Other,Wire structure and general products,,0.0
1909,1909,55227,https://restado.de/baustoff/kabelschutzrohre-glatt-weiss-38m-2cm-aussendurchmesser-neu/,"Kabelschutzrohre, glatt, weiß, 38m, 2cm Außendurchmesser, neu",Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Neue Kabelschutzrohre glatt, 2cm Durchmesser außen, zu verkaufen. Im dunklen, kühlen Keller gelagert. Bei der Länge ist alles bis 38m möglich. Der Meter für 40Cent. Vorhanden sind gerollt 38m.  Privatverkauf deswegen keine Gewährleistung. Für Selbstabholer.",Neu,"0,40€ / Stück",1 Stück verfügbar,(1 Stück Mindestabnahme),D-14469 Potsdam,,{},0.4,1.0,0.4,1.0,"0,40€ / Stück",1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/07/8c3f80ce-dscf6058.jpg'],"Cable protection tubes , smooth , white , m , cm outside diameter , new",Filament,Cable protection products,Pr_65_70_12,Other,Other,Wire structure and general products,,0.0
1917,1917,31683,https://restado.de/baustoff/isdn-anschlusskabel/,ISDN-Anschlusskabel,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"ISDN-Anschlusskabel, 4 adrig, 3 m, schwarz, originalverpackt, Packung nur etwas gedrückt.",Neu,4€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-81475 München,,{},4.0,1.0,4.0,1.0,4€ (VB) / Stück,1 Stück verfügbar,0.0,,[],connection cable,Wired glass,Connection cables,Pr_65_70_50_15,Other,Other,Wire structure and general products,,0.0
2131,2131,63796,https://restado.de/baustoff/pe-anschlussleitung-gas-dn32/,PE Anschlussleitung Gas DN32,Haustechnik & Sanitär,Sonstiges,2023-03-02,,"PE Anschlussleitung Gas DN32 ca 25-30 m zu verkaufen. Wir mussten 100 m kaufen, da wir knapp 70 brauchten",Neuwertig,60€ Paketpreis,30 lfm verfügbar,(30 lfm Mindestabnahme),D-01326 Dresden,,{},60.0,30.0,60.0,30.0,60€ Paketpreis,30 lfm verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/11/bd81dbd9-77a7ab68-aac5-48ae-8a16-7558ad651bc1-scaled.jpeg'],connecting cable gas,Gas,Connection cables,Pr_65_70_50_15,Other,Other,Wire structure and general products,,0.0
