,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
65,65,61766,https://restado.de/baustoff/2-fluegelige-haustuer-mit-oberlicht/,2-flügelige Haustür mit Oberlicht,Türen & Zargen,Wohnungseingangstür,2023-01-09,1681516800000.0,"2-flügelige Haustür mit Oberlicht und Vollholzkassetten. Ein Türflügel ist feststellbar über einen großen Schieber unten. Eine Scheibe ist nur provisorisch eingebaut und hat einen kleinen Sprung. Aufhängung: Kloben Die Einbaumaße betragen gesamt ca. : Höhe:289 cm Breite:151 cm Die Tür findet sich in Regal 4/6.  Material: Pitch Pinie,Glas Farbe: weiß Höhe: 222,50 cm Breite: 151,00 cm Länge/Tiefe: 4,00 cm Gewicht: 138,00 kg  Lieferung nach Absprache.",Neuwertig,800€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},800.0,1.0,800.0,1.0,800€ / Stück,1 Stück verfügbar,1.0,8294400000.0,,-wing front door with skylight,Spandrel glass,Skylights,Pr_30_59_72_77,Other,"Door, Windows, Gates","Lighting columns, brackets and bollards",96.0,0.0
333,333,62222,https://restado.de/baustoff/schiebetuer-3-fluegelig-mit-oberlicht/,"Schiebetür, 3-flügelig mit Oberlicht",Türen & Zargen,Zimmertüren,2023-01-09,1681776000000.0,"Ein vierteiliges Türelement, bestehend aus drei Türelementen mit jeweils vier Kassetten: Das mittlere ist feststehend; rechts und links jeweils eine Schiebetür 84,5cmx201cm. Die im Originalaufbau vor und hinter dem Mittelteil 92,5cmx202cm geschoben werden konnten. Das passende Oberlicht misst 80cm x 266cm und ist mit Strukturglas gefüllt. Passende Schienen vorhanden. Regal 5/2.  Material: Holz,Glas Farbe: weiß Höhe: 281,00 cm Breite: 252,00 cm Länge/Tiefe: 3,50 cm  Lieferung nach Absprache.",Neuwertig,750€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},750.0,1.0,750.0,1.0,750€ / Stück,1 Stück verfügbar,1.0,8553600000.0,,"Sliding door , -wing with skylight",Spandrel glass,Skylights,Pr_30_59_72_77,Other,"Door, Windows, Gates","Lighting columns, brackets and bollards",99.0,0.0
482,482,82590,https://restado.de/baustoff/lichtband-kirchenkamp-bci/,Lichtband Kirchenkamp BCI,Fenster,Dachfenster,2023-01-09,1676160000000.0,"Kirchenkamp Lichtband Typ BCI, wärmebrückenfrei,  Verglasung mit mehrschaligen Polycarbonat-Hohlkammerprofilen Ug-Wert Verglasung 1,5 W/m²K  Breite 2,00 m x Länge 4,90 m mit Aufsatzkranz RAL 9002 und Motoröffner  Neupreis 2012 pro Stück 3.500 € brutto  Achtung: Ausbau und Transport muss in eigener Verantwortung erfolgen - keinerlei Gewährleistung und/oder Rücknahme!",Gebraucht,1.000€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-77654 Offenburg,,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""RAL 9002"", ""Material Aussenabdeckung"": ""Kunststoff"", ""Farbe Aussenabdeckung"": ""RAL 9002"", ""Fensterbreite (cm)"": ""200"", ""Fensterhöhe (cm)"": ""490""}",1000.0,2.0,1000.0,2.0,1.000€ (VB) / Stück,2 Stück verfügbar,1.0,2937600000.0,['https://restado.de/wp-content/uploads/products/2021/09/edc8009f-img-20210924-wa0008.jpg'],Kirchenkamp light strip,Filament,Tungsten filament lamps,Pr_70_70_46_89,Other,Other,"Lighting columns, brackets and bollards",34.0,0.0
503,503,62252,https://restado.de/baustoff/dachfenster-2/,Dachfenster,Fenster,Dachfenster,2023-02-09,1680220800000.0,"Klapp-Schwing-Fenster mit Kunststoffumhüllung speziell für Feuchträume geeignet, incl. Eindeckrahmen und Dämm-Set, Regal 13.  Material: Holz, Kunststoff, Gl Farbe: weiß, antrazit Baujahr: 2015 Höhe: 118,00 cm Breite: 78,00 cm Länge/Tiefe: 13,00 cm  Lieferung nach Absprache.",Gebraucht,380€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},380.0,1.0,380.0,1.0,380€ / Stück,1 Stück verfügbar,1.0,4320000000.0,['https://restado.de/wp-content/uploads/products/2023/06/faf6e739-20220517_193846-rotated.jpg'],Skylight,Glass,Skylights,Pr_30_59_72_77,Other,Other,"Lighting columns, brackets and bollards",50.0,0.0
507,507,60394,https://restado.de/baustoff/dachfenster/,Dachfenster,Fenster,Dachfenster,2023-01-09,1676332800000.0,Zwei altes Holz Dachfenster zu verschenken. Maße 78x120cm 78x140cm,Gebraucht,0€ Paketpreis,2 Stück verfügbar,(2 Stück Mindestabnahme),D-31008 Elze,Velux,"{""Material Fensterflügel"": ""Holz"", ""Öffnungsart"": ""Schwingfenster"", ""Material Aussenabdeckung"": ""Holz"", ""Fensterbreite (cm)"": ""78"", ""Fensterhöhe (cm)"": ""120""}",0.0,2.0,0.0,2.0,0€ Paketpreis,2 Stück verfügbar,1.0,3110400000.0,[],Skylight,Glass,Skylights,Pr_30_59_72_77,Other,Other,"Lighting columns, brackets and bollards",36.0,0.0
513,513,44329,https://restado.de/baustoff/jet-lichtkuppel-mit-durchsturzsicherung-2/,Jet Lichtkuppel mit Durchsturzsicherung 150 cm x 150 cm,Fenster,Dachfenster,2023-03-09,1681948800000.0,"Hallo,habe 2 Jet Lichtkuppeln 150 cm x 150 cm abzugeben. Absolut neu .Waren nie verbaut. Trocken in der Halle gelagert. Einzel oder zusammen abzugeben.",Neu,2.700€ (VB) Paketpreis,2 Stück verfügbar,(2 Stück Mindestabnahme),D-32369 Rahden,,{},2700.0,2.0,2700.0,2.0,2.700€ (VB) Paketpreis,2 Stück verfügbar,1.0,3628800000.0,[],Jet light dome with fall protection cm x cm,X-ray protective glass,Concrete dome units,Pr_20_93_84_16,Other,Other,"Lighting columns, brackets and bollards",42.0,0.0
520,520,6174,https://restado.de/baustoff/oberlicht-2/,Oberlicht,Fenster,Dachfenster,2023-01-09,1677628800000.0," Breite:  148,50 cm Höhe:  48,00 cm Länge/Tiefe:    Gewicht / Stk.:    Baujahr (ca.):  1980 Material:  Holz Farbe:  wei0 Verfügbar ab: sofort", gut,45€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},45.0,1.0,45.0,1.0,45€ / Stk.,1 Stk. verfügbar,1.0,4406400000.0,[],Skylight,Glass,Skylights,Pr_30_59_72_77,Other,Other,"Lighting columns, brackets and bollards",51.0,0.0
522,522,5851,https://restado.de/baustoff/oberlicht/,Oberlicht,Fenster,Dachfenster,2023-02-24,1681948800000.0," Breite:  102,00 cm Höhe:  53,00 cm Länge/Tiefe:    Gewicht / Stk.:    Baujahr (ca.):  1940 Material:  Holz Farbe:  beige Verfügbar ab: sofort", gut,45€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},45.0,1.0,45.0,1.0,45€ / Stk.,1 Stk. verfügbar,1.0,4752000000.0,[],Skylight,Glass,Skylights,Pr_30_59_72_77,Other,Other,"Lighting columns, brackets and bollards",55.0,0.0
1046,1046,111876,https://restado.de/baustoff/beige-gelbe-naturstein-optik-verblender-klinker-ziegel-riemchen-bricks-echtsteinwand-steinpaneele/,Beige gelbe Naturstein Optik Verblender Klinker Ziegel Riemchen Bri…,Fliesen & Steine,Naturstein,2023-01-09,1677024000000.0,"++++++Sonderpreis statt 54 nur 34 EUR/ m² ++++++++  original historische Backsteine zu Antikriemchen geschnitten.  Nachdem zwei Riemchen von den Außenseiten  abgeschnitten wurden, verbleibt ein Mauersteinelement mit 2 Sägeschnittglatte Innenseiten.  Die Optik ähnelt dann sehr einem Naturstein  Die ökologisch wertvolle Wiederverwendung wird somit nochmals optimaler ausgenutzt, der Preis kann reduziert werden.  Preis je 1 m² Verblendmauerwerk, je 7 cm Wandstärke.  Transportkosten auf Anfrage.  Bezugnahme auf Art-Nr: Schnittling gelb 08-22   Antik-Stein auch auf Facebook, Pinterest & youtube",Gebraucht,34€ / m²,100 m² verfügbar,(9 m² Mindestabnahme),D-06120 Halle (Saale),,{},34.0,100.0,34.0,100.0,34€ / m²,100 m² verfügbar,1.0,3801600000.0,"['https://restado.de/wp-content/uploads/products/2022/08/08d9d005-vk-p062-17-rm-gl-v3-lieske.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/310c57f9-vk-p062-17-rm-gl-v3-lieske-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/d0151ba9-schnittlinge-als-mw-gl-8-22.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/fe495d1c-mehr-ref-auf-baust-antik-17.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/dc865224-schnittlinge-als-mw-gl-8-22-2.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/24891fd9-collage-herstellung-gl.jpg']",Beige yellow natural stone look facing clinker brick straps Bri…,Coade stone,Stone bollards,Pr_20_76_08_86,Other,Other,"Lighting columns, brackets and bollards",44.0,0.0
1105,1105,69958,https://restado.de/baustoff/marmorkies-zierkieswuerfel/,Marmorkies - Zierkieswürfel,Fliesen & Steine,Naturstein,2023-01-09,1677024000000.0,"Beste Qualität zum fairen Preis   Marmor Würfel: Zierkies Naturstein   20x20mm im 5 kg Gebinde  Das Würfelmodell ist einzigartig und absolut NEU auf dem Markt!  Farbe: Schwarzer Kaiser  Produkt ist sofort verfügbar  Lieferzeitraum: 3 Tage  NUR 26,80 € / 5kg Eimer   Bitte geben Sie bei Anfragen Ihre Adresse mit an.  Haben Sie Fragen? Wir beraten Sie gern.",Neu,"5,40€ / kg",70 kg verfügbar,(1 kg Mindestabnahme),D-01558 Grossenhain,,{},5.4,70.0,5.4,70.0,"5,40€ / kg",70 kg verfügbar,1.0,3801600000.0,['https://restado.de/wp-content/uploads/products/2021/02/7aa1442e-s-l1600-2.jpg'],Marble gravel - decorative gravel cubes,Gravel,Pea gravel,Pr_20_31_04_60,"Roof, Slabs, Stairs",Other,"Lighting columns, brackets and bollards",44.0,0.0
1257,1257,77776,https://restado.de/baustoff/opoczno-concrete-flower-light-grey/,Bodenfliese Concrete Flower Light Grey,Fliesen & Steine,Fliesen,2023-01-09,,"Hallo,  wir bauen gerade und leider haben wir zuviele Fliesen bestellt. Die hier angebotene Fliese ist eine weiße Fliese mt leicht grauen Schlieren drin 30x60 Format von der polnischen Traditionsfirma Opoczno. Wir haben 12 Pakete (10 und zwei offene Pakete) übrig, á 1,6m². Rutschhemmung R9. Neu, ungebraucht, original verpackt (bis auf die 2 offenen).  Aktueller Preis pro Paket sind momentan 23€.  1,6m² pro Paket.  11€ für ungeöffnete Pakete, 10€ für geöffnete.  Kann in 61239 Ober-Mörlen abgeholt werden.",Neu,11€ (VB) / Paket,12 Paket verfügbar,(1 Paket Mindestabnahme),D-61239 Ober-Mörlen,,"{""Farbe"": ""Light Grey"", ""Bezeichnung"": ""Feinsteinzeug"", ""Länge (cm)"": ""60"", ""Breite (cm)"": ""30"", ""Serie"": ""Concrete Flower"", ""Dicke (mm)"": ""9"", ""Rutschfestigkeitsklasse"": ""R9""}",11.0,12.0,11.0,12.0,11€ (VB) / Paket,12 Paket verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/06/4e6bf56f-img_0184-scaled.jpg'],Bodenfliese Concrete Flower Light Grey,Concrete,Concrete floor dyes,Pr_35_31_22_17,Other,Other,"Lighting columns, brackets and bollards",,0.0
1269,1269,70691,https://restado.de/baustoff/ecksteine-eckriemchen-2-wahl-reduziert-antikriemchen-ziegelriemchen-alte-mauerziegel-verblender-bac/,Ecksteine Eckriemchen 2. Wahl reduziert Antikriemchen Ziegelriemche…,Fliesen & Steine,Fliesen,2023-05-12,,"Original historische Backsteine zu Eckriemchen geschnitten.  Unsere alten Mauersteine stammen aus der  Handbergung historischer Gebäude.   Anschließend werden zwei Eck-Riemchen  aus einem Backstein geschnitten.  Bei diesen preisreduzierten Eckverblendern handelt es sich um die zweiten Schnitte.  Sie haben originale Außenseiten, sind jedoch um 2 cm kürzer, als der original Stein.  Preis je 1 Laufmeter/ Höhenmeter   Ergiebigkeit 12 Stck/ Laufmeter/ Höhenmeter.  Maße: 23x6,5/ 10x6,5, Dicke 2 cm  Transportkosten auf Anfrage.   Bezugnahme auf Art-Nr: Eck-Rm rt 23er Radow 11-20 Dazu passend auch: Rm rt Radow 11-20   ***Antik-Stein auch auf Facebook, Pinterest & youtube***  page: baustoffe-antik.de",Gebraucht,29€ / lfm,5 lfm verfügbar,(1 lfm Mindestabnahme),D-06120 Halle (Saale),,"{""Bezeichnung"": ""Steinzeugfliesen""}",29.0,5.0,29.0,5.0,29€ / lfm,5 lfm verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/02/83ed6047-eck-rm-rt-radow-29er-11-20-5.jpg', 'https://restado.de/wp-content/uploads/products/2021/02/1b6557df-eck-rm-rt-radow-29er-11-20-2.jpg']",Corner stones corner straps nd choice reduced anti-creep brick straps…,Masonry cement,Carbon steel wall head restraint slip ties,Pr_20_85_84_18,Other,Other,"Lighting columns, brackets and bollards",,0.0
1536,1536,117142,https://restado.de/baustoff/alte-fachwerk-scheune-altholzbalken-vintage-windlicht-dekobalken-ablage-kerzenhalter-beistelltisch/,Alte Fachwerk Scheune Altholzbalken vintage Windlicht Dekobalken Ab…,Dach,Konstruktiver Holzbau,2023-01-16,,"Altholzbalken zu einem dekorativen Beistelltisch gearbeitet.  Aus dem Rückbau eines historischen Dachstuhls  erbaut um 1900  Die Scheunenbalken wurde schonend ausgebaut und gereinigt.  Maße: Querschnitt ca. 18/18 Länge ca. 52 cm  Preis incl. Versand  Viele weitere historische Balken aus dem selektiven Rückbau, wie Sparren, Stuhlrähm, Kopfbänder, Fachwerkbalken fachgerecht gelagert.  Wir haben ständig bis zu 30 m³ Fachwerkbalken an unserem Bergehof.  Gerne erstelle ich ein passgenaues Angebot für ihr Projekt.  Antik-Stein auch auf allen social media Kanälen  page: baustoffe-antik.de",Gebraucht,69€ / Stück,50 Stück verfügbar,(1 Stück Mindestabnahme),D-06120 Halle (Saale),,{},69.0,50.0,69.0,50.0,69€ / Stück,50 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/12/81ff99a6-blk-als-beistelltisch-29.11.22-2.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/9ce945f5-balkenende-20er-70cm-2.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/f9713717-balkenende-16er-55-cm-2-hood.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/d9398dd2-54641830.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/bc945686-balkenende-16er-55-cm-5.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/a79ddd08-54642825.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/686814fa-bild-2.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/5db2cfd4-balkentischchen-25.8.17-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/180354be-beistelltisch-detail-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/b0611c7e-balkentischchen-25.8.17-9.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/df8a5435-balkentischchen-25.8.17-6.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/18a027fa-balkenende-16er-55-cm-seite.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/bf7fc669-54643088.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/7919ad52-balkentischchen-25.8.17-12.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/b6c1742c-beistelltisch-detail-6.jpg']",Old half-timbered barn old wood beams vintage lantern decorative beams…,Spruce,Softwood beams,Pr_20_85_08_81,Other,Other,"Lighting columns, brackets and bollards",,0.0
1860,1860,88414,https://restado.de/baustoff/led-aufbauleuchte-dotlux/,LED-Aufbauleuchte DOTLUX Leuchte,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"DOTLUX LED-Downlight UNISIZE 22W 3000K Bestellnummer: 4177-030120 Universalleuchte für Einbauöffnungen von 60-260mm, für Deckenanbau.  Extrem platzsparendes Design durch integriertes Vorschaltgerät mit direktem Kabelanschluss - Warmweiß 3.000K: Hotel, Shop, Home & Living  Leistungsaufnahme in Watt: 22 Lichtstrom in Lumen: 2200 Abstrahlwinkel: 120° Blendfreiheit: UGR-Wert kleiner 25 Dimmbar: nicht dimmbar Einbauöffnung Durchm. in mm: 60-260 Eingangsspannung: 220-240 V AC Lebensdauer: ca. 20.000 h bei 25°C Lichtfarbe: warmweiß Schaltzyklen: > 40.000 IP-Schutzart: IP20 Temperaturbereich: -20°C bis +40°C Höhe: 14mm Durchmesser: 290mm  Da ich Artikel aus meinem Privatbesitz verkaufe, schließe ich jegliche Garantieansprüche und Rücknahmen sowie die Haftung aus. Ich garantiere hierbei jedoch die Originalität aller meiner angebotenen Artikel.",Neu,20€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-21217 Seevetal,,"{""Verwendungszweck"": ""1539"", ""Leuchtenname"": ""Unisize 4177-030120"", ""Leuchtentyp"": ""Aufbauleuchte"", ""Leuchtenart"": ""Wohnraumleuchte""}",20.0,2.0,20.0,2.0,20€ (VB) / Stück,2 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/01/ca4d2c08-dscf2100.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/aa45a3b0-dscf2104.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/aaeab261-dscf2102.jpg']",surface-mounted light light,Reflective glass,Aluminium base-hinged lighting columns,Pr_80_77_48_05,Other,Other,"Lighting columns, brackets and bollards",,0.0
1866,1866,83639,https://restado.de/baustoff/wandleuchten-rund-louis-poulsen/,"Wandleuchten rund, Louis Poulsen",Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,Eigenschaften  Durchmesser: 450 mm  Tiefe: 100 mm  Einsatzbereich: innen  Inklusive Leuchtmittel: Ja,Gebraucht,450€ (VB) / Stück,60 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,"{""Verwendungszweck"": ""1540"", ""Leuchtenart"": ""Büro- & Objektleuchte""}",450.0,60.0,450.0,60.0,450€ (VB) / Stück,60 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/10/fb506cef-leuchten2.jpg', 'https://restado.de/wp-content/uploads/products/2021/10/7f1b234e-leuchten-scaled.jpg']","Round wall lights , Louis Poulsen",Pozzolana,Lantern lights,Pr_30_59_72_46,"Wall, Barriers, Pannels","Floors, Ceiling","Lighting columns, brackets and bollards",,0.0
1870,1870,81585,https://restado.de/baustoff/deckenleuchte-4/,Deckenleuchte,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Höhe 60 mm  Breite 140 mm  Länge 3400 mm  Einsatzbereich innen  Zusatzinformationen Edelstahl, 10 Leuchten an einer Leiste, Leuchten einzeln ausrichtbar",Gebraucht,90€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},90.0,1.0,90.0,1.0,90€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/09/de376b7f-leuchte-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/09/ffb802db-leuchte3-scaled.jpg']",Ceiling light,Filament,Ceiling light switches,Pr_65_72_97_16,Other,"Floors, Ceiling","Lighting columns, brackets and bollards",,0.0
