,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
34,34,68547,https://restado.de/baustoff/va-stahltuer-t30-hwk/,VA -Stahltür T30 HWK,Türen & Zargen,Außentüren,2023-01-09,,T 30 BRANDSCHUTZTÜR aus Edelstahl,Neu,2.350€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-21385 Oldendorf (Luhe),,"{""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Eckzarge"", ""Element-Breite"": ""1,01 m"", ""Element-Höhe"": ""2,135 m"", ""Schlossart"": ""Profilzylinder""}",2350.0,1.0,2350.0,1.0,2.350€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/01/ed4b538c-20210121_120221-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/01/de3e4832-20210121_120207-scaled.jpg.webp', 'https://restado.de/wp-content/uploads/products/2021/01/c2ec67b4-20210121_120138-scaled.jpg']",steel door,Steel,Carbon steel doorsets,Pr_30_59_24_52,Openings,"Door, Windows, Gates",Safety cages,,0.0
43,43,41454,https://restado.de/baustoff/haustuer-in-rc2-sicherheit/,Haustür in RC2 Sicherheit,Türen & Zargen,Außentüren,2023-01-09,,"Wir verkaufen diese abgebildete Haustür in RC2 Sicherheit. Modell und Farbe wie abgebildet. Die Tür ist sehr hochwertig und besteht aus Aluminium.  - RC2 Sicherheit. - mit E-Öffner - beidseitig flügelüberdeckend - Außenfarbe: Purpurrot RAL 3004 FEINSTRUKTUR - Innenfarbe: Weiß STD RAL 9016 SEIDENMATT - Verglasung 3-fach-Sicherheitsglas Klasse 5 doppeltes Verbundsglas Satinato - Manuelle 7-fach-Verriegelung - Bandseitensicherung - aufbohrgeschützter PZ mit Not- und Gefahrenfunktion - 1/2 Sicherheits-Türdrücker, - Schließzylinder BKS - Schwelle 20mm ( gemäß dem Gesetz für die Barrierefreiheit ) thermisch getrennt  Maße: 1690mm breit - 2120mm hoch  In Berlin. Neu und verpackt, unbenutzt.",Neu,1.300€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-10178 Berlin,,"{""Anschlag"": ""DIN Rechts"", ""Schlossart"": ""Profilzylinder"", ""Farbe Türblatt"": ""Purpurrot"", ""Farbe Türzarge"": ""Purpurrot""}",1300.0,1.0,1300.0,1.0,1.300€ (VB) / Stück,1 Stück verfügbar,0.0,,[],Front door in security,Safety glass,High-security doorsets,Pr_30_59_24_37,Openings,"Door, Windows, Gates",Safety cages,,0.0
128,128,116230,https://restado.de/baustoff/feuerschutzgarnitur/,Feuerschutzgarnitur,Türen & Zargen,Sonstiges,2023-01-09,,"Zum Verkauf stehen 10 Feuerschutzgarnituren in U-Form.  Hersteller: -  Art: Drückergarnitur  Farbe: Schwarz   Achtung: Feuerschutzgarnituren sind aufgrund der 9er Nuß nicht für normale Zimmertüren geeignet!  Privatverkauf: ohne Gewährleistung, keine Rücknahme.",Neu,8€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-10178 Berlin,-,{},8.0,10.0,8.0,10.0,8€ (VB) / Stück,10 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/11/dc73bfe7-img_20221111_153011-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/bd6c5652-img_20221111_151326-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/d0d39ef1-img_20221111_153002-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/11/9cdfc984-img_20221111_152946-scaled.jpg']",Fire protection set,Safety glass,Fire protection safes,Pr_40_30_75_29,"Wall, Barriers, Pannels",Other,Safety cages,,0.0
138,138,89943,https://restado.de/baustoff/luftschutztuere/,Luftschutztüre,Türen & Zargen,Sonstiges,2023-01-09,,"Luftschutztür mit Zarge Erwin Auert Berlin  Abmessungen der Zarge: B: 755 mm H: 1760 mm T: 50 mm Maße und Gewicht Breite:	840 mm Stärke/Tiefe:	50 mm Höhe/Länge:	1840 mm Gewicht:	50 kg Material:	Eisen 1 Flügel, Aufhängung, rechts Bergungszustand ",Gebraucht,180€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-12305 Berlin,Erwin Auert Berlin,{},180.0,1.0,180.0,1.0,180€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/01/cfe946dd-luftschutztuer_zarge1-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/ff823c12-luftschutztuere_auert2-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/056126b3-luftschutztuere_erwin-auert-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/d9e637cd-luftschutztuere_auert1-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/f0fe5dfc-luftschutstuere_tuerschloss-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/dbb3632b-luftschutztuere_zarge-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/4bc880a2-luftschutztuere_erwin-auert1-scaled.jpg']",Air raid doors,Architectural glass,Vault doors,Pr_40_30_75_94,Openings,"Door, Windows, Gates",Safety cages,,0.0
219,219,12955,https://restado.de/baustoff/einsteckschloss-fuer-profilzylinder-din-rechts-fuer-zimmertuere-brandschutz/,"Einsteckschloss (Brandschutz) für Profilzylinder, DIN rechts",Türen & Zargen,Sonstiges,2023-01-09,,"Verkaufe ein Einsteckschloss (Brandschutz) für Profilzylinder mit folgenden Angaben:  - DIN Rechts ohne Panikfunktion - Dornmaß 65 mm - Einstecktiefe 98 mm - Drückerdorn 9 mm - Stulpbreite 20 mm - Stulplänge 235 mm  Geeignet für Feuerschutztüren und Rauchschutztüren nach DIN 18250, Do 5.5",Neuwertig,15€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-70327 Stuttgart Rotenberg,,{},15.0,1.0,15.0,1.0,15€ (VB) / Stück,1 Stück verfügbar,0.0,,[],"Mortise lock fire protection for profile cylinder , right",Safety glass,Cylinder locks,Pr_30_36_08_19,Other,Other,Safety cages,,0.0
220,220,13082,https://restado.de/baustoff/einsteckschloss-brandschutz-fuer-profilzylinder-din-links-2/,"Einsteckschloss (Brandschutz) für Profilzylinder, DIN links",Türen & Zargen,Sonstiges,2023-01-09,,"Verkaufe ein Einsteckschloss (Brandschutz) für Profilzylinder mit folgenden Angaben:  - DIN Links ohne Panikfunktion - Dornmaß 65 mm - Einstecktiefe 98 mm - Drückerdorn 9 mm - Stulpbreite 20 mm - Stulplänge 235 mm  Geeignet für Feuerschutztüren und Rauchschutztüren nach DIN 18250, Do 5.3.",Neuwertig,15€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-70327 Stuttgart Rotenberg,,{},15.0,1.0,15.0,1.0,15€ (VB) / Stück,1 Stück verfügbar,0.0,,[],"Mortise lock fire protection for profile cylinder , left",Safety glass,Cylinder locks,Pr_30_36_08_19,Other,Other,Safety cages,,0.0
221,221,13078,https://restado.de/baustoff/einsteckschloss-brandschutz-fuer-profilzylinder-din-links/,"Einsteckschloss (Brandschutz) für Profilzylinder, DIN links",Türen & Zargen,Sonstiges,2023-01-09,,"Verkaufe ein Einsteckschloss (Brandschutz) für Profilzylinder mit folgenden Angaben:  - DIN Links ohne Panikfunktion - Dornmaß 65 mm - Einstecktiefe 98 mm - Drückerdorn 9 mm - Stulpbreite 20 mm - Stulplänge 235 mm  Geeignet für Feuerschutztüren und Rauchschutztüren nach DIN 18250, Do 5.5",Neuwertig,15€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-70327 Stuttgart Rotenberg,,{},15.0,1.0,15.0,1.0,15€ (VB) / Stück,1 Stück verfügbar,0.0,,[],"Mortise lock fire protection for profile cylinder , left",Safety glass,Cylinder locks,Pr_30_36_08_19,Other,Other,Safety cages,,0.0
571,571,107033,https://restado.de/baustoff/diverse-fenster-weru-abschliessbar/,"Diverse Fenster, Weru, abschließbar",Fenster,Aussenfenster,2023-01-09,1677715200000.0,"Wir reißen Ende Juni ein Haus ab und bieten die noch sehr gut erhaltenen Fenster zum Kauf an.  Es handelt sich um Fenster mit Kunststoffprofilen und Beschlägen von WERU. Alle Griffe sind abschließbar!  Teilweise haben die Fenster einen Stulp (Fenster F und G) und teilweise einen Pfosten (Fenster C und E). Das Fenster A ist mit Ornamentglas zur Sichthemmung versehen und zweimal (!) vorhanden.  Die Fenster sind derzeit noch einbaut und müssten vom Käufer selbst ausgebaut werden. Auf das umliegende Mauerwerk ist dabei nicht sonderlich zu achten, da das Haus sowieso abgerissen wird. Alle Fenster haben Rollläden, die je nach Gebot auch gerne übernommen werden können.  Ausbau und Abholung können in der zweiten Juni-Hälfte erfolgen.",Neuwertig,90€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-55411 Bingen,WERU,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""weiß"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Material Fensterrahmen"": ""Kunststoff""}",90.0,1.0,90.0,1.0,90€ (VB) / Stück,1 Stück verfügbar,1.0,4492800000.0,"['https://restado.de/wp-content/uploads/products/2022/06/45bf3dbd-1.png', 'https://restado.de/wp-content/uploads/products/2022/06/91a22c4b-2.png', 'https://restado.de/wp-content/uploads/products/2022/06/1996387e-fenster.jpg', 'https://restado.de/wp-content/uploads/products/2022/06/7c53737f-fenster-e_.jpg', 'https://restado.de/wp-content/uploads/products/2022/06/dd219aaa-fenster.2.jpg', 'https://restado.de/wp-content/uploads/products/2022/06/e5e91a72-fenster.5.jpg', 'https://restado.de/wp-content/uploads/products/2022/06/4f1aa3b0-fenster.4.jpg', 'https://restado.de/wp-content/uploads/products/2022/06/c35a5823-fenster-c.jpg']","Various windows , Weru , lockable",Architectural glass,Window locks,Pr_30_36_08_97,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,52.0,0.0
953,953,39922,https://restado.de/baustoff/abus-fenstersicherung-fts-96-ovp/,Abus Fenstersicherung Fts 96 OVP,Fenster,Sonstiges·,2023-01-09,1678320000000.0,"Das Fenster-Zusatzschloss ABUS FTS96 ist perfekt für die Sicherung von Holzfenstern geeignet, kann aber auch an Fenstern aus Aluminium oder Kunststoff eingesetzt werden. Gesichert wird mit dieser Sicherung die Griffseite des Fensters. Die Scharnierseite sollten Sie gesondert absichern. Das Zusatzschloss wird bequem mittels Drehknauf verschlossen, nur zum Öffnen wird der Schlüssel benötigt. Das massive Gehäuse und der Stahl-Doppelriegel sind Garant für den hohen Sicherheitswert dieses Fenster-Zusatzschlosses. Der Schlosskasten wird auf dem Fensterflügel montiert, der Schließkasten auf dem Rahmen.  Farbe: Braun 24 Stück vorhanden Preis zzgl. Versand",Neu,40€ (VB) / Stück,24 Stück verfügbar,(1 Stück Mindestabnahme),D-16727 Velten,Abus,"{""Materialart"": ""Stahl"", ""Farbe"": ""Braun""}",40.0,24.0,40.0,24.0,40€ (VB) / Stück,24 Stück verfügbar,1.0,5097600000.0,[],Abus window lock Fts orig,Safety glass,Window locks,Pr_30_36_08_97,Other,"Door, Windows, Gates",Safety cages,59.0,0.0
954,954,39933,https://restado.de/baustoff/abus-fenstersicherung-df-88-ovp/,Abus Fenstersicherung Df 88 OVP,Fenster,Sonstiges·,2023-01-09,1677628800000.0,"Verstärkt klettern Einbrecher auch in die höheren Etagen oder bis aufs Dach, um sich illegalen Zutritt zu verschaffen. Deshalb ist auch die Sicherung der Dachfenster enorm wichtig. Das Dachfensterschloss ABUS DF88 verfügt über verkrallende Stahlriegel, die das Aufhebeln des Fensters effektiv verhindern. Das Schloss kann an Dachflächenfenstern aus Aluminium, Holz oder Kunststoff eingesetzt werden. Geöffnet und verschlossen wird es jeweils mit Schlüssel. Der Schlosskasten wird auf dem Fensterrahmen montiert, das Schließblech auf dem Fensterflügel. Der Rahmen muss bei der Montage nicht aufgestemmt werden.  Farbe: Braun 2 Stück vorhanden Preis zzgl. Versand",Neu,40€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-16727 Velten,Abus,"{""Materialart"": ""Stahl"", ""Farbe"": ""Braun""}",40.0,2.0,40.0,2.0,40€ (VB) / Stück,2 Stück verfügbar,1.0,4406400000.0,[],Abus window lock Df orig,Safety glass,Window locks,Pr_30_36_08_97,Other,"Door, Windows, Gates",Safety cages,51.0,0.0
